doc_idx,category
0,24
2,12
3,24
4,24
12,24
16,24
19,24
26,24
27,24
30,24
35,24
36,14
37,12
38,24
39,24
47,14
50,14
66,27
67,63
71,14
73,14
74,14
76,18
81,18
84,18
91,18
95,23
99,18
101,18
102,18
109,18
111,18
114,14
115,18
117,18
125,28
127,56
131,56
133,56
137,56
145,12
153,56
158,56
159,47
161,36
163,48
164,48
173,48
174,48
187,48
191,48
195,48
196,48
200,1
204,26
216,1
219,1
220,1
221,1
223,1
230,6
231,26
238,77
239,1
242,3
246,3
250,3
251,3
255,3
257,3
259,3
267,3
271,3
272,3
277,3
278,3
280,38
288,38
296,38
297,5
298,5
299,38
301,35
303,47
308,52
312,5
315,38
316,38
319,38
321,20
322,20
323,59
326,16
334,16
335,59
336,59
338,24
352,59
353,16
354,59
356,16
363,43
367,59
370,12
371,43
373,33
374,12
377,50
389,43
396,66
419,27
421,40
429,18
430,27
434,27
435,27
437,27
441,11
443,11
445,11
451,11
453,11
454,11
456,11
457,11
460,11
463,11
468,11
472,11
477,11
478,11
482,45
483,45
485,45
487,45
492,45
500,45
503,45
504,45
509,45
517,45
520,66
525,66
526,13
527,14
528,66
531,66
532,66
535,66
539,66
542,66
547,66
548,66
550,66
556,66
557,66
561,53
563,53
564,53
568,53
570,53
575,53
576,53
579,53
582,76
586,53
587,53
589,53
590,53
594,53
595,53
603,2
606,2
608,2
611,2
612,2
614,2
623,2
635,2
636,2
649,24
653,58
657,16
659,24
661,24
663,24
667,12
672,12
673,24
674,12
675,24
677,51
681,12
685,12
695,21
700,12
703,12
707,12
710,12
711,12
712,13
714,60
721,21
724,4
738,4
739,7
741,7
743,64
745,58
748,4
766,47
772,47
778,47
784,47
786,47
794,47
795,47
797,47
798,47
802,10
803,10
810,10
811,10
817,22
820,10
821,10
825,10
855,10
857,7
869,76
872,10
875,10
880,22
887,22
890,10
891,20
892,10
893,16
896,10
909,3
911,22
912,22
916,10
917,22
918,10
919,22
922,10
923,10
926,10
934,10
935,10
940,10
943,10
947,10
955,10
956,10
961,77
963,77
969,77
970,77
973,77
975,77
976,77
978,77
985,77
988,77
992,77
993,77
995,77
997,77
1000,35
1003,35
1005,35
1011,35
1012,35
1013,35
1016,35
1019,35
1023,35
1035,16
1036,0
1039,0
1044,0
1045,0
1046,0
1047,0
1049,0
1054,0
1062,0
1069,0
1071,0
1074,63
1076,63
1077,63
1079,63
1085,63
1091,63
1092,63
1094,63
1097,63
1101,61
1102,18
1105,63
1109,63
1114,61
1121,61
1126,61
1127,61
1129,61
1141,28
1149,61
1152,61
1153,63
1155,73
1162,18
1169,14
1176,40
1185,18
1187,40
1188,18
1191,18
1192,18
1202,33
1204,33
1207,33
1208,33
1212,11
1213,33
1217,33
1225,33
1235,50
1236,50
1239,50
1245,50
