doc_idx,category
1,22
2,22
4,22
5,22
10,22
14,22
15,22
17,22
22,22
23,22
30,22
33,22
36,22
39,22
45,43
49,43
50,43
57,50
64,43
66,39
70,57
71,31
88,47
92,47
104,57
117,47
118,47
124,42
134,43
138,50
142,40
148,42
156,45
159,55
169,72
170,72
177,72
179,74
182,67
185,72
188,72
189,72
191,72
192,72
195,72
196,9
202,27
211,15
214,23
217,76
218,23
219,23
224,23
226,15
227,23
234,23
248,13
252,13
253,13
263,13
276,13
289,90
290,90
295,34
296,59
298,88
299,59
302,88
304,59
305,88
306,87
308,55
311,34
316,59
322,71
326,9
330,71
333,8
338,71
346,13
351,9
352,9
361,18
378,15
380,66
383,18
385,18
398,18
399,18
402,47
405,47
408,43
410,47
418,47
422,47
427,47
436,22
443,4
452,2
453,4
457,4
461,3
463,3
465,2
467,1
472,3
473,3
480,77
481,77
482,77
483,77
485,77
489,77
491,77
493,77
496,77
499,77
501,77
502,77
514,77
517,77
519,77
520,19
526,19
527,43
528,43
533,43
534,19
538,43
541,43
543,19
545,43
546,43
548,19
553,19
558,43
559,43
562,2
565,2
566,2
567,2
569,2
570,2
572,2
575,2
576,2
581,5
582,74
587,2
598,2
599,2
615,39
616,39
621,39
628,39
634,39
635,39
638,39
641,26
643,77
648,26
654,34
661,26
663,26
668,34
670,26
674,26
678,34
683,26
685,54
686,35
688,35
692,35
701,35
706,35
710,35
712,35
713,35
716,35
719,35
720,29
725,23
728,63
764,60
768,12
775,55
776,43
793,40
794,55
796,12
817,12
825,10
826,10
836,10
840,11
841,12
861,12
866,12
867,43
868,12
871,12
879,12
880,8
882,12
883,12
891,8
895,12
898,9
899,12
900,12
905,12
910,8
918,10
924,11
935,11
936,12
938,11
940,10
944,11
951,9
953,11
955,63
958,11
961,32
962,32
965,32
971,32
977,32
979,32
981,32
982,32
989,32
991,32
999,32
1002,81
1009,82
1013,82
1014,82
1015,82
1032,82
1037,8
1043,8
1044,9
1051,9
1059,8
1065,8
1068,9
1069,9
1070,9
1073,9
1077,39
1078,48
1087,48
1093,48
1094,58
1098,48
1100,43
1101,50
1108,48
1109,48
1110,48
1114,39
1116,83
1119,50
1122,40
1127,44
1129,58
1137,67
1139,44
1148,44
1150,47
1157,56
1160,38
1161,57
1170,56
1185,47
1196,4
1197,4
1220,4
1223,6
1225,4
