doc_idx,category
0,26
6,34
12,26
14,26
18,26
19,26
31,26
35,26
36,19
38,26
50,22
53,43
59,52
60,22
62,43
64,43
67,43
70,38
71,31
73,19
74,43
76,52
82,47
87,47
90,41
91,47
93,47
95,41
97,47
101,47
107,48
113,47
120,46
122,42
128,45
131,40
133,0
134,42
138,46
140,51
150,46
153,46
155,42
161,72
167,72
172,72
174,72
176,72
184,72
185,72
187,72
188,72
190,72
193,72
195,72
201,23
202,27
210,23
211,15
221,90
225,23
227,23
238,14
243,13
244,13
248,13
250,13
254,13
255,13
257,13
262,13
264,13
266,13
267,8
269,13
271,13
273,13
274,13
277,13
284,59
285,59
287,59
292,59
294,59
297,59
299,59
300,59
308,59
310,59
314,59
316,59
318,59
320,71
322,71
323,71
325,71
326,9
327,9
328,9
329,9
331,71
343,9
345,9
347,70
364,18
373,4
374,18
379,18
385,18
388,18
390,18
392,18
393,18
394,18
398,18
399,18
400,38
402,46
405,47
406,38
409,0
410,0
412,0
415,0
416,0
417,0
420,0
425,0
426,0
442,3
443,4
449,3
455,3
457,4
458,3
462,3
468,4
469,3
472,3
477,3
481,77
485,0
487,77
489,77
493,77
510,77
512,77
518,77
531,19
534,19
536,19
540,43
544,19
547,19
554,19
557,19
567,2
569,2
570,2
575,2
596,2
600,39
601,39
602,39
606,39
615,39
621,39
622,39
625,39
626,39
631,38
640,90
643,77
645,26
649,26
657,9
659,34
660,34
661,34
662,34
664,27
678,29
679,26
680,26
685,54
687,35
692,35
697,54
699,35
709,35
710,35
711,35
716,35
719,35
720,29
723,87
725,23
726,33
730,63
732,35
741,63
745,87
747,78
758,76
765,55
766,55
767,81
768,55
771,55
774,60
775,55
778,55
781,81
784,55
788,55
792,55
800,10
804,10
808,10
809,10
813,10
814,10
816,10
817,8
819,10
825,10
828,10
831,10
834,10
836,10
839,10
844,10
846,62
849,11
851,67
854,9
857,63
865,12
868,12
869,87
883,10
885,9
887,13
888,9
889,8
891,8
896,13
903,8
912,9
913,12
915,9
918,10
924,11
926,11
927,11
931,12
934,11
942,9
944,11
945,11
947,11
949,11
951,11
952,11
956,12
960,32
970,32
978,32
981,32
989,32
997,32
998,32
1000,80
1002,80
1003,80
1012,81
1013,81
1016,81
1019,81
1020,81
1021,82
1023,82
1025,82
1026,82
1032,82
1035,8
1038,8
1043,8
1044,9
1049,8
1050,8
1051,8
1052,8
1054,9
1057,8
1058,8
1064,8
1066,8
1067,9
1070,9
1071,13
1073,71
1075,39
1080,47
1082,48
1083,48
1087,48
1102,47
1104,48
1105,41
1108,48
1109,48
1112,48
1115,44
1118,44
1148,44
1151,44
1157,56
1162,47
1167,57
1171,57
1172,57
1174,57
1177,57
1178,57
1179,57
1180,57
1185,57
1190,57
1194,4
1197,4
1198,4
1199,4
1202,4
1204,4
1205,4
1207,4
1212,3
1218,4
1228,4
1229,4
1232,4
1233,4
1235,28
1239,28
1249,28
1253,28
1258,24
1260,24
1264,26
1272,28
1276,40
1280,65
1283,40
1286,45
1288,40
1289,40
1301,67
1304,40
1307,40
1316,41
1321,41
1322,50
1324,48
1328,41
1342,41
1347,58
1351,41
1352,47
1355,1
1359,4
1367,1
1371,1
1393,3
1395,33
1398,21
1399,16
1400,15
1401,16
1403,16
1404,0
1411,15
1414,0
1422,0
1427,0
1428,0
1431,0
1432,0
1439,78
1448,60
1451,78
1455,78
1461,78
1465,78
1466,78
1467,78
1472,78
1474,9
1475,9
1479,9
1484,9
1488,9
1490,9
1493,8
1498,9
1502,9
1506,9
1516,23
1519,0
1520,17
1522,23
1529,0
1531,19
1533,15
1534,0
1535,0
1540,0
1542,0
1543,23
1545,0
1552,0
1557,61
1560,61
1561,61
1567,61
1568,61
1569,9
1571,61
1572,61
1581,61
1582,61
1585,61
1588,61
1590,71
1594,71
1596,71
1600,71
1603,71
1607,71
1608,71
1610,71
1614,71
1618,71
1621,64
1626,71
1629,33
1630,33
1631,33
1633,33
1637,33
1638,33
1642,33
1647,33
1648,33
1649,33
