doc_idx,category
1,1
2,1
4,1
5,1
6,1
8,1
9,1
13,1
14,1
16,1
17,1
18,1
19,1
22,1
27,1
29,2
30,3
31,3
34,2
35,3
37,18
39,2
40,18
42,18
45,18
47,18
48,18
52,18
53,2
55,18
56,11
58,11
61,11
65,11
66,11
68,11
71,11
75,11
76,11
77,11
80,11
82,11
85,11
89,11
92,11
96,11
107,6
108,12
113,12
114,12
118,12
122,12
124,13
132,7
133,7
135,7
140,7
141,7
142,7
144,7
145,4
148,7
152,7
154,7
155,4
156,11
157,11
159,11
161,11
170,11
171,11
175,11
177,11
178,11
182,1
184,0
186,1
187,0
190,0
191,0
192,1
196,1
198,1
200,1
202,1
204,1
206,1
210,7
211,7
214,7
215,7
217,7
218,7
219,7
220,7
223,7
224,7
227,7
229,7
231,7
233,4
240,2
241,4
247,4
249,1
251,1
253,4
254,4
258,4
259,4
260,4
262,2
264,11
265,11
268,11
270,11
271,3
272,11
276,11
278,11
279,11
289,5
294,5
295,5
298,5
299,5
302,5
303,5
308,5
309,5
310,5
312,0
315,0
319,0
326,0
333,16
342,16
347,16
351,16
353,16
354,16
360,16
361,3
362,3
364,3
367,3
372,3
376,3
378,3
379,3
381,3
384,3
385,3
386,3
390,12
393,12
399,12
402,12
405,12
408,12
411,8
412,12
414,12
420,7
422,7
425,7
427,7
431,7
432,7
434,7
435,7
436,7
438,7
440,13
442,13
443,13
446,13
452,13
453,13
456,13
457,8
458,0
459,8
461,8
465,8
467,8
473,7
475,7
478,7
479,7
481,7
482,7
483,7
485,7
487,7
489,7
491,7
494,7
501,4
503,4
506,4
511,4
512,4
513,4
516,4
517,4
518,4
519,4
520,4
521,4
522,4
524,4
526,4
527,4
529,12
530,12
532,12
535,12
536,12
538,12
539,12
542,12
546,12
548,12
549,12
552,12
553,12
554,12
557,8
558,8
563,8
564,8
565,8
567,8
568,8
570,8
572,8
574,8
575,8
576,8
578,8
579,8
580,8
581,8
582,8
587,7
593,7
596,7
597,7
602,7
609,1
610,1
615,1
616,1
618,1
619,1
620,1
621,1
629,1
632,1
634,3
638,3
641,3
642,3
648,3
649,3
651,3
652,3
654,3
655,3
658,7
665,7
666,7
667,7
668,7
670,7
672,7
674,7
676,7
677,7
679,7
682,7
686,7
687,7
688,7
689,7
692,7
704,7
706,7
708,7
711,7
712,6
713,6
716,6
721,6
723,6
724,6
726,6
731,6
733,6
737,14
740,14
743,14
744,14
745,14
746,14
748,14
757,14
758,14
759,14
760,14
762,9
764,9
768,9
769,9
773,9
775,9
776,9
781,9
789,9
792,9
793,9
794,9
795,17
796,9
799,9
801,9
805,9
810,9
811,17
813,9
814,16
817,16
823,16
825,16
828,16
829,16
831,16
838,1
839,1
841,1
842,1
847,1
862,8
866,7
871,7
875,7
878,7
880,3
881,3
883,3
884,3
891,3
892,3
893,3
895,3
898,3
905,6
906,6
911,6
913,6
916,6
918,6
921,6
924,6
927,6
930,6
933,3
935,3
936,3
937,3
938,0
940,3
942,0
943,0
944,3
946,3
948,0
953,3
955,0
957,3
958,3
961,3
962,3
963,3
966,6
971,15
977,6
979,6
980,6
982,6
983,6
984,6
986,15
987,6
988,6
989,6
994,17
995,16
999,16
1000,17
1002,16
1003,16
1005,16
1010,17
1013,16
1014,16
1015,17
1017,17
1025,4
1029,4
1032,4
1034,4
1036,4
1038,4
1039,4
1042,4
1044,8
1045,8
1049,8
1050,8
1051,8
1052,8
1055,8
1056,8
1057,8
1058,8
1064,1
1069,8
1076,17
1078,17
1079,17
1083,17
1084,17
1087,17
1089,17
1091,17
1097,13
1101,13
1103,0
1108,13
1109,13
1110,13
1114,13
1115,13
1121,13
1122,13
1123,13
1124,13
1125,8
1127,8
1128,8
1132,8
1135,8
1136,8
1137,4
1145,8
1146,4
1147,4
1148,4
1150,13
1158,13
1161,13
1164,13
1165,13
1166,13
1168,13
1169,13
1175,13
1178,4
1180,4
1183,4
1184,4
1187,4
1189,4
1190,4
1191,4
1192,4
1196,4
1199,4
1205,8
1210,8
1211,8
1212,8
1217,8
1218,8
1222,8
1224,10
1226,10
1228,10
1237,10
1238,10
1239,10
1240,10
1245,10
1246,10
1255,1
1256,1
1257,1
1258,1
1259,4
1260,4
1263,4
1264,4
1265,4
1266,4
1271,4
1273,4
1274,4
1275,1
1276,4
1277,4
1279,4
1280,4
1281,4
1282,4
1285,13
1287,13
1290,13
1294,13
1301,13
1302,13
1303,13
1309,0
1310,0
1311,0
1317,0
1318,0
1319,0
1320,0
1321,0
1323,0
1326,0
1327,0
1328,0
1330,8
1335,8
1336,8
1341,8
1342,8
1343,8
1344,8
1349,8
1353,8
1354,8
1356,13
1359,13
1360,13
1362,13
1363,4
1367,13
1369,13
1370,13
1372,13
1376,13
1379,16
1380,16
1385,16
1387,16
1388,16
1390,16
