doc_idx,category
0,1
1,1
4,1
6,1
9,1
10,1
13,1
18,1
19,1
21,1
22,1
23,1
25,1
28,2
29,2
31,2
32,2
34,2
35,2
36,2
39,2
43,2
45,2
46,2
50,2
51,2
52,2
53,2
55,2
58,22
59,22
60,22
61,22
65,22
67,22
69,22
70,22
74,22
77,22
82,22
86,22
87,22
88,22
90,22
91,22
93,22
94,22
95,16
99,22
106,16
108,16
112,16
113,16
114,16
115,16
116,16
118,16
120,16
122,16
123,16
124,17
128,6
129,6
131,6
132,6
133,6
134,6
137,6
139,6
140,6
141,6
144,6
146,6
147,6
148,6
149,6
150,6
152,6
156,23
157,23
158,23
159,23
160,23
161,23
163,23
166,23
167,23
168,23
169,23
170,23
171,23
172,23
173,23
178,23
181,1
182,1
183,1
184,1
185,1
187,1
188,1
189,1
191,1
192,1
194,1
196,1
198,1
199,1
200,1
201,1
202,1
208,1
209,19
211,20
212,20
213,20
215,20
217,20
219,19
220,20
222,20
224,20
225,20
227,20
228,20
229,20
232,19
234,4
236,4
238,4
239,4
240,4
241,4
242,4
243,4
244,4
247,4
248,4
249,4
250,4
251,4
253,4
262,4
265,22
266,22
267,22
269,22
270,22
271,22
272,22
273,22
274,22
275,22
277,22
278,22
281,22
284,5
285,5
286,5
288,5
289,5
291,5
292,5
295,5
297,5
298,5
299,5
300,5
301,5
303,5
304,5
305,5
306,5
308,5
310,5
311,5
312,13
314,13
316,13
318,13
319,13
320,13
322,13
323,13
326,13
327,13
328,13
330,13
337,7
338,7
342,7
343,7
345,7
347,7
348,7
349,7
350,7
354,7
355,7
361,3
363,1
365,4
366,4
367,4
374,4
375,4
376,4
377,4
379,4
382,4
384,3
385,4
386,3
388,15
389,15
390,21
391,13
392,20
393,21
394,21
396,15
398,15
399,15
400,15
402,15
403,15
405,15
406,13
407,15
408,15
409,21
410,13
412,21
414,15
415,13
416,19
417,19
418,19
419,19
420,19
422,19
426,19
430,19
433,19
434,19
435,19
440,17
441,17
442,17
444,17
445,17
447,17
449,17
450,17
451,17
452,17
455,17
457,17
458,17
459,17
460,17
461,17
462,17
464,17
466,17
468,17
470,19
474,19
476,19
480,19
481,19
483,19
485,19
487,19
488,19
489,19
490,19
491,19
493,19
496,6
497,6
498,6
499,6
504,6
506,6
508,6
509,6
510,6
514,6
515,6
517,6
518,6
520,6
522,6
526,6
529,16
530,16
531,16
532,16
533,16
536,15
537,16
538,15
540,15
541,15
542,15
543,15
544,15
546,15
547,15
548,15
549,15
554,15
556,15
557,14
558,14
559,14
562,14
563,14
564,14
565,14
567,14
568,14
569,14
570,14
571,14
573,14
574,14
575,14
577,14
579,14
580,14
582,14
583,14
586,20
589,20
591,20
592,20
595,20
596,20
600,3
601,20
604,20
611,3
612,3
615,3
619,3
621,3
628,3
629,3
631,3
633,3
634,3
635,3
636,3
638,3
639,3
640,3
641,3
643,3
646,3
647,3
649,3
651,3
652,3
653,3
654,3
656,3
658,19
659,19
661,19
663,19
664,19
665,19
667,19
668,19
669,19
681,19
682,19
690,19
692,19
693,19
695,19
697,19
699,19
700,19
703,19
705,19
706,19
709,19
710,19
711,19
712,16
715,16
717,16
718,16
719,16
723,16
726,16
736,16
737,11
741,11
745,11
746,11
747,11
750,11
756,11
758,11
760,11
766,10
767,10
768,10
769,10
770,10
771,10
773,10
774,10
778,10
780,10
781,10
782,10
783,10
784,10
786,10
789,10
792,10
795,12
797,10
800,10
802,10
805,10
806,10
809,10
813,10
814,7
815,7
816,7
817,7
819,7
821,7
822,7
825,7
828,7
830,7
831,7
832,7
835,7
837,3
838,1
839,1
842,1
843,1
847,1
848,1
849,1
850,1
852,1
854,1
855,20
856,20
857,19
858,20
859,20
865,20
867,19
869,20
873,20
876,19
882,3
883,3
884,3
886,3
887,3
888,3
890,3
891,3
892,3
893,3
894,3
896,3
899,3
900,3
902,3
903,3
905,5
911,5
912,5
913,5
916,5
917,5
918,5
919,5
920,5
924,5
926,5
927,5
928,5
931,5
932,3
934,3
936,0
937,0
938,0
943,0
944,0
947,0
948,0
949,0
951,0
953,0
954,0
955,0
956,0
957,0
960,0
961,0
965,16
966,16
968,16
970,16
971,16
976,16
977,16
979,16
980,16
981,16
984,16
986,16
989,16
991,12
992,12
993,12
994,12
996,12
997,12
998,12
1001,12
1003,12
1006,12
1008,12
1009,7
1019,6
1021,6
1023,6
1025,6
1026,6
1027,6
1031,6
1032,6
1034,6
1035,6
1036,6
1037,6
1038,6
1040,6
1042,6
1043,14
1047,14
1048,14
1049,14
1050,14
1051,14
1053,14
1054,14
1055,14
1057,14
1059,14
1061,14
1062,14
1064,14
1065,14
1067,14
1070,12
1071,12
1072,12
1075,12
1076,12
1078,12
1079,12
1080,12
1081,5
1082,5
1083,5
1084,5
1087,5
1088,5
1091,5
1092,5
1095,5
1098,24
1102,24
1103,24
1104,24
1112,24
1114,17
1115,24
1116,24
1118,24
1123,24
1124,17
1126,4
1127,14
1129,4
1134,14
1139,14
1141,14
1143,14
1146,4
1147,4
1148,4
1150,24
1153,24
1154,24
1155,24
1157,24
1158,24
1160,24
1161,24
1163,24
1164,24
1168,24
1169,24
1170,24
1172,24
1174,24
1175,24
1176,24
1178,4
1179,4
1183,4
1186,4
1187,4
1188,4
1190,4
1191,4
1192,4
1194,4
1196,4
1197,4
1198,4
1199,4
1201,4
1202,4
1203,14
1204,14
1205,14
1206,14
1207,14
1208,14
1209,14
1211,14
1217,14
1218,14
1228,9
1229,9
1230,9
1231,9
1232,9
1233,9
1234,9
1235,9
1236,9
1239,9
1243,9
1245,9
1249,9
1250,9
1253,9
1254,9
1258,6
1261,6
1262,6
1263,6
1264,6
1265,6
1268,6
1269,6
1272,6
1276,6
1277,6
1279,6
1285,16
1286,16
1287,16
1289,16
1290,16
1293,16
1296,16
1298,16
1299,16
1303,16
1304,16
1306,16
1307,16
1308,18
1310,18
1314,18
1315,18
1316,18
1324,18
1325,18
1326,18
1328,18
1329,14
1330,14
1331,14
1333,14
1334,14
1337,14
1342,14
1343,14
1353,14
1354,14
1355,14
1356,17
1357,17
1358,17
1359,17
1360,17
1362,24
1364,14
1367,17
1370,17
1376,17
1377,17
1378,7
1380,7
1383,7
1385,7
1386,7
1389,7
1390,7
1391,7
1393,7
1395,7
1397,7
1399,7
1400,7
1402,14
1403,14
1406,14
1414,14
1415,14
1417,14
1418,14
1420,14
1422,14
1430,15
1431,15
1432,15
1435,15
1437,15
1438,15
1439,15
1440,15
1444,15
1447,15
