doc_idx,category
1,7
3,7
4,7
5,7
10,7
12,7
14,7
15,7
19,7
21,7
22,7
24,7
30,10
31,10
33,10
34,10
35,10
36,10
39,6
45,10
49,6
56,14
57,14
60,14
64,14
65,14
66,14
71,14
74,14
85,14
86,14
88,14
92,14
93,14
100,14
104,15
112,15
114,15
117,15
118,15
124,22
129,4
130,4
134,4
139,4
140,4
142,4
146,4
148,4
152,4
154,4
155,4
156,14
159,14
166,14
167,14
169,14
170,14
177,14
180,7
181,7
182,7
183,7
184,7
185,7
186,7
188,7
189,7
191,7
192,7
193,7
195,7
196,7
199,7
202,7
205,7
207,7
208,7
209,21
213,21
214,21
216,21
218,21
219,21
222,21
224,21
226,21
227,21
229,21
234,9
237,9
243,9
246,9
247,9
248,9
252,9
253,9
257,9
258,9
263,14
266,14
270,14
276,14
287,11
290,11
291,11
295,11
296,11
298,11
299,11
302,11
304,11
306,11
307,11
308,11
309,11
310,11
311,11
316,2
317,2
319,2
321,2
324,2
325,2
326,2
329,2
333,19
334,19
337,6
342,19
343,19
346,4
347,19
348,19
351,19
352,19
358,19
361,13
365,13
368,13
369,13
374,13
378,13
380,13
381,13
382,13
383,13
388,15
389,15
398,15
399,15
400,15
402,15
408,15
409,15
410,15
412,15
416,21
417,21
418,21
421,21
424,21
429,21
434,21
435,21
436,21
441,22
443,22
447,22
450,22
451,22
452,22
453,22
457,22
460,22
462,22
463,22
465,22
467,22
470,21
472,21
473,21
479,21
480,21
481,21
482,21
484,21
485,21
489,21
491,21
495,21
496,4
499,4
500,4
501,4
502,4
509,4
514,4
517,4
519,4
520,4
521,4
523,4
526,4
527,4
528,15
530,15
531,15
532,15
533,15
534,15
536,15
537,15
538,15
539,15
541,15
542,15
543,15
545,15
546,15
552,15
553,15
554,15
556,15
558,23
560,23
562,23
565,23
566,23
567,23
569,23
572,23
575,23
578,23
581,23
582,23
583,23
586,12
587,14
591,12
593,12
596,21
598,12
599,12
604,21
605,21
606,21
607,24
608,24
612,24
613,24
614,24
615,24
616,24
617,24
621,24
622,24
624,7
630,24
634,12
635,12
638,12
639,12
642,12
643,12
644,12
648,12
654,12
656,12
658,21
659,21
660,21
661,21
663,21
664,21
666,21
668,21
673,21
675,21
682,21
685,21
686,21
688,21
690,21
698,21
699,21
704,21
705,21
706,21
707,21
709,21
712,16
713,16
716,16
718,16
720,16
721,16
724,16
727,16
729,16
734,16
735,16
736,16
737,18
738,18
742,18
744,18
747,18
748,18
749,18
751,18
753,18
756,18
758,18
759,18
761,18
763,17
768,17
769,17
770,17
773,17
775,17
776,17
779,17
780,17
782,17
788,17
790,17
792,17
794,17
796,17
798,17
799,17
801,17
804,17
809,17
810,17
811,17
817,19
818,19
821,19
823,19
824,19
825,19
828,19
834,19
835,19
836,12
840,12
841,12
842,12
843,12
844,12
848,12
853,12
854,12
858,23
866,21
867,21
868,21
870,21
871,21
872,21
873,21
875,21
877,21
881,24
882,24
883,24
885,24
890,24
891,24
892,24
895,24
896,24
898,24
899,24
900,24
901,24
905,16
907,16
910,16
911,16
914,16
915,16
920,16
924,16
927,16
928,16
935,12
939,12
940,12
944,12
946,12
950,12
951,12
952,12
955,12
958,12
959,12
960,0
961,12
962,12
965,16
971,16
973,16
977,16
978,16
979,16
981,16
982,16
983,16
986,16
987,16
989,16
991,19
994,19
1002,19
1006,19
1009,19
1015,3
1020,9
1021,4
1022,9
1023,9
1031,4
1032,9
1034,9
1037,9
1039,9
1040,9
1042,4
1043,23
1044,23
1046,23
1047,23
1050,23
1051,23
1052,23
1057,23
1066,0
1068,23
1069,23
1070,3
1071,3
1072,3
1073,3
1076,3
1077,3
1082,3
1084,3
1087,3
1092,3
1093,3
1095,3
1096,3
1098,20
1102,20
1104,20
1107,20
1109,20
1111,20
1113,22
1114,22
1115,20
1116,20
1118,20
1119,20
1121,20
1122,20
1123,20
1126,9
1127,23
1128,23
1129,9
1130,23
1132,23
1134,23
1135,23
1141,23
1143,23
1144,9
1145,23
1150,20
1152,20
1157,20
1160,20
1161,20
1162,20
1163,20
1166,20
1172,20
1174,20
1175,20
1180,9
1189,9
1192,9
1193,9
1201,9
1203,23
1204,23
1206,23
1207,23
1209,23
1214,23
1216,23
1220,23
1221,23
1225,1
1226,1
1232,1
1233,1
1234,1
1236,1
1237,1
1239,1
1242,1
1243,1
1246,1
1247,1
1251,1
1256,4
1258,4
1259,4
1262,4
1265,4
1268,4
1271,4
1273,4
1274,4
1275,4
1277,4
1281,4
1282,4
1283,4
1284,16
1285,16
1287,16
1288,16
1290,16
1295,16
1300,16
1304,16
1308,17
1309,17
1310,17
1311,17
1312,17
1313,17
1314,17
1317,17
1318,17
1319,17
1324,17
1325,17
1331,23
1332,23
1335,23
1336,23
1337,23
1342,23
1343,23
1344,23
1345,23
1347,23
1353,23
1356,22
1357,22
1358,22
1359,22
1362,20
1363,9
1364,9
1365,9
1367,22
1368,23
1370,22
1371,9
1373,22
1377,22
1378,19
1381,19
1382,19
1384,19
1385,19
1387,19
1388,19
1389,19
1390,19
1391,19
1392,19
1393,19
1402,23
1406,23
1407,23
1408,23
1409,23
1410,23
1415,23
1417,23
1420,23
1422,23
1425,23
1431,15
1433,15
1434,14
1437,15
1440,15
1442,15
1457,23
1459,23
1464,23
1465,23
1466,23
1467,23
1471,23
1472,23
1479,14
1480,23
1484,23
1486,23
1487,23
1489,23
1490,23
1493,23
1499,23
1507,0
1509,21
1510,21
1516,21
1518,21
1519,23
1522,21
1523,21
1524,21
1525,21
1526,21
1530,21
1533,21
1535,21
1536,21
1540,21
1545,21
1546,21
1548,21
1550,21
1565,15
1566,7
1568,7
1570,7
1571,7
1575,7
1578,7
1580,21
1582,21
1584,21
1586,21
1588,21
1589,21
1593,21
1595,21
1597,21
1600,21
1608,7
1613,7
1615,15
1616,7
1617,7
1621,15
1625,7
1629,7
1630,24
1634,24
1639,24
1640,24
1643,24
1644,24
1651,24
1653,14
1661,14
1662,14
1664,14
1666,14
1667,14
1672,14
1678,24
1680,24
1682,24
1684,24
1687,24
1689,24
1694,24
1700,24
1703,21
1704,21
1705,21
1710,21
1712,21
1713,21
1716,21
1717,21
1719,21
1720,21
1723,21
1725,23
1728,23
1729,23
1731,23
1732,23
1733,23
1740,23
1741,23
