doc_idx,category
0,7
2,7
4,7
7,7
8,7
10,7
13,7
16,7
20,7
21,7
22,7
24,7
26,7
28,10
32,10
39,6
40,10
41,10
43,6
44,6
45,10
46,10
47,10
48,10
50,10
52,10
53,6
56,14
60,14
61,14
62,14
63,14
64,14
67,14
68,14
69,14
70,14
71,14
73,14
74,14
75,14
80,14
82,14
83,14
84,14
87,14
89,14
98,14
99,14
100,14
101,14
102,15
106,15
107,15
108,15
109,15
110,15
111,15
114,15
115,15
117,15
118,15
124,20
129,4
131,4
136,4
137,4
138,4
140,4
146,4
148,4
149,4
151,4
154,4
155,4
156,14
158,14
160,14
164,14
165,14
167,14
171,14
172,14
173,14
176,14
178,14
179,7
180,7
181,7
183,7
185,7
187,7
189,7
191,7
192,7
195,7
196,7
197,7
198,7
201,7
202,7
204,7
205,7
206,7
207,7
215,21
217,21
221,21
222,21
223,21
224,21
225,21
226,21
227,21
232,21
233,9
234,9
236,8
239,9
240,6
242,9
244,8
245,9
248,8
249,8
251,8
252,9
255,9
257,9
258,9
267,14
272,14
274,14
276,14
277,14
278,14
279,14
280,14
281,14
283,14
286,11
289,11
292,11
294,11
297,11
298,11
300,11
302,11
304,11
305,11
309,11
310,11
311,11
312,2
314,2
315,2
317,2
319,2
320,2
321,2
325,2
330,2
332,2
333,19
334,19
337,6
338,19
340,19
343,19
344,19
345,19
346,4
349,19
350,19
351,19
354,19
357,6
358,19
359,19
364,13
366,13
367,13
371,13
372,13
373,13
375,13
377,13
378,13
382,13
386,12
387,0
388,15
389,15
392,21
393,15
394,15
395,21
396,15
397,15
400,15
401,15
403,15
404,15
413,15
414,15
415,23
416,21
419,21
423,21
424,21
425,21
426,21
429,21
431,21
433,21
434,21
435,21
437,21
438,21
439,21
442,22
443,22
445,22
446,22
450,22
451,22
452,22
453,22
454,22
455,22
457,22
459,22
461,22
462,22
463,22
465,22
466,22
468,22
470,21
471,21
474,21
475,21
477,21
478,21
479,21
480,21
481,21
483,21
489,21
490,21
492,21
493,21
494,21
501,4
502,4
504,4
506,4
507,4
509,4
510,4
512,4
514,4
517,4
518,4
519,4
520,4
521,4
522,4
528,15
529,15
530,15
532,15
533,15
534,15
538,15
540,15
541,15
542,15
543,15
544,15
546,15
547,15
548,15
551,15
552,15
556,15
559,23
560,23
562,23
564,23
565,23
571,23
574,23
576,23
577,23
580,23
581,23
583,23
586,12
588,14
589,12
597,14
599,12
600,12
601,12
603,14
605,12
607,24
608,24
609,24
611,24
613,24
614,24
616,24
618,24
619,24
620,24
622,24
625,24
627,24
628,24
631,24
633,12
639,12
645,12
647,12
648,12
649,12
650,12
653,12
654,12
659,21
660,21
663,21
668,21
670,21
671,21
672,21
673,21
676,21
677,21
678,21
687,21
689,0
690,0
693,0
696,0
698,0
699,0
700,0
701,0
704,0
705,0
711,0
713,16
715,16
716,16
718,16
719,16
724,16
725,16
726,6
727,16
729,16
731,16
734,16
735,16
736,16
737,18
738,18
740,18
741,18
746,18
747,18
748,18
750,18
752,18
756,18
758,18
759,18
760,18
762,17
764,17
768,17
770,17
771,17
772,17
774,17
777,17
781,17
782,17
783,17
785,17
786,17
790,17
792,17
794,3
795,3
798,3
799,17
800,17
802,17
803,17
804,17
806,17
807,17
808,17
809,17
812,17
814,19
817,19
820,19
824,19
825,19
826,19
827,19
828,19
831,19
832,19
833,19
835,19
841,12
843,12
846,12
847,12
848,12
849,12
850,12
854,12
855,21
857,21
858,21
859,21
860,21
862,21
863,21
866,21
867,21
868,21
869,21
870,21
871,21
873,21
874,23
875,21
878,21
880,24
881,24
882,24
883,24
884,24
887,24
888,24
889,24
891,24
893,24
896,24
897,24
898,24
900,24
901,24
907,16
908,16
909,16
910,16
911,16
912,16
913,16
915,16
916,16
917,6
921,16
922,6
923,16
925,16
926,16
927,16
928,16
930,16
931,6
932,12
936,12
941,12
942,12
946,12
947,12
948,12
949,12
952,12
954,12
955,12
956,12
958,12
960,12
961,12
962,12
963,12
964,16
966,16
967,16
971,16
972,16
973,16
981,16
983,16
986,16
987,16
988,16
990,16
992,3
996,3
997,3
998,3
1000,3
1001,3
1003,3
1008,3
1009,3
1010,3
1014,3
1015,3
1017,3
1018,4
1021,4
1022,9
1023,9
1025,9
1026,9
1027,9
1032,9
1033,9
1034,9
1036,4
1037,9
1038,9
1039,9
1041,9
1043,23
1044,23
1045,23
1047,23
1049,23
1051,23
1052,23
1053,23
1054,23
1056,23
1057,23
1062,23
1063,23
1067,23
1068,23
1071,3
1077,3
1082,3
1086,3
1087,3
1089,3
1090,3
1091,3
1095,3
