doc_idx,category
1,4
4,11
5,5
6,9
9,7
10,7
11,6
14,1
15,7
17,2
18,7
19,6
23,1
27,12
30,12
31,7
34,1
37,7
39,1
40,4
41,0
47,2
48,2
52,2
53,10
54,4
55,11
57,11
58,8
61,7
64,7
66,1
70,6
73,1
76,2
77,5
80,12
82,7
85,4
89,12
92,2
98,9
107,1
113,6
117,1
118,4
121,7
122,4
124,6
132,6
133,1
135,3
139,1
140,7
141,6
144,8
145,1
148,1
149,2
152,14
156,1
157,6
159,7
161,1
162,6
171,7
175,7
177,2
182,7
185,4
187,6
190,7
191,7
194,1
195,6
200,12
202,11
204,7
206,1
214,7
215,7
217,12
219,7
220,0
223,2
227,2
229,4
233,11
240,2
245,7
249,12
251,12
252,8
253,9
254,7
259,7
260,2
262,7
264,15
267,7
268,0
270,6
271,2
272,1
276,6
278,8
279,12
283,2
286,1
287,4
289,13
294,7
296,2
298,9
299,4
300,7
302,11
303,4
309,2
310,1
311,6
314,6
317,6
318,1
320,7
322,11
326,2
330,2
333,1
335,7
342,7
347,7
351,6
353,13
359,6
360,7
361,6
376,2
379,7
383,1
384,2
385,7
386,7
390,2
391,2
393,12
399,7
402,1
405,4
408,9
412,7
416,2
418,1
422,12
425,14
427,11
434,7
436,2
438,2
440,1
443,7
446,7
452,1
453,12
457,7
458,7
459,3
461,6
465,4
474,4
475,1
477,7
478,7
479,8
481,8
485,1
486,2
487,2
488,8
489,2
491,12
501,7
503,7
505,6
506,6
511,4
512,6
516,7
517,6
518,4
519,1
521,1
522,9
526,7
527,6
529,7
530,1
532,12
536,2
538,6
543,12
546,10
547,9
551,1
553,7
557,4
558,4
562,7
563,0
564,4
565,3
568,4
569,6
570,4
572,12
575,8
578,6
579,1
582,4
583,7
587,4
590,4
596,1
597,13
602,7
609,9
610,1
615,6
616,7
619,11
621,3
629,7
633,12
634,4
638,2
641,7
646,2
648,7
651,1
654,6
657,6
658,7
661,2
666,14
667,7
670,2
672,2
674,7
676,4
682,1
684,12
686,7
687,5
688,2
689,1
692,7
701,10
703,0
704,9
708,6
711,0
712,7
713,1
716,8
717,7
720,1
721,2
722,7
723,12
724,2
726,2
728,12
731,2
733,6
735,6
740,2
743,6
745,6
746,4
748,11
757,7
758,1
760,4
762,7
768,4
776,7
781,6
785,7
789,2
792,4
793,1
794,4
799,1
805,2
806,1
810,4
811,7
812,11
813,7
817,2
818,1
820,10
823,6
825,7
828,6
831,1
838,11
841,1
847,2
850,7
861,2
866,7
868,2
878,1
880,6
883,3
891,7
892,0
893,1
895,7
896,7
897,1
898,1
899,12
900,9
906,6
909,12
910,6
913,1
916,7
917,1
918,7
921,7
924,2
927,7
930,4
933,11
935,6
936,2
937,4
938,11
942,6
944,6
949,6
958,6
963,6
964,9
965,1
966,7
971,2
974,2
977,4
978,2
979,7
980,4
981,6
982,12
983,12
985,4
986,7
988,1
989,7
992,7
994,7
995,6
997,6
1000,13
1001,2
1002,7
1003,6
1010,8
1015,6
1017,7
1018,1
1021,6
1023,5
1025,1
1026,2
1029,1
1032,6
1036,6
1038,7
1043,4
1045,11
1047,12
1049,5
1050,6
1051,5
1052,7
1068,2
1069,6
1073,1
1074,7
1078,2
1079,11
1081,1
1087,4
1093,7
1096,0
1097,2
1099,7
1101,4
1108,4
1110,4
1114,7
1116,7
1122,11
1123,6
1127,1
1129,3
1135,10
1137,6
1140,2
1145,1
1146,7
1147,4
1151,1
1161,4
1164,6
1165,6
1166,12
1170,12
1174,7
1175,4
1180,6
1183,2
1185,1
1187,6
1188,1
1189,7
1192,2
1193,7
1196,11
1197,13
1199,12
1200,14
1203,7
1205,11
1210,15
1211,6
1213,2
1218,4
1222,6
1227,7
1228,1
1235,2
1239,6
1240,6
1245,6
1248,4
1254,2
1255,6
1256,4
1259,1
1260,10
1261,7
1263,2
1264,6
1271,6
1273,11
1277,2
1280,7
1284,9
1285,6
1292,7
1293,0
1294,6
1295,14
1299,1
1301,7
1311,4
1315,2
1318,1
1319,8
1321,1
1322,6
1323,5
1326,7
1330,4
1334,2
1335,6
1339,5
1340,12
1341,7
1343,11
1344,6
1349,12
1354,2
1355,11
1359,12
1360,0
1362,7
1363,7
1364,7
1366,7
1367,6
1368,6
1373,10
1374,9
1376,2
1379,4
1380,2
1382,12
1385,1
1386,6
1388,1
1405,9
1408,3
1410,2
1412,7
1417,4
1419,2
1422,2
1423,2
1424,11
1432,1
1436,4
1437,12
1439,6
1442,11
1444,12
1449,8
1451,6
1453,7
1454,10
1456,7
1459,2
1462,1
1467,1
1471,2
1473,6
1474,2
1475,9
1476,12
1481,9
1482,7
1484,6
1487,2
1489,1
1490,7
1493,1
1494,2
1495,2
1502,2
1505,12
1510,4
1512,6
1513,6
1516,6
1519,11
1524,4
1527,13
1533,12
1538,1
1539,6
1544,10
1546,4
1547,12
1549,11
1559,1
1567,8
1568,0
1569,14
1570,2
1572,12
1577,7
1580,7
1581,7
1586,9
1591,6
1600,1
1601,0
1602,3
1604,1
1607,1
1608,6
1609,2
1612,7
1613,1
1614,6
1615,4
1620,11
1621,7
1622,6
1624,7
1625,7
1629,6
1632,6
1637,8
1638,4
1643,4
1649,13
1651,6
1652,2
1655,0
1656,12
1658,1
1659,4
1661,2
1662,4
1663,4
1666,1
1668,6
1673,7
1674,4
1675,1
1678,7
1680,6
1682,6
1685,1
1691,1
1692,7
1693,7
1697,7
1698,7
1702,2
1704,13
1710,0
1713,7
1714,15
1715,7
1717,1
1719,6
1721,7
1726,4
1727,1
1732,2
1733,1
1734,7
1736,7
1738,7
1741,7
1742,9
1748,4
1752,2
1754,1
1760,2
1761,2
1764,7
1767,9
1768,1
1770,2
1771,6
1772,2
1774,5
1776,1
1782,6
1784,2
1787,4
1789,0
1793,10
1799,4
1802,1
1804,1
1809,11
1811,4
1814,7
1815,6
1816,12
1818,9
1819,4
1820,7
1821,4
1825,2
