doc_idx,category
1,3
2,1
3,5
5,6
6,7
7,3
10,5
12,7
16,2
27,2
30,2
36,4
38,1
39,1
41,3
45,2
47,2
48,2
50,2
51,5
57,12
61,5
63,3
66,7
67,2
69,12
71,5
74,5
79,1
80,2
83,2
86,3
87,2
93,12
95,1
97,5
98,1
99,4
100,5
101,3
102,1
103,5
105,5
106,10
108,2
114,4
115,1
116,5
117,1
118,9
119,1
122,3
124,4
126,5
127,2
129,7
130,5
131,5
132,12
134,2
135,8
140,5
142,1
143,2
145,1
146,5
149,2
152,1
155,7
156,1
158,3
159,5
160,5
162,4
163,2
164,5
168,2
170,11
171,5
172,4
173,7
175,5
177,2
178,2
182,5
183,3
186,3
187,4
190,5
193,12
194,1
195,4
197,1
204,5
206,1
208,12
210,2
211,3
215,5
219,5
223,11
226,2
227,2
230,4
231,5
232,4
236,2
237,3
238,3
239,10
242,1
243,1
246,5
249,2
250,4
252,2
253,6
254,5
257,7
262,5
263,1
266,5
267,5
268,3
271,2
274,2
276,4
278,7
280,5
282,4
289,4
292,3
293,1
296,11
299,3
300,5
301,4
302,1
305,3
307,10
308,4
314,4
316,5
319,5
321,10
325,2
326,2
327,4
328,1
334,5
335,5
338,4
344,5
345,2
346,3
347,5
352,4
353,4
354,2
355,1
357,2
359,4
360,5
361,4
363,2
365,4
370,2
376,1
377,5
378,5
379,5
381,4
382,3
388,5
389,7
392,1
394,5
396,2
403,5
409,2
412,5
414,4
415,2
421,2
426,5
430,5
431,4
435,7
437,4
439,5
440,1
442,1
446,5
450,2
453,2
457,5
460,5
461,2
463,4
466,5
467,5
468,2
470,5
471,6
473,3
474,3
477,5
478,5
479,7
480,3
482,2
485,1
487,11
488,7
489,2
491,2
492,4
494,1
500,3
502,10
504,2
509,4
513,7
516,5
517,4
518,3
520,4
521,1
523,4
524,3
526,5
528,5
530,1
533,1
534,1
535,3
536,2
537,5
539,3
543,2
550,3
555,4
556,2
557,1
561,12
563,3
564,3
568,3
569,4
570,3
573,6
575,7
580,5
584,5
585,2
589,1
590,3
591,4
593,9
594,3
595,4
600,10
603,4
606,2
608,2
610,1
617,6
618,5
620,2
622,4
624,5
626,6
629,5
630,5
634,3
635,3
637,6
640,9
643,3
644,2
646,2
649,1
650,5
652,2
653,7
655,5
657,4
659,5
660,5
663,3
664,1
665,5
666,3
671,10
672,2
673,1
674,5
675,1
677,1
678,5
681,2
685,1
686,5
687,6
688,2
689,1
691,3
695,5
697,1
700,1
703,3
705,5
706,3
710,1
711,3
712,5
714,2
716,7
717,5
718,6
719,1
720,1
723,2
724,2
726,2
729,4
733,4
734,4
737,4
739,4
740,2
741,4
743,4
746,3
748,2
749,5
751,2
752,5
754,4
763,6
764,4
766,2
769,6
770,5
771,5
776,5
778,4
780,7
783,2
785,5
786,3
792,3
793,1
794,3
802,1
804,3
805,2
810,3
811,5
812,2
813,5
814,4
817,11
820,6
821,5
825,5
828,4
832,5
834,5
835,1
837,3
838,5
848,3
850,5
855,4
857,1
858,5
861,2
865,1
868,2
869,3
874,5
876,7
877,4
878,1
879,5
880,4
882,3
887,1
888,1
890,2
891,5
892,3
893,1
895,5
896,5
898,1
903,3
906,4
909,2
911,2
914,3
916,5
917,1
918,5
919,3
922,3
924,1
926,4
927,5
932,4
934,5
935,4
940,1
941,1
942,4
943,2
945,1
951,2
953,5
955,8
956,11
959,5
961,7
963,4
968,4
972,4
974,2
975,1
985,3
990,5
991,3
992,5
993,6
997,4
1000,10
1003,4
1004,4
1006,4
1009,6
1012,1
1013,7
1014,3
1018,5
1021,4
1023,9
1024,3
1025,1
1026,1
1030,12
1032,4
1033,3
1036,4
1037,5
1039,3
1043,3
