doc_idx,category
1,4
4,2
5,2
6,2
9,3
10,3
11,7
14,2
15,3
17,1
18,3
19,4
23,2
27,1
30,1
31,3
34,2
37,3
39,2
40,4
41,4
47,1
48,1
52,1
53,2
54,4
55,4
57,4
58,2
61,3
64,3
66,2
70,5
73,2
76,1
77,2
80,1
82,3
85,4
89,1
92,1
98,2
107,2
113,5
117,2
118,4
121,3
122,4
124,7
132,6
133,2
135,2
139,2
140,3
141,5
144,2
145,2
148,2
149,1
152,1
156,2
157,6
159,3
161,2
162,5
171,3
175,3
177,1
182,3
185,4
187,6
190,3
191,3
194,2
195,6
200,4
202,3
204,3
206,2
214,3
215,3
217,1
219,3
220,4
223,1
227,1
229,4
233,2
240,1
245,3
249,1
251,1
252,1
253,7
254,3
259,3
260,1
262,3
264,2
267,3
268,4
270,7
271,1
272,2
276,5
278,2
279,1
283,2
286,2
287,4
289,5
294,3
296,1
298,2
299,4
300,3
302,2
303,4
309,1
310,2
311,6
314,5
317,6
318,2
320,3
322,3
326,1
330,1
333,2
335,3
342,3
347,3
351,5
353,6
359,7
360,3
361,5
376,1
379,3
383,2
384,2
385,3
386,3
390,1
391,1
393,1
399,3
402,2
405,4
408,2
412,3
416,1
418,2
422,1
425,1
427,2
434,3
436,2
438,1
440,2
443,3
446,3
452,2
453,1
457,3
458,3
459,2
461,6
465,4
474,4
475,2
477,3
478,3
479,2
481,2
485,2
486,1
487,1
488,2
489,1
491,1
501,3
503,3
505,7
506,5
511,4
512,5
516,3
517,7
518,4
519,2
521,2
522,3
526,3
527,7
529,3
530,2
532,1
536,1
538,7
543,1
546,4
547,2
551,2
553,3
557,4
558,4
562,3
563,4
564,4
565,2
568,4
569,5
570,4
572,1
575,4
578,6
579,2
582,4
583,3
587,4
590,4
596,2
597,6
602,3
609,6
610,2
615,5
616,3
619,1
621,4
629,3
633,1
634,4
638,1
641,3
646,1
648,3
651,2
654,5
657,7
658,3
661,1
666,4
667,3
670,1
672,1
674,3
676,4
682,2
684,1
686,3
687,2
688,1
689,2
692,3
701,4
703,4
704,2
708,7
711,4
712,3
713,2
716,2
717,3
720,2
721,1
722,3
723,1
724,1
726,1
728,1
731,1
733,6
735,4
740,1
743,6
745,7
746,4
748,1
757,3
758,2
760,4
762,3
768,4
776,3
781,7
785,3
789,1
792,4
793,2
794,4
799,2
805,1
806,2
810,4
811,3
812,1
813,3
817,1
818,2
820,2
823,3
825,3
828,7
831,2
838,3
841,2
847,1
850,3
861,1
866,3
868,1
878,2
880,6
883,7
891,3
892,4
893,2
895,3
896,3
897,2
898,2
899,1
900,2
906,5
909,1
910,5
913,2
916,3
917,2
918,3
921,3
924,2
927,3
930,3
933,1
935,5
936,4
937,4
938,1
942,7
944,6
949,5
958,7
963,5
964,2
965,2
966,3
971,1
974,1
977,4
978,2
979,3
980,4
981,6
982,1
983,1
985,4
986,3
988,2
989,3
992,3
994,3
995,6
997,6
1000,7
1001,1
1002,3
1003,6
1010,2
1015,5
1017,3
1018,3
1021,5
1023,4
1025,2
1026,2
1029,2
1032,5
1036,5
1038,3
1043,4
1045,3
1047,1
1049,1
1050,5
1051,1
1052,3
1068,1
1069,7
1073,1
1074,3
1078,1
1079,3
1081,2
1087,4
1093,3
1096,2
1097,1
1099,3
1101,4
1108,4
1110,4
1114,3
1116,3
1122,4
1123,7
1127,3
1129,4
1135,2
1137,6
1140,1
1145,2
1146,3
1147,4
1151,2
1161,4
1164,5
1165,5
1166,1
1170,1
1174,3
1175,4
1180,5
1183,1
1185,2
1187,6
1188,2
1189,3
1192,1
1193,1
1196,4
1197,5
1199,1
1200,4
1203,3
1205,3
1210,1
1211,6
1213,1
1218,4
1222,5
1227,3
1228,2
1235,1
1239,5
1240,4
1245,5
1248,4
1254,1
1255,7
1256,4
1259,2
1260,2
1261,3
1263,1
1264,5
1271,7
1273,3
1277,1
1280,3
1284,2
1285,6
1292,3
1293,4
1294,7
1295,1
1299,2
1301,3
1311,4
1315,1
1318,2
1319,2
1321,2
1322,6
1323,2
1326,3
1330,4
1334,1
1335,4
1339,2
1340,1
1341,3
1343,7
1344,6
1349,1
1354,1
1355,3
1359,1
1360,4
1362,3
1363,3
1364,3
1366,3
1367,7
1368,7
1373,6
1374,1
1376,1
1379,4
1380,1
1382,1
1385,2
1386,6
1388,2
1405,4
1408,4
1410,1
1412,3
1417,4
1419,1
1422,1
1423,1
1424,1
1432,2
1436,4
1437,1
1439,5
1442,2
1444,1
1449,2
1451,5
1453,3
1454,4
1456,3
1459,1
1462,2
1467,2
1471,1
1473,6
1474,1
1475,6
1476,1
1481,6
1482,3
1484,6
1487,1
1489,2
1490,3
1493,2
1494,1
1495,1
1502,1
1505,1
1510,4
1512,6
1513,5
1516,5
1519,4
1524,4
1527,5
1533,1
1538,2
1539,7
1544,7
1546,4
1547,1
1549,2
1559,2
1567,2
1568,4
1569,2
1570,4
1572,1
1577,3
1580,3
1581,3
1586,2
1591,6
1600,2
1601,4
1602,2
1604,2
1607,2
1608,6
1609,1
1612,3
1613,2
1614,5
1615,4
1620,2
1621,3
1622,6
1624,3
1625,3
1629,6
1632,7
1637,1
1638,4
1643,4
1649,7
1651,6
1652,2
1655,4
1656,1
1658,2
1659,4
1661,1
1662,4
1663,4
1666,2
1668,5
1673,3
1674,4
1675,2
1678,3
1680,7
1682,6
1685,2
1691,2
1692,3
1693,3
1697,3
1698,3
1702,1
1704,5
1710,1
1713,3
1714,4
1715,3
1717,2
1719,5
1721,3
1726,4
1727,2
1732,2
1733,2
1734,3
1736,3
1738,3
1741,3
1742,2
1748,4
1752,1
1754,3
1760,1
1761,1
1764,3
1767,3
1768,2
1770,1
1771,5
1772,1
1774,4
1776,2
1782,6
1784,1
1787,4
1789,2
1793,2
1799,4
1802,2
1804,2
1809,5
1811,4
1814,3
1815,6
1816,1
1818,2
1819,4
1820,3
1821,4
1825,1
1826,2
1829,4
1830,5
1835,4
1836,1
1837,1
1839,1
1840,3
1842,1
1846,1
1849,4
1851,7
1852,3
1853,7
1854,2
1856,3
1861,3
1865,6
1867,3
1868,2
1870,3
1873,4
1875,3
1887,4
1888,2
1906,7
1916,4
1918,2
1921,2
1923,3
1924,6
1928,5
1934,1
1935,3
1936,3
1937,7
1938,1
1941,6
1942,5
1943,2
1951,6
1955,6
1958,5
1960,4
1961,3
1963,2
1971,4
1974,3
1975,1
1976,1
1978,4
1980,3
1983,6
1984,1
1986,1
1988,1
1989,2
1990,7
1994,3
1997,4
1998,3
1999,3
2002,6
2004,3
2005,1
2010,2
2013,3
2015,3
2019,4
2025,1
2028,4
2029,3
2032,1
2034,3
2035,4
2037,4
2038,6
2041,3
2042,3
2043,1
2044,6
2045,1
2047,1
2048,2
2051,2
2052,3
2061,3
2064,4
2065,6
2067,3
2077,4
2078,3
2079,2
2086,2
2088,2
2090,4
2100,4
2103,2
2106,3
2107,6
2108,3
2112,2
2114,5
2115,3
2118,1
2129,4
2132,4
2134,1
2139,2
2149,1
2150,2
2151,3
2154,3
2155,4
2157,3
2159,3
2160,3
2162,4
2169,2
2172,2
2175,1
2185,3
2186,1
2188,7
2190,4
2191,4
2193,6
2198,5
2201,6
2203,4
2213,5
2214,3
2216,6
2220,2
2222,5
2224,3
