doc_idx,category
2,2
3,3
4,2
7,4
11,7
12,2
17,1
18,3
22,1
25,1
27,1
31,3
32,3
33,3
38,2
41,4
42,6
47,1
49,1
52,1
58,1
61,3
62,2
64,3
65,7
66,2
67,1
68,3
69,2
77,2
78,2
80,1
81,6
85,4
86,4
88,7
90,1
91,7
95,2
96,3
98,2
99,6
101,4
102,2
103,3
106,6
108,2
113,5
114,6
121,3
125,4
129,2
134,1
137,6
138,2
142,2
143,1
145,2
148,2
149,1
150,4
152,1
153,3
155,1
156,2
159,3
160,1
161,2
162,5
163,1
166,1
167,1
170,1
171,3
190,3
192,1
193,6
195,6
200,4
201,7
205,2
209,2
210,1
213,1
215,3
216,2
218,2
225,3
227,1
228,1
229,4
232,5
236,1
237,4
238,4
240,1
241,4
242,2
244,4
248,3
252,1
253,7
257,2
259,3
260,1
261,1
263,2
264,2
280,3
283,2
284,4
286,2
289,5
292,4
295,4
296,1
300,3
301,5
302,2
303,4
305,4
307,7
308,7
309,1
311,6
313,1
315,4
317,6
318,2
322,3
325,1
328,2
332,5
333,2
336,2
338,6
342,3
343,3
345,1
346,4
348,4
352,7
354,1
356,3
362,4
366,4
368,3
372,4
377,3
379,3
380,3
381,6
382,4
383,2
385,3
387,3
388,3
389,2
390,1
391,1
392,2
393,1
397,4
400,2
405,4
406,3
409,1
410,1
411,2
412,3
413,3
414,5
417,2
418,2
420,6
421,1
423,2
426,3
430,3
431,5
432,1
433,5
434,3
435,2
436,2
443,3
447,4
448,2
450,1
453,1
457,3
458,3
463,6
464,1
466,3
468,1
470,3
471,4
474,4
477,3
479,2
480,4
482,1
484,2
485,2
486,1
488,2
490,4
492,7
493,3
496,6
499,1
500,4
504,1
507,5
509,7
513,2
519,2
520,5
522,3
526,3
529,3
536,1
539,4
540,4
541,2
544,5
547,2
548,1
549,3
550,4
551,2
553,3
555,5
556,1
557,4
558,4
559,6
561,4
562,3
570,4
571,7
572,1
574,1
576,3
583,3
584,4
595,6
597,6
599,4
600,7
602,3
604,2
605,3
608,1
611,2
613,1
614,7
615,5
616,3
620,1
623,4
628,2
631,1
636,5
637,5
638,1
639,3
641,3
643,4
645,3
646,1
647,3
649,2
653,2
654,5
663,4
666,4
668,3
675,2
676,4
677,2
679,3
680,1
681,1
684,1
689,2
690,1
692,3
693,5
694,1
695,3
696,4
697,2
699,3
704,2
705,3
707,4
710,2
711,4
713,2
714,1
715,6
716,2
717,3
719,2
720,2
721,1
722,3
724,1
725,2
727,2
729,5
732,3
735,4
737,6
738,1
740,1
742,3
743,6
744,2
746,4
747,3
749,3
750,2
751,1
754,7
759,3
761,1
762,3
765,3
766,4
768,4
770,3
771,3
773,3
775,3
776,3
777,3
778,6
781,5
782,2
784,2
790,1
792,4
793,2
795,3
797,7
798,1
801,2
802,2
803,1
804,4
807,4
808,1
810,4
814,7
816,2
817,1
818,2
821,3
822,1
830,7
833,4
837,4
838,3
839,1
846,4
849,1
850,3
851,7
852,1
855,5
859,1
860,6
862,1
864,4
865,2
866,3
867,3
869,4
870,1
876,2
880,6
881,6
886,2
889,1
890,1
891,3
895,3
897,2
898,2
901,3
903,4
906,7
908,2
909,1
911,1
914,4
916,3
920,2
921,3
923,2
924,2
926,7
929,6
933,1
937,4
941,2
942,7
943,1
944,6
945,2
949,5
950,2
951,1
952,1
954,5
956,6
959,3
961,1
969,3
971,1
973,3
974,1
976,1
977,4
979,3
981,6
985,4
986,3
992,3
994,3
996,2
997,6
998,5
1000,7
1008,5
1009,2
1010,1
1012,2
1013,2
1014,4
1015,5
1019,3
1020,6
1021,5
1022,3
1024,4
1027,2
1029,2
1032,5
1033,4
1036,5
1037,3
1040,7
1043,4
1045,3
1046,2
1050,5
1051,1
1054,1
1058,3
1059,7
1060,6
1063,3
1064,1
1067,1
1068,1
1069,7
1072,2
1075,5
1078,1
1082,2
1085,3
1087,4
1090,4
1091,3
1095,3
1100,2
1101,4
1102,1
1103,2
1104,1
1107,1
1108,4
1110,4
1112,2
1114,3
1115,1
1116,3
1117,1
1118,4
1121,4
1123,7
1124,6
1129,4
1130,4
1138,3
1142,2
1144,3
1146,3
1147,4
1149,2
1151,2
1154,2
1158,6
1160,2
1161,4
1162,1
1166,1
1168,2
1171,1
1172,4
1173,1
1175,4
1176,3
1180,5
1181,4
1182,2
1183,1
1186,3
1188,2
1189,3
1195,2
1196,4
1197,5
1198,5
1199,1
1202,6
1203,3
1204,6
1206,1
1207,4
1212,4
1214,1
1216,3
1217,2
1221,2
1222,5
1224,2
1227,3
1231,3
1232,1
1234,4
1235,1
1237,1
1241,6
1242,3
1243,1
1244,4
1249,4
1250,6
1251,4
1254,1
1258,2
1261,3
1264,5
1266,2
1268,1
1269,4
1271,7
1274,3
1275,1
1276,1
1277,1
1280,3
1283,1
1285,6
1286,5
1288,3
1289,2
1292,3
1293,4
1298,1
1299,2
1302,1
1303,3
1304,4
1306,4
1311,4
1315,1
1316,3
1317,4
1318,2
1319,2
1320,4
1322,6
1323,2
1327,3
1329,3
1330,4
1331,3
1333,4
1334,1
1343,7
1344,6
1345,1
1346,2
1347,7
1348,4
1349,1
1351,3
1353,3
1354,1
1355,3
1356,6
1364,3
1365,6
1366,3
1367,7
1372,6
1374,1
1375,4
1376,1
1379,4
1381,4
1384,1
1386,6
1390,2
1391,4
1393,3
1395,4
1396,3
1397,2
1398,4
1399,4
1403,5
1404,3
1406,4
1407,2
1408,4
1411,4
1413,3
1415,1
1417,4
1418,1
1422,1
1425,2
1427,1
1433,5
1438,1
1439,5
1440,5
1446,1
1457,5
1458,3
1460,7
1464,2
1465,4
1468,3
1469,1
1471,1
1472,5
1473,6
1474,1
1477,1
1481,6
1486,1
1488,2
1493,2
1506,4
1509,4
1514,3
1517,1
1518,4
1519,4
1520,7
1522,4
1525,1
1526,1
1527,5
1528,2
1529,4
1532,2
1533,1
1535,1
1536,4
1537,2
1539,7
1540,6
1541,4
1543,3
1544,7
1549,1
1550,1
1556,4
1559,2
1562,7
1563,2
1565,3
1567,2
1573,1
1575,2
1576,2
1577,3
1579,1
1580,3
1581,3
1582,3
1584,2
1585,1
1587,6
1588,3
1589,2
1590,4
1592,2
1599,3
1600,2
1601,4
1602,2
1603,4
1604,2
1605,4
1606,4
1608,6
1611,2
1614,5
1616,5
1617,4
1618,3
1621,3
1622,6
1625,3
1626,5
1627,2
1628,3
1629,6
1630,2
1631,2
1633,3
1634,4
1635,5
1639,5
1640,2
1641,4
1647,2
1648,5
1649,7
1652,1
1653,4
1660,6
1661,1
1665,5
1666,2
1668,5
1669,2
1672,1
1673,3
1674,4
1675,2
1676,3
1679,3
1682,6
1683,3
1685,2
1693,3
1696,3
1697,3
1698,3
1699,4
1700,2
1701,3
1702,1
1706,1
1709,4
1713,3
1715,3
1718,5
1719,5
1720,1
1721,3
1726,4
1728,4
1732,2
1733,2
1744,2
1746,1
1750,4
1752,1
1755,3
1757,4
1762,6
1764,3
1766,4
1769,1
1771,5
1773,6
1776,2
1777,6
1778,4
1781,1
1783,1
1785,2
1786,2
1787,2
1788,4
1791,4
1797,1
1798,3
1801,3
1802,2
1803,1
1804,1
1805,3
1806,2
1810,1
1811,4
1813,4
1815,6
1816,1
1817,2
1818,2
1819,4
1820,3
1824,5
1825,1
1826,2
1833,4
1835,4
1836,4
1837,1
1838,5
1839,1
1840,3
1841,3
1844,3
1847,2
1853,5
1854,2
1857,3
1861,3
1862,3
1864,1
1865,6
1867,3
1869,4
1870,3
1876,3
1877,4
1879,2
1880,3
1883,3
1884,1
1885,1
1887,4
1891,1
1894,4
1897,4
1900,3
1901,3
1902,3
1903,3
1906,7
1907,5
1908,2
1909,3
1914,2
1915,1
1916,4
1917,2
1919,1
1920,2
1922,4
1923,3
1924,6
1928,5
1929,2
1930,3
1931,3
1932,2
1933,2
1934,1
1935,3
1937,7
1938,1
1939,2
1940,6
1941,6
1943,2
1945,2
1952,1
1953,1
1954,2
1956,4
