doc_idx,category
1,122
31,133
33,77
34,238
36,42
42,158
45,69
57,150
70,6
72,0
85,61
87,27
88,0
104,0
117,37
124,0
125,69
130,0
135,74
142,71
148,184
154,113
156,169
159,79
170,147
173,154
182,210
185,2
189,171
192,201
195,125
202,148
214,82
217,205
218,206
220,46
221,175
223,108
224,196
227,49
241,213
245,204
246,195
248,209
252,77
253,0
263,116
269,25
271,169
286,111
291,128
294,69
298,5
302,47
304,12
308,66
311,53
314,59
326,144
345,161
347,91
348,191
352,174
378,94
379,191
381,226
383,236
402,151
408,74
410,225
415,6
429,0
452,193
453,80
457,117
463,190
465,196
470,152
480,196
481,224
487,0
489,18
491,77
496,1
499,0
500,0
501,77
514,100
517,0
520,76
526,181
528,48
530,82
531,114
533,83
534,63
536,42
541,95
543,185
545,195
548,179
553,198
555,238
556,47
559,137
562,69
567,146
569,115
575,177
576,74
581,10
582,248
584,166
599,206
619,165
620,71
629,93
634,121
636,122
639,228
648,131
661,161
663,185
666,145
667,189
668,153
675,167
678,233
683,232
684,80
685,74
690,55
704,189
706,83
708,212
712,41
716,145
720,166
727,185
731,226
735,9
751,48
773,93
775,11
776,36
788,53
799,77
803,9
809,75
812,61
817,42
825,60
829,105
831,105
836,45
841,40
842,71
843,25
849,121
854,0
866,190
867,161
871,138
872,147
873,57
888,201
891,69
895,163
898,29
906,63
917,191
927,155
933,90
938,25
939,0
942,194
949,122
962,66
965,117
971,25
977,22
979,147
980,69
982,191
991,154
1001,46
1002,179
1005,164
1009,143
1012,203
1021,141
1043,121
1051,16
1069,153
1073,184
1077,169
1085,151
1095,66
1098,182
1114,126
1116,75
1118,169
1127,0
1141,147
1144,46
1148,24
1160,110
1161,109
1163,169
1170,203
1172,101
1176,184
1185,49
1190,213
1203,87
1206,195
1220,85
1246,188
1248,0
1256,158
1259,0
1262,154
1276,172
1281,0
1282,194
1300,210
1319,228
1328,189
1329,128
1330,75
1332,0
1343,154
1351,127
1357,64
1358,87
1364,198
1380,46
1382,0
1386,0
1389,0
1390,164
1393,105
1399,182
1419,66
1420,190
1423,152
1428,2
1430,206
1431,54
1432,57
1436,91
1445,59
1448,207
1450,149
1452,161
1461,83
1470,62
1471,171
1473,148
1482,180
1493,6
1494,210
1496,152
1497,5
1501,18
1507,189
1511,150
1523,240
1529,55
1542,131
1544,207
1547,47
1553,145
1563,202
1564,79
1566,76
1567,195
1572,194
1574,174
1581,0
1586,74
1596,139
1606,148
1615,0
1625,59
1632,28
1642,121
1643,62
1644,14
1658,63
1662,76
1666,234
1667,69
1670,66
1675,191
1680,30
1687,53
1691,61
1695,236
1696,185
1697,217
1700,228
1705,207
1718,31
1721,186
1726,234
1736,241
1749,234
1750,196
1754,117
1760,231
1761,69
1762,236
1763,123
1770,179
1772,213
1774,195
1778,137
1783,150
1789,209
1790,0
1793,185
1794,188
1800,225
1815,194
1824,193
1834,91
1835,68
1836,150
1839,191
1850,83
1853,238
1855,169
1856,29
1872,161
1879,33
1894,129
1900,195
1902,154
1912,44
1917,186
1922,152
1927,80
1931,8
1933,60
1934,77
1939,74
1940,90
1948,101
1951,30
1953,182
1955,215
1965,189
1977,0
1982,157
1989,42
1990,53
1994,46
1997,150
2004,131
2009,4
2011,0
2013,76
2019,59
2031,0
2036,35
2041,34
2048,0
2057,214
2065,93
2066,92
2067,0
2070,23
2075,0
2078,28
2087,38
2089,11
2091,66
2101,122
2103,0
2110,38
2111,74
2118,45
2124,0
2131,30
2160,95
2166,49
2178,57
2188,2
2193,180
2200,163
2211,105
2212,56
2215,80
2217,10
2219,10
2224,133
2232,169
2239,91
2242,214
2244,6
2255,204
2258,218
2270,228
2272,152
2277,0
2299,60
2306,189
2308,169
2323,206
2327,112
2337,197
2343,0
2345,133
2347,69
2351,182
2358,195
2365,214
2367,179
2368,80
2369,199
2370,152
2374,196
2385,119
2396,186
2401,47
2404,42
2415,53
2420,169
2423,98
2432,0
2438,30
2450,34
2460,71
2472,27
2481,72
2483,172
2485,161
2494,114
2500,148
2507,13
2513,191
2519,136
2527,110
2535,74
2539,142
2540,195
2542,136
2543,95
2550,0
2551,16
2556,152
2560,53
2577,198
2583,151
2602,119
2616,84
2617,74
2618,134
2620,112
2625,11
2630,123
2635,144
2661,102
2678,112
2686,214
2694,8
2699,44
2702,84
2708,185
2709,91
2714,0
2718,198
2719,85
2724,101
2730,109
2734,150
2735,0
2743,150
2752,16
2758,232
2770,49
2774,2
2777,232
2788,123
2790,169
2796,226
2806,157
2808,184
2818,179
2823,79
2829,79
2833,135
2841,118
2843,66
2856,169
2863,74
2868,77
2869,203
2873,153
2875,8
2876,102
2877,191
2878,172
2879,91
2896,231
2899,222
2900,213
2906,219
2907,225
2913,226
2929,210
2939,224
2941,196
2944,49
2950,222
2951,38
2954,110
2955,94
2958,206
2961,199
2966,218
2975,191
2976,174
2981,152
2983,75
2984,152
2985,105
3005,196
3008,145
3009,87
3012,27
3016,207
3019,79
3025,0
3027,110
3037,90
3038,210
3040,234
3050,55
3052,13
3056,16
3061,76
3066,72
3071,58
3072,146
3076,59
3086,169
3088,16
3090,69
3097,77
3098,78
3118,16
3129,150
3135,94
3144,189
3151,138
3157,77
3159,131
3162,32
3170,176
3172,16
3176,179
3177,91
3181,109
3188,0
3193,194
3198,0
3209,0
3210,206
3213,0
3214,0
3222,0
3223,122
3225,66
3237,0
3241,0
3242,44
3248,225
3261,83
3263,0
3281,0
3311,0
3312,71
3320,0
3322,27
3323,69
3327,25
3328,0
3341,48
3345,51
3365,158
3368,0
3370,30
3387,149
3392,27
3401,77
3409,211
3414,133
3428,185
3431,75
3434,2
3436,188
3438,97
3449,62
3456,0
3459,62
3464,204
3477,206
3481,79
3484,0
3485,75
3492,38
3496,186
3501,79
3518,186
3527,76
3544,66
3550,238
3555,194
3562,94
3563,203
