doc_idx,category
5,3
6,7
9,8
10,2
17,21
25,1
31,1
35,18
36,7
37,0
46,3
47,1
55,1
59,5
60,17
62,8
69,7
76,1
80,7
81,15
83,14
90,12
93,5
95,10
96,12
110,9
116,1
120,1
128,19
130,3
131,15
135,1
136,6
139,21
141,8
155,18
166,14
176,1
177,2
178,1
184,7
197,21
200,4
201,0
208,1
209,18
214,3
217,8
219,6
224,1
228,2
229,3
236,6
238,7
253,3
266,18
267,3
268,7
273,3
275,1
278,1
281,4
283,6
294,0
296,1
299,6
301,10
304,1
309,11
310,0
313,3
315,17
318,8
320,7
329,1
335,14
339,15
341,7
342,13
358,5
366,12
370,1
371,7
372,15
373,3
376,1
377,13
378,1
382,1
385,15
388,3
392,10
397,1
398,3
406,14
414,14
417,18
429,4
430,12
438,5
440,19
456,6
459,17
462,0
463,3
474,7
475,5
485,3
490,18
492,11
495,0
496,2
497,8
499,3
501,11
505,13
514,1
517,19
520,8
529,4
530,3
531,1
534,1
535,5
537,3
538,1
542,15
547,6
548,3
550,10
554,1
555,2
567,13
570,5
574,13
587,17
593,14
603,13
604,3
613,13
618,18
623,1
624,3
635,1
637,3
646,7
652,0
653,17
659,19
661,8
666,13
668,1
671,6
674,7
683,3
694,6
702,1
709,9
712,1
716,13
718,13
720,8
724,1
725,14
747,7
748,15
751,6
753,20
755,1
764,8
777,12
778,11
782,20
783,1
786,1
787,1
790,17
797,1
802,5
803,14
813,13
825,6
836,8
838,11
843,5
856,1
858,8
859,1
861,4
864,1
875,8
876,6
881,1
886,8
893,3
896,3
908,15
917,13
921,7
925,1
926,6
931,8
937,1
942,4
944,1
951,17
954,8
960,5
961,1
967,1
970,12
971,5
972,7
974,7
975,1
980,11
981,11
984,7
985,3
989,1
993,1
996,8
998,1
1001,2
1007,1
1012,1
1013,14
1021,3
1024,10
1031,4
1033,7
1036,7
1037,20
1046,3
1049,1
1053,6
1058,7
1064,6
1067,12
1075,21
1085,9
1086,13
1088,9
1089,14
1092,17
1093,15
1096,15
1102,14
1116,1
1118,14
1120,4
1128,14
1129,8
1135,6
1146,10
1147,1
1157,10
1161,10
1165,12
1166,4
1168,1
1169,14
1171,3
1179,1
1184,18
1185,1
1188,1
1192,1
1193,6
1194,7
1195,7
1209,1
1215,1
1220,1
1223,21
1224,1
1231,3
1236,13
1239,3
1241,1
1242,18
1248,14
1255,1
1256,13
1266,9
1267,6
1271,16
1272,8
1275,19
1277,13
1282,1
1289,9
1302,1
1311,1
1314,1
1316,8
1318,1
1321,10
1335,15
1336,19
1343,1
1347,1
1351,19
1353,1
1354,1
1359,3
1360,1
1362,4
1364,4
1370,5
1372,3
1377,8
1379,20
1380,2
1385,1
1390,1
1401,4
1403,2
1404,1
1406,15
1407,1
1425,1
1427,10
1436,8
1438,17
1443,1
1447,8
1452,8
1455,16
1461,3
1472,9
1473,10
1480,8
1481,1
1482,10
1484,10
1486,14
1491,2
1495,8
1497,10
1501,2
1505,1
1523,11
1534,6
1558,10
1562,1
1574,1
1576,1
1588,15
1589,1
1590,4
1595,1
1596,6
1597,17
1598,3
1607,6
1610,15
1615,3
1616,21
1619,1
1621,3
1622,9
1623,9
1629,6
1636,8
1637,1
1638,7
1639,2
1645,10
1646,1
1647,0
1652,0
1653,8
1658,1
1660,7
1664,9
1666,17
1672,1
1674,10
1677,13
1678,1
1680,20
1682,12
1693,7
1695,8
1701,1
1704,12
1705,8
1712,7
1720,14
1721,9
1725,11
1728,5
1736,1
1739,6
1744,6
1746,10
1747,1
1749,17
1754,7
1756,5
1762,8
1769,8
1775,4
1786,13
1801,11
1810,1
1812,17
1813,1
1820,15
1825,11
1842,9
1843,10
1849,2
1855,14
1861,17
1862,9
1864,1
1871,1
1875,4
1881,7
1884,15
1902,1
1903,14
1908,0
1909,5
1910,1
1913,1
1915,9
1917,9
1921,1
1930,4
1931,6
1933,6
1937,1
1949,9
1956,5
1963,12
1968,1
1976,14
1978,3
1981,0
1986,20
1989,7
1996,7
2000,1
2002,6
2003,7
2007,15
2010,20
2013,8
2015,5
2025,7
2034,13
2043,4
2051,1
2053,8
2060,14
2072,19
2077,1
2078,6
2083,6
2086,7
2094,0
2096,21
2099,1
2110,1
2116,0
2122,0
2123,5
2126,9
2132,8
2142,14
2144,13
2146,1
2147,1
2149,1
2155,3
2158,10
2165,10
2174,1
2175,9
2178,14
2180,14
2181,20
2191,18
2206,4
2207,7
2216,5
2225,1
2226,9
2233,6
2236,7
2252,9
2256,1
2257,20
2258,1
2259,1
2260,7
2263,14
2266,19
2271,7
2272,5
2273,6
2274,4
2275,8
2277,16
2282,0
2286,20
2290,1
2291,10
2297,7
2302,11
2316,1
2318,0
2326,19
2329,1
2331,18
2334,8
2356,11
2358,1
2362,20
2367,0
2381,6
2383,0
2388,3
2392,1
2394,0
2402,13
2404,7
2408,1
