doc_idx,category
9,7
18,2
23,4
33,11
38,7
42,7
43,1
44,7
45,4
46,12
49,1
50,7
52,6
58,4
98,12
119,10
121,6
122,4
127,8
133,2
134,4
140,9
150,8
154,4
158,8
168,10
178,1
183,9
185,11
187,2
188,1
196,7
197,10
208,1
213,1
221,1
224,1
233,1
234,2
242,4
247,7
250,2
251,12
253,12
254,9
257,5
272,6
273,12
277,1
278,1
289,6
292,12
296,1
304,1
317,6
328,6
332,7
334,1
338,9
341,2
343,4
379,7
384,11
387,12
393,4
394,1
396,1
397,1
400,4
404,1
406,4
408,1
427,12
438,3
442,3
447,1
451,10
454,2
458,3
462,4
477,7
489,10
495,12
518,4
519,5
521,6
526,1
528,4
532,2
537,12
541,9
544,4
547,4
558,1
561,1
563,1
569,1
574,1
580,6
581,12
591,1
595,12
597,1
598,7
600,11
603,7
617,10
618,7
623,1
625,9
630,2
632,4
635,1
646,2
659,5
676,1
679,10
681,12
691,2
692,7
705,5
708,1
717,4
732,5
735,4
746,4
747,11
749,0
757,7
760,1
776,7
779,7
787,1
791,10
799,6
821,9
831,4
833,7
834,9
838,11
839,8
843,10
848,5
852,2
855,12
864,1
869,3
878,9
888,9
894,1
905,1
907,7
915,7
921,11
922,10
928,6
931,6
935,1
940,12
943,5
944,1
945,9
950,1
952,1
961,1
966,0
972,2
975,1
982,7
987,4
994,5
997,7
998,1
1003,12
1004,0
1016,9
1018,10
1022,12
1029,1
1034,7
1035,10
1040,5
1044,9
1047,12
1051,3
1058,2
1059,9
1063,1
1067,8
1079,8
1085,7
1091,10
1094,12
1101,12
1110,2
1112,1
1113,1
1123,7
1126,10
1131,1
1132,8
1141,2
1156,6
1166,12
1167,2
1172,2
1176,1
1179,1
1210,1
1218,1
1223,10
1231,12
1233,8
1238,7
1242,7
1255,1
1257,4
1259,7
1261,1
1270,1
1278,7
1279,3
1280,1
1283,1
1286,2
1297,4
1306,1
1308,8
1309,8
1316,6
1324,4
1335,9
1353,1
1355,11
1358,1
1359,12
1373,9
1374,11
1375,7
1376,7
1382,2
1400,12
1403,2
1405,12
1412,9
1416,10
1422,7
1436,6
1440,1
1453,6
1454,1
1455,9
1456,7
1458,1
1467,10
1470,6
1476,4
1483,1
1485,9
1488,10
1490,7
1491,12
1497,7
1498,7
1501,10
1514,9
1515,9
1523,4
1529,1
1540,4
1557,1
1558,10
1561,9
1566,6
1570,7
1571,10
1573,1
1589,1
1597,10
1607,4
1608,1
1613,10
1638,2
1643,1
1645,10
1653,6
1654,1
1656,5
1675,7
1690,10
1691,1
1706,3
1720,4
1741,10
1742,2
1747,1
1755,9
1759,3
1781,8
1785,10
1815,1
1819,9
1824,1
1833,6
1837,6
1842,7
1845,6
1852,2
1861,10
1874,1
1878,1
1888,10
1893,3
1899,3
1901,9
1904,1
1912,1
1915,7
1921,1
1928,1
1934,11
1936,10
1938,4
1940,1
1942,7
1962,6
1966,3
1972,4
1977,9
1984,4
1985,5
1986,11
1993,2
1998,9
2002,4
2004,1
2021,1
2031,1
2034,1
2036,12
2041,9
2042,11
2049,1
2060,2
2065,1
2073,9
2083,4
2087,1
2090,12
2097,10
2099,1
2104,9
2108,1
2117,7
2119,12
2120,1
2121,1
2124,10
2131,1
2141,1
2142,2
2143,10
2146,1
2174,1
2177,7
2178,2
2182,11
2193,10
2195,7
2206,9
2214,9
2221,5
2223,1
2227,1
2236,2
2246,1
2247,7
2248,9
2255,1
2257,8
2263,4
2265,9
2267,7
2270,6
2293,2
2294,4
2295,6
2297,2
2299,4
2310,1
2313,4
2315,10
2330,3
2342,1
2352,4
2354,4
2357,7
2365,1
2376,1
2380,12
2381,4
2405,9
2410,1
2430,12
2446,1
2471,6
2475,1
2486,7
2489,10
2497,9
2501,12
2510,4
2512,1
2527,1
2528,1
2531,6
2533,2
2543,10
2549,1
2555,4
2558,6
2560,8
2564,12
2569,9
2570,10
2573,1
2580,4
2581,2
2584,10
2586,10
2597,9
2602,7
2603,12
2607,1
2612,12
2615,6
2622,9
2624,7
2627,1
2639,10
2642,7
2648,2
2659,7
2662,1
2664,1
2676,10
2677,12
2680,4
2682,8
2689,2
2711,10
2716,3
2721,2
2722,9
2725,10
2727,6
2741,12
2743,11
2744,1
2746,12
2750,0
2770,1
2785,0
2795,0
2796,2
2818,12
2820,1
2829,9
2837,10
2846,9
2856,4
2857,1
2863,1
2864,6
2875,4
2879,6
2882,9
2884,4
2888,1
2902,1
2906,8
2909,1
2912,10
2926,1
