doc_idx,category
5,12
6,11
9,7
10,10
17,10
25,1
31,1
35,7
36,2
37,12
46,12
47,1
55,1
59,3
60,10
62,6
69,2
76,1
80,2
81,9
83,2
90,8
93,3
95,7
96,8
110,7
116,1
120,1
128,5
130,9
131,9
135,1
136,4
139,10
141,6
155,7
166,2
176,1
177,12
178,1
184,2
197,10
200,5
201,12
208,1
209,7
214,12
217,6
219,4
224,1
228,10
229,12
236,4
238,2
253,12
266,7
267,9
268,2
273,9
275,1
278,1
281,9
283,4
294,4
296,1
299,4
301,7
304,1
309,11
310,10
313,12
315,10
318,6
320,7
329,1
335,4
339,9
341,2
342,1
358,3
366,10
370,1
371,2
372,9
373,12
376,1
377,7
378,1
382,1
385,9
388,12
392,10
397,1
398,12
406,4
414,4
417,7
429,9
430,8
438,3
440,5
456,4
459,10
462,4
463,9
474,2
475,3
485,12
490,7
492,4
495,12
496,10
497,6
499,12
501,11
505,7
514,1
517,5
520,6
529,9
530,12
531,1
534,1
535,3
537,12
538,1
542,9
547,4
548,9
550,7
554,1
555,12
567,7
570,3
574,1
587,1
593,4
603,7
604,12
613,1
618,7
623,1
624,12
635,1
637,12
646,2
652,12
653,10
659,5
661,6
666,0
668,1
671,4
674,2
683,9
694,4
702,1
709,7
712,1
716,0
718,1
720,6
724,1
725,4
747,11
748,9
751,4
753,9
755,1
764,6
777,8
778,4
782,9
783,1
786,1
787,1
790,10
797,1
802,12
803,2
813,1
825,4
836,6
838,11
843,10
856,1
858,6
859,1
861,9
864,1
875,6
876,4
881,1
886,6
893,9
896,12
908,9
917,7
921,11
925,1
926,10
931,6
937,1
942,9
944,1
951,10
954,6
960,3
961,1
967,1
970,8
971,10
972,2
974,2
975,1
980,4
981,4
984,2
985,12
989,1
993,1
996,7
998,1
1001,10
1007,1
1012,1
1013,4
1021,12
1024,10
1031,9
1033,2
1036,2
1037,6
1046,12
1049,1
1053,4
1058,2
1064,4
1067,8
1075,10
1085,7
1086,7
1088,5
1089,4
1092,10
1093,9
1096,9
1102,4
1116,1
1118,4
1120,12
1128,4
1129,6
1135,4
1146,10
1147,10
1157,10
1161,10
1165,4
1166,12
1168,1
1169,4
1171,12
1179,1
1184,7
1185,1
1188,1
1192,1
1193,10
1194,2
1195,2
1209,1
1215,1
1220,1
1223,10
1224,1
1231,12
1236,7
1239,12
1241,1
1242,7
1248,2
1255,1
1256,7
1266,7
1267,10
1271,9
1272,6
1275,5
1277,7
1282,1
1289,5
1302,1
1311,1
1314,1
1316,6
1318,1
1321,10
1335,9
1336,5
1343,1
1347,1
1351,5
1353,1
1354,1
1359,12
1360,1
1362,9
1364,9
1370,10
1372,12
1377,6
1379,9
1380,10
1385,1
1390,1
1401,9
1403,10
1404,1
1406,9
1407,1
1425,1
1427,10
1436,6
1438,10
1443,1
1447,6
1452,6
1455,0
1461,12
1472,7
1473,7
1480,6
1481,1
1482,10
1484,10
1486,4
1491,12
1495,6
1497,7
1501,10
1505,1
1523,4
1534,4
1558,10
1562,1
1574,1
1576,1
1588,9
1589,1
1590,12
1595,1
1596,7
1597,10
1598,12
1607,4
1610,9
1615,12
1616,10
1619,1
1621,12
1622,7
1623,5
1629,4
1636,6
1637,1
1638,2
1639,10
1645,10
1646,1
1647,4
1652,4
1653,6
1658,1
1660,2
1664,7
1666,10
1672,1
1674,10
1677,7
1678,1
1680,9
1682,8
1693,2
1695,6
1701,1
1704,8
1705,6
1712,2
1720,4
1721,5
1725,11
1728,3
1736,1
1739,4
1744,4
1746,7
1747,1
1749,10
1754,11
1756,3
1762,6
1769,6
1775,6
1786,1
1801,11
1810,1
1812,10
1813,1
1820,9
1825,11
1842,7
1843,7
1849,10
1855,4
1861,10
1862,7
1864,1
1871,1
1875,3
1881,11
1884,9
1902,1
1903,2
1908,9
1909,10
1910,1
1913,1
1915,7
1917,5
1921,1
1930,9
1931,4
1933,4
1937,1
1949,5
1956,3
1963,7
1968,10
1976,2
1978,12
1981,12
1986,0
1989,2
1996,2
2000,1
2002,4
2003,11
2007,9
2010,9
2013,6
2015,10
2025,2
2034,1
2043,9
2051,1
2053,6
2060,2
2072,5
2077,1
2078,4
2083,4
2086,2
2094,12
2096,10
2099,1
2110,1
2116,10
2122,12
2123,3
2126,5
2132,6
2142,2
2144,1
2146,1
2147,1
2149,1
2155,12
2158,10
2165,7
2174,1
2175,7
2178,2
2180,4
2181,11
2191,7
2206,9
2207,2
2216,3
2225,1
2226,7
2233,4
2236,2
2252,7
2256,1
2257,9
2258,1
2259,1
2260,2
2263,4
2266,5
2271,2
2272,3
2273,4
2274,9
2275,6
2277,9
2282,12
2286,9
2290,1
2291,10
2297,2
2302,11
2316,1
2318,4
2326,5
2329,1
2331,7
2334,6
2356,11
2358,1
2362,9
2367,9
2381,4
2383,12
2388,12
2392,1
2394,4
2402,1
2404,2
2408,1
2411,3
2422,5
2424,4
2431,9
2434,1
2435,2
2436,2
2440,12
2449,2
2451,1
2453,1
2454,2
2459,1
2460,5
2461,6
2466,1
2472,7
2476,1
2491,9
2493,2
2497,9
2499,4
2503,2
2504,3
2512,1
2513,9
2517,10
2518,1
2523,1
2525,1
2526,1
2533,2
2539,10
2540,1
2543,10
2546,1
2549,1
2553,1
2555,4
2556,3
2557,1
2564,12
2577,1
2583,7
2587,1
2588,1
2602,7
2603,12
2606,4
2610,1
2617,1
2619,1
2620,4
2622,9
2623,1
2632,12
2637,2
2648,2
2650,12
2651,1
2652,1
2657,4
2660,1
2663,1
2667,12
2671,11
2673,1
2679,1
2680,4
2687,7
2696,5
2700,1
2704,7
2709,6
2710,0
2711,10
2712,1
2718,1
2720,1
2726,4
2729,4
2735,12
2736,10
2738,2
2740,1
2745,7
2748,1
2753,1
2754,12
2756,12
2759,5
2761,8
2762,1
2767,12
2775,6
2777,1
2778,4
2781,2
2785,1
2786,7
2792,4
2807,12
2809,2
2810,12
2818,12
2819,1
2825,12
2830,6
2831,7
2837,10
2842,8
2850,4
2854,6
2856,4
2857,1
2863,1
2872,1
2882,9
2883,2
2884,4
2894,1
2898,1
2910,6
2913,2
2915,2
2917,11
2921,4
2923,10
2927,2
2928,1
2929,9
2932,1
2933,10
2934,9
2937,1
2938,10
2940,5
2941,1
2942,1
2944,1
2947,4
2949,10
2952,1
2957,1
2964,1
2966,1
2967,10
2968,7
2972,1
2973,2
2974,7
2988,10
2990,11
2991,1
3000,7
3001,4
3009,1
3012,7
3013,10
3019,9
3027,1
3028,1
3031,10
3032,1
3043,6
3049,1
3050,1
3062,1
3064,10
3065,6
3072,2
3074,5
3086,4
3088,3
3089,4
3093,3
3096,1
3105,1
3106,4
3111,1
3114,10
3118,3
3119,9
3120,6
3121,10
3129,11
3133,7
3136,1
3139,4
3140,7
3144,10
3155,1
3158,12
3163,5
3165,6
3166,9
3178,11
3184,9
3193,9
3195,4
3196,2
3204,1
3206,1
3209,6
3220,7
3233,10
3234,8
3245,4
3248,1
3252,4
3258,5
3261,4
3286,9
3288,2
3289,1
3298,10
3301,9
3302,1
3304,1
3306,1
3309,7
3322,7
3328,10
3329,6
3337,9
3339,2
3344,9
3353,1
3358,2
3365,7
3367,2
3368,12
3369,10
3381,6
3383,8
3406,10
3412,12
3417,12
3427,7
3433,9
3436,2
3440,1
3449,1
3451,10
3456,4
3462,1
3466,1
3468,4
3482,10
3484,12
3495,1
3509,1
3512,9
3513,12
3518,10
3519,2
3523,1
3525,12
3529,1
3539,9
3543,7
3557,9
3559,11
3570,1
3571,10
3575,12
3597,1
3602,10
3613,12
3620,9
3628,12
3635,4
3636,5
3637,10
3648,12
3650,4
3653,2
3655,2
3671,6
3673,1
3681,8
3687,1
3688,10
3692,8
3694,4
3695,10
3702,1
3703,12
3704,1
3711,12
3712,1
3724,7
3727,10
3728,7
3731,4
3763,12
3773,11
3775,1
3776,10
3781,1
3783,10
3786,1
3791,2
3794,1
3795,1
3799,2
3800,8
3803,6
3809,1
3810,2
3812,12
3813,5
3818,2
3820,1
3823,0
3826,9
3845,12
3848,8
3853,6
3854,6
3859,10
3861,6
3870,1
3875,12
3876,3
3878,10
3885,7
3890,1
3895,1
3901,1
3902,4
3910,0
3912,1
3921,10
3933,10
3936,5
3952,1
3953,4
3960,4
3962,1
3964,1
3967,1
3968,10
3970,1
3972,11
3975,6
3982,2
3987,11
3991,1
3992,4
3997,1
4010,5
4011,1
4020,9
4025,2
4033,4
4050,7
4051,1
4053,1
4061,11
4062,10
4064,2
4072,7
4073,10
4080,1
4082,4
4084,1
4090,7
4092,1
4102,2
4104,7
4113,9
4114,12
4118,9
4119,6
4121,4
4123,9
4134,11
4137,4
4143,1
4144,1
4147,1
4150,2
4151,1
4154,10
4156,7
4157,2
4161,4
4167,6
4170,4
4180,4
4185,1
4197,0
4198,1
4201,11
4206,2
4208,9
4212,7
4215,12
4219,4
4221,3
4223,1
4225,7
4227,1
4236,7
4243,2
4248,0
4267,7
4269,12
4271,10
4273,4
4276,10
4281,12
4291,10
4292,10
4299,6
4304,4
4305,1
4306,1
4311,6
4318,3
4325,1
4327,12
4328,2
4329,10
4330,1
4335,10
4340,12
4347,1
4359,1
4362,1
4367,0
4371,2
4372,2
4373,1
4375,12
4376,12
4388,1
4389,1
4390,10
4398,2
4405,7
4407,7
4412,9
4413,2
4415,9
4422,1
4423,4
4424,4
4429,7
4431,7
4443,1
4451,1
4454,12
4457,10
4465,10
4467,4
4468,6
4469,9
4470,1
4472,6
4476,1
4478,5
4482,1
4483,4
4485,1
4488,4
4492,12
4499,0
