doc_idx,category
0,17
1,10
4,6
11,6
19,1
22,6
30,1
34,2
37,1
47,1
56,4
60,10
67,1
79,1
84,2
85,10
88,1
89,11
91,2
93,10
96,13
103,6
112,2
116,1
117,8
133,2
134,1
152,6
153,1
157,7
164,2
165,14
185,2
191,1
193,1
194,14
195,15
204,2
212,7
216,1
219,7
228,1
238,1
239,19
246,1
253,6
255,8
256,1
258,1
259,1
265,2
266,7
277,19
280,1
281,2
288,1
296,16
297,2
301,14
303,1
304,14
305,5
307,0
308,1
310,1
315,1
319,5
324,1
326,12
328,1
334,0
338,11
339,0
342,1
347,12
354,2
356,5
367,2
369,2
371,1
373,2
374,10
377,10
386,1
389,1
391,1
393,1
404,1
405,14
409,1
413,2
415,1
421,17
427,8
435,1
440,1
441,1
443,1
445,5
450,1
456,1
462,12
471,1
478,1
484,2
488,2
520,14
524,13
525,2
526,2
528,8
531,19
536,6
539,1
548,16
554,16
561,19
568,1
575,13
576,1
584,9
585,1
586,1
589,2
590,2
593,6
600,1
606,1
608,0
616,14
623,1
624,10
632,1
642,1
645,2
659,2
668,15
675,1
677,11
678,2
689,1
697,14
704,2
705,14
711,14
712,8
716,2
718,1
721,4
724,2
727,8
733,1
735,2
741,5
745,14
756,1
757,1
761,1
769,1
771,2
775,1
777,1
778,1
784,1
786,2
794,13
803,1
808,2
814,1
821,1
852,1
857,1
868,2
872,1
876,2
878,4
880,4
883,1
884,12
886,1
887,2
891,10
893,1
896,2
903,2
907,1
910,16
918,2
920,1
922,5
935,7
941,1
945,9
961,1
967,14
969,1
973,17
992,2
994,11
997,12
1000,5
1003,4
1013,11
1017,19
1019,1
1020,1
1021,1
1030,1
1035,6
1036,1
1044,1
1047,19
1061,19
1068,13
1070,9
1091,1
1100,1
1101,16
1102,2
1108,2
1114,1
1117,8
1126,2
1147,1
1155,2
1158,1
1162,12
1163,8
1164,5
1176,2
1183,2
1184,10
1185,2
1186,11
1191,16
1196,2
1202,1
1208,2
1210,2
1213,18
1219,13
1238,12
1240,13
1242,13
1255,12
1264,1
1269,1
1270,1
1282,1
1291,1
1295,1
1298,2
1301,1
1304,11
1329,5
1333,9
1338,12
1342,2
1343,2
1347,1
1349,1
1351,13
1368,1
1370,2
