doc_idx,category
10,12
27,6
41,1
42,7
46,2
60,5
61,4
71,10
77,6
114,1
118,2
124,5
125,12
144,11
146,3
154,1
159,8
176,2
180,6
188,12
190,1
192,5
197,1
199,5
221,1
226,10
230,12
233,5
238,5
247,6
250,4
253,4
258,5
259,1
272,2
285,1
292,11
296,8
298,6
303,6
316,1
332,10
350,12
352,2
355,1
358,2
378,6
382,1
386,8
404,5
406,2
419,1
427,2
442,9
449,4
451,8
453,6
457,5
467,10
477,6
486,8
487,1
499,1
501,12
505,1
518,11
519,6
528,2
537,6
547,10
554,8
555,12
562,6
563,9
567,5
571,1
578,8
579,6
582,2
591,12
595,12
597,2
598,2
603,0
630,6
638,8
644,5
651,2
654,2
656,10
657,2
659,2
663,4
668,12
673,3
726,9
748,1
749,3
755,5
761,1
779,5
784,8
793,6
812,5
817,12
828,7
832,1
834,1
850,4
859,5
871,0
874,2
894,11
898,10
903,3
907,11
922,4
928,1
936,1
938,5
940,5
952,6
966,5
967,12
972,6
973,12
974,12
976,3
981,2
982,6
986,6
992,1
998,12
1001,11
1005,1
1010,6
1012,5
1016,1
1024,1
1029,6
1035,10
1040,6
1043,12
1054,6
1057,12
1058,4
1059,5
1060,7
1061,12
1072,8
1076,11
1083,8
1085,4
1089,1
1091,10
1094,8
1096,4
1099,10
1103,1
1104,9
1107,5
1121,8
1126,2
1136,1
1156,4
1158,6
1167,11
1172,1
1178,2
1180,10
1190,2
1205,11
1217,4
1218,1
1219,1
1220,5
1235,12
1237,2
1242,1
1254,1
1261,10
1268,2
1269,8
1274,10
1278,2
1287,1
1289,6
1292,8
1293,5
1297,1
1299,1
1306,1
1312,1
1334,1
1340,8
1367,1
1368,1
1373,6
1376,1
1379,6
1399,4
1401,1
1402,1
1407,1
1412,1
1418,4
1426,10
1432,12
1436,1
1437,6
1460,1
1464,1
1466,9
1467,8
1474,5
1488,6
1491,2
1507,1
1512,1
1516,1
1523,5
1524,4
1537,8
1539,2
1540,5
1550,2
1554,6
1559,1
1561,4
1568,8
1578,3
1597,9
1607,5
1608,12
1612,8
1613,1
1627,7
1640,5
1645,11
1656,10
1662,1
1674,12
1678,6
1682,10
1685,1
1698,1
1725,10
1726,8
1731,12
1740,12
1743,7
1746,1
1747,11
1753,1
1757,1
1758,1
1765,8
1769,10
1782,11
1792,8
1794,11
1801,3
1810,12
1811,2
1813,9
1826,2
1829,6
1830,1
1834,1
1841,1
1842,1
1851,4
1852,1
1861,1
1862,1
1864,6
1872,5
1874,1
1883,2
1885,2
1895,9
1898,8
1905,2
1906,6
1911,10
1912,1
1923,1
1928,7
1932,1
1937,3
1946,1
1950,8
1961,11
1963,10
1964,1
1981,1
1985,6
1999,7
2004,1
2007,5
2015,4
2021,1
2028,0
2050,8
2070,11
2074,1
2080,8
2081,11
2091,2
2092,11
2093,8
2103,8
2105,6
2106,0
2109,2
2113,12
2133,5
2141,6
2151,11
2153,2
2154,5
2157,7
2167,5
2180,8
2199,10
2226,6
2239,8
2244,6
2248,0
2252,4
2256,4
2260,1
2267,1
2270,5
2275,6
2288,4
2299,1
2305,1
2308,4
2312,8
2315,1
2326,5
2335,1
2336,10
2344,5
2352,7
2354,1
2356,1
2363,6
2376,10
2382,6
2390,3
2392,6
2411,2
2415,9
2416,8
2440,8
2445,4
2456,2
2457,1
2461,2
2464,6
2466,2
