doc_idx,category
6,12
13,11
16,6
25,4
27,11
31,1
34,1
35,1
37,9
44,2
47,5
48,5
71,10
76,6
78,6
79,10
82,2
83,1
90,5
98,1
104,5
115,4
121,4
131,6
133,5
135,1
151,5
155,10
158,1
170,6
176,2
188,12
190,1
194,12
197,1
209,4
212,12
214,2
217,5
219,1
221,1
224,11
228,6
229,4
234,11
253,4
264,6
267,11
269,12
273,6
278,6
279,1
299,2
305,4
307,10
310,5
315,6
329,7
330,6
332,10
333,8
342,5
345,1
360,1
366,8
371,6
372,5
377,8
378,6
382,1
385,1
389,8
410,6
422,2
430,1
456,5
463,6
490,2
491,1
492,1
495,12
496,6
497,7
499,1
511,6
514,10
517,6
530,12
534,6
535,12
547,10
555,12
594,1
605,1
607,1
609,1
616,12
618,5
629,10
635,1
644,5
646,6
647,6
652,2
659,2
661,3
668,3
674,1
678,1
692,6
694,8
698,1
701,12
702,12
706,8
720,3
724,2
737,6
742,5
748,1
751,1
775,8
777,11
778,8
782,2
791,1
797,2
803,8
825,1
831,5
837,4
838,12
856,1
858,7
859,5
861,1
864,2
866,12
875,1
876,1
879,6
881,1
886,11
893,5
896,1
898,10
908,5
912,4
917,8
920,7
921,5
923,3
928,1
931,4
940,5
946,8
951,12
954,2
958,6
968,3
969,11
980,5
987,11
989,8
992,1
993,1
996,5
1001,11
1002,5
1003,1
1004,11
1007,12
1012,5
1021,1
1033,5
1036,5
1037,6
1045,7
1046,12
1053,6
1064,1
1072,8
1073,6
1075,8
1086,2
1089,1
1092,11
1096,4
1115,9
1118,6
1124,5
1126,2
1130,1
1141,1
1143,0
1153,11
1157,1
1161,5
1166,1
1171,6
1185,1
1188,2
1193,3
1195,7
1211,12
1215,12
1217,4
1223,8
1224,6
1228,8
1230,2
1231,10
1234,12
1242,1
1248,4
1253,4
1256,12
1257,8
1272,1
1282,11
1289,6
1291,1
1293,5
1307,1
1309,6
1313,5
1316,4
1328,5
1331,4
1335,11
1336,4
1343,10
1368,1
1369,1
1372,2
1379,6
1380,4
1382,4
1401,1
1403,12
1412,1
1414,5
1418,4
1432,12
1436,1
1439,6
1443,1
1447,10
1452,6
1453,6
1459,4
1462,1
1467,8
1470,1
1484,1
1486,6
1489,6
1491,2
1497,11
1513,5
1522,1
1536,4
1545,4
1553,5
1556,1
1562,9
1564,3
1579,2
1592,12
1595,1
1596,12
1598,4
1619,12
1623,5
1625,12
1627,7
1630,1
1633,5
1636,12
1639,12
1652,1
1656,8
1657,1
1658,8
1663,12
1666,1
1674,12
1678,6
1692,1
1698,1
1701,4
1703,10
1710,1
1715,6
1716,11
1720,5
1721,12
1722,11
1724,6
1728,1
1742,1
1745,12
1746,1
1747,11
1751,5
1752,11
1756,5
1778,6
1794,11
1798,1
1799,11
1801,3
1804,4
1805,7
1806,1
1811,2
1812,9
1815,1
1816,6
1817,6
1827,0
1832,1
1839,0
1846,1
1851,4
1857,7
1861,1
1864,6
1866,12
1870,8
1871,11
1873,8
1875,4
1877,12
1904,7
1912,1
1914,12
1915,3
1919,2
1921,1
1922,2
1934,12
1938,1
1939,8
1947,6
1951,2
1955,1
1956,4
1985,11
1989,5
1990,8
1991,6
2002,6
2005,6
2013,12
2015,4
2017,8
2022,2
2030,1
2034,1
2035,12
2037,6
2038,12
2043,0
2047,1
2049,6
2058,6
2059,10
2063,8
