doc_idx,category
4,8
20,11
21,15
23,1
26,7
27,8
28,8
31,5
33,11
41,15
43,1
48,1
49,8
52,1
53,9
56,9
59,3
62,1
64,16
65,3
66,1
67,6
70,4
73,15
74,5
78,1
80,2
81,9
86,14
93,11
95,1
97,1
98,9
102,8
105,1
106,8
111,11
116,11
117,1
120,8
124,15
126,4
135,13
137,10
142,3
143,5
144,5
149,8
150,1
151,5
156,6
164,1
166,10
172,10
173,8
176,2
177,3
179,9
187,1
189,8
192,5
193,9
200,1
201,1
203,1
204,11
205,2
209,3
211,3
212,2
216,3
225,15
227,3
234,6
235,11
237,1
239,13
240,3
242,1
248,3
254,1
255,3
257,2
258,15
263,5
265,2
276,17
277,8
281,1
283,2
285,5
298,2
300,1
301,1
303,8
304,9
305,6
307,2
309,8
310,9
312,7
314,1
315,3
316,10
319,5
320,9
322,9
324,2
325,5
327,2
330,1
334,2
337,11
339,5
340,8
345,4
346,3
348,2
350,1
353,8
357,4
358,13
363,15
364,1
366,10
368,6
369,8
372,2
381,4
383,2
384,1
385,2
388,1
389,1
392,1
397,3
404,9
406,6
414,1
419,1
426,2
428,1
432,11
440,1
442,3
443,1
444,2
447,16
451,5
452,9
453,9
462,8
469,1
471,2
472,1
473,11
475,4
476,1
477,7
478,9
480,4
483,7
490,1
491,0
493,2
503,11
504,2
506,0
510,2
520,9
527,11
529,0
530,11
534,13
536,2
541,9
542,15
544,1
546,13
552,2
553,8
560,1
561,8
562,3
569,15
572,12
574,11
579,3
588,8
591,1
594,8
600,5
601,1
603,2
605,9
614,2
625,3
628,16
637,13
648,2
650,11
653,1
654,3
655,1
656,1
658,3
671,11
674,3
676,5
679,16
680,3
685,13
690,1
691,2
695,1
696,9
697,11
698,1
700,1
706,11
709,1
711,10
719,1
721,2
724,6
725,1
726,3
731,1
734,3
735,1
736,3
737,8
738,5
746,9
748,0
749,13
750,3
751,3
752,2
759,1
762,10
763,9
766,4
769,1
774,2
785,10
786,7
791,4
792,14
794,1
800,9
801,11
803,3
804,10
806,3
807,3
812,1
815,1
816,13
820,9
825,13
831,8
843,11
849,11
854,11
858,3
859,4
860,1
863,3
864,8
866,1
867,6
868,4
869,3
870,1
873,1
876,9
878,17
879,1
880,15
886,10
891,6
892,7
896,7
897,3
898,3
907,13
908,4
909,4
912,8
913,11
917,1
924,6
925,4
927,2
931,2
934,4
936,5
939,6
941,11
942,3
949,8
954,5
955,9
956,3
957,9
960,3
961,1
964,2
966,6
967,13
968,1
985,1
988,3
990,3
996,6
1000,2
1001,1
1007,11
1011,6
1015,2
1020,9
1022,2
1025,8
1032,11
1033,2
1034,3
1037,11
1039,5
1040,3
1043,6
1045,2
1051,8
1053,9
1054,1
1056,3
1057,6
1063,11
1068,2
1071,10
1074,2
1076,3
1081,1
1083,1
1086,5
1090,2
1091,11
1093,11
1099,3
1101,2
1102,13
1104,3
1105,6
1108,3
1109,3
1111,1
1112,1
1113,16
1115,9
1117,8
1119,15
1121,15
1124,2
1125,2
1128,2
1133,1
1139,16
1141,3
1143,7
1147,11
1153,8
1154,3
1155,1
1160,2
1162,2
1166,13
1169,5
1170,5
1171,3
1172,1
1181,1
1184,13
1185,10
1186,2
1189,15
1190,1
1191,1
1195,1
1197,2
1199,8
1202,2
1207,9
1208,9
1210,2
1211,2
1212,5
1216,6
1218,8
1223,1
1227,11
1231,3
1233,1
1237,13
1240,12
1246,15
1247,4
1248,2
1251,1
1252,1
1255,8
1258,10
1260,6
1261,1
1272,2
1275,1
1276,3
1277,12
1278,1
1279,3
1281,5
1282,5
1283,2
1286,3
1287,1
1288,6
1292,7
1293,1
1294,1
1295,6
1296,6
1298,4
1299,13
1303,3
1310,11
1313,2
1314,4
1318,1
1320,2
1326,10
1327,9
1330,5
1331,6
1333,5
1335,2
1343,16
1344,10
1345,3
1346,8
1350,8
1351,5
1352,8
1361,9
1362,3
1364,2
1366,8
1368,1
1372,1
1373,10
1375,2
1378,3
1380,8
1381,3
1383,3
1384,1
1385,9
1387,5
1388,4
1390,2
1396,3
1401,4
1403,3
1404,8
1407,11
1408,8
1411,9
1412,2
1414,11
1416,1
1417,2
1421,3
1422,1
1424,3
1429,9
1430,2
1431,6
1432,1
1434,1
1435,11
1437,1
1441,1
1445,2
1446,8
1447,2
1450,3
1459,1
1461,3
1468,8
1469,3
1471,10
1474,3
1481,7
1482,1
1487,6
1497,2
1498,2
1501,10
1508,13
1510,6
1511,1
1512,2
1513,5
1516,8
1523,9
1524,9
1526,8
1532,10
1543,1
1544,5
1546,8
1547,1
1548,15
1550,1
1553,1
1556,13
1557,12
1559,3
1560,15
1565,9
1570,2
1578,16
1584,10
1587,3
1588,15
1596,1
1598,3
1599,2
1600,10
1601,1
1606,3
1614,8
1617,2
1618,3
1620,2
1629,3
1631,15
1633,4
1634,2
1637,4
1643,3
1645,3
1648,10
1651,6
1652,1
1655,5
1658,10
1659,9
1660,2
1663,2
1664,1
1668,1
1670,5
1671,8
1674,3
1678,2
1679,8
1682,8
1683,2
1688,6
1689,3
1691,6
1693,11
1697,3
1700,3
1701,8
1702,8
1710,4
1714,11
1737,4
1741,4
1746,9
1748,9
1753,6
1757,2
1758,1
1760,1
1764,15
1768,9
1771,8
1773,1
1774,15
1777,2
1779,2
1783,9
1786,8
1791,2
1797,11
1802,3
1804,3
1806,1
1809,11
1811,6
1814,3
1815,8
1816,6
1817,1
1818,2
1820,1
1821,2
1823,2
1826,1
1827,11
1829,9
1833,8
1834,4
1836,5
1837,3
1840,1
1844,11
1846,3
1849,1
1850,1
1851,8
1856,1
1857,3
1858,13
1859,1
1864,13
1865,4
1866,15
1871,10
1877,14
1879,7
1881,1
1882,1
1884,4
1885,6
1886,9
1890,5
1891,8
1893,11
1896,7
1901,4
1909,3
1912,1
1915,3
1917,11
1918,2
1922,13
1925,11
1926,3
1928,10
1929,2
1931,14
1933,1
1934,5
1936,10
1937,2
1938,4
1939,10
1945,2
1947,12
1950,11
1952,2
1953,6
1957,1
1962,8
1968,8
1970,4
1972,1
1975,1
1976,3
1979,1
1993,8
1995,11
2004,11
2007,3
2008,2
2012,11
2021,2
2022,3
2023,5
2025,6
2029,13
2031,3
2032,2
2033,1
2037,5
2039,10
2044,10
2045,15
2046,4
2048,2
2050,2
2052,15
2061,3
2064,3
2067,13
2068,16
2070,4
2072,4
2073,7
2078,1
2080,3
2082,3
2083,15
2088,9
2089,2
2103,8
2105,8
2106,13
2108,1
2109,2
2112,11
2116,13
2119,1
2123,11
2124,10
2127,5
2130,1
2132,3
2133,2
2135,2
2137,8
2142,8
2145,2
2147,6
2148,3
2150,2
2156,3
2161,1
2163,9
2165,1
2171,9
2179,2
2180,2
2181,1
2184,3
2186,3
2187,7
2193,3
2194,15
2199,9
2201,3
2204,2
2205,1
2206,2
2212,10
2215,7
2219,11
2223,2
2227,8
2229,5
2233,2
2235,3
2238,2
2253,4
2254,1
2255,3
2256,4
2262,5
2263,3
2266,14
2273,3
2281,9
2288,5
2295,3
2296,2
2297,5
2298,2
2300,5
2303,8
2305,2
2307,10
2314,2
2319,12
2327,3
2337,6
2338,3
2344,5
2352,1
2353,3
2357,11
2358,13
2363,3
2373,3
2374,15
2378,3
2382,1
