doc_idx,category
9,5
10,9
14,4
15,1
22,7
23,1
27,8
30,7
33,7
37,13
40,7
44,3
49,8
53,9
57,1
64,13
69,1
70,12
76,2
92,6
98,9
104,4
109,7
113,1
117,1
118,1
119,3
121,1
124,12
132,1
135,11
137,10
138,3
141,1
148,1
156,6
169,3
175,1
179,9
182,1
188,8
189,8
191,13
192,13
195,4
196,2
202,12
206,12
215,1
217,8
224,11
227,3
228,10
229,1
234,6
235,7
238,8
242,1
244,2
245,1
248,3
252,3
253,10
259,7
263,13
271,5
276,6
289,1
290,12
295,8
296,1
298,4
299,3
302,7
303,8
305,6
306,5
311,7
314,1
316,10
317,7
320,9
322,9
326,2
330,12
332,6
333,10
338,8
346,2
349,1
351,5
352,10
353,8
361,3
369,8
380,13
385,4
392,1
396,7
398,6
399,7
402,2
405,4
410,4
418,6
422,8
425,1
426,5
427,9
436,12
438,2
443,1
446,10
452,9
454,1
457,1
459,1
461,1
463,3
465,4
472,1
476,1
478,9
480,12
482,1
483,6
485,8
487,3
488,4
489,6
491,6
493,4
496,9
501,13
502,1
503,7
507,8
514,8
517,6
518,13
527,7
529,6
531,5
536,3
538,5
543,1
545,4
546,11
547,9
553,8
558,7
562,2
563,1
564,1
565,2
566,1
567,2
569,12
570,6
572,7
575,7
578,1
581,1
582,1
587,10
596,3
597,12
599,1
600,12
601,1
609,2
615,1
616,4
618,4
619,9
621,6
628,13
634,13
638,12
641,9
643,13
648,4
652,5
654,3
655,1
661,6
663,13
666,13
667,1
670,1
672,9
674,2
675,9
678,7
682,1
683,13
685,11
686,6
687,6
688,1
692,1
701,4
702,1
704,11
711,10
712,1
716,1
719,1
720,7
722,11
723,13
727,9
728,1
731,1
743,13
745,1
746,9
748,12
751,3
762,10
766,12
768,1
775,7
776,12
778,7
779,4
783,4
791,12
793,9
794,1
806,2
812,1
817,13
820,9
825,11
826,1
831,8
836,6
838,9
841,4
847,1
849,7
850,2
852,6
867,6
868,12
878,14
879,1
880,12
882,13
886,10
890,8
895,9
896,6
899,9
900,13
905,9
906,10
909,12
912,8
913,7
914,3
918,6
921,10
923,12
924,6
933,9
934,12
935,1
936,13
938,3
944,1
951,1
953,2
958,5
961,1
962,13
963,11
966,6
969,6
971,4
977,5
979,2
982,1
983,12
988,2
991,5
993,5
995,2
997,3
998,7
1003,6
1005,1
1009,9
1013,11
1014,1
1015,7
1017,3
1023,1
1025,8
1032,7
1037,7
1038,3
1041,1
1042,7
1043,6
1044,2
1047,2
1049,4
1052,11
1056,3
1059,7
1063,7
1065,2
1068,4
1070,7
1074,5
1078,11
1081,1
1083,1
1084,12
1093,7
1094,8
1095,5
1099,2
1101,5
1106,13
1108,3
1109,3
1110,1
1114,13
1118,4
1122,13
1127,3
1129,12
1136,3
1138,2
1147,7
1148,9
1151,5
1158,1
1160,5
1180,5
1183,12
1184,11
1187,1
1190,1
1191,1
1196,13
1197,5
1199,8
1203,3
1211,4
1217,1
1222,12
1224,1
1225,8
1230,9
1231,2
1232,2
1236,1
1237,11
1238,3
1240,7
1244,2
1254,3
1255,8
1256,3
1261,1
1262,2
1264,13
1269,11
1271,5
1273,3
1275,1
1276,2
1281,13
1283,4
1287,1
1290,5
1293,1
1300,7
1301,3
1302,1
1303,3
1311,4
1318,1
1323,1
1324,9
1326,10
1327,9
1328,8
1330,13
1332,2
1334,8
1343,13
1347,10
1357,10
1362,3
1363,4
1368,1
1370,2
1374,6
1376,6
1377,9
1380,8
1385,9
1386,9
1387,13
1396,3
1397,12
1399,3
1410,6
1411,9
1412,5
1414,7
1423,1
1427,7
1430,4
1432,1
1448,3
1449,1
1455,6
1458,9
1462,10
1463,3
1464,6
1465,5
1473,9
1474,2
1476,3
1486,12
1489,8
1490,12
1491,13
1495,3
1504,3
1505,9
1511,1
1519,7
1521,1
1523,9
1533,5
1547,1
1548,12
1554,3
1555,7
1560,12
1564,1
1570,4
1571,4
1577,1
1580,4
1581,1
1590,7
1592,4
1593,13
1601,1
1604,5
1610,6
1612,3
1618,2
1621,2
1625,4
1637,12
1639,5
1643,2
1646,1
1647,4
1648,10
1651,6
1665,13
1670,13
1678,4
1687,2
1693,7
1695,1
1696,5
1697,3
1703,14
1708,1
1709,12
1712,13
1714,7
1715,4
1724,10
1735,5
1736,8
1737,12
1746,9
1749,4
1756,1
1757,5
1758,1
1761,1
1764,12
1765,13
1773,1
1774,12
1779,5
1784,3
1785,8
1793,6
1798,4
1811,6
1824,7
1825,6
1830,10
1831,12
1836,13
1839,8
1840,1
1843,4
1846,2
1853,1
1856,1
1857,2
1864,11
1878,8
1887,1
1893,7
1894,10
1895,1
1897,6
1906,2
1912,1
1922,11
1928,10
1929,5
1935,1
1939,10
1943,5
1944,1
1949,3
1952,4
1955,9
1962,8
1964,3
1972,1
1974,6
1977,11
1988,5
1997,1
1998,9
2000,3
2004,7
2010,1
2012,7
2014,9
2017,12
2027,5
2029,11
2038,1
2041,13
2044,10
2047,1
2049,3
2053,1
2055,13
2057,1
2060,9
2061,3
2064,2
2065,1
2072,12
2073,6
2074,2
2075,7
2088,9
2092,4
2094,1
2100,10
2102,7
2106,11
2108,1
2109,5
2113,10
2114,1
2125,1
2130,1
2133,5
2144,2
2147,6
2151,8
2168,11
2170,1
2175,9
2178,8
2180,5
2181,1
2183,3
2189,4
2192,9
2193,2
2198,10
2200,13
2203,2
2204,4
2215,6
2216,3
2218,1
2230,1
2231,13
2234,1
2238,4
2245,2
2246,1
2252,2
2254,1
2255,2
2258,1
2263,2
2266,10
2267,10
2268,4
2270,12
2275,7
2277,8
2279,7
2284,8
2288,13
2297,13
2299,1
2306,4
2308,2
2312,13
2317,3
2318,1
2323,6
2325,2
2328,4
2329,5
2332,1
2333,12
2336,12
2349,7
2358,11
2359,5
2360,13
2368,9
2369,7
2372,1
2374,12
2378,3
2381,5
2393,9
2394,3
2395,1
2396,4
2400,8
2407,1
2409,1
2411,9
2412,4
2413,4
2421,6
2427,1
2430,13
2438,10
2439,9
2443,6
2444,5
2447,13
2448,10
2453,1
2459,1
2464,12
2465,4
2466,1
2469,11
2472,7
2476,1
2478,5
2480,13
2485,4
2486,3
2493,3
2499,12
2500,7
2505,3
2507,4
2508,1
2509,2
2517,4
2522,13
2526,2
2527,9
2530,4
2532,3
2535,3
2541,6
2547,13
2553,3
2560,1
2564,1
2567,13
2568,1
2570,4
2572,1
2573,9
2574,8
2575,7
2598,1
2601,9
2604,13
2606,8
2611,8
2612,5
2614,8
2622,8
2624,2
2625,12
2640,3
2643,10
