doc_idx,category
4,8
20,7
21,12
23,1
26,6
27,8
28,8
31,13
33,7
41,12
43,1
48,1
49,8
52,1
53,9
56,9
59,2
62,1
64,13
65,3
66,1
67,6
70,12
73,12
74,13
78,1
80,5
81,9
86,10
93,7
95,1
97,1
98,9
102,8
105,1
106,8
111,7
116,7
117,1
120,8
124,12
126,12
135,11
137,10
142,3
143,13
144,13
149,8
150,1
151,13
156,6
164,1
166,10
172,10
173,8
176,4
177,2
179,9
187,1
189,8
192,13
193,9
200,1
201,1
203,1
204,7
205,5
209,2
211,2
212,4
216,3
225,12
227,3
234,6
235,7
237,1
239,11
240,3
242,1
248,3
254,1
255,2
257,5
258,12
263,13
265,4
276,6
277,8
281,1
283,4
285,13
298,4
300,1
301,1
303,8
304,9
305,6
307,4
309,8
310,9
312,6
314,1
315,2
316,10
319,13
320,9
322,9
324,5
325,13
327,5
330,12
334,5
337,7
339,13
340,8
345,12
346,2
348,4
350,1
353,8
357,12
358,11
363,12
364,1
366,10
368,6
369,8
372,4
381,12
383,4
384,1
385,4
388,1
389,1
392,1
397,2
404,9
406,6
414,1
419,1
426,5
428,1
432,7
440,1
442,2
443,1
444,4
447,13
451,13
452,9
453,9
462,8
469,1
471,4
472,1
473,7
475,12
476,1
477,6
478,9
480,12
483,6
490,1
491,6
493,4
503,7
504,2
506,6
510,5
520,9
527,7
529,6
530,7
534,11
536,3
541,9
542,12
544,1
546,11
552,3
553,8
560,1
561,8
562,2
569,12
572,7
574,7
579,3
588,8
591,1
594,8
600,12
601,1
603,5
605,9
614,5
625,3
628,13
637,11
648,4
650,4
653,1
654,3
655,1
656,1
658,2
671,7
674,2
676,13
679,13
680,2
685,11
690,1
691,4
695,1
696,9
697,7
698,1
700,1
706,7
709,1
711,10
719,1
721,5
724,6
725,1
726,3
731,1
734,3
735,1
736,3
737,8
738,13
746,9
748,12
749,11
750,3
751,3
752,4
759,1
762,10
763,9
766,12
769,1
774,5
785,10
786,6
791,12
792,10
794,1
800,9
801,7
803,3
804,10
806,2
807,2
812,1
815,1
816,11
820,9
825,11
831,8
843,7
849,7
854,7
858,2
859,12
860,1
863,3
864,8
866,1
867,6
868,12
869,3
870,1
873,1
876,9
878,14
879,1
880,12
886,10
891,6
892,6
896,6
897,3
898,2
907,11
908,12
909,12
912,8
913,7
917,1
924,6
925,12
927,5
931,4
934,12
936,13
939,6
941,7
942,2
949,8
954,13
955,9
956,2
957,9
960,2
961,1
964,5
966,6
967,11
968,1
985,1
988,2
990,3
996,6
1000,4
1001,1
1007,7
1011,6
1015,7
1020,9
1022,7
1025,8
1032,7
1033,4
1034,3
1037,7
1039,13
1040,3
1043,6
1045,5
1051,8
1053,9
1054,1
1056,3
1057,6
1063,7
1068,4
1071,10
1074,5
1076,2
1081,1
1083,1
1086,13
1090,5
1091,7
1093,7
1099,2
1101,5
1102,10
1104,3
1105,6
1108,3
1109,3
1111,1
1112,1
1113,13
1115,9
1117,8
1119,12
1121,12
1124,4
1125,5
1128,7
1133,1
1139,13
1141,2
1143,6
