doc_idx,category
9,0
22,0
30,31
33,0
39,0
42,35
44,0
45,0
49,0
57,42
72,0
87,0
98,43
104,0
113,13
117,0
122,0
124,0
125,27
130,42
134,0
138,31
142,32
148,0
154,29
156,0
158,0
159,0
161,0
162,0
167,19
170,42
173,0
189,0
192,0
195,0
202,0
214,0
217,0
218,19
220,0
223,0
224,31
241,19
246,0
252,16
253,0
263,0
269,0
271,0
283,0
291,0
294,0
298,0
302,43
304,38
308,27
311,21
326,0
333,0
348,0
349,0
352,0
379,0
380,0
383,0
394,0
398,28
402,0
405,19
406,0
410,0
415,0
446,0
452,0
453,0
463,0
472,0
481,0
483,33
487,14
489,35
491,0
495,19
496,19
500,0
502,19
507,18
514,0
517,35
520,42
521,26
526,35
528,0
530,0
531,0
533,0
534,25
538,3
541,0
543,29
545,0
548,24
556,0
559,0
562,0
567,35
575,0
578,0
582,0
584,0
599,0
619,0
624,0
634,0
636,0
639,0
641,0
648,0
651,0
661,0
666,0
668,0
675,0
678,0
683,0
684,0
716,4
720,2
727,0
731,0
773,0
780,19
788,0
825,0
829,0
831,0
843,25
847,0
852,0
854,0
861,0
866,0
867,19
871,43
872,44
873,10
878,0
882,36
883,45
888,6
891,0
896,0
898,0
906,0
910,0
918,0
927,25
933,43
938,0
939,35
962,0
965,0
971,0
976,6
979,19
982,0
991,30
995,1
1002,0
1003,0
1011,36
1022,7
1042,0
1043,0
1051,31
1065,35
1066,0
1068,13
1077,0
1082,31
1084,0
1095,34
1098,39
1104,1
1109,19
1114,0
1115,43
1116,0
1118,0
1119,0
1127,50
1141,0
1160,0
1172,42
1177,0
1185,0
1196,0
1203,19
1223,0
1224,14
1230,0
1232,33
1239,0
1259,0
1261,0
1267,35
1273,0
1277,0
1281,0
1298,35
1303,0
1309,0
1319,19
1327,0
1329,0
1332,0
1338,0
1343,0
1351,13
1357,0
1362,37
1363,0
1364,0
1368,42
1370,16
1371,39
1376,0
1377,2
1380,42
1382,0
1385,0
1387,0
1389,15
1390,0
1393,0
1399,0
1410,19
1411,0
1419,0
1420,19
1423,0
1432,0
1433,19
1441,0
1445,0
1448,0
1450,0
1452,31
1458,0
1461,0
1464,0
1475,0
1482,0
1489,0
1491,0
1504,0
1505,0
1511,0
1515,0
1519,0
1521,0
1522,0
1526,0
1529,31
1530,0
1531,0
1547,0
1556,25
1563,0
1564,0
1567,19
1580,0
1581,0
1593,0
1601,0
1620,0
1621,31
1632,0
1642,0
1643,0
1644,0
1649,14
1657,43
1662,0
1669,0
1675,44
1687,31
1691,35
1692,0
1698,0
1700,0
1708,0
1718,0
1721,29
1726,0
1736,25
1746,26
1749,0
1750,18
1752,0
1754,0
1757,14
1759,0
1761,0
1767,0
1774,0
1790,0
1791,0
1794,29
1800,0
1804,0
1813,0
1830,0
1831,0
1839,14
1852,0
1856,42
1865,0
1869,0
1879,35
1887,30
1888,0
1889,0
1900,42
1907,31
1912,0
1922,0
1926,0
1928,43
1936,16
1941,0
1951,0
1953,0
1955,0
1957,0
1965,0
1972,0
1990,0
1997,0
2006,36
2012,0
2013,31
2016,26
2030,19
2041,19
2044,0
2047,36
2049,0
2058,31
2065,35
2066,0
2071,30
2075,0
2076,37
2087,0
2089,0
2100,35
2111,35
2131,0
2139,0
2143,1
2149,0
2154,0
2157,0
2162,0
2165,0
2172,0
2175,0
2196,0
2201,0
2204,0
2216,0
2217,0
2224,1
2230,0
2234,0
2239,0
2242,0
2243,0
2244,31
2258,19
2263,0
2265,0
2278,0
2300,0
2301,0
2307,0
2310,0
2315,0
2319,0
2323,0
2332,16
2355,0
2359,0
2361,0
2367,0
2368,0
2374,24
2381,0
2382,0
2404,0
2406,0
2409,0
2436,0
2439,0
2440,0
2443,0
2445,0
2450,0
2457,0
2462,0
2465,14
2470,13
2471,8
2478,0
2483,0
2484,0
2485,0
2490,0
2493,35
2494,0
2497,0
2501,0
2505,0
2513,30
2519,0
2523,35
2526,0
2531,0
2534,0
2535,0
2537,0
2550,0
2552,0
2553,0
2574,0
2575,42
2586,42
2592,45
2601,0
2605,31
2606,0
2611,2
2613,0
2615,0
2618,0
2620,0
2621,0
2629,35
2630,0
2636,19
2639,0
2648,0
2651,0
2655,0
2657,0
2670,31
2682,0
2686,42
2688,0
2692,0
2703,31
2707,0
2714,0
2728,0
2729,0
2730,0
2744,35
2747,0
2749,16
2751,0
2768,0
2770,0
2772,30
2774,31
2777,0
2782,0
2788,0
2793,0
2795,0
2803,0
2806,6
2808,0
2815,0
2816,0
2823,0
2824,0
2830,0
2842,0
2855,0
2872,0
2876,0
2878,0
2879,0
2889,0
2902,0
2911,0
2916,31
2917,0
2924,16
2939,0
2942,0
2948,0
2951,0
2953,0
2958,0
2961,0
2962,0
2966,0
2969,31
2972,0
2981,0
2985,0
3001,16
3002,16
3011,0
3030,0
3031,19
