doc_idx,category
5,3
6,3
12,0
13,1
25,3
27,3
31,3
33,3
35,1
36,3
37,1
47,3
55,1
60,3
62,1
69,1
71,2
76,3
80,1
81,2
83,1
90,2
95,3
96,1
98,2
116,1
120,3
121,3
124,1
131,1
133,2
135,3
136,1
139,2
155,1
160,0
176,1
177,1
184,2
197,1
200,2
201,1
208,1
209,3
214,1
217,1
219,1
221,1
224,1
228,3
229,3
235,2
238,2
253,2
267,1
273,2
278,3
279,3
281,3
294,3
296,3
299,3
301,3
307,1
310,1
315,1
318,3
320,2
329,1
330,3
335,3
341,1
342,1
354,2
358,1
360,1
366,1
370,3
371,3
372,1
373,1
376,1
377,1
378,2
382,0
385,1
397,3
398,2
410,1
417,3
429,1
444,3
446,3
456,1
461,2
462,1
463,1
474,1
475,3
485,2
490,1
492,1
495,1
496,1
497,2
499,2
501,1
505,3
514,3
517,2
529,1
530,1
531,3
534,1
535,1
537,1
538,2
542,2
547,1
548,2
550,3
554,1
555,3
562,1
567,0
578,1
587,3
590,0
593,2
603,1
604,3
607,2
613,1
616,2
618,3
623,1
635,1
637,3
646,1
652,1
653,0
659,1
661,1
668,1
669,2
671,3
674,1
678,1
683,1
692,2
694,3
702,1
709,3
716,3
720,2
724,3
725,1
747,2
748,1
751,3
764,1
777,1
778,3
782,3
783,2
786,3
797,1
803,1
813,1
825,3
838,3
842,1
851,1
856,3
858,1
859,3
861,1
864,1
875,3
876,2
877,3
879,1
881,3
886,1
893,3
896,1
898,1
908,1
912,1
917,2
921,1
925,1
931,1
937,1
942,3
949,2
951,2
961,1
969,1
970,3
972,2
974,1
980,2
981,1
988,1
989,2
993,1
996,2
998,2
1001,2
1007,2
1012,3
1013,1
1021,2
1024,3
1027,0
1031,1
1033,3
1036,1
1037,1
1046,3
1049,1
1053,1
1064,2
1075,3
1085,2
1086,2
1089,2
1092,1
1093,2
1096,1
1102,3
1110,1
1115,3
1118,1
1120,1
1128,3
1146,3
1153,1
1157,1
1160,3
1161,3
1164,1
1165,3
1166,1
1168,1
1171,2
1179,1
1184,1
1188,1
1192,3
1193,3
1201,3
1209,1
1211,1
1215,1
1217,1
1220,3
1224,1
1231,2
1232,1
1234,1
1236,3
1239,1
1241,1
1242,2
1247,1
1248,2
1256,2
1266,3
1267,2
1272,3
1282,1
1289,0
1302,2
1311,2
1313,3
1316,2
1318,2
1321,2
1325,3
1328,2
1331,1
1335,3
1336,2
1347,1
1353,3
1354,1
1362,3
1366,1
1369,2
1370,1
1377,2
1379,1
1380,3
1382,1
1384,2
1385,1
1388,1
1390,3
1403,2
1404,3
1406,0
1407,1
1412,1
1418,1
1423,2
1427,1
1429,2
1438,0
1439,2
1447,2
1455,3
1461,1
1462,2
1473,2
1475,3
1478,2
1480,2
1486,1
1488,1
1495,2
1497,1
1501,1
1502,1
1504,2
1519,1
1524,1
1533,1
1534,3
1554,1
1555,3
1556,1
1557,2
1558,3
1562,2
1574,1
1576,2
1579,3
1589,1
1590,1
1592,2
1595,3
1596,3
1597,3
1599,1
1607,3
1610,3
1612,1
1614,2
1615,3
1622,2
1623,1
1625,3
1627,2
1629,3
1630,2
1638,1
1639,1
1640,1
1642,3
1645,1
1647,3
1652,3
1653,3
1657,2
1658,1
1660,2
1663,2
1666,2
1672,3
1678,1
1683,3
1695,2
1698,3
1704,3
1705,1
1708,2
1712,2
1715,1
1716,1
1723,2
1724,1
1725,3
1736,2
1737,2
1742,1
1745,1
1747,2
1749,2
1751,1
1752,1
1754,2
1760,1
1775,2
1780,2
1785,2
1791,1
1795,3
1801,1
1810,3
1813,2
1815,0
1820,3
1827,2
1829,2
1846,3
1851,2
1855,2
1858,2
1859,2
1873,2
1884,2
1889,1
1892,1
1909,3
1910,1
1912,2
1913,2
1917,1
1919,1
1934,1
1939,2
1949,3
1951,3
1958,3
1963,1
1965,1
1968,1
1973,3
1976,1
1980,3
1989,1
1991,1
1996,1
2001,1
2002,3
2022,2
2023,2
2025,1
2027,1
2029,1
2040,2
2043,1
2049,1
2051,2
2053,2
2057,2
2058,3
2066,3
2068,1
2075,1
2086,2
2094,2
2105,1
2109,3
2132,3
2137,3
2142,1
2151,1
2157,1
2165,3
2166,2
2173,1
2175,2
2178,1
2180,1
2196,1
2204,3
2207,1
2208,1
2215,1
2218,3
2222,3
2225,3
2226,2
2252,1
2256,3
2265,1
2272,3
2274,1
2275,0
2278,3
2282,1
2284,1
2285,2
2290,2
2291,1
2293,2
2295,1
2300,1
2302,3
2304,3
2305,1
2312,0
2322,3
2326,3
2330,3
2334,2
2339,3
2342,1
2346,3
2348,1
2351,1
2355,1
2356,1
2363,1
2367,1
2376,3
2380,3
2383,1
2385,3
2388,3
2396,3
2402,2
2408,1
2410,1
2411,1
2413,3
2415,1
2422,3
2425,3
2429,0
2430,3
2434,2
2440,2
2443,3
2449,2
2451,0
2463,1
2467,1
2471,3
2472,3
2476,0
2477,1
2479,1
2486,3
2487,2
2497,3
2499,2
2501,3
2503,1
2505,2
2516,1
2517,3
2520,0
2526,1
2527,2
2529,1
2530,1
2543,2
2544,1
2549,1
2558,1
2562,1
2571,1
2577,3
2586,3
2597,1
2600,2
2602,3
2612,3
2618,1
2619,3
2621,3
2622,1
2628,1
2637,3
2647,2
2650,3
2651,3
2652,1
2655,1
2656,2
2660,3
2662,1
2668,2
2672,1
2673,3
2685,1
2687,2
2695,3
2696,3
2706,2
2710,2
2715,3
2718,1
2727,2
2728,3
2729,2
2733,1
2736,1
2747,2
2751,2
2752,1
2759,2
2765,1
2767,3
2790,1
2798,3
2804,2
2807,3
2813,1
2819,1
2825,1
2830,1
2840,3
2842,3
2843,3
2848,1
2850,1
2852,3
2861,1
2865,1
2869,1
2876,1
2890,2
2898,3
2901,2
2902,1
2903,3
2905,0
2909,2
2927,3
2932,3
2933,1
2937,2
2941,3
2944,1
2946,1
2947,1
2948,2
2950,3
2952,3
2959,3
2960,3
2966,1
2971,1
2973,2
2976,3
2980,1
2983,1
2991,3
2994,3
3006,3
3011,3
3012,3
3019,1
3023,1
3038,1
3040,3
3046,2
3050,3
3051,1
3052,3
3055,1
3062,0
3063,3
3069,0
3071,3
3074,1
3076,1
3078,3
3084,1
3088,2
3093,3
3096,2
3104,3
3108,2
3110,3
3118,2
3121,2
3130,1
3140,2
3166,1
3171,2
3181,2
3182,1
3184,0
3188,1
3201,1
3224,1
3227,3
