doc_idx,category
5,5
6,8
12,15
13,1
25,12
27,10
31,2
33,8
35,1
36,12
37,1
47,10
55,1
60,2
62,1
69,1
71,14
76,13
80,1
81,10
83,1
90,4
95,8
96,1
98,7
116,10
120,5
121,8
124,1
131,1
133,11
135,5
136,1
139,11
155,1
160,5
176,1
177,1
184,11
197,10
200,7
201,1
208,1
209,2
214,1
217,1
219,1
221,1
224,1
228,4
229,3
235,12
238,9
253,12
267,12
273,7
278,8
279,9
281,3
294,6
296,5
299,7
301,6
307,1
310,1
315,1
318,7
320,9
329,1
330,3
335,8
341,1
342,1
354,8
358,1
360,1
366,1
370,13
371,11
372,1
373,10
376,1
377,1
378,6
382,14
385,7
397,5
398,4
410,1
417,3
429,1
444,8
446,6
456,1
461,10
462,1
463,9
474,1
475,2
485,9
490,12
492,9
495,1
496,1
497,14
499,10
501,1
505,5
514,9
517,2
529,1
530,0
531,10
534,1
535,12
537,12
538,4
542,9
547,1
548,4
550,5
554,8
555,8
562,1
567,1
578,1
587,8
590,6
593,4
603,10
604,8
607,2
613,12
616,2
618,8
623,12
635,1
637,8
646,1
652,12
653,13
659,1
661,12
668,10
669,6
671,14
674,1
678,1
683,1
692,1
694,5
702,1
709,14
716,4
720,4
724,8
725,1
747,10
748,1
751,11
764,14
777,9
778,2
782,5
783,8
786,5
797,1
803,1
813,1
825,10
838,2
842,1
851,1
856,8
858,1
859,8
861,1
864,1
875,12
876,2
877,1
879,7
881,5
886,1
893,6
896,12
898,13
908,1
912,1
917,4
921,1
925,1
931,1
937,1
942,8
949,7
951,2
961,12
969,12
970,5
972,7
974,1
980,11
981,1
988,1
989,2
993,1
996,12
998,5
1001,12
1007,12
1012,8
1013,12
1021,6
1024,5
1027,15
1031,8
1033,14
1036,1
1037,12
1046,12
1049,12
1053,12
1064,6
1075,2
1085,9
1086,14
1089,7
1092,1
1093,12
1096,9
1102,13
1110,1
1115,12
1118,1
1120,1
1128,2
1146,8
1153,12
1157,1
1160,12
1161,2
1164,14
1165,12
1166,12
1168,12
1171,14
1179,1
1184,1
1188,1
1192,13
1193,2
1201,5
1209,10
1211,1
1215,1
1217,1
1220,8
1224,12
1231,7
1232,1
1234,1
1236,12
1239,1
1241,1
1242,7
1247,1
1248,7
1256,12
1266,5
1267,2
1272,5
1282,1
1289,1
1302,6
1311,12
1313,5
1316,11
1318,9
1321,6
1325,5
1328,11
1331,10
1335,3
1336,2
1347,1
1353,12
1354,1
1362,1
1366,1
1369,7
1370,1
1377,4
1379,1
1380,8
1382,1
1384,4
1385,1
1388,10
1390,5
1403,4
1404,5
1406,12
1407,1
1412,12
1418,1
1423,7
1427,1
1429,7
1438,1
1439,2
1447,9
1455,2
1461,9
1462,11
1473,2
1475,5
1478,7
1480,8
1486,1
1488,1
1495,5
1497,1
1501,1
1502,1
1504,5
1519,10
1524,1
1533,12
1534,8
1554,1
1555,2
1556,11
1557,9
1558,3
1562,9
1574,1
1576,10
1579,7
1589,1
1590,1
1592,9
1595,8
1596,2
1597,5
1599,11
1607,2
1610,5
1612,1
1614,8
1615,8
1622,3
1623,4
1625,8
1627,14
1629,5
1630,7
1638,1
1639,1
1640,1
1642,11
1645,1
1647,8
1652,8
1653,5
1657,11
1658,1
1660,3
1663,6
1666,3
1672,12
1678,1
1683,8
1695,9
1698,7
1704,12
1705,10
1708,9
1712,10
1715,1
1716,12
1723,3
1724,1
1725,2
1736,1
1737,12
1742,1
1745,8
1747,14
1749,7
1751,1
1752,1
1754,1
1760,1
1775,7
1780,2
1785,14
1791,1
1795,5
1801,1
1810,5
1813,9
1815,15
1820,9
1827,7
1829,2
1846,7
1851,12
1855,6
1858,4
1859,9
1873,11
1884,5
1889,1
1892,1
1909,4
1910,1
1912,14
1913,6
1917,1
1919,4
1934,1
1939,7
1949,5
1951,5
1958,12
1963,1
1965,1
1968,1
1973,11
1976,1
1980,12
1989,1
1991,10
1996,1
2001,1
2002,5
2022,11
2023,9
2025,10
2027,12
2029,1
2040,11
2043,1
2049,1
2051,12
2053,12
2057,12
2058,8
2066,3
2068,12
2075,10
2086,10
2094,10
2105,12
2109,4
2132,8
2137,8
2142,1
2151,12
2157,12
2165,8
2166,11
2173,1
2175,2
2178,1
2180,10
2196,12
2204,8
2207,12
2208,9
2215,1
2218,11
2222,11
2225,8
2226,7
2252,10
2256,8
2265,1
2272,6
2274,1
2275,8
2278,5
2282,1
2284,1
2285,7
2290,3
2291,1
2293,11
2295,1
2300,1
2302,6
2304,3
2305,1
2312,3
2322,10
2326,3
2330,2
2334,6
2339,5
2342,1
2346,2
2348,1
2351,12
2355,1
2356,12
2363,12
2367,12
2376,6
2380,1
2383,1
2385,2
2388,5
2396,8
2402,6
2408,1
2410,14
2411,1
2413,8
2415,12
2422,4
2425,7
2429,8
2430,8
2434,7
2440,8
2443,8
2449,3
2451,15
2463,1
2467,1
2471,8
2472,12
2476,8
2477,1
2479,1
2486,5
2487,12
2497,6
2499,3
2501,6
2503,1
2505,7
2516,1
2517,5
2520,8
2526,10
2527,4
2529,1
2530,1
2543,9
2544,1
2549,1
2558,1
2562,1
2571,1
2577,8
2586,8
2597,1
2600,12
2602,9
2612,5
2618,1
2619,9
2621,11
2622,1
2628,1
2637,13
2647,7
2650,2
2651,5
2652,1
2655,1
2656,7
2660,8
2662,12
2668,7
2672,1
2673,2
2685,1
2687,2
2695,8
2696,5
2706,11
2710,9
2715,3
2718,10
2727,9
2728,8
2729,6
2733,12
2736,1
2747,8
2751,12
2752,1
2759,7
2765,1
2767,8
2790,1
2798,3
2804,9
2807,12
2813,1
2819,12
2825,1
2830,1
2840,11
2842,4
2843,8
2848,12
2850,1
2852,14
2861,1
2865,1
2869,12
2876,1
2890,14
2898,11
2901,6
2902,1
2903,8
2905,7
2909,6
2927,8
2932,8
2933,1
2937,7
2941,8
2944,1
2946,1
2947,1
2948,6
2950,6
2952,8
2959,8
2960,13
2966,1
2971,1
2973,9
2976,4
2980,1
2983,1
2991,14
2994,14
3006,6
3011,9
3012,11
3019,1
3023,1
3038,1
3040,12
3046,7
3050,8
3051,1
3052,12
3055,1
3062,15
3063,13
3069,14
3071,8
3074,1
3076,1
3078,13
3084,1
3088,6
3093,5
3096,4
3104,9
3108,7
3110,10
3118,7
3121,9
3130,1
3140,7
3166,1
3171,4
3181,14
3182,1
3184,0
3188,1
3201,1
3224,1
3227,6
3231,2
3235,1
3236,1
3240,1
3241,1
3243,5
3251,1
3253,5
3254,1
3256,10
3264,7
3269,2
3276,1
3279,1
3280,2
3281,12
3287,12
3288,11
3289,1
3291,8
3293,0
3297,7
3298,7
3303,8
3304,10
3311,8
3315,1
3321,0
3323,1
3326,1
3328,6
3329,1
3334,1
3338,14
3339,7
3342,8
3343,14
3346,12
3347,2
3356,5
3357,9
3371,10
3381,1
3383,1
3390,1
3400,2
3402,12
3406,1
3409,10
3416,12
3423,1
3433,1
3439,8
3450,7
3464,6
3465,11
3467,10
3468,5
3479,1
3486,8
3488,10
3490,5
3494,1
3501,7
3502,1
3503,1
3505,7
3509,5
3517,4
3522,8
3524,1
3530,8
3532,12
3533,1
3537,7
3545,1
3547,1
3552,2
3570,11
3579,9
3581,1
3582,1
3583,1
3586,8
3593,5
3596,5
3598,9
3603,5
3610,1
3612,1
3613,8
3629,12
3648,1
3687,12
3689,8
3691,10
3692,10
3694,10
3696,12
3704,3
3707,9
3708,1
3713,1
3724,3
3729,1
3730,12
3735,5
3738,2
3740,1
3742,9
3756,1
3757,1
3759,8
3763,12
3766,14
3780,1
3786,1
3788,6
3794,1
3819,5
3829,6
3833,8
3845,1
3849,4
3850,1
3853,12
3854,1
3855,1
3866,10
3873,11
3874,1
3878,1
3882,11
3885,1
3887,6
3892,3
3904,1
3906,1
3911,13
3913,1
3914,1
3929,1
3933,4
3936,1
3937,12
3939,13
3941,1
3945,6
3950,2
3952,5
3953,8
3956,14
3957,1
3960,1
3964,8
3967,9
3968,4
3973,1
3977,5
3978,10
3992,1
3995,8
4001,1
4002,1
4005,5
4014,5
4016,8
4018,5
4022,1
4026,5
4028,4
4032,8
4043,10
4049,12
4056,8
4062,2
4064,9
4073,1
4074,12
4075,1
4079,5
4084,5
4089,1
4095,3
4096,7
4100,14
4101,9
4105,0
4113,8
4118,8
4123,12
4124,4
4127,1
4132,4
4133,1
4134,1
4135,11
4140,9
4143,6
4147,9
4149,1
4157,1
4160,2
4162,4
4165,8
4166,1
4168,9
4170,9
4178,6
4181,1
4200,12
4208,2
4209,10
4228,14
4232,2
4235,6
4240,1
4252,12
4254,1
4264,1
4273,7
4274,5
4275,11
4276,12
4295,12
4298,1
4304,8
4305,1
4312,1
4317,14
4318,2
4340,4
4345,1
4350,6
4358,1
4359,1
4364,3
4375,5
4384,11
4388,12
4395,9
4396,10
4399,1
4407,8
4409,3
4412,8
4419,1
4421,1
4424,5
4429,8
4432,1
4434,1
4440,9
4446,1
4448,1
4450,5
4453,1
4458,1
4459,1
4466,1
4473,14
4485,9
4493,6
4495,12
4500,1
4508,1
4510,1
4517,9
4527,2
4528,3
4536,1
4537,6
4546,1
4560,13
4562,1
4563,10
4564,4
4565,9
4570,8
4571,5
4572,14
4575,1
4580,8
4589,9
4592,6
4598,1
4599,12
4603,12
4604,1
4607,5
4611,8
4618,1
4626,12
4638,10
4645,1
4650,1
4653,8
4660,13
4661,1
4671,1
4678,7
4690,7
4701,1
4702,1
4706,1
4708,1
4711,7
4715,12
4716,1
4718,9
4722,8
4724,1
4725,12
4726,1
4731,8
4737,10
4739,1
