doc_idx,category
1,1
4,1
5,1
10,1
14,1
15,1
17,11
22,13
30,2
33,1
36,5
39,7
45,2
49,1
50,18
57,2
64,15
66,1
71,2
88,15
92,14
104,1
117,1
118,2
124,1
134,5
138,17
142,1
148,1
156,1
159,17
169,6
170,14
175,1
177,1
182,3
185,15
188,14
189,5
191,6
192,2
195,1
196,2
202,4
211,18
214,1
218,2
219,1
224,5
226,13
227,18
229,1
234,3
245,2
248,13
252,2
253,4
263,0
276,11
289,14
290,3
295,1
296,10
298,6
299,20
302,15
304,1
305,3
306,1
308,19
311,2
316,5
322,13
326,2
330,22
333,14
338,9
346,22
351,14
352,6
361,3
369,4
376,0
378,3
380,0
383,2
398,1
399,1
402,7
405,18
408,6
410,1
418,4
436,3
443,0
452,9
453,2
457,10
461,3
463,11
465,1
467,2
472,2
473,14
480,19
481,4
482,2
483,3
485,7
489,1
491,3
493,2
496,1
499,3
500,2
501,17
502,9
514,2
517,14
519,2
520,13
526,1
528,1
530,1
533,3
534,5
538,2
541,6
543,1
545,5
546,1
548,4
553,17
558,8
562,1
565,17
566,1
567,3
569,2
570,23
572,2
575,10
581,2
582,1
587,1
596,13
598,2
599,3
615,1
616,2
621,14
628,10
634,1
635,14
638,23
643,5
648,5
654,2
661,20
663,2
666,1
668,6
675,3
677,2
682,3
683,3
685,2
686,1
688,7
690,2
692,2
706,1
710,10
712,3
713,2
716,13
719,9
720,2
725,1
727,1
735,2
748,3
751,3
768,17
775,2
776,2
793,3
796,1
817,1
825,11
826,1
836,2
840,3
841,2
861,14
867,14
868,2
879,1
882,5
883,17
890,1
895,15
896,2
898,3
899,1
900,19
910,22
914,7
917,1
918,1
923,3
927,2
935,4
936,1
938,11
939,11
951,6
953,5
955,19
958,14
965,14
971,1
977,2
979,2
982,5
989,1
991,18
998,3
1002,1
1005,10
1015,11
1021,1
1023,14
1037,1
1042,19
1043,4
1044,24
1047,1
1051,1
1052,5
1059,1
1065,3
1068,1
1069,2
1070,1
1078,15
1082,11
1084,7
1087,2
1094,10
1098,2
1101,10
1109,2
1114,1
1115,1
1116,1
1118,7
1120,11
1122,11
1127,1
1129,9
1139,6
1148,7
1150,2
1157,19
1160,3
1161,1
1170,3
1174,1
1180,3
1184,2
1185,13
1203,5
1220,22
1225,3
1232,1
1237,1
1239,11
1242,1
1254,1
1256,15
1262,6
1266,16
1271,1
1276,14
1280,13
1281,8
1282,2
1285,2
1288,1
1299,2
1300,1
1310,3
1311,1
1318,2
1319,14
1324,5
1327,3
1330,2
1332,1
1338,0
1347,0
1349,3
1355,1
1357,1
1358,2
1367,8
1368,2
1370,7
1371,1
1373,15
1377,2
1379,1
1388,5
1396,1
1397,1
1414,9
1420,3
1423,1
1424,18
1427,0
1432,1
1436,9
1446,2
1462,0
1471,1
1473,1
1474,1
1476,2
1478,19
1489,11
1493,1
1496,3
1499,1
1501,7
1503,18
1504,15
1523,14
1530,3
1535,1
1540,0
1547,1
1548,9
1549,1
1571,11
1581,2
1583,16
1586,11
1601,1
1602,0
1612,2
1615,2
1625,11
1626,11
1642,0
1643,1
1644,15
1649,2
1651,16
1654,6
1656,23
1663,1
1669,1
1673,14
1686,19
1691,15
1694,5
1695,2
1697,3
1700,17
1702,2
1708,2
1712,1
1721,23
1724,7
1733,3
1736,4
1738,2
1748,4
1749,3
1754,15
1757,1
1759,5
1762,2
1763,15
1767,8
1770,2
1773,7
1774,1
1780,2
1783,3
1784,11
1785,2
1793,17
1798,14
1804,2
1811,10
1813,10
1835,15
1845,3
1846,3
1852,1
1854,10
1885,3
1912,11
1918,12
1923,17
1929,1
1931,19
1939,1
1943,1
1945,14
1948,1
1949,1
1950,13
1951,1
1952,1
1953,1
1955,2
1959,2
1965,5
1974,7
1976,8
1979,1
1980,2
1982,1
1983,9
1989,1
1994,1
2005,7
2017,19
2033,1
2055,2
2060,8
2062,19
2070,1
2074,1
2075,3
2085,2
2088,5
2101,20
2102,13
2104,11
2108,2
2112,1
2115,2
2126,5
2131,11
2172,19
2180,22
2181,3
2193,9
2198,2
2201,9
2203,18
2204,2
2215,11
2223,7
2230,13
2234,2
2239,23
2242,2
2267,3
2268,1
2272,5
2275,3
2277,1
2285,3
2287,17
2294,18
2306,14
2308,12
2312,1
2313,23
2319,10
2327,18
2345,1
2346,15
2347,13
2355,2
2356,14
2358,1
2361,11
2363,20
2367,1
2369,15
2372,5
2374,11
2377,16
2378,1
2382,2
2396,1
2399,18
2401,19
2402,1
2408,7
2409,3
2410,0
2411,2
2415,5
2420,1
2430,11
2436,12
2439,1
2445,18
2447,16
2452,1
2459,7
2464,3
2466,1
2470,5
2472,2
2481,1
2482,2
2483,1
2484,1
2485,4
2486,1
2494,7
2501,10
2504,0
2506,3
2513,1
2518,2
2529,3
2530,5
2540,1
2545,16
2554,1
2561,1
2568,7
2584,5
2588,3
2605,2
2606,24
2611,9
2617,1
2620,15
2621,11
2624,10
2627,17
2640,2
2653,10
2658,1
2668,17
2669,2
2672,7
2674,17
2677,2
2686,2
2688,1
2694,7
2700,2
2703,3
2704,14
2705,15
2713,15
2715,1
2718,17
2724,20
2727,17
2729,1
2730,19
2752,24
2762,1
2771,2
2774,16
2776,2
2792,2
2793,0
2794,2
2800,1
2801,16
2804,3
2808,2
2809,11
2810,0
2812,2
2815,3
2821,9
2829,1
2833,1
2840,12
2843,5
2844,1
2845,1
2853,2
2855,12
2862,7
2864,1
2866,2
2872,11
2877,2
2879,1
2883,2
2888,1
2891,15
2905,1
2912,1
2914,15
2923,1
2931,10
2940,5
2944,12
2949,11
2950,11
2952,18
2954,1
2960,2
2964,11
2970,1
2971,16
2980,3
2982,3
2985,22
2986,11
2988,11
2992,18
3005,2
3008,1
3010,1
3016,3
3020,15
3022,9
3023,20
3028,1
3037,1
3041,7
3042,1
3043,15
3045,2
3049,2
3050,11
3054,3
3059,1
3065,2
3078,3
3080,14
3084,7
3090,1
3097,19
3100,18
3101,19
3105,3
3109,1
3111,1
3117,18
3124,19
3126,2
3132,1
3134,4
3135,1
3140,1
3151,1
3155,5
3157,2
3158,2
3169,2
3174,3
3177,2
3184,1
3201,22
3213,1
3216,22
3217,1
3222,9
3227,1
3228,1
3230,1
3231,1
3232,15
3241,19
3242,3
3244,1
3248,2
3266,14
3268,2
3270,2
3275,3
3283,2
3285,17
3286,0
3296,2
3308,18
3310,1
3312,14
3313,1
3315,17
3317,3
3319,1
3320,1
3323,7
3325,10
3331,6
3342,2
3343,3
3344,11
3357,5
3368,2
3375,2
3382,1
3396,11
3398,5
3400,1
3410,17
3411,6
3412,1
3418,8
3422,3
3433,3
3438,3
3439,2
3440,1
3444,1
3458,5
3459,1
3464,11
3480,1
3481,15
3487,1
3488,2
3495,2
3505,10
3506,3
3509,2
3512,3
3513,15
3515,11
3520,1
3524,1
3526,11
3527,11
3529,1
3542,12
3545,2
3546,1
3554,11
3563,1
3572,2
3573,1
3574,3
3578,15
3579,22
3586,1
3590,1
3593,10
3599,8
3604,5
3606,1
3617,1
3619,17
3621,14
3624,5
3629,11
3636,5
3637,1
3639,3
3641,1
3642,2
3648,2
3649,17
3654,1
3655,1
3658,10
3667,2
3676,2
3677,2
3682,2
3686,3
3687,9
3688,8
3696,2
3697,11
3704,3
3708,19
3709,24
3710,11
3712,16
3714,1
