doc_idx,category
3,3
6,1
8,6
11,15
13,6
15,7
17,15
18,1
27,2
28,1
31,6
41,3
49,2
50,3
52,10
65,13
74,3
78,2
79,1
84,6
85,4
88,7
89,6
92,8
98,3
105,7
108,2
112,2
118,1
120,3
127,7
128,1
129,4
130,4
143,5
145,2
149,3
150,17
155,13
156,2
158,8
159,5
160,2
161,1
162,3
163,15
170,13
171,15
172,17
185,4
188,8
192,19
193,1
197,2
201,1
203,14
205,2
215,2
216,2
217,3
221,2
222,15
225,11
226,14
227,21
232,10
237,2
238,2
242,1
248,14
252,1
253,7
256,2
258,2
260,0
284,2
289,8
295,2
298,9
300,8
302,4
303,3
309,2
311,1
314,0
317,6
321,3
328,3
329,7
331,7
334,3
342,2
345,2
346,7
352,3
354,3
357,13
361,3
362,3
366,3
368,3
380,17
381,2
382,15
383,1
385,11
389,3
393,3
397,3
406,3
409,3
411,2
412,11
413,14
417,3
421,10
423,2
426,3
430,10
431,2
432,8
433,2
434,1
439,14
446,2
449,11
452,11
457,11
458,2
459,2
463,15
474,15
484,1
485,3
488,2
493,1
498,0
515,2
520,14
526,2
540,15
547,2
548,7
550,15
556,11
558,5
561,2
562,2
565,3
569,1
570,15
574,6
576,12
586,13
595,3
597,12
598,1
604,1
605,9
606,2
607,15
609,15
613,1
614,2
620,3
629,2
631,6
636,12
637,3
638,15
639,13
641,2
642,7
645,3
646,11
647,2
652,16
667,15
668,9
674,11
675,11
679,3
686,2
690,1
695,3
698,3
699,9
703,2
704,18
705,7
710,17
711,2
714,3
720,1
725,2
727,2
729,1
732,5
735,1
738,11
743,2
744,12
746,3
751,3
765,2
766,11
768,5
778,19
781,6
782,2
785,1
789,17
792,2
796,2
797,16
802,2
807,2
808,3
811,7
817,2
818,8
822,1
823,2
827,1
833,3
839,2
845,8
846,1
849,1
852,3
854,2
859,5
862,2
868,1
871,2
875,17
881,6
890,2
891,3
897,3
899,0
916,2
920,17
922,1
923,2
924,2
925,1
929,7
933,10
937,8
943,6
944,1
946,1
948,13
949,2
954,6
960,7
961,1
963,1
965,8
974,15
976,3
980,1
984,2
986,1
987,2
989,2
995,4
996,4
998,3
1000,6
1007,9
1008,6
1009,15
1013,8
1014,1
1015,15
1020,2
1022,2
1023,8
1029,1
1030,2
1039,10
1040,2
1041,17
1042,3
1045,2
1052,6
1056,3
1060,1
1064,20
1066,3
1067,5
1069,1
1072,4
1083,2
1084,1
1085,2
1086,10
1087,1
1090,10
1092,2
1102,11
1104,8
1114,2
1116,2
1120,15
1136,9
1138,1
1146,2
1147,7
1159,1
1162,2
1166,12
1168,5
1169,8
1173,1
1175,2
1176,1
1180,3
1192,13
1193,10
1199,10
1206,2
1213,1
1217,7
1219,2
1221,3
1223,2
1227,2
1231,2
1235,8
1241,2
1244,21
1249,17
1251,1
1261,16
1263,1
1269,13
1273,15
1277,11
1280,11
1281,3
1288,2
1291,8
1294,1
1301,2
1304,2
1306,2
1310,3
1318,1
1326,15
1334,1
1337,6
1346,14
1353,8
1355,2
1367,7
1368,1
1371,2
1376,13
1377,1
1381,19
1383,6
1387,10
1392,2
1393,12
1396,10
1400,2
1401,17
1404,2
1407,2
1409,6
1410,2
1413,2
1417,6
1418,1
1421,3
1426,3
1429,6
1431,10
1440,9
1444,0
1446,1
1448,2
1457,7
1458,8
1462,13
1464,2
1466,15
1469,2
1474,1
1481,13
1483,4
1486,2
1497,8
1501,3
1516,21
1517,2
1520,2
1527,4
1532,3
1533,13
1535,2
1537,1
1538,1
1545,7
1549,2
1551,2
1556,1
1561,1
1562,2
1564,8
1567,1
1571,15
1578,2
1580,8
1581,1
1583,6
1585,7
1596,2
1597,2
1599,20
1602,2
1607,8
1608,7
1609,10
1611,15
1612,1
1631,15
1639,2
1640,2
1643,2
1644,3
1646,3
1662,16
1664,2
1665,8
1666,1
1668,6
1674,12
1675,5
1676,2
1677,1
1678,2
1680,2
1682,3
1689,2
1697,13
1698,1
1700,5
1702,1
1708,1
1710,7
1717,3
1721,15
1723,16
1727,3
1736,9
1740,8
1742,3
1744,6
1746,1
1761,3
1765,7
1772,11
1775,3
1778,6
1780,1
1781,1
1783,13
1785,1
1786,2
1788,3
1798,8
1799,11
1801,15
1802,2
1807,1
1809,13
1812,3
1815,2
1817,8
1820,3
1823,1
1824,10
1828,1
1831,3
1835,4
1838,3
1839,2
1841,11
1845,3
1848,1
1855,2
1858,1
1859,6
1862,1
1869,2
1870,15
1871,7
1874,3
1875,6
1879,17
1884,6
1887,2
1900,6
1901,1
1903,1
1909,11
1911,0
1916,2
1918,6
1920,2
1924,3
1932,1
1935,2
1939,2
1945,0
1946,2
1947,2
1954,7
1959,1
1960,2
1961,3
1964,2
1966,2
1972,3
1981,1
1990,11
1992,8
1993,6
1996,5
1998,2
1999,3
2002,6
2004,2
2006,15
2007,2
2010,6
2014,2
2015,15
2016,21
2019,10
2027,3
2032,2
2037,3
2042,2
2045,12
2050,4
2051,10
2052,2
2055,1
2062,3
2069,1
2071,17
2077,1
2078,8
2079,1
2081,3
2083,10
2085,1
2089,8
2095,2
2100,15
2101,8
2106,21
