doc_idx,category
1,2
4,2
5,2
10,2
14,2
15,2
17,2
22,7
30,1
33,2
36,11
39,3
45,1
49,2
50,3
57,1
64,3
66,2
71,1
88,6
92,7
104,2
117,2
118,1
124,2
134,4
138,5
142,2
148,2
156,2
159,5
169,10
170,5
175,2
177,2
182,3
185,3
188,8
189,3
191,10
192,3
195,2
196,1
202,6
211,3
214,2
218,1
219,2
224,4
226,12
227,1
229,2
234,3
245,1
248,12
252,1
253,6
263,5
276,2
289,8
290,3
295,2
296,9
298,10
299,7
302,3
304,2
305,3
306,2
308,2
311,1
316,4
322,12
326,2
330,6
333,8
338,11
346,6
351,8
352,3
361,3
369,6
376,15
378,3
380,2
383,1
398,2
399,2
402,3
405,5
408,10
410,2
418,6
436,3
443,15
452,11
453,1
457,1
461,3
463,2
465,2
467,1
472,1
473,15
480,3
481,6
482,1
483,3
485,3
489,2
491,3
493,1
496,2
499,3
500,1
501,3
502,1
514,1
517,8
519,3
520,12
526,2
528,2
530,2
533,3
534,4
538,1
541,10
543,3
545,4
546,2
548,6
553,5
558,5
562,2
565,3
566,2
567,3
569,1
570,2
572,1
575,9
581,15
582,2
587,2
596,12
598,1
599,3
615,2
616,1
621,7
628,9
634,2
635,8
638,2
643,4
648,4
654,1
661,7
663,1
666,2
668,10
675,3
677,1
682,3
683,3
685,1
686,2
688,3
690,1
692,1
706,2
710,2
712,3
713,1
716,11
719,11
720,1
725,2
727,2
735,1
748,3
751,3
768,5
775,1
776,1
793,3
796,2
817,2
825,2
826,2
836,1
840,3
841,1
861,5
867,8
868,1
879,2
882,4
883,5
890,2
895,6
896,1
898,3
899,2
900,3
910,6
914,3
917,2
918,2
923,3
927,1
935,6
936,2
938,2
939,2
951,10
953,4
955,3
958,8
965,8
971,2
977,1
979,1
982,4
989,2
991,15
998,3
1002,2
1005,9
1015,2
1021,2
1023,8
1037,2
1042,3
1043,6
1044,4
1047,1
1051,3
1052,4
1059,2
1065,3
1068,2
1069,1
1070,2
1078,3
1082,2
1084,1
1087,11
1094,14
1098,1
1101,9
1109,1
1114,2
1115,2
1116,2
1118,3
1120,2
1122,2
1127,2
1129,11
1139,10
1148,2
1150,1
1157,3
1160,3
1161,2
1170,3
1174,2
1180,3
1184,1
1185,12
1203,4
1220,6
1225,1
1232,2
1237,2
1239,0
1242,2
1254,2
1256,3
1262,10
1266,4
1271,2
1276,14
1280,0
1281,3
1282,1
1285,1
1288,2
1299,1
1300,2
1310,3
1311,2
1318,1
1319,8
1324,4
1327,3
1330,1
1332,2
1338,15
1347,15
1349,3
1355,2
1357,2
1358,1
1367,10
1368,1
1370,3
1371,2
1373,6
1377,1
1379,2
1388,4
1396,2
1397,2
1414,11
1420,3
1423,2
1424,9
1427,14
1432,2
1436,11
1446,1
1462,5
1471,2
1473,2
1474,1
1476,1
1478,3
1489,2
1493,1
1496,3
1499,2
1501,3
1503,3
1504,3
1523,8
1530,3
1535,2
1540,14
1547,2
1548,15
1549,2
1571,2
1581,1
1583,4
1586,2
1601,2
1602,2
1612,1
1615,1
1625,15
1626,2
1642,15
1643,2
1644,3
1649,1
1651,4
1654,10
1656,2
1663,2
1669,2
1673,15
1686,3
1691,3
1694,5
1695,1
1697,3
1700,5
1702,1
1708,1
1712,2
1721,2
1724,3
1733,3
1736,6
1738,1
1748,6
1749,5
1754,3
1757,2
1759,4
1762,1
1763,3
1767,1
1770,1
1773,3
1774,2
1780,1
1783,5
1784,2
1785,1
1793,5
1798,8
1804,1
1811,5
1813,14
1835,3
1845,3
1846,3
1852,2
1854,9
1885,3
1912,2
1918,13
1923,5
1929,2
1931,3
1939,2
1943,2
1945,7
1948,2
1949,2
1950,5
1951,2
1952,2
1953,2
1955,1
1959,1
1965,4
1974,3
1976,5
1979,2
1980,1
1982,2
1983,11
1989,2
1994,2
2005,3
2017,3
2033,2
2055,1
2060,5
2062,3
2070,2
2074,2
2075,3
2085,1
2088,4
2101,7
2102,12
2104,2
2108,1
2112,2
2115,1
2126,4
2131,2
2172,3
2180,6
2181,3
2193,11
2198,1
2201,11
2203,1
2204,1
2215,2
2223,3
2230,2
2234,1
2239,2
2242,1
2267,3
2268,2
2272,4
2275,3
2277,2
2285,3
2287,5
2294,3
2306,4
2308,13
2312,2
2313,2
2319,9
2327,3
2345,2
2346,3
2347,12
2355,0
2356,8
2358,2
2361,2
2363,7
2367,2
2369,6
2372,4
2374,2
2377,3
2378,2
2382,1
2396,2
2399,3
2401,3
2402,2
2408,3
2409,3
2410,12
2411,1
2415,4
2420,2
2430,2
2436,13
2439,2
2445,15
2447,3
2452,2
2459,2
2464,3
2466,2
2470,5
2472,1
2481,2
2482,1
2483,2
2484,2
2485,6
2486,2
2494,1
2501,14
2504,4
2506,3
2513,2
2518,1
2529,3
2530,4
2540,2
2545,4
2554,2
2561,2
2568,3
2584,4
2588,3
2605,1
2606,11
2611,11
2617,2
2620,5
2621,2
2624,9
2627,5
2640,1
2653,9
2658,2
2668,5
2669,1
2672,2
2674,5
2677,1
2686,1
2688,2
2694,3
2700,1
2703,3
2704,8
2705,3
2713,3
2715,2
2718,5
2724,7
2727,5
2729,2
2730,3
2752,2
2762,2
2771,1
2774,3
2776,1
2792,1
2793,0
2794,1
2800,3
2801,3
2804,3
2808,1
2809,2
2810,15
2812,1
2815,3
2821,11
2829,2
2833,2
2840,15
2843,4
2844,2
2845,2
2853,1
2855,13
2862,3
2864,2
2866,1
2872,2
2877,1
2879,2
2883,1
2888,2
2891,10
2905,2
2912,2
2914,3
2923,2
2931,9
2940,4
2944,4
2949,2
2950,2
2952,5
2954,2
2960,1
2964,2
2970,2
2971,3
2980,3
2982,4
2985,6
2986,3
2988,2
2992,5
3005,1
3008,2
3010,2
3016,3
3020,3
3022,11
3023,7
3028,2
3037,2
3041,3
3042,2
3043,3
3045,1
3049,1
3050,2
3054,3
3059,2
3065,1
3078,3
3080,15
3084,2
3090,2
3097,3
3100,4
3101,3
3105,3
3109,2
3111,2
3117,1
3124,3
3126,1
3132,2
3134,6
3135,2
3140,2
3151,2
3155,4
3157,1
3158,1
3169,1
3174,3
3177,1
3184,2
3201,6
3213,2
3216,6
3217,2
3222,11
3227,2
3228,2
3230,2
3231,2
3232,3
3241,3
3242,3
3244,2
3248,1
3266,7
3268,3
3270,1
3275,3
3283,1
3285,5
3286,2
3296,1
3308,1
3310,2
3312,8
3313,2
3315,5
3317,3
3319,2
3320,2
3323,3
3325,9
3331,10
3342,1
3343,3
3344,2
3357,4
3368,1
3375,1
3382,2
3396,2
3398,4
3400,2
3410,5
3411,10
3412,2
3418,1
3422,5
3433,2
3438,3
3439,1
3440,2
3444,2
3458,4
3459,2
3464,2
3480,2
3481,3
3487,2
3488,1
3495,1
3505,7
3506,3
3509,1
3512,3
3513,3
3515,2
3520,2
3524,2
3526,2
3527,2
3529,3
3542,2
3545,1
3546,2
3554,2
3563,2
3572,1
3573,2
3574,3
3578,3
3579,6
3586,2
3590,2
3593,9
3599,5
3604,4
3606,2
3617,2
3619,5
3621,5
3624,4
3629,2
3636,4
3637,2
3639,3
3641,2
3642,1
3648,1
3649,5
3654,2
3655,2
3658,14
3667,1
3676,1
3677,1
3682,1
3686,5
3687,11
3688,1
3696,1
3697,2
3704,3
3708,3
3709,1
3710,3
3712,4
3714,2
3717,1
3726,1
3740,2
3742,1
3744,5
3752,1
3753,3
3758,8
3762,8
3765,3
3767,3
3770,3
3771,2
3772,3
3773,5
3774,2
3780,3
3784,1
