doc_idx,category
3,3
6,1
8,4
11,2
13,4
15,2
17,2
18,1
27,2
28,1
31,4
41,3
49,2
50,3
52,2
65,5
74,3
78,2
79,1
84,4
85,2
88,6
89,4
92,7
98,2
105,6
108,2
112,2
118,1
120,3
127,6
128,1
129,3
130,3
143,5
145,2
149,3
150,3
155,5
156,2
158,8
159,5
160,2
161,1
162,3
163,2
170,5
171,2
172,5
185,3
188,8
192,3
193,1
197,2
201,1
203,12
205,2
215,2
216,2
217,3
221,2
222,2
225,1
226,12
227,1
232,2
237,2
238,2
242,1
248,12
252,1
253,6
256,2
258,2
260,8
284,2
289,8
295,2
298,10
300,9
302,3
303,3
309,2
311,1
314,9
317,4
321,3
328,3
329,6
331,6
334,3
342,2
345,2
346,6
352,3
354,3
357,5
361,3
362,3
366,3
368,3
380,2
381,2
382,2
383,1
385,11
389,3
393,3
397,3
406,3
409,3
411,2
412,11
413,12
417,3
421,2
423,2
426,3
430,2
431,2
432,8
433,2
434,1
439,12
446,2
449,15
452,15
457,1
458,2
459,2
463,2
474,2
484,1
485,3
488,2
493,1
498,1
515,2
520,12
526,2
540,2
547,2
548,6
550,2
556,1
558,5
561,2
562,2
565,3
569,1
570,2
574,4
576,11
586,5
595,3
597,11
598,1
604,1
605,6
606,2
607,2
609,2
613,1
614,2
620,3
629,2
631,4
636,11
637,3
638,2
639,5
641,9
642,6
645,3
646,1
647,2
652,14
667,2
668,10
674,1
675,3
679,2
686,2
690,1
695,2
698,3
699,10
703,2
704,5
705,6
710,2
711,2
714,3
720,1
725,2
727,2
729,1
732,5
735,1
738,1
743,2
744,11
746,3
751,3
765,2
766,1
768,5
778,3
781,4
782,2
785,1
789,4
792,2
796,2
797,14
802,2
807,2
808,3
811,6
817,2
818,8
822,1
823,2
827,1
833,3
839,2
845,9
846,1
849,1
852,3
854,2
859,5
862,2
868,1
871,2
875,7
881,3
890,2
891,3
897,3
899,2
916,2
920,6
922,1
923,3
924,2
925,1
929,6
933,2
937,7
943,4
944,1
946,1
948,5
949,2
954,4
960,6
961,1
963,1
965,8
974,2
976,3
980,1
984,2
986,1
987,2
989,2
995,3
996,3
998,3
1000,4
1007,10
1008,4
1009,2
1013,7
1014,1
1015,2
1020,2
1022,2
1023,8
1029,1
1030,2
1039,2
1040,2
1041,13
1042,3
1045,2
1052,4
1056,3
1060,1
1064,3
1066,3
1067,5
1069,1
1072,3
1083,2
1084,1
1085,2
1086,2
1087,11
1090,2
1092,2
1102,1
1104,7
1114,2
1116,2
1120,2
1136,4
1138,1
1146,2
1147,6
1159,4
1162,2
1166,11
1168,3
1169,7
1173,1
1175,2
1176,1
1180,3
1192,5
1193,2
1199,2
1206,2
1213,1
1217,6
1219,2
1221,3
1223,2
1227,2
1231,2
1235,7
1241,2
1244,1
1249,15
1251,1
1261,14
1263,1
1269,5
1273,2
1277,1
1280,1
1281,3
1288,2
1291,8
1294,1
1301,2
1304,2
1306,2
1310,3
1318,1
1326,2
1334,1
1337,4
1346,12
1353,8
1355,2
1367,10
1368,1
1371,2
1376,3
1377,1
1381,3
1383,3
1387,2
1392,2
1393,11
1396,2
1400,2
1401,9
1404,2
1407,2
1409,4
1410,2
1413,2
1417,4
1418,1
1421,3
1426,3
1429,4
1431,2
1440,10
1444,9
1446,1
1448,2
1457,6
1458,8
1462,5
1464,2
1466,3
1469,2
1474,1
1481,4
1483,3
1486,2
1497,7
1501,3
1516,1
1517,2
1520,2
1527,3
1532,3
1533,5
1535,2
1537,1
1538,1
1545,6
1549,2
1551,2
1556,1
1561,1
1562,2
1564,7
1567,1
1571,2
1578,2
1580,8
1581,1
1583,4
1585,6
1596,1
1597,2
1599,1
1602,2
1607,7
1608,6
1609,2
1611,2
1612,1
1631,2
1639,2
1640,2
1643,2
1644,3
1646,3
1662,14
1664,2
1665,8
1666,1
1668,4
1674,4
1675,5
1676,2
1677,1
1678,2
1680,2
1682,3
1689,2
1697,3
1698,1
1700,5
1702,1
1708,1
1710,6
1717,3
1721,2
1723,14
1727,3
1736,6
1740,8
1742,3
1744,4
1746,1
1761,3
1765,6
1772,11
1775,3
1778,4
1780,1
1781,1
1783,5
1785,1
1786,3
1788,3
1798,8
1799,11
1801,2
1802,2
1807,1
1809,5
1812,3
1815,2
1817,8
1820,3
1823,1
1824,2
1828,1
1831,3
1835,3
1838,1
1839,2
1841,5
1845,3
1848,1
1855,2
1858,1
1859,4
1862,1
1869,2
1870,2
1871,6
1874,3
1875,4
1879,0
1884,4
1887,2
1900,4
1901,1
1903,1
1909,0
1911,9
1916,2
1918,13
1920,0
1924,3
1932,1
1935,2
1939,2
1945,7
1946,2
1947,2
1954,6
1959,1
1960,2
1961,3
1964,2
1966,2
1972,3
1981,1
1990,1
1992,7
1993,4
1996,5
1998,2
1999,3
2002,4
2004,2
2006,3
2007,2
2010,4
2014,2
2015,2
2016,6
2019,6
2027,3
2032,2
2037,3
2042,2
2045,11
2050,3
2051,6
2052,2
2055,1
2062,3
2069,1
2071,14
2077,1
2078,8
2079,1
2081,3
2083,2
2085,1
2089,9
2095,2
2100,2
2101,7
2106,1
