doc_idx,category
1,18
31,1
33,0
34,44
36,4
42,0
45,0
57,0
70,0
72,0
85,21
87,53
88,0
104,0
117,11
124,0
125,0
142,0
148,0
154,0
156,53
159,54
162,0
170,41
173,51
182,0
185,44
189,50
192,0
195,47
202,38
214,29
217,0
218,0
220,1
221,29
223,0
224,0
227,0
241,0
245,0
246,0
248,0
252,0
253,0
263,20
286,0
291,45
294,0
298,0
302,20
304,17
308,0
311,0
314,0
326,0
345,0
347,0
348,0
352,0
378,3
379,20
381,50
383,29
402,52
408,64
410,18
415,0
429,44
452,57
453,30
457,58
463,0
465,17
470,47
480,53
481,50
483,0
485,50
487,0
489,0
491,0
496,0
499,0
500,0
501,0
514,0
517,0
520,0
526,0
528,0
530,0
531,0
533,0
534,0
536,0
541,0
543,0
545,0
548,0
553,50
556,57
559,17
562,53
567,28
569,0
575,54
576,0
581,0
582,0
584,29
599,21
620,2
629,0
634,0
636,27
638,37
639,0
641,29
648,0
651,0
661,0
663,0
666,0
667,0
668,0
675,0
678,0
683,0
684,0
685,0
690,0
704,0
706,0
708,0
712,0
716,0
720,0
727,0
731,0
735,0
751,29
768,0
773,0
775,0
776,0
788,45
799,0
803,0
809,0
812,0
817,0
825,0
829,21
831,0
836,0
841,0
842,0
843,0
854,45
861,0
866,0
867,0
871,0
872,8
873,0
878,0
882,0
888,0
891,0
895,0
896,0
898,0
900,0
906,0
917,0
925,0
927,0
933,0
938,0
939,50
942,0
949,23
962,0
965,0
971,0
979,0
980,0
982,43
991,0
1002,0
1005,0
1009,0
1012,0
1022,45
1042,0
1046,0
1051,0
1056,0
1068,0
1073,2
1082,0
1085,50
1091,0
1095,0
1098,0
1104,1
1114,0
1115,45
1116,0
1118,0
1119,50
1127,0
1144,20
1148,0
1160,0
1163,0
1172,0
1185,29
1190,0
1224,0
1230,0
1232,0
1237,0
1242,0
1246,0
1261,0
1271,0
1272,0
1273,0
1275,0
1276,0
1277,0
1290,0
1319,0
1326,0
1328,0
1329,0
1330,0
1336,0
1343,12
1349,54
1351,50
1358,50
1362,56
1366,52
1367,0
1376,1
1380,0
1387,47
1410,54
1412,52
1419,0
1420,0
1428,50
1430,50
1431,2
1432,0
1436,54
1441,52
1450,48
1452,50
1457,47
1460,60
1461,30
1464,0
1471,29
1473,57
1474,5
1490,54
1493,56
1494,17
1495,23
1496,32
1497,51
1513,57
1519,56
1529,38
1530,32
1535,54
1540,50
1547,0
1556,0
1559,0
1564,0
1567,0
1569,0
1574,0
1581,20
1583,0
1596,0
1606,0
1621,0
1625,0
1642,0
1646,0
1649,0
1657,0
1658,0
1660,0
1662,50
1666,45
1667,50
1669,41
1670,53
1680,50
1691,0
1695,0
1696,0
1697,51
1702,41
1708,14
1710,0
1721,0
1736,0
1738,0
1746,0
1749,0
1759,14
1760,0
1761,0
1762,0
1766,0
1793,0
1794,0
1811,0
1813,0
1829,13
1831,0
1832,0
1835,0
1836,0
1837,0
1839,0
1850,0
1853,0
1855,0
1856,5
1867,0
1869,0
1872,0
1875,6
1877,0
1879,0
1881,0
1886,3
1888,0
1889,0
1892,0
1894,0
1899,16
1900,0
1906,0
1914,0
1916,0
1922,0
1928,0
1931,0
1934,0
1936,0
1939,0
1940,0
1943,0
1949,0
1951,0
1953,50
1955,0
1957,0
1989,0
1992,1
1999,0
2000,0
2009,0
2013,0
2016,0
2027,0
2033,0
2034,22
2041,1
2044,0
2047,64
2049,0
2052,46
2057,23
2063,17
2065,0
2072,20
2078,53
2081,61
2102,0
2106,0
2117,29
2137,0
2150,0
2154,17
2160,0
2165,2
2171,0
2183,0
2189,0
2193,0
2196,0
2198,0
2204,0
2211,0
2216,0
2224,0
2234,0
2242,0
2243,1
2244,0
2252,0
2254,0
2270,0
2277,35
2278,0
2285,0
2293,0
2294,0
2300,0
2301,0
2307,0
2310,18
2315,18
2319,0
2324,0
2337,0
2340,0
2345,45
2346,0
2347,0
2350,0
2355,43
2358,0
2362,0
2365,0
2369,0
2373,44
2377,0
2379,0
2399,0
2406,0
2407,0
2409,0
2412,1
2415,0
2427,0
2432,0
2438,0
2443,0
2450,0
2462,0
2465,0
2470,0
2475,0
2481,0
2484,0
2485,0
2486,0
2488,0
2490,21
2491,0
2494,2
2498,30
2500,50
2501,3
2506,0
2507,27
2509,37
2510,3
2523,0
2526,44
2527,2
2531,0
2537,47
2543,0
2574,0
2575,18
2583,50
2586,0
2592,0
2601,50
2605,0
2606,0
2616,0
2617,0
2620,0
2622,0
2627,52
2630,0
2631,54
2640,0
2657,0
2675,55
2686,0
2689,0
2696,0
2697,29
2701,50
2706,0
2740,0
2741,0
2753,0
2756,0
2758,0
2774,0
2777,0
2784,0
2790,0
2791,0
2795,0
2796,0
2797,0
2805,0
2815,0
2817,0
2828,0
2835,0
2839,0
2842,0
2848,47
2856,60
2859,24
2865,1
2866,0
2871,0
2875,0
2876,0
2879,2
2890,0
2891,0
2895,17
2900,0
2902,0
2905,11
2907,0
2921,0
2929,41
2941,18
2942,0
2944,0
2947,0
2949,29
2950,0
2951,0
2953,0
2955,0
2959,18
2961,0
2962,0
2966,0
2969,0
2971,0
2974,0
2975,0
2985,0
3006,0
3008,0
3011,0
3023,0
3025,1
3028,0
3031,0
3037,0
3051,0
3053,0
3055,0
3063,0
3065,0
3066,0
3075,0
3077,13
3082,0
3097,0
3099,0
3104,0
3106,0
3108,20
3117,0
3120,0
3122,25
3133,0
3139,52
3140,0
3149,0
3151,0
3154,0
3162,0
3172,0
3175,0
3181,0
3184,57
3185,0
3193,0
3201,0
3210,0
3213,0
3220,59
3223,0
3225,0
3227,0
3242,45
3254,44
3259,0
3276,0
3281,50
3287,0
3293,0
3295,50
3300,0
3303,44
3319,0
3335,5
3347,0
3358,13
3371,17
3374,50
3384,0
3388,0
3392,0
3394,23
3402,0
3407,64
3409,53
3423,6
3438,0
3446,0
3450,0
3456,50
3459,45
3476,0
3477,0
3482,0
3508,0
3521,0
3524,0
3529,0
3534,0
3544,35
3545,0
3546,50
3551,38
3552,0
3558,49
3574,12
3584,0
3586,25
3587,0
3597,0
3614,20
3615,0
3616,0
3617,0
3624,62
3625,0
3626,46
3633,0
3634,0
3639,0
3641,51
3652,3
3661,0
3662,0
3671,1
3677,0
3680,0
3684,0
3685,0
3690,0
3693,0
3696,0
3699,0
3709,0
3718,41
3722,0
3725,0
3726,0
3733,0
3753,51
3755,0
3761,63
3763,50
3765,36
3766,5
3770,0
3780,0
3794,29
3801,0
3814,0
3815,0
3819,41
3835,0
3836,0
3839,0
3843,0
3848,17
3851,33
3855,20
3857,0
3861,0
3867,45
3871,50
3875,13
3883,35
3896,61
3917,44
3923,0
3938,0
3946,37
3947,0
