doc_idx,category
1,9
2,11
4,5
11,1
23,5
32,5
41,6
43,5
44,3
53,9
56,3
62,5
64,5
65,6
66,6
67,5
70,14
80,11
81,6
82,1
83,1
86,14
88,9
93,6
98,5
105,5
114,11
126,11
129,5
135,6
143,5
161,3
164,3
167,3
169,1
176,2
185,6
193,3
195,5
203,4
204,9
210,10
211,6
219,6
225,7
236,16
240,6
242,5
254,5
257,14
263,5
265,5
274,11
275,3
277,6
279,14
281,13
283,3
284,7
285,5
298,16
301,4
303,8
304,7
305,9
309,3
312,23
324,11
327,5
334,5
337,28
341,6
346,20
348,3
357,11
358,3
363,0
365,17
367,5
371,6
378,25
379,17
383,3
384,13
388,1
389,4
392,4
393,3
394,1
395,1
402,15
408,6
414,17
416,14
419,28
420,14
426,1
428,4
430,5
432,4
436,9
440,8
443,28
444,7
446,3
451,20
457,5
462,1
464,6
471,6
472,3
473,5
476,2
478,13
491,3
493,1
495,17
506,17
507,10
510,5
512,3
517,1
528,8
529,5
530,5
534,5
536,5
544,12
552,5
561,1
564,6
572,1
576,5
579,3
583,5
587,27
588,3
591,3
601,3
603,1
627,5
642,5
650,6
654,5
665,5
669,8
673,5
674,5
679,5
682,14
691,5
696,6
697,5
698,5
701,5
703,1
708,8
709,5
711,16
715,3
721,5
724,16
725,5
731,5
733,5
735,9
738,5
741,5
744,5
749,5
751,3
756,5
760,6
771,13
781,5
782,5
783,10
786,13
789,5
791,1
792,9
794,17
796,3
815,6
816,5
817,6
820,5
826,5
834,12
839,5
863,0
864,5
868,3
869,0
871,6
878,3
880,10
882,7
896,4
898,11
907,5
908,15
912,5
920,3
923,7
924,26
927,19
936,28
942,6
945,5
949,5
950,7
955,14
956,3
957,9
967,1
968,5
985,1
992,6
993,7
994,3
995,3
996,21
1000,5
1001,4
1007,4
1010,5
1022,18
1025,2
1037,14
1051,6
1052,5
1058,9
1059,2
1067,2
1074,4
1076,5
1081,6
1083,6
1085,3
1089,3
1095,9
1097,7
1100,12
1101,1
1102,8
1108,1
1117,5
1118,5
1124,3
1126,1
1128,7
1132,6
1139,9
1141,3
1153,28
1154,5
1160,25
1166,28
1167,3
1170,17
1172,5
1173,5
1190,9
1192,1
1197,20
1201,8
1210,6
1213,5
1219,20
