doc_idx,category
1,5
31,7
33,2
34,4
36,2
42,9
45,2
57,1
70,11
72,4
85,8
87,4
88,15
104,1
117,6
124,2
125,6
142,12
148,3
154,3
156,0
159,3
162,9
170,2
173,4
182,12
185,4
189,1
192,1
195,1
202,4
214,1
217,4
218,1
220,1
221,1
223,3
224,14
227,4
241,5
245,2
246,3
248,12
252,1
253,18
263,8
286,1
291,7
294,18
298,1
302,8
304,3
308,4
311,3
314,9
326,10
345,5
347,2
348,1
352,13
378,9
379,7
381,1
383,1
402,13
408,5
410,4
415,16
429,4
452,9
453,5
457,9
463,1
465,3
470,9
480,13
481,1
483,5
485,1
487,5
489,17
491,1
496,8
499,4
500,4
501,9
514,12
517,9
520,11
526,1
528,6
530,4
531,10
533,8
534,18
536,8
541,1
543,4
545,4
548,1
553,2
556,0
559,3
562,4
567,15
569,0
575,8
576,4
581,2
582,2
584,1
599,2
620,13
629,9
634,1
636,1
638,10
639,10
641,1
648,9
651,18
661,1
663,0
666,9
667,9
668,4
675,6
678,2
683,7
684,4
685,1
690,9
704,1
706,17
708,6
712,7
716,13
720,10
727,9
731,1
735,5
751,1
768,10
773,14
775,7
776,4
788,7
799,9
803,6
809,14
812,4
817,4
825,4
829,2
831,4
836,3
841,13
842,9
843,1
854,7
861,10
866,1
867,1
871,4
872,15
873,9
878,9
882,9
888,4
891,9
895,4
896,9
898,12
900,0
906,13
917,2
925,5
927,7
933,10
938,12
939,1
942,10
949,0
962,9
965,10
971,1
979,9
980,3
982,2
991,13
1002,10
1005,9
1009,2
1012,9
1022,7
1042,7
1046,11
1051,4
1056,9
1068,2
1073,7
1082,4
1085,1
1091,16
1095,15
1098,4
1104,1
1114,12
1115,7
1116,6
1118,0
1119,1
1127,4
1144,0
1148,15
1160,9
1163,1
1172,5
1185,2
1190,15
1224,2
1230,17
1232,9
1237,15
1242,17
1246,4
1261,4
1271,1
1272,2
1273,4
1275,4
1276,1
1277,9
1290,12
1319,3
1326,18
1328,4
1329,1
1330,9
1336,3
1343,3
1349,4
1351,11
1358,1
1362,13
1366,1
1367,12
1376,3
1380,12
1387,9
1410,8
1412,4
1419,17
1420,10
1428,1
1430,11
1431,18
1432,9
1436,9
1441,9
1450,9
1452,1
1457,9
1460,1
1461,9
1464,4
1471,1
1473,3
1474,9
1490,6
1493,9
1494,2
1495,8
1496,8
1497,4
1513,9
1519,5
1529,4
1530,3
1535,3
1540,1
1547,1
1556,9
1559,5
1564,6
1567,13
1569,13
1574,9
1581,10
1583,15
1596,1
1606,0
1621,12
1625,4
1642,1
1646,9
1649,17
1657,1
1658,18
1660,18
1662,2
1666,7
1667,9
1669,12
1670,4
1680,11
1691,10
1695,4
1696,1
1697,4
1702,12
1708,5
1710,3
1721,1
1736,9
1738,6
1746,1
1749,11
1759,4
1760,3
1761,4
1762,5
1766,18
1793,9
1794,17
1811,4
1813,1
1829,12
1831,10
1832,4
1835,3
1836,1
1837,1
1839,2
1850,2
1853,4
1855,1
1856,1
1867,1
1869,9
1872,17
1875,1
1877,1
1879,1
1881,3
1886,3
1888,1
1889,16
1892,10
1894,17
1899,9
1900,0
1906,9
1914,3
1916,10
1922,6
1928,1
1931,4
1934,10
1936,3
1939,7
1940,2
1943,4
1949,1
1951,18
1953,11
1955,1
1957,4
1989,5
1992,1
1999,1
2000,4
2009,3
2013,14
2016,15
2027,1
2033,8
2034,1
2041,1
2044,18
2047,4
2049,9
2052,4
2057,3
2063,3
2065,3
2072,8
2078,9
2081,1
2102,2
2106,17
2117,14
2137,4
2150,4
2154,3
2160,3
2165,8
2171,1
2183,2
2189,13
2193,13
2196,4
2198,3
2204,3
2211,9
2216,12
2224,5
2234,18
2242,2
2243,2
2244,6
2252,3
2254,9
2270,2
2277,14
2278,11
2285,1
2293,14
2294,12
2300,13
2301,5
2307,2
2310,2
2315,3
2319,9
2324,2
2337,9
2340,9
2345,7
2346,12
2347,0
2350,3
2355,1
2358,10
2362,15
2365,4
2369,14
2373,4
2377,1
2379,7
2399,2
2406,2
2407,17
2409,3
2412,7
2415,13
2427,10
2432,5
2438,4
2443,5
2450,18
2462,18
2465,1
2470,5
2475,9
2481,4
2484,1
2485,2
2486,4
2488,12
2490,9
2491,2
2494,2
2498,12
2500,11
2501,9
2506,9
2507,2
2509,13
2510,9
2523,1
2526,4
2527,8
2531,4
2537,9
2543,4
2574,2
2575,5
2583,11
2586,9
2592,10
2601,11
2605,8
2606,1
2616,14
2617,3
2620,8
2622,1
2627,9
2630,12
2631,9
2640,13
2657,9
2675,9
2686,2
2689,1
2696,9
2697,1
2701,1
2706,3
2740,18
2741,2
2753,4
2756,9
2758,9
2774,13
2777,5
2784,13
2790,12
2791,4
2795,12
2796,16
2797,9
2805,1
2815,11
2817,1
2828,14
2835,4
2839,11
2842,1
2848,3
2856,1
2859,1
2865,3
2866,6
2871,2
2875,2
2876,9
2879,8
2890,3
2891,17
2895,2
2900,9
2902,4
2905,6
2907,6
2921,1
2929,12
2941,5
2942,13
2944,0
2947,13
2949,1
2950,4
2951,7
2953,0
2955,1
2959,3
2961,0
2962,1
2966,16
2969,0
2971,9
2974,9
2975,9
2985,1
3006,3
3008,10
3011,0
3023,2
3025,7
3028,13
3031,3
3037,10
3051,3
3053,18
3055,9
3063,8
3065,10
3066,9
3075,9
3077,12
3082,6
3097,6
3099,2
3104,7
3106,2
3108,8
3117,4
3120,1
3122,11
3133,9
3139,9
3140,17
3149,2
3151,1
3154,4
3162,13
3172,1
3175,1
3181,9
3184,3
3185,3
3193,1
3201,2
3210,14
3213,2
3220,9
3223,4
3225,1
3227,2
3242,7
3254,4
3259,3
3276,9
3281,2
3287,14
3293,5
3295,11
3300,8
3303,4
3319,4
3335,1
3347,9
3358,12
3371,10
3374,11
3384,17
3388,3
3392,17
3394,18
3402,18
3407,13
3409,9
3423,1
3438,4
3446,6
3450,1
3456,16
3459,7
3476,1
3477,2
3482,5
3508,17
3521,10
3524,9
3529,18
3534,1
3544,14
3545,4
3546,1
3551,4
3552,12
3558,6
3574,3
3584,2
3586,2
3587,10
3597,1
3614,8
3615,9
3616,1
3617,11
3624,4
3625,16
3626,4
3633,4
3634,17
3639,3
3641,9
3652,9
3661,2
3662,0
3671,1
3677,4
3680,9
3684,15
3685,10
3690,4
3693,14
3696,16
3699,3
3709,11
3718,12
3722,9
3725,9
3726,10
3733,18
3753,4
3755,7
3761,0
3763,11
3765,14
3766,1
3770,18
3780,12
3794,14
3801,3
3814,4
3815,12
3819,12
3835,9
3836,6
3839,14
3843,1
3848,3
3851,12
3855,8
3857,17
3861,11
3867,7
3871,11
3875,12
3883,14
3896,1
3917,4
3923,4
3938,18
3946,1
3947,9
3971,3
3987,18
3992,4
3996,5
4000,3
4003,1
4004,12
4008,10
4018,1
4020,4
4021,4
4023,8
4034,1
4041,3
4042,6
4047,6
4052,10
4053,8
4060,1
4065,13
4072,1
4077,9
4078,7
4085,6
4087,6
4093,8
4094,8
4096,2
4100,4
4110,17
4117,12
4121,4
4128,4
4133,1
4143,5
4148,8
4152,5
4153,9
4155,11
4160,5
4164,1
4166,12
4173,6
