doc_idx,category
11,2
17,5
27,9
29,1
35,6
45,2
49,12
50,7
52,2
61,6
65,4
74,4
75,15
78,18
80,12
84,1
85,8
89,13
92,11
94,7
97,10
98,2
107,17
108,7
112,3
120,10
123,4
128,9
130,1
138,9
143,9
145,3
149,7
150,1
153,8
159,8
160,1
161,1
162,9
163,0
188,5
189,1
192,1
193,1
197,18
201,4
205,5
211,5
215,2
216,9
218,1
222,5
225,10
230,3
236,17
237,4
238,1
242,3
248,13
252,1
256,11
259,2
260,9
266,12
276,2
280,9
289,9
297,9
302,8
303,6
309,2
311,9
314,9
315,4
317,1
318,1
321,9
325,0
329,1
342,4
345,5
346,13
348,1
352,13
354,10
357,12
361,5
362,9
366,3
380,9
381,2
382,11
383,1
385,8
393,2
403,2
405,8
411,1
412,1
413,1
417,9
421,8
431,4
432,1
434,8
443,13
448,11
449,5
452,9
457,9
458,9
463,1
471,4
474,2
482,9
483,5
484,9
485,1
488,9
493,9
504,4
515,4
526,1
530,2
535,4
540,4
550,2
553,2
556,1
558,1
570,15
574,1
576,4
587,17
595,8
597,9
599,2
605,1
613,12
614,6
620,8
624,9
629,9
637,4
638,10
639,10
642,3
643,4
645,9
647,9
666,1
667,9
668,4
674,1
679,10
686,3
690,9
696,4
699,18
703,9
704,1
705,12
710,2
711,9
720,10
722,4
724,2
725,4
732,15
735,5
738,10
741,9
746,4
751,1
752,3
765,4
766,1
768,10
778,13
781,1
788,9
797,3
800,2
802,10
807,3
808,4
811,4
817,4
818,1
822,4
823,3
827,2
831,4
839,5
846,2
849,1
852,10
853,11
859,1
860,1
868,11
871,4
872,15
875,14
881,4
897,2
900,0
908,3
916,9
920,2
922,12
923,3
924,8
925,5
929,9
937,15
944,0
948,9
949,16
960,3
961,1
963,3
965,10
974,11
978,12
984,12
986,4
989,1
995,1
996,17
998,14
1000,4
1005,9
1008,5
1023,3
1032,5
1036,18
1041,18
1042,7
1043,18
1052,0
1056,10
1058,4
1066,6
1067,2
1077,2
1078,2
1082,4
1090,2
1092,0
1101,9
1102,6
1104,7
1107,3
1112,4
1116,6
1119,1
1133,0
1138,17
1146,6
1162,11
1168,0
1169,1
1171,0
1172,5
1173,1
1175,9
1180,3
1182,0
1188,8
1190,2
1192,3
1195,4
1197,7
1198,1
1201,6
1208,9
1217,9
1219,8
1220,2
1221,7
1223,1
1226,2
1232,9
1240,4
1241,4
1245,8
1259,3
1269,13
1270,5
1276,13
1280,2
1282,4
1286,9
1293,11
1294,9
1304,1
1308,9
1313,7
1315,9
1317,13
1326,18
1331,8
1343,3
1355,9
1357,8
1359,9
1360,9
1367,12
1376,3
1384,4
1387,9
1388,1
1393,8
1396,5
1403,0
1404,8
1408,6
1409,7
1413,17
1415,8
1417,3
1418,12
1421,5
1423,4
1438,15
1443,1
1444,4
1450,9
1458,4
1465,18
1467,3
1469,4
1478,1
1483,4
1484,9
1487,14
1497,4
1499,9
1502,9
1507,0
1523,6
1532,8
1533,5
1534,0
1535,3
1537,8
1542,0
1544,6
1551,8
1556,9
1559,5
1560,2
1562,1
1578,10
1581,10
1585,1
1594,9
1596,1
1597,1
1599,4
1600,2
