doc_idx,category
1,2
3,19
5,1
9,17
10,11
12,13
13,5
16,1
18,13
19,17
27,7
29,5
31,17
33,17
35,13
44,9
47,10
56,2
59,17
62,1
68,12
76,9
81,20
84,5
86,14
96,10
97,0
99,9
101,13
103,5
106,9
107,11
109,9
110,13
116,17
117,1
127,9
128,13
130,15
131,3
133,18
134,9
137,5
140,19
150,22
152,4
158,1
160,18
163,25
165,1
166,9
169,14
170,23
171,20
173,23
174,1
176,9
177,24
178,19
184,12
185,18
188,2
197,0
201,11
202,0
207,22
208,3
209,0
211,9
212,0
217,5
223,3
224,3
227,14
229,17
230,2
234,12
235,7
236,4
238,5
244,18
247,12
254,6
256,4
260,19
266,9
268,6
269,1
270,1
274,18
278,11
283,12
285,18
286,23
291,12
292,18
293,7
294,0
300,4
304,12
307,5
309,4
310,16
315,18
319,5
320,5
322,18
328,0
330,0
331,9
332,9
333,12
335,0
339,5
340,9
341,1
342,12
346,7
349,12
354,18
361,5
363,13
367,9
370,11
373,0
376,5
377,22
378,5
379,25
380,15
382,5
386,4
388,13
390,6
391,18
392,18
398,7
399,3
400,18
406,18
407,5
413,13
414,2
420,5
427,9
428,9
429,9
430,4
435,7
438,9
440,5
442,0
449,1
451,13
456,9
459,23
462,0
465,17
472,9
473,12
475,5
479,15
485,11
487,3
490,12
493,11
495,0
496,9
497,12
498,12
499,22
501,11
502,10
509,22
510,14
512,9
514,14
517,22
520,21
523,10
525,14
527,11
528,1
529,18
530,24
538,4
542,11
544,7
549,12
551,12
553,25
554,12
555,13
564,26
566,4
570,9
574,5
575,4
577,0
578,4
587,12
602,4
603,17
604,0
606,12
608,0
613,6
614,12
618,21
623,1
624,9
626,12
629,18
634,9
637,3
654,14
659,5
661,9
666,17
669,19
678,14
679,18
680,18
681,4
685,2
688,9
696,9
697,2
701,5
702,22
705,4
713,3
717,14
718,21
722,1
724,14
727,9
738,2
742,25
747,5
755,0
757,18
761,5
773,4
777,14
779,8
780,14
781,1
782,22
787,20
790,9
796,17
797,11
805,9
809,4
812,9
813,10
821,5
831,4
837,5
840,5
841,0
842,18
843,17
851,13
853,4
856,12
861,11
864,9
866,24
867,11
871,18
874,12
875,9
876,12
881,9
885,18
887,12
888,1
889,7
891,21
893,13
896,2
900,22
903,2
904,25
909,2
912,1
914,18
917,11
918,1
920,4
925,12
927,1
928,11
930,13
931,4
933,5
937,5
938,9
942,11
944,3
951,3
954,0
958,1
960,14
963,22
964,7
967,15
968,4
970,3
971,18
975,5
981,2
982,23
984,9
986,1
989,17
992,5
996,22
998,22
1001,13
1003,14
1006,1
1007,19
1008,20
1013,1
1015,12
1018,7
1019,25
1021,4
1023,9
1031,9
1032,12
1034,9
1036,25
1037,20
1039,21
1045,9
1046,1
1048,15
1055,12
1056,13
1060,9
1061,9
1064,17
1067,20
1069,12
1072,17
1073,21
1074,1
1075,2
1077,11
1084,13
1086,7
1087,12
1088,18
1092,4
1094,2
1096,16
1107,12
1111,17
1115,4
1118,9
1123,25
1126,5
1128,1
1136,15
1138,7
1139,1
1140,25
1142,6
1144,11
1150,13
1151,2
1153,0
1158,11
1162,22
1168,22
1169,5
1171,3
1172,1
1178,2
1185,4
1186,17
1187,11
1188,18
1192,9
1193,23
1194,3
1195,3
1201,13
1207,18
1208,18
1209,25
1211,17
1212,12
1221,12
1223,8
1224,18
1225,5
1226,21
1232,5
1234,25
1235,22
1236,9
1241,0
1245,22
1248,12
1250,18
1251,2
1254,9
1255,9
1263,23
1266,5
1267,25
1272,4
1273,1
1275,15
1277,23
1278,9
1281,9
1282,12
1283,9
1286,1
1289,2
1293,15
1294,11
1299,22
1302,13
1306,21
1311,11
1312,13
1313,20
1316,2
1318,5
1328,18
1329,7
1330,23
1335,24
1342,9
1343,5
1346,11
1349,5
1350,17
1351,12
1356,24
1359,14
1364,26
1371,14
1372,1
1377,9
1379,13
1382,0
1384,5
1385,8
1387,0
1403,17
1404,18
1405,2
1407,17
1413,4
1421,15
1425,22
1426,1
1427,11
1429,10
1431,2
1433,25
1436,18
1438,12
1439,3
1440,1
1441,7
1443,22
1444,11
1447,2
1448,19
1452,1
1457,3
1461,9
1463,13
1464,9
1471,5
1474,18
1476,1
1478,15
1479,0
1482,13
1483,0
1484,2
1487,5
1489,9
1491,25
1496,0
1501,4
1503,5
1504,12
1505,9
1513,18
1516,15
1521,22
1522,5
1524,23
1527,11
1530,2
1533,1
1535,9
1539,3
1541,14
1545,21
1546,2
1547,5
1555,3
1556,18
1560,15
1562,14
1563,17
1564,19
1568,13
1570,23
1571,4
1572,9
1575,2
1577,23
1579,0
1580,12
1581,23
1587,1
1591,15
1592,5
1594,0
1597,1
1606,13
1611,21
1615,11
1616,20
1618,4
1621,4
1623,9
1625,5
1629,11
1633,9
1635,1
1638,12
1641,17
1642,12
1643,5
1645,18
1646,9
1652,2
1653,1
1657,1
1658,15
1664,13
1670,1
1672,4
1674,12
1676,11
1679,22
1680,14
1681,19
1682,5
1683,9
1685,17
1687,18
1692,17
1695,24
1701,9
1702,12
1707,2
1708,9
1709,13
1712,9
1714,17
1715,5
1716,12
1717,9
1718,17
1720,18
1723,22
1724,23
1735,12
1737,23
1738,3
1739,9
1740,9
1744,12
1746,22
1747,9
1749,9
1750,1
1752,9
1758,18
1760,18
1769,12
1771,13
1772,21
1774,16
1775,5
1779,4
1780,23
1785,13
1787,19
1788,1
1795,7
1802,17
1803,9
1807,2
1809,7
1823,5
1827,1
1829,7
1831,18
1838,13
1846,8
1849,9
1852,18
1853,24
1855,5
1856,1
1857,25
1865,13
1867,12
1868,20
1871,23
1874,1
1875,1
1876,10
1879,4
1880,11
1884,9
1886,12
1887,0
1888,3
1889,1
1892,17
1893,1
1894,19
1895,12
1896,4
1897,10
1900,24
1901,25
1903,18
1904,1
1906,17
1908,13
1909,11
1910,12
1914,25
1916,5
1931,23
1933,2
1934,1
1935,7
1937,7
1938,16
1939,2
1942,2
1950,1
1952,2
1953,1
1954,20
1958,9
1961,21
1963,9
1965,3
1968,18
1976,23
1978,2
1979,5
1980,9
1981,25
1984,4
1986,14
1988,12
1989,17
1991,21
1995,13
1997,5
2000,9
2001,14
2002,15
2003,24
2010,13
2012,4
2013,24
2015,22
2019,23
2028,9
2029,7
2034,22
2037,25
2038,0
2039,18
2040,14
2041,17
2043,20
2045,13
2053,1
2059,3
2063,2
2067,22
2068,0
2075,13
2077,15
2078,21
2083,12
2085,4
2086,9
2088,13
2090,4
2094,9
2095,11
2099,2
2111,24
2114,9
2115,9
2118,1
2123,1
2125,22
2131,21
2132,5
2134,12
2137,5
2142,18
2146,10
2151,9
2158,17
2161,7
2162,9
2165,9
2169,4
2174,9
2176,3
2178,18
2180,5
2182,2
2183,25
2185,9
2192,25
2196,9
2197,18
2199,14
2204,12
2206,9
2213,9
2215,9
2219,11
2221,5
2226,18
2238,2
2241,17
2244,5
2246,1
2249,18
