doc_idx,category
1,10
6,7
8,3
12,13
14,13
15,14
20,10
21,12
25,2
29,3
30,9
33,1
39,6
42,10
49,2
51,12
52,6
55,4
63,8
66,8
72,13
76,8
80,3
82,11
89,3
90,4
98,5
101,13
105,1
111,7
116,1
119,12
123,10
126,2
127,8
130,5
134,8
138,13
142,8
143,3
144,14
146,10
147,8
151,3
154,8
163,8
164,14
165,2
170,12
172,2
175,8
179,11
181,4
186,6
187,10
195,9
198,3
201,12
202,8
206,12
214,13
217,3
222,2
224,1
227,9
237,12
241,4
244,11
247,6
250,11
254,3
255,12
256,14
257,11
260,11
272,4
274,10
278,12
283,6
286,12
287,8
292,0
302,13
304,6
311,5
317,9
318,6
326,8
327,2
329,4
337,3
339,3
340,8
347,8
348,1
349,6
356,4
359,6
375,13
379,14
380,5
381,3
385,2
388,13
394,3
396,8
405,3
407,3
411,2
413,13
415,10
427,8
429,8
432,6
433,8
443,1
444,4
447,6
451,13
464,12
465,1
467,8
472,8
475,3
483,8
487,1
489,4
493,4
495,0
499,12
502,8
512,8
517,12
519,8
520,12
521,14
524,12
527,12
528,2
530,4
531,9
532,10
533,0
535,11
539,7
547,3
548,14
551,6
555,13
557,13
558,12
559,2
560,9
572,8
574,3
592,9
595,13
597,6
601,11
608,0
614,6
620,11
623,2
625,8
626,6
629,11
634,8
642,11
650,11
660,0
661,8
670,3
674,12
676,1
677,2
683,13
684,3
691,6
693,13
694,13
695,6
696,8
698,1
713,1
719,8
722,2
725,6
730,13
731,3
733,2
735,6
737,0
738,10
741,2
745,1
751,8
756,6
757,11
759,6
768,11
773,7
776,12
779,12
785,6
786,6
795,7
800,3
812,8
818,10
824,8
828,1
830,2
833,8
840,3
842,11
843,1
846,3
858,11
859,6
864,8
871,11
873,12
874,6
875,8
885,11
888,2
903,10
910,2
914,11
915,13
916,9
917,8
918,2
931,7
936,12
937,3
944,1
945,2
957,5
962,6
963,12
965,3
969,4
971,11
972,3
973,6
974,8
977,9
978,8
979,3
982,12
991,8
994,2
997,1
1006,2
1008,3
1010,12
1014,8
1017,3
1022,6
1025,3
1028,5
1034,8
1035,8
1037,4
1041,9
1042,12
1045,8
1051,12
1063,11
1064,1
1066,13
1071,6
1083,5
1086,3
1091,8
1095,2
1096,6
1098,8
1106,10
1121,12
1122,3
1124,8
1130,6
1133,11
1136,5
1137,3
1139,2
1140,14
1142,3
1145,6
1146,14
1155,8
1156,5
1158,12
1160,8
1161,13
1166,2
1170,12
1171,1
1172,2
1175,12
1180,8
1181,1
1185,7
1186,1
1197,10
1200,6
1201,13
1208,11
1209,8
1220,3
1224,11
1226,12
1229,5
1231,11
1235,12
1238,10
1243,8
1252,6
1254,8
1259,6
1267,14
1278,8
1281,8
1286,2
1290,4
1291,9
1294,4
1296,12
1299,12
1301,0
1302,13
1303,0
1312,13
1315,1
1319,6
1320,8
1326,9
1327,3
1328,11
1330,12
1332,2
1343,3
1345,10
1347,8
1357,7
1362,8
1363,10
1365,3
1369,8
1370,3
1371,9
1374,8
1375,13
1378,2
1383,1
1384,3
1386,2
1388,6
1391,2
1393,13
1394,13
1395,9
1397,12
1400,0
1417,11
1421,5
1422,6
1427,12
1429,8
1430,2
1431,10
1434,8
1438,6
1450,3
1454,8
1455,5
1457,14
1461,8
1463,13
1467,11
1469,8
1477,8
1493,8
1507,1
1508,6
1511,8
1513,11
1514,6
1515,12
1519,12
1521,0
1524,12
1529,2
1532,7
1538,7
1543,13
1550,1
1558,1
1564,11
1569,13
1570,12
1571,7
1580,6
1587,2
1591,5
1595,8
1600,10
1601,10
1604,8
1606,13
1607,5
1617,8
1620,11
1624,10
1626,7
1629,12
1630,6
1631,8
1632,11
1633,8
1642,7
1643,3
1645,11
1648,1
1651,11
1659,9
1663,11
1668,6
1669,13
1670,2
1674,6
1677,14
1679,12
1680,9
1682,3
1685,1
1687,11
1688,8
1690,3
1696,6
1702,6
1705,12
1713,8
1715,3
1717,8
1731,6
1732,6
1736,4
1739,8
1741,6
1748,6
1755,3
1763,6
1767,14
1776,2
1779,7
1781,11
1783,12
1790,5
1802,1
1806,2
1811,0
1817,1
1818,0
1819,10
1822,6
1823,3
1828,2
1829,3
1832,9
1835,8
1838,13
1843,0
1845,0
1848,14
1851,8
1855,3
1856,2
1861,11
1865,13
1869,9
1870,7
1871,12
1875,2
1880,4
1881,1
1886,6
1889,2
1891,8
1893,2
1905,12
1908,13
1909,14
1916,3
1921,12
1923,3
1924,6
1928,2
1933,10
1934,2
1935,3
1939,10
1949,14
1953,0
1956,3
1965,1
1966,1
1969,5
1971,0
1974,3
1976,12
1982,2
1986,9
1988,0
1994,11
2006,0
2015,0
2021,1
2029,3
2031,11
2033,13
2038,6
2040,9
2042,2
2044,12
2045,13
2055,3
2056,10
2059,1
2061,2
2066,12
2067,12
2071,3
2073,6
2080,1
2081,4
2082,8
2087,3
2089,8
2095,12
2102,0
2103,2
2104,3
2106,6
2107,13
2110,1
2111,4
2118,2
2120,4
2122,9
2123,2
2126,11
2129,6
2132,3
2133,6
2137,3
2139,12
2141,14
2143,6
2146,8
2147,8
2159,10
2169,7
2172,1
2176,1
2190,8
2191,12
2193,6
2203,13
2207,11
2216,3
2217,11
2220,11
2222,14
2224,13
2227,7
2228,6
2232,10
2233,8
2237,11
2239,12
2241,1
2242,7
2250,6
2252,9
2256,4
2257,9
2259,13
2260,8
2262,6
2266,10
2270,2
2273,1
2274,7
2279,6
2289,9
2298,12
2299,2
2302,3
2307,9
2308,6
2310,2
2316,10
2322,3
2332,11
2337,6
2341,4
2345,3
2346,6
2347,8
2352,12
2359,3
2364,11
2366,6
2371,12
2373,12
2375,3
2377,0
2378,12
2382,13
2388,2
2397,2
2401,3
2402,12
2406,8
2420,7
2423,13
2425,2
2427,8
2434,2
2435,0
2444,13
2449,6
2453,3
2456,5
2457,3
2459,8
2468,13
2470,9
2472,12
2477,11
2485,1
2489,5
2493,6
2494,2
2501,2
2514,6
2516,11
2517,11
2520,13
2524,2
2529,1
2534,12
2535,3
2536,11
2549,2
2550,8
2553,6
2555,7
2558,6
2559,8
2562,3
2563,3
2567,9
2571,5
2572,11
2575,7
2584,7
2593,2
2617,12
2621,1
2624,3
2627,13
2631,6
2632,3
2633,7
2637,3
2641,13
2642,14
2652,9
2654,11
2660,8
2661,7
2662,12
2665,10
2672,7
2673,12
2675,11
2681,13
2687,8
2688,13
2691,2
2696,6
2698,12
2699,7
2702,13
2704,1
2705,1
2708,8
2713,7
2716,8
2719,11
2720,6
2723,3
2729,3
2735,8
2737,11
2739,3
2742,4
2743,7
2748,0
2750,0
2755,8
2756,7
2758,11
2768,9
2772,6
2774,2
2781,8
2782,12
2783,3
2788,3
2790,8
2796,6
2798,3
2801,8
2804,10
2807,13
2813,6
2818,8
2825,11
2827,11
2829,12
2830,6
2833,10
2836,12
2841,6
2844,8
2853,2
2855,6
2860,12
2867,0
2874,7
2882,10
2883,1
2887,5
2888,9
2889,7
2890,12
2893,14
2897,6
2899,3
2900,2
2905,12
2907,11
2909,7
2910,12
2911,1
2916,1
2917,3
2920,2
2922,6
2923,11
2927,8
2928,11
2932,9
2942,1
2945,7
2949,8
2951,8
2953,3
2957,9
2959,14
2960,11
2963,13
2964,2
2966,2
2967,8
2969,12
2971,6
