doc_idx,category
20,10
21,12
23,6
26,5
27,3
28,11
31,1
33,1
41,0
43,1
48,8
49,2
52,6
53,10
56,10
59,1
62,2
64,12
65,11
66,8
67,1
70,8
73,11
74,1
78,9
80,3
81,9
86,9
88,14
93,10
95,8
97,0
98,5
102,3
105,1
106,8
107,12
111,7
116,1
117,2
120,9
124,1
126,2
135,10
137,3
142,8
143,3
144,6
149,2
150,12
151,3
156,4
164,14
166,8
172,2
173,12
176,8
177,4
179,11
187,10
189,8
192,3
193,5
200,11
201,12
203,9
204,6
205,7
209,13
211,8
212,14
216,3
225,6
227,9
234,6
235,3
237,12
239,13
240,3
242,3
248,12
254,3
255,12
257,11
258,1
263,6
265,14
276,8
277,3
281,6
283,6
285,11
298,14
300,7
301,11
303,11
304,6
305,8
309,7
310,6
312,9
314,3
315,11
316,13
319,3
320,3
322,11
324,12
325,12
327,2
330,0
332,4
334,1
337,3
339,3
340,8
345,3
346,3
348,1
350,6
353,5
357,6
358,2
363,13
364,8
366,3
368,11
369,3
371,13
372,4
381,3
383,10
384,11
385,2
388,13
389,8
392,11
397,2
406,11
414,10
419,1
426,6
428,8
432,8
440,3
442,0
443,1
444,4
447,0
451,13
452,3
453,14
462,6
469,7
471,1
472,8
473,6
475,3
477,8
478,2
480,8
483,8
490,6
491,6
493,4
503,11
504,2
506,8
510,9
519,8
520,12
527,12
529,11
530,4
534,9
536,14
541,8
542,4
544,3
546,4
552,12
553,0
561,8
562,9
569,2
572,8
574,3
579,0
588,6
591,8
594,8
600,4
601,11
603,1
605,1
614,6
625,8
628,0
629,11
637,1
648,11
650,12
653,8
654,9
655,7
656,7
658,11
666,1
671,6
674,12
676,1
679,11
680,11
685,10
690,4
691,6
695,6
696,8
697,10
698,1
700,9
706,5
709,2
711,6
719,8
721,12
724,9
725,6
726,6
731,3
734,10
735,6
736,3
737,13
738,10
746,4
748,2
749,4
750,0
751,8
752,8
759,6
762,1
763,6
766,6
769,2
774,2
785,6
786,6
791,3
792,11
794,11
800,3
801,11
803,3
804,7
806,8
807,2
812,8
815,3
816,9
820,8
825,8
831,7
843,1
848,6
849,8
854,6
857,12
858,11
859,6
860,6
863,1
864,8
866,4
867,12
868,2
869,8
870,10
873,12
876,6
878,11
879,3
880,11
886,14
891,12
892,6
896,10
897,12
898,3
907,12
908,5
909,10
912,2
913,9
917,8
924,8
925,6
927,2
931,7
934,10
936,12
939,6
941,1
942,12
949,1
952,13
954,1
955,3
956,6
957,5
960,9
961,0
964,3
966,12
967,5
968,7
970,1
985,2
988,12
990,11
996,12
1000,3
1001,13
1007,11
1011,9
1015,6
1020,3
1022,6
1025,3
1028,5
1032,6
1033,11
1034,8
1039,6
1040,14
1041,9
1043,11
1045,8
1047,3
1051,12
1053,14
1056,13
1057,2
1063,11
1068,14
1071,6
1074,2
1076,11
1081,3
1083,5
1086,3
1090,3
1091,8
1093,10
1095,2
1099,8
1101,6
1104,11
1105,4
1108,1
1109,10
1111,1
1112,6
1113,8
1115,7
1117,6
1119,3
1121,12
1124,8
1125,11
1128,2
1133,11
1139,2
1141,4
1143,12
1147,9
1153,0
1154,12
1155,8
1160,8
1162,12
1166,2
1169,3
1170,12
1171,1
1172,2
1181,1
1184,4
1185,7
1186,1
1189,8
1190,6
1191,8
1195,1
1197,10
1199,14
1202,0
1207,11
1208,11
1210,3
1216,2
1218,1
1223,3
1224,11
1231,0
1232,3
1233,9
1236,8
1237,5
1238,10
1239,3
1246,8
1247,12
1248,6
1251,10
1252,6
1253,11
1254,8
1255,8
1260,1
1261,2
1272,7
1275,5
1276,10
1277,12
1278,8
1279,8
1281,8
1282,6
1283,8
1285,8
1287,8
1288,11
1289,10
1292,9
1294,4
1296,12
1298,7
1303,6
1310,13
1313,7
1314,6
1318,3
1320,8
1323,8
1326,9
1327,3
1328,11
1333,3
1335,4
1343,3
1344,7
1345,10
1346,6
1347,8
1348,6
1349,3
1352,12
1357,7
1358,6
1361,2
1362,8
1372,2
1373,6
1375,13
1378,2
1379,13
1380,6
1383,1
1385,12
1387,11
1388,9
1390,11
1393,13
1395,9
1396,1
1401,3
1403,1
1404,11
1405,10
1407,1
1408,3
1411,14
1412,4
1416,7
1417,11
1421,5
1422,6
1424,3
1429,8
1430,2
1431,10
1432,2
1433,14
1434,8
1435,3
1441,3
1444,12
1446,3
1450,3
1459,3
1467,11
1469,8
1471,3
1481,8
1487,3
1497,8
1498,0
1501,7
1508,6
1510,13
1511,8
1512,11
1513,11
1523,8
1524,12
1526,11
1529,2
1532,7
1533,2
1535,8
1538,8
1544,2
1546,9
1547,3
1553,10
1565,14
1570,12
1572,8
1573,12
1576,8
1578,12
1582,11
1583,13
1584,6
1590,14
1594,7
1596,9
1598,6
1599,8
1600,10
1604,8
1608,3
1610,0
1614,12
1618,7
1622,6
1623,8
1625,3
1626,7
1631,8
1632,11
1633,8
1634,4
1637,10
1641,1
1645,11
1648,1
1651,11
1655,3
1657,2
1660,5
1663,11
1664,13
1670,2
1674,6
1677,14
1679,12
1682,3
1683,8
1684,14
1693,3
1696,6
1697,13
1699,1
1700,6
1703,6
1705,12
1710,6
1712,8
1715,3
1716,6
1727,10
1729,14
1730,1
1732,6
1733,6
1736,4
1741,6
1745,3
1746,12
1748,6
1751,10
1753,6
1757,3
1758,11
1759,14
1760,11
1764,2
1773,12
1777,13
1778,5
1780,6
1785,13
1786,12
1790,5
1797,11
1801,10
1806,2
1810,14
1815,3
1816,12
1817,1
1818,12
1819,10
1820,10
1821,2
1826,8
1827,2
1829,3
1833,3
1838,13
1840,1
1842,3
1844,4
1845,11
1850,12
1851,8
1854,2
1857,13
1862,11
1864,6
1873,6
1876,8
1877,7
1879,7
1885,6
1886,6
1887,6
1891,8
1892,1
1894,11
1897,6
1898,8
1901,4
1904,2
1908,13
1912,1
1918,12
1923,3
1925,6
1926,7
1928,2
1929,8
1931,12
1933,10
1934,2
1936,6
1937,3
1945,13
1947,13
1954,11
1955,6
1956,3
1957,5
1958,8
1964,2
1966,1
1968,11
1976,12
1978,10
1984,7
1990,12
1992,3
1995,13
2004,2
2005,14
2008,8
2010,13
2011,9
2018,9
2019,12
2022,8
2023,12
2024,6
2030,8
2031,11
2032,14
2046,6
2047,12
2050,8
2051,11
2055,3
2056,10
2058,11
2064,2
2065,9
2066,12
2067,12
2068,0
2072,11
2080,1
2082,8
2087,3
2094,8
2101,8
2105,6
2106,6
2108,6
2111,4
2115,8
2116,6
2118,2
2119,7
2121,14
2122,6
2123,2
2125,12
2128,0
2134,6
2135,12
2137,3
2147,8
2148,3
2151,11
2155,13
2156,1
2158,1
2160,2
2161,3
2170,2
2171,2
2177,12
2180,3
2181,3
2182,10
2187,12
2194,8
2196,8
2199,9
2201,12
2202,10
2203,13
2205,4
2208,0
2211,0
2227,7
2228,0
2229,6
2230,3
2231,12
2238,10
2239,12
2242,7
