doc_idx,category
4,52
9,25
10,21
14,5
15,0
22,68
23,0
27,6
30,14
33,25
37,75
40,11
44,52
49,39
53,45
57,32
64,8
69,18
70,52
76,63
92,66
98,49
104,49
109,36
113,42
117,39
118,11
119,44
121,32
124,58
132,4
135,28
137,33
138,26
141,53
144,0
148,9
156,0
169,3
175,52
179,53
182,33
188,45
191,16
192,7
195,50
196,49
202,27
204,0
206,1
215,44
217,7
224,16
227,50
228,0
229,25
234,0
235,6
238,7
242,85
245,10
248,17
251,6
252,34
253,4
259,6
263,0
271,13
276,52
289,32
290,71
295,2
296,0
298,28
299,1
302,5
303,32
305,27
306,32
311,74
314,33
316,5
317,3
320,7
326,52
332,0
333,69
338,24
346,6
349,22
351,4
353,19
357,0
361,7
369,46
380,49
385,11
390,10
392,32
396,63
398,6
399,16
402,8
405,46
410,25
418,52
422,47
425,25
427,52
436,63
438,52
443,25
446,70
452,33
454,37
457,17
459,61
461,0
463,0
465,68
472,27
478,11
480,52
482,4
483,52
485,42
487,16
488,74
489,49
491,74
493,42
496,52
501,42
502,52
503,48
507,76
514,50
517,34
518,4
526,74
527,42
529,72
531,14
538,13
543,6
545,74
546,76
547,77
553,0
558,21
562,3
563,75
567,0
569,11
570,36
572,20
575,43
578,24
582,26
587,22
596,52
597,74
599,74
600,31
601,32
615,33
616,42
618,41
619,11
621,5
638,28
641,11
643,19
648,9
652,1
654,50
655,43
661,38
663,19
666,25
667,4
672,8
674,21
682,2
683,5
685,16
686,3
687,43
688,52
692,40
701,46
702,8
704,5
712,6
716,41
719,42
720,6
722,39
723,37
727,52
728,3
731,6
743,68
745,45
746,18
748,2
751,52
762,68
766,74
768,56
775,75
776,12
778,63
779,1
783,25
791,46
793,39
794,53
806,52
812,36
817,20
820,27
825,20
826,37
831,24
836,9
838,32
847,50
849,36
850,0
852,42
861,42
868,11
874,22
878,32
880,32
882,0
883,4
890,50
891,8
896,4
898,10
899,74
900,8
905,3
906,33
909,4
910,11
912,2
914,32
918,11
921,22
923,10
924,52
927,11
933,7
934,4
935,10
936,42
938,52
943,28
944,51
951,51
953,5
958,2
962,74
963,8
966,37
969,18
971,32
977,3
979,6
982,37
983,74
988,34
989,25
991,52
993,74
995,10
997,45
998,8
1002,11
1003,42
1005,52
1013,0
1017,46
1023,53
1025,10
1027,52
1037,0
1041,4
1043,9
1044,11
1047,10
1049,22
1051,44
1052,2
1059,25
1061,38
1070,39
1077,42
1078,78
1083,19
1084,5
1086,14
1087,74
1093,45
1094,4
1095,0
1098,52
1099,52
1100,8
1101,74
1103,19
1106,4
1108,25
1109,4
1114,52
1118,36
1122,6
1127,52
1129,9
1136,19
1138,6
1139,11
1140,0
1151,4
1158,42
1173,36
1183,50
1185,13
1191,0
1196,46
1199,59
1212,22
1217,6
1225,7
1232,33
1236,38
1239,46
1240,18
1244,7
1246,36
1255,63
1256,45
1257,32
1259,22
1260,51
1261,2
1262,74
1263,41
1264,36
1267,35
1269,25
1271,52
1273,39
1275,74
1280,31
1283,52
1284,32
1288,42
1290,50
1300,36
1301,81
1302,5
1303,0
1311,18
1318,46
1323,36
1328,32
1330,37
1332,11
1334,0
1341,52
1343,77
1349,66
1351,22
1355,11
1357,24
1366,9
1368,7
1370,7
1376,0
1377,53
1379,26
1385,1
1386,11
1397,12
1399,2
1403,25
1410,7
1412,31
1414,4
1417,32
1419,52
1423,6
1424,7
1431,4
1432,2
1449,46
1450,33
1452,75
1453,50
1455,19
1458,41
1460,78
1464,52
1467,32
1473,32
1476,75
1477,63
1486,45
1487,46
1489,36
1490,45
1491,35
1509,32
1513,32
1515,8
1529,11
1533,2
1537,27
1538,55
1544,11
1547,33
1548,0
1550,25
1553,4
1555,16
1564,48
1567,0
1570,37
1573,1
1577,8
1580,0
1583,5
1587,39
1599,52
1603,37
1604,52
1606,5
1612,0
1615,0
1618,13
1625,80
1636,59
1639,4
1643,7
1649,0
1651,72
1657,2
1658,19
1665,7
1670,11
1673,43
1677,59
1682,33
1683,52
1686,8
1692,25
1695,31
1697,26
1698,5
1702,22
1708,52
1715,66
1717,70
1726,51
1735,74
1736,31
1737,1
1738,16
1739,52
1742,32
1753,74
1756,74
1761,11
1763,22
1771,5
1772,41
1773,1
1783,47
1784,52
1788,75
1791,36
1794,12
1798,37
1801,45
1804,24
1806,75
1813,25
1824,26
1830,52
1839,71
1850,8
1854,2
1855,76
1859,0
1864,0
1872,30
1876,27
1878,39
1881,25
1884,63
1885,74
1888,16
1893,39
1897,60
1901,28
1912,16
1923,85
1931,37
1934,39
1935,6
1936,0
1945,26
1948,32
1950,30
1955,22
1957,19
1964,39
1965,51
1969,19
1994,32
2000,52
2001,3
2010,5
2012,13
2013,31
2015,0
2016,45
2019,37
2033,26
2041,25
2058,32
2060,20
2063,11
2066,34
2075,5
2085,39
2090,24
2102,0
2104,67
2110,16
2116,65
2124,52
2133,65
2148,46
2155,5
2158,29
2166,0
2170,11
2172,16
2174,36
2175,11
2181,77
2184,52
2192,0
2193,74
2198,44
2201,37
2202,45
2203,5
2205,18
2207,72
2208,0
2213,38
2215,38
2219,0
2223,36
2226,32
2228,0
2231,62
2232,45
2235,43
2236,75
2239,41
2243,45
2245,37
2246,39
2253,33
2254,24
2262,22
2264,4
2265,27
2275,0
2276,19
2289,50
2297,50
2300,32
2302,10
2305,11
2306,37
2309,66
2315,19
2316,4
2320,16
2326,27
2327,4
2328,25
2345,66
2346,49
2348,11
2350,25
2351,2
2361,10
2363,0
2368,32
2369,0
2370,2
2380,41
2382,26
2386,17
2392,36
2402,62
2414,32
2415,28
2419,27
2422,55
2424,70
2427,52
2433,32
2439,66
2440,39
2443,11
2447,67
2450,18
2452,53
2458,63
2459,0
2472,77
2475,30
2480,19
2481,72
2489,40
2490,14
2497,5
2510,42
2513,0
2514,74
2517,32
2519,66
2522,74
2525,13
2534,8
2542,50
2544,74
2547,28
2553,22
2557,1
2560,20
2565,16
2570,74
2571,74
2573,52
2579,67
2580,67
2584,24
2585,63
2596,53
2600,24
2606,11
2613,9
2615,75
2619,4
2621,25
2623,52
2632,85
2637,66
2644,32
2645,52
2649,4
2655,24
2661,0
2662,1
2672,43
2675,9
2680,36
2683,24
2684,49
2687,25
2691,39
2697,63
2698,37
2701,0
2703,13
2707,46
2709,32
2712,45
2714,50
2715,14
2720,22
2722,52
2724,70
2725,39
2729,85
2730,19
2731,2
2734,2
2737,32
2738,13
2741,2
2742,20
2747,9
2759,7
2763,10
2766,20
2773,71
2774,2
2776,25
2781,24
2786,45
2808,32
2812,3
2813,59
2814,74
2817,52
2819,32
2822,41
2831,10
2833,4
2834,64
2835,25
2837,5
2841,8
2842,0
2843,63
2844,52
2851,63
2853,11
2857,7
2858,16
2859,9
2861,11
2863,36
2864,66
2866,77
2870,16
2879,5
2882,4
2884,0
2887,49
2890,76
2891,0
2894,3
2895,37
2896,4
2902,4
2904,63
2908,32
2910,78
2917,33
2920,11
2925,46
2926,46
2938,85
2941,0
2948,52
2949,60
2954,37
2960,0
2967,76
2973,75
