doc_idx,category
0,0
3,7
5,5
6,18
10,23
12,17
13,8
14,17
15,3
18,17
19,11
23,13
29,8
31,11
35,17
38,3
47,14
52,4
53,24
62,5
64,19
67,1
70,21
71,8
73,25
74,11
76,20
80,8
82,0
90,2
91,6
93,24
95,22
97,0
101,17
104,15
106,22
107,9
108,21
109,22
113,13
114,3
118,5
120,15
122,21
127,21
131,1
132,24
134,21
137,8
140,7
146,24
150,19
153,25
155,1
161,11
167,18
168,21
169,15
174,5
176,21
183,16
184,13
185,25
187,24
188,24
190,18
191,1
192,8
193,12
200,0
201,9
202,13
207,19
211,22
214,17
218,15
221,0
225,13
227,15
235,26
236,18
238,8
239,17
243,25
247,16
248,9
250,7
254,6
255,28
257,7
267,25
269,5
270,5
271,18
273,3
274,25
275,15
278,9
279,7
284,3
285,13
292,3
294,0
295,5
297,13
299,27
300,18
303,25
308,8
310,4
313,17
314,8
316,17
317,15
322,25
325,19
326,21
328,0
329,23
331,21
337,8
345,8
347,14
363,17
365,24
366,26
369,8
373,0
374,24
375,17
377,0
379,21
385,5
388,17
389,21
390,6
391,25
392,25
393,3
398,26
399,1
402,19
405,8
406,25
407,8
409,1
410,11
412,5
415,24
417,8
420,8
423,0
425,11
426,13
434,3
442,0
445,21
452,8
455,13
457,15
458,13
461,13
468,1
469,18
472,21
477,20
481,27
483,21
485,9
487,1
489,23
490,13
491,13
493,23
498,16
504,5
510,15
512,21
518,24
522,11
529,25
531,15
534,15
536,3
537,1
540,8
541,10
542,23
543,26
544,26
546,23
547,8
549,13
554,13
556,24
557,17
559,5
567,16
568,8
570,22
575,18
583,13
594,20
595,17
596,21
600,10
601,25
602,18
611,19
612,21
613,6
621,17
622,17
624,21
625,14
626,16
629,25
634,21
640,22
643,12
645,23
649,8
653,21
658,25
659,8
660,0
661,22
662,28
664,13
665,24
671,13
678,15
679,25
680,25
685,24
687,18
689,25
692,3
697,24
699,21
708,15
709,5
710,25
711,13
712,26
713,1
720,26
723,28
725,13
726,13
730,17
736,6
745,1
747,8
763,13
765,7
767,3
768,7
769,5
771,19
774,5
775,5
778,23
780,8
782,16
783,11
788,1
789,8
792,25
799,19
804,18
805,21
809,18
813,14
814,3
816,15
817,21
819,13
822,15
825,21
827,19
828,11
834,8
839,3
844,21
846,6
850,16
851,17
856,16
857,19
858,25
862,17
868,5
869,20
880,25
887,13
888,8
889,26
891,13
896,24
902,3
903,24
912,5
915,17
917,23
918,5
921,13
924,21
926,24
927,5
931,18
934,24
936,9
942,9
944,1
945,9
949,11
951,1
952,17
956,13
960,15
961,3
969,23
977,15
978,21
979,26
981,24
989,11
990,25
992,8
995,6
996,19
997,1
998,19
1000,8
1001,17
1002,5
1003,15
1009,13
1012,18
1013,24
1014,22
1016,25
1019,3
1020,8
1021,18
1023,20
1026,5
1028,12
1032,13
1035,23
1038,19
1043,7
1047,2
1049,13
1050,26
1052,5
1054,3
1057,5
1058,28
1064,11
1066,17
1067,2
1070,18
1073,28
1075,24
1080,12
1083,12
1084,17
1087,13
1092,18
1102,26
1103,12
1104,7
1107,13
1109,24
1112,13
1115,18
1123,3
1132,7
1143,19
1146,3
1148,28
1151,24
1152,8
1155,21
1157,5
1158,9
1162,19
1170,28
1171,1
1174,3
1177,1
1178,24
1179,1
1185,18
1188,25
1196,8
1197,24
1198,27
1203,17
1204,13
1205,16
1206,0
1210,6
1213,28
1218,1
1220,8
1229,12
1232,8
1233,15
1235,19
1239,8
1244,8
1249,3
1261,5
1262,4
1272,18
1276,24
1277,27
1280,10
1283,21
1284,25
1285,0
1286,5
1288,25
1289,24
1290,23
1298,18
1299,19
1301,0
1303,0
1304,25
1305,18
1307,5
1310,17
1318,8
1320,22
1324,20
1325,21
1328,25
1335,10
1339,21
1347,21
1351,13
