doc_idx,category
1,17
6,11
8,5
12,23
14,23
15,19
20,17
21,6
25,3
29,5
30,15
33,21
39,16
42,17
49,3
52,9
55,10
63,14
66,14
72,23
76,14
80,5
82,18
89,5
90,8
98,7
101,23
105,21
111,11
116,21
119,12
123,17
126,3
127,14
130,7
134,14
138,23
142,14
143,5
144,9
146,17
147,13
148,2
151,4
154,14
163,14
164,0
165,3
170,22
172,3
175,14
179,18
181,8
186,9
187,17
195,15
198,5
201,6
202,14
206,22
214,23
217,5
222,3
224,1
227,15
237,22
241,8
244,18
247,16
250,2
254,4
255,22
256,11
257,18
260,2
272,13
274,17
278,6
279,2
283,9
286,22
287,14
292,17
302,23
304,16
311,7
317,15
318,9
326,14
327,3
329,13
337,5
339,5
340,14
347,14
348,21
349,9
356,8
359,21
375,23
379,19
380,7
381,4
385,3
388,23
394,20
396,14
405,5
407,5
411,3
413,23
415,17
427,14
429,14
432,14
433,14
443,21
444,8
447,9
451,23
464,22
465,21
467,14
472,14
475,5
483,14
487,1
489,13
493,13
495,0
499,12
502,14
512,14
517,12
519,14
520,12
521,19
524,22
527,6
528,3
530,8
531,15
532,17
535,18
539,11
547,5
548,19
551,9
555,23
557,23
558,6
559,3
560,15
572,14
574,5
592,15
595,23
597,9
601,18
614,9
620,18
623,3
625,14
626,16
629,18
634,14
642,18
650,18
661,14
670,20
674,6
676,1
677,3
683,23
684,5
691,16
693,23
694,23
695,9
696,14
698,1
713,1
719,14
722,3
725,9
730,23
731,20
733,3
735,9
737,23
738,17
741,3
745,1
751,14
756,9
757,18
768,2
773,11
776,12
779,22
785,9
786,9
795,11
800,4
812,14
818,17
824,14
828,21
830,3
833,14
840,5
842,18
843,21
858,18
864,14
871,18
873,12
874,9
875,14
885,18
888,5
903,3
910,3
914,18
915,23
916,15
917,14
918,3
931,11
936,6
937,5
944,1
945,3
957,7
962,9
963,12
965,20
969,13
971,18
972,4
973,9
974,14
977,15
978,14
979,20
982,22
991,14
994,3
997,1
1006,3
1008,20
1010,12
1014,14
1017,5
1022,12
1025,4
1028,7
1034,14
1035,14
1037,8
1041,15
1042,12
1045,14
1051,12
1063,18
1064,21
1066,23
1071,16
1083,7
1086,20
1091,14
1095,3
1096,9
1098,14
1106,17
1121,12
1122,20
1124,14
1133,2
1136,7
1137,20
1139,3
1140,9
1142,4
1145,9
1146,0
1155,14
1156,7
1158,6
1160,14
1161,23
1166,3
1170,22
1171,1
1172,3
1175,12
1180,14
1181,1
1185,11
1186,21
1197,17
1200,9
1201,23
1208,18
1209,14
1220,5
1224,18
1226,12
1229,7
1231,14
1235,12
1238,17
1243,14
1252,9
1254,14
1259,9
1267,19
1278,14
1281,14
1286,6
1290,13
1291,15
1294,13
1296,22
1299,12
1302,23
1312,23
1315,1
1319,9
1320,14
1326,15
1327,5
1328,18
1330,22
1332,3
1343,5
1345,3
1347,14
1357,11
1362,14
1363,17
1365,5
1369,14
1370,5
1371,15
1374,14
1375,23
1378,3
1383,1
1384,5
1386,3
1388,9
1391,3
1393,23
1394,23
1395,15
1397,12
1417,18
1421,7
1427,6
1429,14
1430,3
1431,17
1434,14
1438,9
1450,5
1454,14
1455,7
1457,1
1461,14
1463,23
1467,18
1469,14
1477,14
1493,14
1507,21
1508,9
1511,14
1513,18
1514,14
1515,12
1519,22
1521,12
1524,22
1529,3
1532,11
1538,11
1543,23
1550,21
1558,1
1564,2
1569,23
1570,22
1571,11
1580,9
1587,3
1591,7
1595,14
1600,17
1601,17
1604,14
1606,23
1607,7
1617,14
1620,18
1624,1
1626,11
1629,6
1630,16
1631,14
1632,18
1633,14
1642,0
1643,5
1645,18
1648,21
1651,18
1659,19
1663,18
1668,9
1669,23
1670,3
1677,19
1679,12
1680,15
1682,5
1685,21
