doc_idx,category
0,0
3,2
5,3
6,11
10,13
12,23
13,5
14,23
15,19
18,23
19,21
23,9
29,5
31,21
35,23
38,19
47,14
52,9
53,17
62,3
64,6
67,17
70,14
71,5
73,18
74,21
76,14
80,5
82,18
90,8
91,4
93,17
95,14
97,0
101,23
104,15
106,14
107,6
108,14
109,14
113,9
114,19
118,3
120,15
122,14
127,14
131,1
132,17
134,14
137,5
140,2
146,17
150,12
153,18
155,1
161,21
167,11
168,14
169,15
174,3
176,14
183,16
184,9
185,18
187,17
188,17
190,11
191,1
192,5
193,7
200,18
201,6
202,14
207,6
211,14
214,23
218,15
221,5
225,9
227,15
235,20
236,11
238,5
239,23
243,18
247,16
248,6
250,2
254,4
255,22
257,18
267,18
269,3
270,3
271,11
273,19
274,17
275,15
278,6
279,2
284,19
285,18
292,17
294,0
295,3
297,9
299,22
300,11
303,18
308,5
310,9
313,23
314,5
316,23
317,15
322,18
325,12
326,14
328,4
329,13
331,14
337,5
345,5
347,14
363,23
365,17
366,20
369,5
373,14
374,17
375,23
377,0
379,19
385,3
388,23
389,14
390,4
391,18
392,18
393,10
398,20
399,1
402,12
405,5
406,18
407,5
409,1
410,21
412,3
415,17
417,5
420,5
423,9
425,21
426,9
434,10
442,0
445,14
452,5
455,0
457,15
458,9
461,9
468,1
469,11
472,14
477,14
481,22
483,14
485,6
487,1
489,13
490,9
491,9
493,13
498,16
504,3
510,15
512,14
518,17
522,21
529,18
531,15
534,15
536,0
537,1
540,5
541,8
542,13
543,20
544,20
546,13
547,5
549,9
554,9
556,17
557,23
559,3
567,16
568,5
570,14
575,11
583,9
594,14
595,23
596,14
600,8
601,18
602,11
611,12
612,14
613,4
621,23
622,23
624,14
625,14
626,16
629,18
634,14
640,14
643,7
645,13
649,5
653,14
658,18
659,5
660,0
661,14
662,12
664,9
665,17
671,9
678,15
679,18
680,18
685,1
687,0
689,18
692,19
697,17
699,14
708,15
709,3
710,18
711,12
712,20
713,1
720,20
723,22
725,9
726,9
730,23
736,4
745,17
747,5
763,9
765,18
767,5
768,2
769,3
771,12
774,3
775,3
778,14
780,15
782,16
783,21
788,1
789,5
792,18
799,12
804,11
805,14
809,11
813,14
814,20
816,15
817,14
819,9
822,15
825,14
827,12
828,21
834,5
839,9
844,14
846,4
850,16
851,23
856,16
857,12
858,18
862,23
868,3
869,14
880,18
887,9
888,5
889,20
891,12
896,17
902,0
903,17
912,3
915,23
917,14
918,3
921,9
924,14
926,17
927,3
931,11
934,17
936,6
942,6
944,1
945,3
949,21
951,1
952,23
956,9
960,15
961,0
969,13
977,15
978,14
979,20
981,17
989,21
990,18
992,5
995,4
996,12
997,1
998,12
1000,5
1001,23
1002,3
1003,15
1009,0
1012,11
1013,3
1014,14
1016,18
1019,19
1020,5
1021,11
1023,14
1026,3
1028,7
1032,9
1035,14
1038,12
1043,2
1047,4
1049,9
1050,20
1052,3
1054,19
1057,3
1058,12
1064,21
1066,23
1067,0
1070,11
1073,12
1075,17
1080,7
1083,7
1084,23
1087,9
1092,11
1102,20
1103,7
1104,2
1107,9
1109,17
1112,9
1115,11
1123,19
1132,0
1143,12
1146,0
1148,22
1151,17
1152,5
1155,14
1157,3
1158,6
1162,0
1170,22
1171,1
1174,0
1177,1
1178,17
1179,1
1185,11
1188,18
1196,5
1197,17
1198,22
1203,23
1204,9
1205,16
1206,12
1210,4
1213,22
1218,1
1220,5
1229,7
1232,5
1233,15
1235,12
1239,5
1244,5
1249,10
1261,3
1262,9
1272,11
1276,17
1277,22
1280,8
1283,14
1284,18
1285,14
1286,3
1288,18
1289,17
1290,13
1298,11
1299,12
1301,0
1303,0
1304,18
1305,11
1307,3
1310,23
1318,5
1320,14
1324,14
1325,14
1328,18
1335,8
1339,14
1347,14
1351,9
1355,3
1357,14
1361,3
1362,14
1365,5
1376,19
1378,3
1379,23
1383,1
1389,18
1390,2
1393,23
1395,15
1398,14
1399,3
1400,0
1401,20
1402,14
1404,18
1408,20
1412,8
1414,1
1415,1
1422,9
1427,6
1428,9
1431,17
1432,3
1436,18
1439,1
1442,18
1446,5
1447,17
1448,2
1451,23
1452,3
1454,14
1460,22
1466,5
1467,18
1472,9
1473,18
1474,18
1475,23
1478,7
1479,0
1483,0
1484,17
1488,17
1490,17
1493,14
1494,13
1496,10
1497,14
1501,11
1502,3
1503,5
1506,23
1508,9
1512,18
1515,12
1519,22
1520,15
1522,5
1531,12
1533,3
1534,3
1535,14
1536,3
1540,14
1542,5
1543,23
1546,15
1548,14
1559,22
1560,7
1561,9
1563,21
1569,23
1571,11
1574,19
1575,17
1576,14
1577,6
1579,0
1581,22
1582,18
1585,11
1587,3
1590,0
1599,14
1600,17
1607,7
1610,0
1614,12
1618,11
1619,23
1620,18
1621,11
1627,14
1630,16
1632,18
1633,14
1637,17
1638,9
1641,21
1643,5
1645,18
1647,5
1648,21
1652,17
1662,4
1664,23
1666,9
1667,1
1668,9
1672,11
1676,13
1678,19
1682,5
1686,9
1689,20
1693,20
1696,9
1697,23
1709,23
1712,14
1717,14
1718,21
1719,17
1720,18
1724,22
1725,14
1726,1
1731,16
1733,9
1735,9
1736,8
1738,1
