doc_idx,category
1,8
2,1
4,3
5,0
6,6
8,2
9,6
10,5
14,10
15,8
16,1
17,0
18,4
19,0
22,0
27,0
29,0
31,6
34,9
35,5
37,1
39,6
40,4
42,6
44,4
45,3
47,4
48,3
49,8
51,3
52,6
53,7
54,4
55,6
56,2
58,4
60,7
61,5
64,0
66,6
70,5
75,8
76,4
77,2
78,9
80,0
82,3
85,0
89,3
92,2
96,3
103,7
107,0
108,4
113,7
114,1
117,0
118,9
122,9
124,7
131,5
133,3
140,8
141,6
142,0
148,1
152,3
156,7
159,8
161,3
162,0
165,3
170,9
171,1
175,0
177,8
178,0
182,0
184,6
185,3
186,8
187,6
191,0
192,6
194,3
195,0
198,1
202,7
204,0
205,4
210,1
211,5
215,9
217,0
218,2
219,0
220,7
223,1
224,0
227,3
229,9
231,9
233,1
240,3
241,2
243,4
245,0
247,1
249,6
251,7
252,5
253,3
254,6
258,8
259,2
260,0
262,5
263,2
268,0
269,4
270,1
271,0
276,4
278,7
279,6
283,7
285,7
289,1
295,9
298,4
299,7
300,1
302,3
303,5
308,4
309,1
310,10
311,8
312,3
313,9
315,1
317,4
319,1
320,0
322,0
326,3
328,4
330,0
333,2
338,6
342,5
347,9
351,0
353,2
354,3
358,3
359,2
360,0
361,9
362,0
363,9
364,1
371,6
372,5
376,2
378,8
379,3
381,0
390,0
391,1
393,5
395,0
399,0
401,3
402,6
406,7
408,5
411,6
412,9
414,5
416,0
418,1
420,1
422,1
425,9
426,5
427,3
431,6
434,0
435,4
436,5
438,3
439,4
440,3
442,7
443,5
445,8
446,0
452,1
456,9
458,3
459,3
461,12
464,7
465,0
466,4
467,3
471,1
472,9
473,0
474,3
475,8
476,0
477,1
479,7
481,7
482,0
483,3
485,0
486,10
487,3
489,0
491,2
493,1
494,7
500,0
501,7
505,3
506,3
507,0
511,4
512,1
513,0
516,7
517,3
518,7
519,0
520,1
522,3
524,0
526,5
527,5
528,0
529,7
530,7
532,8
535,7
536,3
538,2
539,5
540,4
542,7
546,0
548,1
549,7
553,7
554,0
557,10
558,1
563,7
564,0
565,3
567,3
568,7
569,2
570,3
572,7
574,2
575,0
576,6
578,5
579,1
580,0
581,3
582,0
583,0
587,7
590,0
593,1
597,4
601,1
602,7
609,4
615,0
616,2
618,5
619,9
620,2
621,3
625,3
632,0
634,5
638,4
641,3
642,0
644,6
646,5
648,1
649,7
651,0
652,9
654,6
655,0
656,6
657,5
658,8
661,0
666,1
667,6
668,1
670,3
672,4
674,4
678,2
679,0
685,4
686,1
688,7
689,2
692,10
693,2
695,3
703,4
704,5
706,0
708,3
711,4
712,7
713,9
716,2
717,7
720,3
722,7
723,3
724,8
725,0
726,0
728,1
731,9
733,0
737,3
740,3
743,2
744,1
745,6
746,5
748,0
752,9
757,0
759,9
760,8
761,7
762,9
768,7
769,1
771,0
775,1
776,4
781,7
783,5
784,0
785,3
788,0
789,0
792,0
793,5
794,8
795,2
796,3
799,1
801,2
808,0
810,0
811,0
813,6
814,0
817,1
818,0
820,7
825,0
826,4
828,8
829,8
831,0
838,6
840,2
844,3
847,10
853,5
858,11
861,0
862,9
863,1
871,7
879,5
881,10
883,4
884,1
887,7
891,4
892,0
893,0
895,3
896,7
897,2
898,4
899,9
904,8
905,2
906,9
907,7
911,10
913,0
914,4
916,6
918,4
921,3
923,1
924,7
927,1
930,3
933,5
934,0
935,7
936,3
937,5
938,1
942,0
943,12
944,8
946,1
948,0
955,0
957,4
958,2
960,2
962,3
965,0
966,1
969,10
970,3
971,9
974,5
980,3
981,7
983,1
984,0
985,0
986,7
987,3
988,2
989,1
991,10
992,3
994,0
995,8
996,3
1000,2
1001,7
1002,0
1003,3
1005,10
1010,6
1013,7
1014,9
1015,5
1018,4
1021,7
1023,11
1024,9
1025,4
1026,2
1027,2
1029,3
1032,1
1034,5
1038,0
1042,9
1044,9
1045,5
1047,5
1050,5
1052,2
1054,1
1056,8
1057,0
1061,8
1062,0
1063,6
1064,1
1070,6
1073,3
1074,2
1076,4
1078,3
1079,2
1081,1
1087,0
1088,0
1092,7
1093,6
1096,1
1097,8
1101,0
1103,0
1105,5
1108,0
1114,0
1115,4
1116,7
1121,2
1122,9
1123,5
1124,3
1125,4
1126,5
1128,0
1129,0
1132,7
1135,3
1137,0
1140,1
1146,3
1147,8
1148,5
1154,7
1157,7
1158,7
1166,1
1168,0
1169,10
1170,4
1174,6
1175,4
1177,3
1178,2
1180,6
1181,1
1182,7
1184,0
1185,1
1186,3
1188,3
1189,4
1191,2
1192,4
1193,7
1196,2
1197,4
1200,3
1202,5
1203,0
1211,4
1217,0
1218,0
1220,7
1222,10
1223,1
1224,7
1226,4
1227,0
1228,9
1232,0
1234,0
1237,5
1239,6
1240,0
1242,0
1244,8
1248,5
1254,5
1255,7
1257,1
1258,4
1259,4
1261,7
1266,4
1267,10
1268,3
1269,3
1270,7
1271,6
1273,7
1276,9
1277,2
1279,6
1280,3
1281,0
1286,12
1288,3
1290,0
1291,3
1294,1
1296,6
1301,1
1302,7
1305,8
1309,8
1315,0
1317,2
1318,7
1319,4
1320,2
1321,9
1323,2
1326,4
1327,4
1328,0
1330,8
1332,0
1333,2
1335,0
1336,3
1337,1
1339,0
1342,2
1343,1
1344,5
1349,0
1351,0
1355,5
1356,6
1360,7
1361,3
1362,3
1363,2
1369,4
1374,0
1376,6
1378,6
1382,3
1384,0
1385,11
1386,3
1387,4
1389,7
1390,7
1394,3
1397,11
1398,0
1399,9
1402,7
1403,8
1406,3
1408,2
1413,5
1414,1
1421,0
1423,3
1424,12
1425,8
1428,0
1429,5
1430,7
1433,1
1437,0
1439,3
1440,0
1450,3
1453,9
1456,8
1457,2
1458,0
1459,3
1461,1
1464,7
1465,2
1471,4
1473,7
1474,8
1475,8
1476,8
1477,1
1478,2
1480,3
1487,5
1489,3
1490,4
1492,0
1493,5
1497,3
1500,7
1502,4
1504,9
1505,3
1507,1
1509,6
