doc_idx,category
2,4
3,2
4,14
5,5
7,1
10,2
11,8
12,9
14,6
17,13
18,10
23,9
25,2
27,13
31,11
32,4
33,3
38,12
41,4
42,11
47,10
49,5
50,11
52,11
54,10
56,14
58,10
61,2
62,11
64,13
65,7
66,11
67,10
68,4
69,5
70,2
72,13
77,9
78,6
80,13
81,6
82,4
83,15
84,5
85,13
86,4
87,0
88,13
90,11
95,4
96,3
98,13
101,9
102,6
103,7
106,7
108,10
110,7
113,8
114,3
116,10
119,0
121,13
125,12
127,7
129,4
130,3
134,13
136,5
137,6
138,5
140,5
141,11
142,13
143,8
144,12
145,4
148,1
149,10
150,8
152,3
153,0
155,11
157,2
159,5
160,13
161,10
162,13
163,1
166,1
167,4
170,6
171,1
176,2
177,5
178,13
179,13
182,13
183,4
187,11
188,1
189,5
190,13
192,11
193,6
195,13
198,3
200,4
201,4
204,12
207,7
209,3
210,15
211,2
213,13
214,1
215,6
216,13
220,7
224,13
225,1
226,11
227,3
228,1
229,6
232,7
234,2
236,8
237,7
238,4
240,3
241,9
242,2
243,10
244,7
247,7
248,4
252,2
253,4
255,1
260,12
261,1
263,9
264,6
265,14
267,6
270,3
273,15
275,13
280,12
281,12
282,6
283,7
284,7
286,5
287,2
288,4
289,4
294,13
295,6
296,10
297,6
300,3
301,12
302,3
303,2
305,5
307,3
308,5
309,4
311,5
313,6
314,12
315,1
316,10
317,10
318,7
319,1
322,13
324,12
325,13
326,3
328,10
329,2
332,13
333,9
335,12
336,13
337,4
338,11
339,8
342,3
346,1
348,0
352,3
354,4
355,2
356,13
357,5
360,13
362,13
366,14
368,3
369,9
372,1
373,13
375,3
376,9
377,6
379,3
380,13
381,13
382,11
383,2
386,10
387,1
388,7
390,13
391,4
392,4
393,2
395,12
398,12
400,2
401,4
404,11
405,8
406,8
408,2
409,14
411,11
413,4
414,2
415,5
416,12
417,13
418,1
420,4
421,13
422,1
423,9
426,2
428,6
430,13
431,11
432,11
433,14
434,12
435,10
436,2
439,10
440,3
441,3
443,2
444,13
445,5
447,13
448,1
452,4
453,1
457,10
460,9
463,7
464,8
466,10
468,5
469,6
470,9
471,3
474,3
475,5
476,13
477,1
479,7
480,9
481,7
482,12
483,3
484,13
485,13
486,8
487,3
488,12
489,12
490,12
492,13
494,7
495,14
496,3
497,2
499,8
500,13
504,13
507,13
509,7
513,8
514,13
518,8
519,13
520,1
522,14
526,5
529,7
533,4
535,8
536,3
539,2
540,10
541,13
544,6
548,2
549,7
551,7
553,8
554,13
555,9
556,5
558,3
559,7
560,13
561,8
562,14
564,13
570,3
571,2
572,8
574,9
580,13
583,13
584,7
585,3
586,15
587,8
588,8
590,12
595,3
597,10
599,4
600,10
602,8
604,0
605,11
607,3
608,4
609,10
611,3
613,2
614,6
615,0
617,12
620,9
622,3
623,3
628,4
629,9
631,1
634,3
635,1
636,4
637,8
638,10
641,3
643,4
645,4
646,3
647,11
648,1
649,8
652,6
654,11
657,2
658,5
660,6
663,13
665,10
666,1
668,1
674,10
676,10
679,13
680,9
681,10
683,9
684,2
688,7
