doc_idx,category
0,1
1,5
3,6
4,5
6,10
9,10
10,6
11,3
13,1
16,5
18,9
19,1
21,7
22,11
23,8
25,6
27,1
28,10
29,1
31,10
32,5
34,7
35,6
36,11
39,10
40,4
43,11
45,4
46,2
50,10
51,4
52,10
53,3
55,10
58,9
59,3
60,3
61,6
65,3
67,9
69,5
70,6
74,1
77,8
82,5
86,4
87,5
88,1
90,10
91,10
93,1
94,4
95,9
99,5
103,3
106,3
107,1
108,9
109,5
110,3
112,8
113,3
114,5
115,5
116,9
118,7
119,11
120,1
122,7
123,9
124,3
125,11
127,3
128,11
129,5
130,4
131,6
132,4
133,5
134,1
136,5
137,7
139,6
140,5
141,10
144,11
146,1
147,9
148,2
149,9
150,3
152,5
156,3
157,6
158,5
159,5
160,1
161,5
162,1
163,2
164,5
166,2
167,5
168,5
169,10
170,7
171,2
172,1
173,7
178,0
181,3
182,1
183,5
184,10
185,4
186,7
187,10
188,3
189,5
191,7
192,10
194,4
196,2
198,5
199,10
200,5
201,5
202,3
205,9
208,6
209,4
211,6
212,5
213,1
215,7
217,1
219,1
220,3
221,1
222,5
224,1
225,2
227,4
228,2
229,7
232,3
234,6
235,6
236,3
238,5
239,6
240,4
241,8
242,6
243,9
244,3
247,3
248,4
249,10
250,5
251,3
253,4
262,6
264,6
265,5
266,10
267,7
269,9
270,5
271,1
272,5
273,3
274,4
275,1
277,1
278,3
281,11
282,7
284,3
285,3
286,5
288,5
289,5
291,2
292,11
296,9
297,7
298,5
299,3
300,5
301,11
303,6
304,1
305,5
306,5
308,5
310,3
311,5
312,4
314,11
316,9
318,3
320,11
322,1
323,11
326,4
327,7
328,9
330,11
334,5
337,5
338,10
342,0
343,4
345,11
347,7
348,5
349,0
350,1
351,1
352,5
354,4
355,6
361,7
362,1
363,7
364,5
365,5
366,5
367,6
369,8
372,5
375,4
376,8
377,7
378,5
379,4
382,10
384,8
385,3
386,5
387,2
388,3
389,8
390,1
391,5
392,5
394,6
396,9
398,11
399,11
400,6
402,10
403,10
405,3
406,3
407,3
408,6
409,4
410,11
412,7
414,6
415,5
416,11
417,1
418,9
419,5
420,5
422,2
423,8
426,6
430,1
433,5
434,11
435,9
438,4
440,4
441,5
442,3
444,1
445,5
447,1
449,9
450,4
451,5
452,5
455,11
456,7
457,9
458,4
460,8
461,3
462,5
464,3
466,9
468,5
470,8
474,4
476,1
479,3
480,8
481,3
483,4
485,1
487,5
488,11
489,11
490,11
491,8
493,5
497,6
498,3
499,3
502,10
504,1
505,4
506,5
508,8
509,3
510,11
514,1
515,8
516,3
517,5
518,3
520,2
522,4
526,5
529,3
530,3
531,3
532,7
533,5
536,4
537,5
538,8
540,2
542,3
543,2
544,7
546,2
547,8
548,8
549,3
550,6
554,1
556,5
557,3
558,5
559,3
562,5
563,3
564,1
565,4
567,5
568,1
569,8
