doc_idx,category
1,9
22,0
30,5
31,6
33,4
34,1
36,1
39,6
42,4
45,1
49,0
57,4
72,5
85,1
87,0
88,4
104,0
117,9
125,0
138,0
142,0
148,0
154,2
156,7
162,9
170,0
185,5
189,0
192,4
195,1
202,0
214,0
217,3
218,0
220,0
221,0
223,0
224,0
245,0
248,0
252,4
253,0
286,9
291,0
294,4
298,0
302,3
304,0
311,3
326,3
333,3
345,2
347,0
348,0
352,6
378,4
379,0
380,5
381,9
383,4
398,9
402,4
408,1
410,5
415,0
429,3
452,4
453,0
457,6
463,0
465,0
467,0
470,9
472,1
481,5
483,4
485,4
487,7
489,8
491,3
496,3
499,7
500,3
501,0
502,6
514,0
517,4
520,0
521,4
526,0
527,0
528,9
530,0
531,2
536,0
538,0
541,0
543,0
545,0
546,9
548,7
553,6
555,0
556,0
559,0
562,4
567,9
569,2
575,0
576,1
578,0
582,0
584,6
599,4
620,0
629,0
634,9
638,7
639,5
648,6
661,1
666,4
668,6
675,4
678,1
683,9
684,0
685,3
690,4
704,3
706,3
708,0
712,3
716,0
720,3
731,9
735,3
748,6
768,4
773,3
775,1
776,3
788,0
794,0
809,0
812,3
817,0
825,2
829,3
841,1
842,4
843,1
866,0
867,1
871,4
872,2
873,2
882,5
883,0
888,4
891,0
895,4
896,9
900,1
906,9
910,5
917,0
918,0
925,1
933,0
938,2
949,2
962,4
965,0
971,0
980,2
985,0
998,0
1005,0
1009,4
1012,9
1021,1
1022,0
1042,3
1043,0
1056,0
1062,0
1065,1
1069,6
1073,1
1077,4
1082,3
1091,3
1095,3
1098,5
1109,9
1114,0
1116,6
1118,0
1119,7
1127,6
1141,3
1144,2
1148,0
1160,2
1161,0
1163,1
1185,4
1191,3
1203,2
1206,0
1230,0
1239,1
1240,0
1242,5
1246,1
1248,3
1256,0
1259,0
1261,6
1262,4
1271,0
1275,1
1276,3
1282,0
1287,1
1290,0
1303,0
1328,4
1329,0
1332,3
1336,4
1343,7
1351,1
1357,0
1358,3
1359,1
1362,1
1367,1
1385,3
1386,2
1399,4
1410,0
1412,9
1418,0
1420,1
1423,0
1428,6
1430,0
1432,6
1450,4
1470,0
1471,0
1482,4
1487,7
1490,4
1491,6
1493,7
1495,6
1496,5
1497,0
1504,4
1507,1
1511,0
1513,0
1519,0
1525,0
1529,0
1530,0
1533,4
1536,0
1559,0
1560,10
1563,0
1566,0
1571,2
1577,0
1583,0
1601,2
1618,0
1632,4
1643,9
1646,3
1654,5
1662,5
1666,0
1680,6
1691,1
1695,0
1697,0
1699,0
1702,0
1712,5
1718,4
1721,7
1726,0
1742,0
1751,0
1754,6
1760,1
1767,4
1774,7
1775,0
1783,3
1784,6
1789,0
1790,1
1793,0
1798,6
1800,4
1811,0
1813,3
1824,7
1829,4
1837,1
1855,4
1856,5
1869,1
1872,4
1878,8
1881,4
1887,1
1888,2
1894,0
1895,0
1898,0
1900,4
1902,1
1912,3
1927,6
1931,9
1943,4
1955,4
1990,0
1991,4
1992,4
1997,0
2010,6
2012,5
2016,1
2019,2
2025,7
2027,0
2038,1
2048,2
2057,0
2065,1
2070,1
2071,0
2078,0
2081,1
2087,4
2088,0
2089,5
2094,1
2102,4
2108,1
2117,2
2123,3
2126,0
2131,0
2139,4
2146,1
2154,3
2160,0
2161,0
2165,1
2166,0
2174,10
2180,3
2194,2
2198,0
2215,1
2223,6
2232,3
2243,3
2250,3
2252,0
2260,3
2265,4
2268,9
2270,0
2275,4
2278,2
2284,7
2293,3
2300,0
2301,4
2310,7
2312,9
2331,8
2334,10
2345,6
2347,1
2367,5
2369,3
2373,7
2383,3
2401,3
2406,0
2407,4
2415,0
2423,2
2425,0
2427,3
2433,3
2434,9
2447,0
2460,6
2466,4
2472,7
2478,6
2480,1
2481,0
2484,0
2486,0
2487,9
2488,1
2494,1
2505,4
2513,0
2518,9
2523,3
2525,0
2526,4
2527,4
2534,0
2535,0
2540,1
2542,0
2551,6
2552,0
2558,3
2569,4
2578,0
2583,6
2584,3
2587,4
2588,4
2592,0
2597,0
2601,0
2602,9
2605,9
2613,0
2615,0
2617,0
2620,4
2621,4
2627,0
2631,5
2644,4
2645,2
2653,1
2667,0
2669,4
2674,4
2682,4
2688,1
2689,1
2694,3
2699,4
2702,0
2707,9
2714,4
2717,0
2718,0
2724,1
2728,6
2730,5
2740,0
2741,3
2747,4
2749,1
2751,0
2756,9
2759,0
2760,0
2762,4
2764,4
2768,9
2769,0
2776,5
2777,1
2779,4
2794,1
2796,4
2815,0
2816,9
2825,2
2826,5
2828,0
2833,0
2835,7
2842,6
2844,7
2853,4
2857,0
2858,5
2861,0
2888,3
2890,3
2901,0
2905,6
2911,6
2918,1
2921,2
2923,1
2926,0
2931,5
2933,3
2935,1
2939,4
2940,4
2942,4
2943,5
2945,0
2969,3
2975,1
2985,0
2986,9
2992,6
3001,0
3005,4
3008,5
3009,2
3010,1
3012,1
3015,0
3016,0
3021,4
3027,4
3032,6
3059,0
3061,0
3077,9
3079,0
3084,5
3088,6
3090,1
3095,1
3098,0
3100,0
3101,5
3104,0
3127,0
3145,0
3147,0
3149,5
3151,3
3152,0
3154,4
3155,2
3156,9
3158,0
3159,0
3160,7
3172,0
3173,4
3177,4
3185,4
3198,4
3199,3
3202,4
3218,0
3225,0
3228,4
3234,0
3241,0
3250,3
3253,2
3255,9
3256,0
3258,4
3261,5
3287,2
3294,0
3303,4
3304,4
3314,6
3322,0
3339,3
3346,9
3347,4
3349,0
3355,0
3363,0
3369,2
3380,0
3381,0
3387,0
3388,6
3394,0
3406,4
3408,6
3414,0
3428,3
3433,3
3439,1
3449,9
3450,0
3460,5
3462,4
3470,0
3471,0
3473,1
3482,3
3483,2
3489,0
3490,0
3491,6
3492,1
3497,2
3498,9
3499,2
3502,0
3504,0
3506,0
3509,4
3518,0
3519,0
3522,4
3523,2
3528,9
3536,5
3541,7
3549,0
3555,4
3556,6
3566,5
3575,0
3578,0
3581,0
3586,0
3603,0
3607,0
3610,0
3617,4
3619,0
3627,1
3629,9
3637,4
3640,0
3643,3
3655,0
3662,4
3671,4
3672,0
3673,3
3683,3
3687,0
3693,3
3694,3
3700,0
3704,0
3706,7
3710,3
3711,0
3712,6
3713,3
