doc_idx,category
8,2
11,9
17,5
27,5
35,0
45,1
49,8
50,0
52,5
61,5
65,0
78,8
80,1
84,7
85,1
89,9
92,5
97,5
98,3
107,6
108,6
112,7
120,2
128,3
130,4
132,3
138,7
143,7
145,9
149,7
150,9
159,5
160,2
161,7
162,5
163,10
188,6
189,4
192,3
193,3
197,3
201,5
205,3
211,7
215,5
216,7
218,8
222,3
225,3
227,2
230,7
236,7
237,2
238,3
242,3
248,4
252,3
253,6
256,5
259,7
260,3
266,7
276,8
280,3
289,9
297,4
298,5
302,7
303,5
309,6
311,7
314,3
317,1
318,4
321,7
329,1
342,10
345,2
346,2
348,8
352,4
354,9
357,4
361,3
362,9
366,6
380,8
381,5
382,5
383,3
385,5
393,9
397,3
403,5
405,8
411,8
412,4
413,8
417,5
421,7
423,3
431,3
432,7
434,3
443,3
448,1
449,4
452,3
457,4
458,3
463,0
471,5
474,3
482,5
484,3
485,3
488,9
493,8
498,2
504,4
515,8
526,7
530,7
535,1
540,7
550,3
553,4
556,3
570,7
574,4
576,1
595,7
597,5
605,8
613,6
614,7
624,3
629,3
637,5
638,2
639,8
641,8
642,6
643,5
645,1
646,8
647,3
666,3
667,0
668,4
674,5
679,7
686,3
690,3
695,7
696,7
699,1
703,1
704,7
705,9
710,7
711,8
720,7
724,1
725,1
727,0
732,7
735,7
738,1
741,8
746,4
751,7
752,5
763,5
765,7
766,2
768,3
778,8
781,0
785,1
797,3
800,2
802,1
807,3
808,7
811,7
812,0
817,9
818,9
822,3
823,6
827,7
839,0
846,7
849,8
852,3
853,3
859,7
860,2
868,7
871,3
875,3
881,3
897,6
908,1
916,6
920,3
922,3
923,2
924,4
925,1
929,0
937,7
943,7
944,3
948,6
949,2
954,3
960,1
961,5
963,4
965,3
974,8
984,2
986,7
987,6
989,5
995,10
996,7
1000,1
1005,7
1008,8
1014,7
1018,8
1023,8
1036,4
1040,7
1041,3
1042,7
1043,7
1052,1
1056,7
1058,8
1066,8
1067,7
1082,7
1084,3
1085,6
1087,7
1090,7
1091,7
1092,1
1101,5
1104,8
1107,1
1112,7
1116,4
1119,9
1138,8
1146,4
1168,1
1169,7
1171,10
1172,4
1173,3
1175,4
1182,3
1188,1
1190,5
1192,0
1195,9
1197,7
1198,3
1202,4
1208,5
1210,2
1219,3
1220,6
1221,3
1223,2
1226,3
1232,2
1240,5
1241,1
1245,2
1251,6
1259,6
1269,3
1270,3
1276,3
1280,9
1286,8
1293,3
1294,10
1302,3
1304,6
1310,3
1313,3
1315,2
1317,7
1319,5
1326,5
