doc_idx,category
9,0
10,9
15,3
20,10
25,10
33,6
37,2
38,10
39,9
42,6
43,10
44,8
46,4
48,5
49,0
50,3
52,5
55,9
58,11
82,10
98,6
119,4
121,1
122,2
127,3
133,4
140,3
147,9
150,11
151,6
154,2
156,2
158,6
159,5
162,5
168,6
178,4
183,5
185,10
187,3
188,8
196,0
201,5
208,5
213,7
215,5
221,5
224,6
229,2
233,11
234,8
242,6
244,5
247,7
251,9
253,8
254,5
257,5
273,6
274,8
277,6
278,9
296,10
304,4
317,1
321,3
323,11
328,9
332,10
338,10
343,6
366,8
370,2
379,9
380,10
384,4
386,2
388,2
391,9
392,10
393,11
394,4
400,7
406,2
408,1
421,3
423,6
427,4
442,3
447,4
448,1
451,7
458,7
462,6
471,5
477,7
495,2
499,2
501,4
519,4
521,6
526,4
528,5
532,7
537,10
541,4
543,4
547,4
551,9
563,1
565,7
569,2
574,9
578,7
580,7
581,4
591,0
595,3
597,5
600,7
618,11
623,10
625,0
630,8
633,8
635,6
659,2
676,6
679,4
681,3
683,5
692,1
693,7
708,7
717,7
722,9
725,1
733,5
746,9
747,2
749,11
755,1
757,2
759,0
760,10
776,3
779,6
787,1
796,9
799,9
808,4
819,6
821,5
833,5
834,6
836,6
838,6
839,7
841,1
842,6
844,5
845,6
848,5
850,6
852,6
855,5
869,2
886,1
888,6
894,10
905,10
907,6
908,1
921,0
922,7
924,9
934,6
935,6
937,4
938,2
940,1
943,3
944,6
945,8
950,9
955,1
961,5
966,3
972,6
975,1
982,6
986,3
998,8
1002,3
1003,11
1018,10
1022,7
1025,2
1026,9
1029,10
1034,4
1035,5
1040,3
1044,7
1046,3
1051,3
1052,1
1058,10
1063,7
1064,1
1067,4
1079,9
1087,4
1088,6
1097,7
1101,5
1102,1
1103,4
1110,2
1112,4
1113,1
1126,2
1139,11
1151,1
1157,4
1158,8
1172,9
1176,6
1179,6
1180,3
1193,6
1207,4
1210,2
1218,10
1220,8
1222,6
1225,11
1234,2
1242,10
1249,8
1255,8
1256,10
1264,5
1269,6
1270,6
1277,1
1278,2
1279,1
1283,4
1300,10
1308,5
1315,2
1324,4
1326,5
1332,4
1334,2
1335,6
1353,10
1355,7
1359,1
1364,4
1376,8
1400,5
1401,2
1403,4
1412,5
1421,4
1422,10
1435,10
1443,5
1453,6
1456,1
1462,9
1467,6
1468,7
1470,5
1475,5
1476,6
1479,1
1483,10
1485,5
1490,6
1497,8
1515,7
1523,4
1526,8
1529,4
1533,6
1538,4
1540,3
1559,4
1570,3
1573,1
1575,7
1585,3
1590,5
1594,5
1607,6
1608,6
1614,7
1615,2
1621,4
1631,11
1638,1
1641,7
1644,6
1645,9
1648,5
1651,6
1653,5
1657,10
1665,1
1666,8
1675,10
1683,10
1693,5
1701,7
1712,10
1713,6
1726,8
1729,3
1737,7
1741,6
1742,0
1748,3
1750,4
1759,6
1793,7
1799,3
1800,7
1801,1
1805,6
1811,8
1813,4
1815,6
1819,1
1820,1
1824,2
1825,5
1831,9
1845,7
1847,10
1869,1
1870,11
1874,1
1880,10
1888,2
1893,10
1896,10
1903,9
1908,10
1912,3
1914,3
1917,2
1942,5
1946,7
1962,4
1966,8
1991,6
1997,11
2006,2
2016,1
2020,0
2021,4
2029,7
2031,3
2038,1
2043,5
2052,4
2060,4
2065,1
2087,6
2092,9
2093,1
2095,5
2097,6
2098,10
2104,2
2111,8
2112,8
2117,11
2119,3
2124,3
2131,8
2143,4
2149,11
2172,9
2175,8
2181,5
2196,6
2218,1
2219,4
2226,1
2227,7
2230,11
2242,3
2252,8
2257,4
2271,10
2285,2
2287,7
2294,3
2295,6
2297,5
2302,10
2311,5
2313,6
2315,5
2326,11
2328,4
2330,3
2341,3
2351,4
2354,3
2362,7
2363,5
2364,6
2376,7
2381,8
2383,4
2395,6
2401,3
2407,6
2410,1
2421,5
2422,7
2431,3
2434,5
2441,10
2442,1
2443,9
2445,1
2446,8
2449,1
2453,7
2454,6
2455,6
2456,7
2457,4
2460,9
2470,10
2480,1
2482,3
2486,11
2491,4
2495,1
2497,11
2512,6
2515,4
2516,8
2517,11
2521,6
2523,3
2531,1
2532,4
2549,11
2555,6
2560,6
2563,3
2564,10
2567,3
2569,6
2575,9
2577,11
2579,3
2581,11
2584,3
2594,2
2603,8
2604,4
2606,3
2607,2
2613,5
2620,7
2622,4
2624,9
2629,7
2630,6
2641,11
2642,5
2645,2
2646,9
2659,7
2660,10
2664,1
2670,10
2682,6
2688,1
2701,3
2707,5
2709,7
2722,9
2725,1
2731,5
2741,4
2750,4
2764,6
2775,5
2781,11
2782,8
2788,6
2789,4
2791,5
2792,6
2793,10
2796,6
2798,3
2809,10
2810,10
2811,2
2814,10
2816,5
2817,6
2818,4
2819,6
2833,3
2834,6
2840,3
2851,9
2855,6
2856,9
2862,6
2866,8
2868,4
2869,1
2876,4
2882,8
2883,6
2892,11
2906,10
2911,9
2912,1
2916,10
2922,7
2928,6
2930,10
2931,10
2934,5
2950,11
2952,5
2964,2
2965,10
2967,7
2970,2
2972,1
2981,4
2986,11
2988,3
2991,7
2992,9
2993,4
2996,11
3000,1
3002,3
3010,1
3011,2
3025,5
3031,1
3037,8
3038,9
3049,11
3057,6
3063,7
3064,1
3071,7
3091,4
3098,8
3099,9
3101,10
3111,1
3112,9
3119,11
3120,2
3140,6
3144,2
3145,11
3153,5
3161,6
3164,6
3178,6
3181,9
3183,1
3195,3
3201,1
3203,4
3205,9
3207,4
3208,4
3211,4
3220,2
3227,9
3232,6
3236,9
3238,4
3248,1
3250,3
3252,4
3260,6
3272,5
3273,7
3274,9
3278,1
3283,5
3289,8
3290,1
3294,4
3297,4
3299,7
3313,1
3331,9
3340,7
3341,6
3357,8
3365,8
3366,4
3368,3
3371,5
3376,8
3385,11
3390,1
3392,5
3394,4
3396,7
3398,10
3402,3
3433,3
3443,3
3444,3
3453,6
3456,5
3465,1
3466,6
3471,4
3480,1
3492,1
3495,6
3504,4
3511,2
3512,6
3513,8
3514,3
3515,5
3518,9
3530,3
3532,5
3539,4
3541,2
3549,6
3559,6
3587,6
3591,6
3593,11
3599,2
3610,7
3611,10
3612,1
3613,6
3618,6
3638,4
3639,7
3643,3
3648,6
3665,9
3674,6
3692,8
3693,4
3695,3
3698,2
3699,2
3700,8
3704,11
3705,9
3706,2
3709,11
3715,1
3732,6
3733,7
3739,10
3751,9
3755,10
3756,7
3757,7
3776,8
3778,5
3785,5
3786,9
3788,10
3794,4
3795,1
3799,10
3805,3
3810,7
3825,1
3827,11
3837,2
3849,6
3856,3
3864,2
3877,5
3878,2
3880,4
3888,2
3889,4
3893,1
3897,4
3899,5
3904,4
3907,7
3909,7
3910,3
3912,4
3920,3
3940,0
3957,10
3964,11
3965,9
3969,7
3970,7
3976,9
3981,2
3985,6
3997,1
4001,0
4002,4
4015,1
4021,7
4022,1
4025,1
4037,4
4054,4
4066,5
4068,6
4086,7
4088,10
4090,9
4105,10
4106,10
4107,1
4118,11
4124,6
4126,6
4137,5
4146,4
4151,3
4156,10
4163,1
4171,8
4175,4
4176,2
4177,11
4182,11
4183,8
4196,4
4197,2
4205,8
4209,10
4211,3
4212,11
4217,3
4221,7
4228,8
4230,4
4231,4
4240,7
4243,6
4244,6
4246,9
4247,0
4261,2
4268,1
4273,1
4274,11
4275,4
4282,6
4284,3
4286,10
4294,10
4297,9
4298,10
4299,2
4309,4
4316,8
4323,4
4334,6
4343,1
4348,9
4351,9
4363,7
4365,6
4374,4
4378,6
