doc_idx,category
1,5
2,3
4,3
20,10
23,6
28,1
32,6
41,7
43,10
44,8
53,10
56,6
62,7
64,5
65,3
66,10
67,7
70,11
80,1
81,2
82,10
83,10
86,1
88,7
93,5
98,6
105,9
106,11
114,11
126,4
128,7
129,3
135,7
143,4
161,4
164,7
165,0
167,10
169,8
176,4
185,10
189,9
193,7
195,1
196,0
203,1
204,6
210,7
211,3
219,8
225,6
240,7
242,6
254,5
257,5
263,7
265,7
274,8
275,4
277,6
279,4
280,7
281,9
283,4
284,3
285,1
298,5
301,2
303,5
304,4
305,7
309,0
312,10
324,7
328,9
337,6
341,8
346,2
348,10
357,9
358,1
363,5
365,9
367,6
371,6
378,8
379,9
383,7
384,4
388,2
389,10
392,10
393,11
394,4
395,10
402,6
408,1
414,8
416,8
419,6
420,9
426,4
428,6
430,6
432,4
436,2
440,11
442,3
443,7
444,5
446,9
451,7
455,6
457,9
462,6
464,8
468,7
471,5
472,1
473,10
476,11
478,7
486,1
490,7
491,4
493,10
495,2
506,10
507,2
510,1
512,9
517,7
528,5
530,4
534,7
536,7
544,2
552,4
561,2
572,6
576,1
577,6
579,7
583,3
587,6
591,0
601,5
603,4
618,11
625,0
627,4
639,10
642,8
650,3
651,0
654,9
665,6
669,3
673,1
674,5
679,4
682,4
691,2
696,3
697,10
698,3
701,9
703,1
708,7
709,1
721,6
724,1
725,1
731,5
735,4
738,1
741,10
744,1
749,11
751,3
756,10
760,10
771,6
774,7
781,5
782,4
783,4
786,2
789,6
791,9
792,8
794,4
796,9
798,0
802,1
815,3
816,6
817,11
820,9
826,2
834,6
839,7
863,3
864,1
868,3
869,2
871,6
878,6
879,4
880,1
882,10
885,6
896,5
898,10
907,6
908,1
912,5
920,6
923,2
924,9
927,2
936,10
942,2
945,8
949,2
950,9
955,1
967,6
968,7
985,10
992,1
994,8
995,10
996,3
1000,1
1001,9
1007,1
1010,10
1022,7
1025,2
1037,1
1045,1
1051,3
1052,1
1058,10
1059,9
1067,4
1074,2
1076,10
1081,2
1083,6
1085,8
1088,6
1089,1
1093,5
1095,3
1097,7
1100,3
1101,5
1102,1
1108,10
1112,4
1117,11
1124,1
1126,2
1128,1
1132,0
1133,6
1139,11
1141,3
1154,11
1160,2
1166,1
1167,6
1170,4
1171,3
1172,9
1184,11
1186,9
1189,9
1190,5
1192,4
1197,4
1201,9
1210,2
1219,7
1224,10
1231,6
1237,9
1238,6
1239,1
1240,5
1244,6
1245,2
1246,1
1247,11
1248,3
1253,2
1260,5
1261,9
1270,6
1283,4
1288,6
1293,6
1296,4
1305,7
1310,7
1313,7
1319,5
1323,6
1326,5
1327,10
1328,6
1330,4
1332,4
1343,2
1346,8
1347,4
1349,1
1351,1
1355,7
1361,1
1368,8
1374,4
