doc_idx,category
1,6
22,11
30,33
31,5
33,4
34,1
36,1
39,5
42,4
45,1
49,31
57,11
70,29
72,28
85,1
87,0
88,11
104,9
117,8
125,6
138,9
142,9
148,9
154,2
156,2
162,8
170,25
185,3
189,19
192,4
195,1
202,1
214,31
217,16
218,14
220,25
221,8
223,9
224,22
245,4
248,19
252,11
253,20
286,8
291,10
294,11
298,8
302,15
304,9
311,16
326,9
333,9
345,2
347,29
348,14
352,5
378,20
379,19
380,17
381,8
383,11
398,23
402,4
408,1
410,17
415,9
429,16
452,4
453,27
457,19
463,31
465,16
467,25
470,30
472,1
481,28
483,11
485,4
487,31
489,7
491,16
496,29
499,2
500,15
501,9
502,5
514,20
517,11
520,0
521,4
526,9
527,25
528,8
530,25
531,2
536,20
538,16
541,9
543,9
545,12
546,30
548,2
553,5
555,20
556,11
559,18
562,4
567,6
569,24
575,11
576,1
578,11
584,35
599,4
620,11
629,11
634,32
638,10
639,28
648,5
661,1
666,4
668,5
675,22
678,1
683,8
684,20
685,9
690,4
704,16
706,9
708,11
712,9
716,14
720,9
731,8
735,9
748,5
768,22
773,9
775,1
776,16
788,18
794,9
803,31
809,23
812,16
817,31
825,2
829,16
841,1
842,4
843,1
866,9
867,1
871,4
872,2
873,24
882,28
883,11
888,22
891,9
895,4
896,8
900,1
906,8
910,26
917,20
918,31
925,1
933,27
938,2
949,2
962,22
965,11
971,9
979,36
980,2
985,3
998,20
1002,29
1005,25
1009,4
1012,8
1021,1
1022,11
1042,9
1043,9
1056,16
1062,9
1065,1
1069,5
1073,1
1077,11
1082,16
1091,16
1095,16
1098,17
1109,8
1116,5
1118,16
1119,10
1127,19
1141,15
1144,2
1148,27
1160,2
1161,9
1163,1
1185,4
1191,16
1203,2
1206,8
1230,11
1239,1
1240,8
1242,14
1246,1
1248,33
1256,12
1259,20
1261,19
1262,4
1271,11
1275,1
1276,4
1282,26
1287,1
1290,9
1303,27
1328,4
1329,27
1330,9
1332,9
1336,4
1343,2
1351,1
1357,7
1358,9
1359,13
1362,1
1363,10
1367,1
1385,16
1386,2
1399,11
1410,27
1412,6
1418,9
1420,1
1423,20
1428,19
1430,22
1432,19
1450,4
1470,23
1471,16
1482,20
1487,24
1490,4
1491,5
1493,2
1495,5
1496,4
1497,27
1504,20
1507,1
1511,4
1513,10
1519,22
1525,11
1529,9
1530,9
1533,22
1535,0
1536,12
1559,25
1560,4
1563,0
1566,11
1571,2
1577,8
1583,4
1601,2
1618,8
1625,3
1632,4
1643,8
1646,15
1654,3
1662,3
1666,27
1680,5
1691,1
1695,20
1697,20
1699,11
1702,20
1712,3
1718,4
1721,2
1726,27
1742,0
1751,27
1754,5
1760,1
1767,4
1774,2
1775,18
1783,9
1784,19
1789,19
1790,1
1793,11
1798,19
1800,11
1811,27
1813,9
1824,2
1829,4
1837,1
1855,22
1856,17
1869,1
1872,4
1878,1
1881,22
1887,1
1888,2
1894,9
1895,27
1898,25
1900,11
1902,1
1912,16
1927,35
1931,6
1943,11
1955,4
1990,11
1991,4
1992,4
1997,31
2010,35
2012,28
2016,1
2019,2
2025,2
2027,9
2038,10
2048,2
2057,9
2065,1
2070,1
2071,14
2076,26
2078,9
2081,1
2087,4
2088,20
2089,28
2094,1
2102,4
2108,1
2117,31
2123,16
2126,11
2131,27
2139,4
2146,1
2154,16
2160,26
2161,11
2164,21
2165,1
2166,20
2174,4
2180,16
2194,2
2198,4
2215,1
2223,0
2232,16
2243,21
2250,0
2252,27
2260,0
2265,4
2268,23
2270,11
2275,4
2278,24
2284,2
2293,15
2300,25
2301,4
2310,2
2312,8
2331,1
2334,4
2345,19
2347,1
2367,3
2369,15
2373,2
2383,9
2401,16
2406,11
2407,34
2415,11
2423,2
2425,27
2427,16
2433,16
2434,6
2447,9
2460,19
2466,4
2472,31
2478,35
2480,1
2481,29
2484,9
2486,29
2487,8
2488,30
2494,1
2505,4
2513,15
2518,8
2523,7
2525,9
2526,11
2527,11
2534,11
2535,31
2540,1
2542,8
2551,35
2552,0
2558,16
2569,4
2578,26
2583,19
2584,37
2587,37
2588,11
2592,4
2597,19
2601,29
2602,23
2605,8
2613,23
2615,19
2617,25
2620,11
2621,11
2627,0
2631,28
2644,4
2645,31
2653,1
2667,0
2669,11
2674,4
2682,4
2688,1
2689,1
2694,9
2699,4
2702,0
2707,8
2714,22
2717,27
2718,11
2724,1
2728,5
2730,3
2740,6
2741,16
2747,4
2749,1
2751,11
2756,6
2759,16
2760,9
2762,4
2764,4
2768,8
2769,9
2776,28
2777,1
2779,4
2794,1
2796,4
2815,26
2816,8
2825,2
2826,28
2828,11
2833,16
2835,2
2839,2
2842,5
2844,2
2849,7
2853,4
2857,9
2858,28
2861,9
2888,25
2890,16
2901,17
2905,5
2911,5
2918,1
2921,31
2923,1
2926,27
2931,10
2933,3
2935,1
2939,4
2940,4
2942,34
2943,3
2945,14
2969,9
2975,1
2985,20
2986,31
2992,19
3001,19
3005,4
3008,17
3009,2
3010,1
3012,1
3015,14
3016,27
3021,4
3027,22
3032,19
3059,11
3061,33
3077,8
3079,20
3084,26
3088,19
3090,1
3095,1
3098,27
3100,9
