doc_idx,category
8,2
11,11
17,6
27,6
35,0
45,1
49,15
50,7
52,6
61,6
65,0
78,10
80,1
84,8
85,1
89,11
92,6
97,6
98,3
107,5
108,5
112,8
120,2
128,4
130,9
132,4
138,8
143,8
145,11
149,8
150,11
159,6
160,2
161,8
162,6
163,10
188,5
189,9
192,3
193,4
197,3
201,6
205,3
211,7
215,6
216,8
218,10
222,3
225,3
227,2
230,8
236,8
237,2
238,4
242,3
248,9
252,4
253,5
256,6
259,7
260,4
266,7
276,15
280,4
289,11
297,9
298,6
302,7
303,6
309,5
311,7
314,3
317,1
318,9
321,13
329,1
342,12
345,2
346,2
348,10
352,9
354,11
357,9
361,4
362,11
366,5
380,10
381,6
382,6
383,4
385,6
393,11
397,3
403,6
405,10
411,10
412,9
413,10
417,6
421,7
423,3
431,4
432,8
434,3
443,4
448,1
449,9
452,3
457,9
458,4
463,11
471,6
474,3
482,6
484,3
485,3
488,11
493,10
498,2
504,9
515,10
526,8
530,8
535,1
540,7
550,3
553,9
556,4
570,8
574,9
576,1
595,7
597,6
605,10
613,5
614,8
624,3
629,4
637,6
638,2
639,10
641,10
642,5
643,6
645,1
646,15
647,3
666,3
667,4
668,9
674,6
679,8
686,4
690,3
695,7
696,7
699,1
703,1
704,8
705,11
710,8
711,10
720,8
724,1
725,1
727,8
732,8
735,8
738,1
741,10
746,9
751,7
752,6
763,6
765,8
766,2
768,3
778,10
781,0
785,1
797,3
800,2
802,1
807,3
808,8
811,7
812,7
817,11
818,11
822,4
823,5
827,8
839,0
846,8
849,10
852,3
853,4
859,8
860,10
868,7
871,3
875,3
881,4
897,5
908,1
916,5
920,3
922,4
923,2
924,9
925,1
929,7
937,8
943,7
944,3
948,5
949,2
954,4
960,1
961,6
963,9
965,4
974,10
984,2
986,7
987,5
989,6
995,10
996,7
1000,1
1005,8
1008,10
1014,8
1018,10
1023,10
1036,9
1040,7
1041,4
1042,8
1043,8
1052,1
1056,7
1058,10
1066,15
1067,8
1082,7
1084,3
1085,5
1087,8
1090,8
1091,7
1092,1
1101,6
1104,10
1107,1
1112,8
1116,9
1119,11
1138,15
1146,9
1168,1
1169,8
1171,12
1172,9
1173,4
1175,9
1182,3
1188,1
1190,6
1192,8
1195,11
1197,8
1198,3
1202,9
1208,6
1210,2
1219,4
1220,5
1221,3
1223,2
1226,3
1232,2
1240,6
1241,1
1245,2
1251,5
1259,5
1269,3
1270,3
1276,3
1280,11
1286,10
1293,3
1294,10
1302,4
1304,5
1310,4
1313,4
1315,2
1317,7
1319,6
1326,6
1331,5
1337,2
1355,4
1359,1
1360,2
1362,1
1366,3
1368,5
1372,2
1376,5
1378,11
1387,10
1390,4
1393,8
1397,6
1401,2
1404,7
1408,1
1409,15
1410,4
1413,4
1417,3
1418,8
1421,10
1428,9
1443,6
1444,3
1446,3
1450,3
1458,9
1465,6
1467,3
1468,4
1469,1
1481,7
1483,10
1484,5
1486,12
1488,10
1491,9
1497,5
1502,7
1507,1
1509,11
1513,3
1516,5
1523,13
1526,5
1527,3
1530,8
1531,2
1534,10
1535,12
1538,0
1545,11
1553,8
1556,4
1560,3
1562,3
1571,2
1577,6
1583,3
1585,7
1587,8
1589,8
1596,3
1599,11
1600,2
1601,2
1608,3
1611,4
1612,10
1624,2
1625,13
1631,12
1635,2
1639,11
1643,6
1644,3
1646,7
1656,1
1661,7
1666,5
1668,2
1669,15
1673,4
1674,11
1678,4
1682,1
1684,7
1686,3
1717,8
1718,3
1721,2
1733,9
1736,6
1740,1
1742,12
1744,3
1755,4
1756,4
1757,0
1758,15
1761,3
1763,10
1767,3
1772,7
1775,11
1783,8
1785,8
1786,9
1791,9
1795,2
1798,9
1800,4
1801,1
1803,3
1804,9
1808,5
1812,4
1815,3
1820,1
1826,11
1829,3
1841,6
1845,4
1853,13
1855,3
1861,2
1863,5
1866,6
1867,11
1874,1
1885,3
1888,2
1901,4
1904,7
1908,10
1911,9
1920,8
1930,9
1945,4
1946,4
1957,2
1962,8
1966,5
1967,11
1968,8
1971,1
1978,1
1981,3
1992,3
1993,7
1996,9
1998,8
2002,2
2007,8
2011,7
2012,10
2014,8
2015,6
2017,10
2019,2
2024,8
2025,2
2034,3
2037,3
2041,8
2042,8
2043,6
2049,7
2051,7
2053,1
2058,6
2059,11
2066,9
2069,11
2070,1
2072,7
2074,1
2075,1
2077,9
2078,8
2079,2
2080,10
2086,4
2089,10
2105,11
2106,8
2110,2
2114,4
2129,6
2134,1
2140,6
2141,6
2144,2
2149,11
2151,6
2154,7
2156,3
2180,7
2182,9
2183,8
2185,4
2189,5
2190,4
2193,9
2203,5
2208,8
2209,6
2211,7
2214,3
2218,1
2219,8
2224,3
2232,7
2234,9
2238,3
2249,8
2256,3
2275,3
2281,4
2294,7
2295,3
2303,6
2310,2
2311,6
2313,3
2318,1
2338,11
2341,7
2344,8
2348,6
2355,0
2356,3
2358,15
2364,3
2372,1
2375,7
2381,5
2383,8
2384,1
2385,4
2387,9
2390,9
2391,1
2394,8
2398,4
2399,9
2402,7
2412,10
2423,2
2424,9
2431,7
2435,6
2439,5
2441,10
2448,8
2450,9
2454,3
2465,1
2469,9
2470,10
2474,9
2478,9
2479,2
2483,3
2489,7
2501,8
2505,3
2509,10
2515,8
2517,11
2518,6
2519,11
2525,8
2527,4
2528,5
2529,10
2534,4
2536,1
2539,10
2544,1
2545,10
2547,2
2555,3
2561,10
2565,5
2567,7
2572,8
2573,3
2577,11
2580,9
2584,7
2587,7
2589,7
2607,2
2609,5
2610,1
2617,8
2620,4
2625,8
2628,6
2630,3
2636,4
2637,5
2645,2
2649,12
2656,5
2660,10
2668,7
2678,6
2683,3
2684,2
2694,8
2695,1
2705,8
2715,11
2717,5
2724,1
2729,0
2737,4
2738,8
2739,10
2740,6
2743,3
2754,6
2756,6
2758,4
2781,11
2782,5
2784,7
2785,3
2787,4
2790,3
2809,10
2811,2
2814,10
2822,8
2824,6
2825,2
2826,10
2828,4
2839,15
2840,7
2845,4
2848,2
2850,2
2857,8
2866,5
2869,1
2870,6
2874,5
2882,5
2887,5
2896,3
2900,2
2903,3
2907,3
2908,8
2935,1
2939,3
2942,3
2945,10
2949,8
2951,2
2954,9
2956,8
2957,3
2958,10
2961,10
2968,10
2969,8
2977,3
2984,1
2987,9
2992,9
3000,1
3005,3
3009,2
3014,3
3016,5
3017,1
3019,4
3024,2
3025,6
3033,3
3036,6
3045,11
3053,8
3064,1
3067,10
3068,9
3082,6
3094,11
3096,6
3106,8
3113,2
3115,5
3129,10
3133,3
3137,4
3138,10
3143,7
3148,10
3149,10
3152,4
3156,6
3157,4
3160,2
3162,3
3165,7
3166,8
3171,4
3175,4
3192,6
3194,4
3195,7
3197,9
3198,3
3207,8
3215,8
3217,9
3219,1
3220,2
3223,10
3224,7
3234,8
3235,9
3236,9
3238,8
3243,2
3248,1
3252,8
3260,3
3262,10
3270,2
3272,6
3277,6
3282,2
3284,5
3289,5
3290,1
3294,8
3298,9
3303,3
3306,4
3307,3
3311,8
3316,3
3322,11
3323,7
3330,6
3332,6
3337,9
3338,2
3341,3
3346,6
3350,1
3355,4
3357,5
3359,3
3362,6
3363,5
3364,3
3365,5
3366,8
3377,11
3379,1
3381,8
3385,11
3386,8
3387,2
3388,9
3395,3
3397,2
3398,10
3402,7
3404,3
3405,11
3418,5
3427,1
3431,1
3435,3
3436,2
3445,10
3465,1
3468,8
3473,1
3474,14
3482,8
3485,3
3487,3
3494,3
3516,1
3518,9
3527,8
3538,3
3541,2
3548,7
3551,1
3554,4
3555,3
3556,9
3562,3
3565,4
3569,3
3572,4
3573,3
3574,4
3583,3
3594,3
3619,5
3626,12
3629,6
3632,3
3633,11
3635,2
3636,1
3638,8
3639,4
3646,6
3650,15
3654,3
3656,1
3666,4
3670,3
3671,3
3672,11
3676,4
3686,3
3687,10
3689,4
3695,7
3698,2
3704,11
3710,7
3712,9
3721,1
3733,4
3741,9
3746,4
3748,12
3752,9
3753,4
3757,4
3759,14
3762,1
3764,10
3769,4
3771,2
3780,9
3783,5
3792,12
3793,3
3796,6
3804,3
3812,9
3816,8
3819,8
3826,9
3827,11
3828,7
3829,3
3831,3
3834,5
3835,14
3836,8
3839,10
3842,3
3848,3
3864,2
3865,3
3867,8
3868,8
3877,6
3883,2
3887,8
3892,1
3899,6
3901,10
3904,8
3916,8
3918,3
3921,10
3922,2
3924,9
3929,5
3930,6
3935,11
3936,11
3937,5
3940,12
3942,8
3949,10
3950,8
3959,3
3963,9
3970,4
3971,1
3973,9
3974,8
3975,9
3979,8
3992,10
3994,7
3997,1
3998,3
3999,4
4007,1
4014,3
4015,1
4016,4
4036,10
4037,8
4039,1
4040,1
4042,1
4043,4
4051,2
4057,10
4062,0
4071,2
4076,4
4077,4
4079,8
4081,6
4082,5
4085,5
4090,9
4092,10
4096,3
4097,10
4099,10
4111,3
4112,2
4113,3
4115,8
4118,11
4120,6
4122,6
4129,8
4139,3
4140,8
4143,7
4148,6
4149,4
4152,2
4154,3
4159,10
4170,3
4187,7
4189,2
4190,2
4194,9
4196,8
4200,15
