doc_idx,category
9,1
10,4
15,7
20,3
25,3
33,11
37,2
38,3
39,4
42,11
43,3
44,13
46,9
48,6
50,8
52,6
55,4
58,5
82,3
98,11
119,10
121,1
122,2
127,7
133,9
140,8
147,4
150,5
151,11
154,2
156,2
158,11
159,6
162,6
168,11
178,9
183,6
185,3
187,7
188,13
201,6
208,6
213,12
215,6
221,6
224,11
229,2
233,5
234,13
242,11
244,6
247,11
251,4
253,13
254,6
257,6
273,11
274,13
277,11
278,4
296,3
304,9
317,1
321,9
323,14
328,4
332,3
338,3
343,11
366,13
370,2
379,4
380,3
384,10
386,2
388,2
391,4
392,3
393,5
394,9
400,12
406,2
408,1
421,7
423,11
427,9
442,7
447,9
448,1
451,12
458,12
462,11
471,6
477,12
495,2
499,2
501,9
519,9
521,11
526,10
528,6
532,12
537,3
541,9
543,9
547,9
551,4
563,1
565,12
569,2
574,4
578,12
580,12
581,9
595,7
597,6
600,12
618,5
623,3
625,14
630,13
633,13
635,11
659,2
676,11
679,9
681,7
683,6
692,1
693,12
708,12
717,12
722,4
725,1
733,6
746,4
747,2
749,5
755,1
757,2
760,3
776,7
779,11
787,1
796,4
799,4
808,9
819,11
821,6
833,6
834,11
836,11
838,11
839,0
841,1
842,11
844,6
845,11
848,6
850,11
852,11
855,6
869,2
886,1
888,11
894,3
905,3
907,11
908,1
921,14
922,12
924,4
934,11
935,11
937,9
938,2
940,1
943,7
944,11
945,13
950,4
955,1
961,6
966,8
972,11
975,1
982,11
986,7
998,13
1002,7
1003,5
1018,3
1022,12
1025,2
1026,4
1029,3
1034,9
1035,6
1040,7
1044,12
1046,7
1051,8
1052,1
1058,3
1063,12
1064,1
1067,9
1079,4
1087,9
1088,11
1097,12
1101,6
1102,1
1103,10
1112,10
1113,1
1126,2
1139,5
1151,1
1157,10
1158,13
1172,4
1176,11
1179,11
1180,8
1193,11
1207,10
1210,2
1218,3
1220,13
1222,11
1225,3
1234,2
1242,3
1249,13
1255,13
1256,3
1264,6
1269,11
1270,11
1277,1
1279,1
1283,10
1300,3
1308,6
1315,2
1324,10
1326,6
1332,9
1334,2
1335,11
1353,3
1355,12
1359,1
1364,9
1376,13
1400,6
1401,2
1403,9
1412,6
1421,0
1422,3
1435,3
1443,6
1453,11
1456,1
1462,4
1467,11
1468,12
1470,6
1475,6
1476,11
1479,1
1483,3
1485,6
1490,11
1497,13
1515,12
1523,3
1526,13
1529,10
1533,11
1538,0
1540,7
1559,10
1570,7
1573,1
1575,12
1585,7
1590,6
1594,6
1607,11
1608,11
1614,12
1615,2
1621,9
1631,14
1638,1
1641,12
1644,11
1645,4
1648,6
1651,11
1653,6
1657,3
1665,1
1666,13
1675,3
1683,3
1693,6
1701,12
1712,3
1713,11
1726,13
1729,8
1737,12
1741,11
1742,14
1748,7
1750,9
1759,11
1793,12
1799,7
1800,12
1801,1
1805,11
1811,13
1813,9
1815,11
1819,1
1820,1
1824,2
1825,6
1831,4
1845,12
1847,3
1869,1
1870,5
1874,1
1880,3
1888,2
1893,3
1896,3
1903,4
1908,3
1912,7
1914,3
1917,2
1921,3
1942,6
1946,12
1962,9
1966,13
1991,11
1997,5
2006,2
2016,1
2020,9
2021,10
2029,12
2031,7
2038,1
2043,6
2052,9
2060,9
2065,1
2083,5
2087,11
2092,4
2093,1
2095,6
2097,11
2098,3
2104,2
2111,13
2112,13
2117,5
2119,7
2124,7
2131,13
2143,9
2149,5
2172,4
2175,13
2181,6
2196,11
2218,1
2219,10
2226,1
2227,12
2230,5
2242,7
2252,13
2257,9
2285,2
2287,12
2294,7
2295,11
2297,6
2302,0
2311,6
2313,11
2315,6
2326,5
2328,9
2330,7
2341,7
2351,9
2354,7
2362,12
2363,6
2364,11
2376,12
2381,13
2383,8
