doc_idx,category
0,7
19,4
21,3
23,11
35,0
38,3
43,3
58,5
64,6
67,12
70,5
73,1
74,11
76,1
82,3
87,14
90,1
91,9
92,6
93,6
95,5
97,6
101,12
105,4
106,5
107,13
110,13
120,2
122,2
137,11
138,9
141,4
145,5
148,9
155,1
157,10
161,9
167,3
170,10
176,10
183,6
188,13
190,11
193,12
195,1
201,6
206,11
221,6
227,2
230,9
233,5
235,8
236,10
238,12
244,6
250,12
254,6
255,2
258,1
262,1
266,8
270,7
277,11
285,1
287,9
299,1
302,8
310,11
314,11
318,4
322,11
328,4
329,1
331,1
332,3
343,11
345,2
347,7
363,6
364,2
367,11
368,2
369,4
370,2
373,7
379,4
390,13
391,4
393,5
395,3
399,1
409,11
412,4
415,10
417,6
420,4
426,9
442,7
443,12
446,4
449,4
452,11
455,11
458,12
463,5
464,13
466,12
467,10
468,12
469,12
485,11
487,5
489,0
496,7
500,8
510,1
518,1
531,2
541,9
544,2
547,9
548,2
557,12
563,1
569,2
570,10
575,12
580,12
587,11
602,2
604,9
606,11
611,6
615,12
617,9
618,5
619,1
625,14
626,9
634,6
637,6
643,6
645,1
651,2
653,11
657,6
659,2
660,13
667,12
678,1
679,9
685,8
687,10
692,1
693,12
697,3
699,1
707,11
709,1
710,9
712,9
719,13
723,11
725,1
726,12
730,6
737,6
745,11
758,3
762,9
763,6
764,6
767,7
768,11
770,9
774,12
778,3
790,6
792,13
800,2
805,6
809,6
813,4
814,12
816,11
819,11
826,2
831,14
838,11
839,12
843,1
846,9
849,3
851,1
854,1
857,12
865,3
867,1
883,12
884,1
888,11
889,3
896,6
903,8
915,9
918,2
924,4
931,11
933,13
934,11
938,2
942,2
944,11
947,13
949,2
952,1
956,13
970,13
971,10
977,3
979,3
981,13
989,6
998,13
1001,4
1003,5
1013,10
1016,9
1018,3
1020,3
1023,3
1032,2
1035,6
1038,1
1043,3
1048,7
1049,11
1050,13
1051,8
1052,1
1054,9
1057,1
1064,1
1066,2
1067,9
1070,3
1072,11
1073,1
1080,11
1082,8
1083,11
1088,11
1089,1
1102,1
1105,5
1107,1
1108,3
1115,12
1146,4
1148,13
1151,1
1162,3
1167,11
1170,9
1171,14
1172,4
1174,4
1182,11
1185,11
1194,2
1197,9
1198,11
1202,4
1205,9
1207,10
1208,6
1212,7
1220,13
1224,3
1228,1
1232,2
1236,4
1253,2
1258,5
1262,11
1263,8
1272,12
1276,11
1277,1
1289,1
1290,9
1298,11
1305,12
1307,4
1316,13
1318,9
1321,6
1326,6
1331,13
1334,2
1342,6
1347,9
1352,1
1354,12
1356,5
1357,7
1359,1
1362,1
1365,9
1366,11
1371,13
1376,13
1380,2
1389,9
1393,9
1398,11
1399,12
1400,6
1401,2
1408,1
1409,4
1411,8
1414,7
1423,13
1428,4
1439,6
1442,10
1449,9
1453,11
1457,11
1472,11
1473,3
1475,6
1478,9
1484,13
1496,3
1503,11
1506,11
1508,4
1515,12
1517,3
1522,1
1529,10
1534,3
1536,3
1540,7
1544,6
1548,10
1560,11
1562,11
1572,6
1576,2
1577,6
1579,7
1581,2
1582,6
1584,11
1587,9
1588,12
1589,9
1600,2
1606,1
1607,11
1610,4
1615,2
1618,6
1620,11
1625,7
1626,1
1628,7
1631,14
1641,12
1647,12
1649,5
1651,11
1652,2
1653,6
1662,3
1668,2
1676,8
1678,12
1679,2
1698,12
1700,3
1709,6
1710,12
1721,2
1726,13
1732,9
1735,2
1741,11
1745,11
1747,11
1751,13
1762,11
1769,12
1771,13
1772,7
1773,10
1775,5
1778,12
1781,7
1782,10
1798,4
1802,3
1805,11
1812,12
1814,6
1815,11
1819,1
1826,5
1828,9
1831,4
1833,1
1836,2
1841,6
1842,6
1855,11
1859,12
1860,0
1870,5
1878,1
1891,13
1893,3
1894,9
1901,12
1913,7
1918,11
1919,6
1922,3
1932,1
1933,6
1934,2
1936,10
1941,1
1945,12
1946,12
1947,7
1948,3
1950,1
1953,1
1960,1
1961,10
1965,11
1975,1
1982,7
1983,9
1985,5
1989,3
1999,11
2001,2
2002,2
2007,9
2009,10
2010,4
2014,10
2020,9
2029,12
2030,9
2036,14
2052,9
2054,3
2055,2
2058,6
2061,3
2070,1
2077,4
2079,2
2086,12
2088,13
2096,12
2099,9
2100,2
2101,11
2109,9
2111,13
2116,11
2117,5
2118,3
2130,6
2143,9
2161,12
2168,2
2170,2
2171,6
2172,4
2178,9
2180,7
2183,9
2187,6
2188,10
2190,12
2192,5
2197,12
2215,1
2216,3
2227,12
2232,7
2233,13
2234,4
2235,4
2237,11
2240,12
2242,7
2252,13
2256,11
2259,1
2265,11
2268,6
2270,12
2271,3
2272,12
2275,11
2279,4
2285,2
2291,9
2294,7
2296,12
2301,11
2313,11
2315,6
2317,11
2318,1
2320,3
2322,6
2323,5
2333,4
2341,7
2343,11
2345,4
2348,6
2350,3
2351,9
2353,6
2359,11
2367,3
2369,8
2374,7
2376,12
2378,11
2392,6
2395,11
2400,9
2402,7
2409,1
2410,1
2413,5
2422,12
2425,13
2429,4
2430,6
2432,6
2435,6
2440,11
2447,9
2450,4
2451,3
2452,3
2454,11
2456,12
2457,9
2458,11
2461,7
2463,14
2465,1
2468,1
2481,5
2486,5
2487,6
2493,4
2505,11
2506,3
2507,2
2524,12
2529,3
2531,1
2535,14
2537,4
2540,1
2542,9
2550,13
2552,3
2555,11
2556,12
2563,7
2567,7
2568,7
2580,4
2582,9
2584,7
2588,12
2590,9
2592,11
2594,2
2595,9
2596,11
2603,13
2618,12
2619,12
2629,12
2633,3
2634,10
2635,4
2640,7
2648,2
2649,14
2658,3
2660,3
2669,12
2673,2
2675,13
2677,3
2678,6
2689,1
2691,14
2695,1
2704,6
2707,6
2709,12
2712,2
2713,1
2719,3
2722,4
2729,9
2734,1
2737,11
2741,9
2742,4
2748,1
2750,9
2751,12
2754,6
2757,3
2767,11
2771,4
2781,5
2787,12
2791,6
2792,11
2798,7
2800,9
2803,9
2807,7
2808,2
2813,7
2818,9
2822,10
2830,13
2835,2
2837,12
2842,4
2843,3
2845,12
2851,4
2853,11
2862,11
2864,7
2865,1
2870,6
2873,12
2876,9
2879,10
2885,4
2895,11
2896,11
2900,2
2904,3
2906,3
2907,11
2918,1
2919,7
2925,12
2929,4
2930,3
2939,11
2940,11
2941,11
2942,7
2944,3
2948,2
2952,6
2953,4
2958,3
2960,11
2962,1
2964,2
2966,6
2974,2
2976,11
2977,11
2980,10
2981,9
2984,1
2995,7
2998,4
3001,4
3010,1
3024,2
3034,0
3037,13
3044,0
3047,11
3054,4
3055,11
3056,8
3069,6
3071,12
3072,4
3079,13
3084,14
3086,7
3088,4
3090,1
3096,6
3097,9
3101,3
3103,12
3112,4
3113,2
3124,12
3128,11
3132,3
3147,6
3158,7
3163,1
3164,11
3170,9
3171,12
3172,11
3176,4
3177,11
3178,11
3181,4
3183,1
3186,3
3187,6
3194,12
3196,11
3203,9
3204,11
3212,1
3215,10
3222,11
3225,4
3226,5
3229,3
3239,4
3247,12
3249,13
3250,7
3252,9
3258,12
3264,9
3269,1
3279,13
3281,9
3282,2
3284,13
3287,2
3288,1
3302,1
3303,11
3311,9
3314,4
3318,13
3322,5
3323,7
3327,1
3331,4
3344,6
3346,6
3354,12
3355,12
3357,13
3369,2
3370,0
3373,13
3378,6
3380,13
3383,11
3384,1
3387,2
3388,4
3399,10
3403,12
3406,11
3408,4
3412,11
3416,3
3417,4
3418,13
3419,7
3420,1
3423,12
3431,1
3443,8
3444,8
3448,13
3455,4
3456,6
3459,11
3468,9
3470,1
3473,1
3477,4
3482,3
3487,11
3503,6
3510,3
3512,11
3513,13
3516,1
3518,4
3524,9
3529,7
3532,6
3544,7
3552,4
3564,12
3573,11
3575,13
3577,2
3582,2
3588,11
3589,11
3592,12
3596,3
3599,2
3602,10
3606,12
3611,3
3617,11
3620,3
3624,1
3627,1
3636,1
3641,3
3646,6
3654,11
3659,4
3663,3
3664,4
3667,6
3669,7
3675,9
3679,1
3683,9
3684,11
3687,3
3688,13
3691,11
3693,9
3698,2
3701,6
3711,10
3713,9
3722,11
3724,12
3725,7
3726,0
3727,7
3739,3
3743,12
3752,4
3753,12
3756,12
3758,7
3760,3
3762,1
3765,1
3769,12
3777,9
3779,3
3788,3
3789,9
3803,4
3806,11
3809,13
3811,13
3812,4
3815,6
3818,11
3819,10
3822,2
3830,8
3835,2
3845,7
3854,7
3857,7
3858,2
3873,7
3891,8
3903,1
3905,13
3912,9
3924,4
3929,13
3931,11
3934,6
