doc_idx,category
9,15
10,4
14,15
15,2
22,1
23,2
27,12
30,1
33,1
37,12
40,1
44,1
49,12
53,4
57,3
64,12
69,0
70,5
76,5
92,3
98,0
104,7
109,1
113,0
117,3
118,2
119,1
121,2
124,5
132,2
135,10
137,4
138,1
141,3
148,2
156,3
169,1
175,8
179,4
182,8
188,0
189,13
191,0
192,13
195,7
196,5
202,5
206,5
215,3
217,6
224,4
227,1
228,4
229,2
234,3
235,1
238,0
242,3
244,5
245,2
248,7
252,1
253,10
259,1
263,6
271,15
276,3
289,2
290,5
295,6
296,2
298,15
299,1
302,1
303,12
305,3
306,15
311,0
314,2
316,4
317,1
320,10
322,4
326,5
330,5
332,3
333,10
338,9
346,5
349,3
351,7
352,10
353,6
361,1
369,6
380,13
385,7
392,2
396,1
398,3
399,0
402,5
405,15
410,7
418,3
422,9
425,2
426,7
427,10
436,5
438,5
443,3
446,4
452,10
454,3
457,2
459,3
461,3
463,1
465,15
472,2
476,3
478,10
480,5
482,2
483,3
485,12
487,1
488,7
489,3
491,3
493,15
496,4
501,12
502,2
503,1
507,9
514,6
517,3
518,12
527,1
529,3
531,15
536,0
538,7
543,3
545,7
546,9
547,4
553,0
558,1
562,5
563,3
564,2
565,5
566,2
567,5
569,5
570,3
572,1
575,1
578,8
581,3
582,2
587,4
596,1
597,5
599,3
600,5
601,3
609,5
615,2
616,15
618,15
619,4
621,3
628,12
634,6
638,5
641,4
643,13
648,7
652,15
654,1
655,2
661,3
663,9
666,0
667,2
670,3
672,4
674,5
675,10
678,0
682,8
683,0
685,4
686,3
687,3
688,3
692,3
701,7
702,2
704,4
711,10
712,8
716,8
719,3
720,1
722,4
723,9
727,4
728,3
731,3
743,12
745,2
746,4
748,5
751,1
762,4
766,5
768,2
775,1
776,5
778,1
779,15
783,15
791,5
793,4
794,3
806,5
812,3
817,12
820,10
825,10
826,3
831,13
836,3
838,4
841,15
847,8
849,1
850,5
852,0
867,0
868,5
878,3
879,3
880,5
882,9
886,4
890,6
895,4
896,3
899,4
900,6
905,4
906,4
909,5
912,1
913,1
914,1
918,3
921,10
923,5
924,3
933,10
934,5
935,3
936,9
938,1
944,0
951,2
953,5
958,7
961,2
962,12
963,4
966,3
969,3
971,15
977,15
979,5
982,3
983,5
988,5
991,15
993,15
995,5
997,1
998,1
1003,3
1005,8
1009,4
1013,4
1014,8
1015,1
1017,1
1023,3
1025,6
1032,1
1037,1
1038,1
1041,2
1042,1
1043,3
1044,5
1047,5
1049,15
1052,4
1056,1
1059,1
1063,1
1065,5
1068,15
1070,0
1074,15
1078,4
1081,3
1083,3
1084,5
1093,1
1094,13
1095,15
1099,5
1101,15
1106,9
1108,1
1109,1
1110,3
1114,4
1118,15
1122,9
1127,1
1129,5
1136,1
1138,5
1147,1
1148,10
1151,15
1158,3
1160,15
1180,7
1183,5
1184,4
1187,2
1190,0
1191,2
1196,12
1197,15
1199,13
1203,1
1211,7
1217,2
1222,5
1224,2
1225,12
1230,4
1231,5
1232,5
1236,3
1237,10
1238,1
1240,1
1244,5
1254,1
1255,12
1256,1
1261,0
1262,5
1264,9
1269,4
1271,15
1273,1
1275,2
1276,5
1281,0
1283,15
1287,3
1290,15
1293,3
1300,1
1301,1
1302,2
1303,1
1311,15
1318,8
1323,3
1324,4
1326,4
1327,4
1328,12
1330,0
1332,5
1334,0
1343,0
1347,4
1357,10
1362,1
1363,7
1368,3
1370,5
1374,3
1376,3
1377,9
1380,13
1385,10
1386,9
1387,12
1396,1
1397,5
1399,0
1410,3
1411,10
1412,15
1414,1
1423,3
1427,1
1430,7
1432,3
1448,0
1449,2
1455,3
1458,4
1462,4
1463,1
1464,3
1465,7
1473,10
1474,5
1476,1
1486,5
1489,6
1490,5
1491,6
1495,1
1504,1
1505,4
1511,3
1519,1
1521,2
1523,10
1533,15
1547,2
1548,5
1554,1
1555,1
1560,5
1564,3
1570,15
1571,15
1577,3
1580,15
1581,2
1590,1
1592,15
1593,13
1601,2
1604,15
1610,3
1612,1
1618,5
1621,5
1625,15
1637,5
1639,15
1643,5
1646,2
1647,15
1648,10
1651,3
1665,0
1670,9
1678,15
1687,5
1693,1
1695,2
1696,15
1697,1
1703,4
1708,2
1709,5
1712,0
1714,1
1715,15
1724,4
1735,15
1736,12
1737,5
1746,4
1749,15
1756,3
1757,15
1758,2
1761,3
1764,5
1765,12
1773,8
1774,5
1779,15
1784,1
1785,13
1793,0
1798,15
1811,3
1824,1
1825,3
1830,10
1831,5
1836,9
1839,4
1840,2
1843,7
1846,5
1853,3
1856,2
1857,5
1864,4
1878,12
1887,2
1893,1
1894,4
1895,3
1897,3
1906,5
1912,8
1922,4
1928,4
1929,7
1935,3
1939,4
1943,15
1944,2
1949,1
1952,7
1955,4
1962,6
1964,1
1972,2
1974,3
1977,4
1988,15
1997,3
1998,4
2000,1
2004,1
2010,2
2012,1
2014,4
2017,5
2027,7
2029,4
2038,3
2041,9
2044,4
2047,2
2049,1
2053,2
2055,6
2057,2
2060,4
2061,1
2064,5
2065,14
2072,5
2073,3
2074,5
2075,1
2088,4
2092,15
2094,3
2100,10
2102,1
2106,10
2108,3
2109,15
2113,4
2114,3
2125,2
2130,2
2133,15
2144,5
2147,0
2151,0
2168,10
2170,8
2175,4
2178,0
2180,15
2181,8
2183,1
2189,15
2192,4
2193,5
2198,10
2200,13
2203,5
2204,15
2215,3
2216,1
2218,8
2230,2
2231,0
2234,8
2238,15
2245,5
2246,2
2252,5
2254,2
2255,5
2258,2
2263,5
2266,10
2267,4
2268,7
2270,5
2275,1
2277,9
