doc_idx,category
1,2
3,6
5,6
9,2
10,7
12,1
13,3
16,2
18,1
19,5
27,6
29,5
33,1
35,6
44,1
47,2
56,7
59,3
62,5
68,2
76,3
81,7
84,7
86,7
96,1
97,4
99,7
101,7
103,3
106,6
107,5
109,1
110,1
116,1
117,5
121,4
128,6
130,7
131,2
133,7
134,6
137,7
140,4
150,5
152,6
158,1
160,2
163,5
165,4
166,7
169,1
170,3
171,2
173,6
174,4
176,2
177,3
178,2
184,7
185,5
188,6
197,2
201,5
202,3
207,5
208,5
209,3
211,3
212,2
217,6
223,3
224,7
227,1
229,4
230,7
234,5
235,1
236,2
238,6
244,3
247,3
254,5
256,6
260,3
266,6
268,2
269,2
270,6
274,1
278,6
283,2
285,6
286,4
292,3
293,8
294,3
300,4
301,4
304,7
307,2
309,1
310,7
315,3
319,6
320,7
322,7
328,5
330,3
331,4
332,5
333,7
335,3
339,6
340,6
341,7
342,4
346,3
349,5
361,1
363,3
367,3
370,4
373,2
376,7
377,2
378,5
379,10
380,9
382,6
386,1
388,4
390,4
391,7
392,4
398,5
399,1
400,3
406,5
407,1
413,3
414,5
420,7
427,7
428,4
429,5
430,4
435,7
438,3
440,4
442,3
449,2
451,6
456,4
459,5
462,6
465,2
473,1
475,3
479,3
485,6
487,1
490,5
493,2
495,2
496,7
497,6
498,7
499,7
501,6
502,4
509,6
510,1
512,3
514,6
517,5
520,6
523,4
525,1
527,1
528,6
529,5
530,1
537,1
538,2
542,3
544,4
549,2
551,7
553,7
554,5
555,2
564,4
566,4
570,5
574,10
575,1
577,4
578,4
587,7
602,7
603,2
604,2
606,4
608,9
613,5
614,1
618,2
623,1
624,4
626,8
629,7
634,6
637,7
654,1
659,3
661,5
666,6
669,3
678,1
679,6
680,3
681,5
685,7
688,5
696,7
697,1
701,2
702,4
705,4
713,1
717,6
718,5
722,7
724,5
727,7
738,1
742,2
747,2
755,4
761,7
773,6
777,1
779,2
780,5
781,3
782,5
787,4
790,4
796,4
797,5
805,2
809,2
810,2
812,5
813,6
821,6
831,6
837,5
840,4
841,2
842,4
843,1
851,4
853,1
856,8
861,7
864,6
866,5
867,5
871,5
874,2
875,1
876,7
881,1
885,7
887,3
889,3
891,5
893,1
896,5
900,1
903,5
904,4
909,3
912,1
917,5
918,5
920,3
925,3
927,2
928,6
930,5
931,2
933,7
937,6
938,1
942,3
944,8
951,8
954,6
958,2
960,3
963,7
964,2
967,7
968,4
970,5
971,2
975,1
981,6
982,5
984,2
986,6
987,2
989,7
992,6
994,2
996,5
998,1
1001,4
1003,5
1006,5
1007,1
1008,7
1013,7
1015,1
1018,8
1019,7
1021,6
1023,5
1031,2
1032,1
1034,1
1036,1
1037,1
1039,6
1046,7
1048,1
1055,5
1056,1
1060,2
1061,0
1064,7
1067,5
1069,4
1072,1
1073,5
1075,6
1077,4
1084,3
1086,6
1087,6
1088,4
1092,8
1094,9
1096,5
1107,1
1111,5
1115,7
1116,5
1118,2
1123,4
1128,1
1129,3
1133,4
1134,6
1135,4
1136,1
1138,3
1140,7
1142,1
1144,6
1150,3
1151,2
1153,6
1161,6
1162,2
1168,2
1171,3
1172,4
1178,6
1179,2
1180,2
1184,7
1186,2
1187,4
1192,1
1193,4
1195,5
1201,3
1207,7
1209,3
1211,2
1212,6
1213,3
1215,2
1223,4
1224,4
1225,6
1226,2
1231,3
1232,3
1234,2
1235,7
1236,5
1239,3
1241,4
1248,2
1250,1
1251,4
1254,1
1255,6
1266,6
1271,2
1275,4
1277,1
1278,5
1281,6
1282,6
1283,2
1289,7
1293,5
1294,4
1297,7
1299,7
1302,4
1306,1
1310,1
1311,2
1312,4
1313,2
1316,7
1320,2
1321,2
1329,7
1331,5
1333,0
1336,4
1343,0
1345,3
1346,6
1349,1
1350,9
1351,6
1353,3
1354,2
1359,2
1362,1
1370,3
1377,7
1379,7
1382,5
1384,4
1385,7
1387,6
1391,7
1400,1
1404,6
1405,5
1406,7
1407,1
1410,5
1412,2
1413,7
1421,1
1425,4
1428,3
1432,5
1433,6
1436,6
1438,7
1443,4
1444,5
1448,1
1460,7
1461,1
1462,7
1463,1
1464,5
1472,2
1474,3
1476,1
1478,4
1479,7
1481,5
1482,4
1483,7
1484,2
1486,3
1487,5
1491,1
1496,5
1502,3
1503,7
1504,1
1505,7
1507,1
1513,6
1519,1
1521,4
1522,6
1524,7
1527,2
1530,4
1533,2
1534,4
1535,5
