doc_idx,category
9,2
10,5
14,2
15,3
22,1
23,3
27,7
30,1
33,1
37,7
40,1
44,1
49,7
53,5
57,4
64,7
69,3
70,6
76,6
92,4
98,5
104,2
109,1
113,3
117,4
118,3
119,1
121,3
124,6
132,3
135,5
137,5
138,1
141,4
148,3
156,4
169,1
175,3
179,5
182,3
188,8
189,7
191,8
192,7
195,2
196,6
202,6
206,6
215,4
217,0
224,5
227,1
228,5
229,3
234,4
235,1
238,8
242,4
244,6
245,3
248,1
252,1
253,5
259,1
263,7
271,2
276,4
289,3
290,6
295,7
296,3
298,2
299,1
302,1
303,7
305,4
306,2
311,0
314,3
316,5
317,1
320,5
322,5
326,6
330,6
332,4
333,5
338,7
346,6
349,4
351,2
352,5
353,7
361,1
369,7
380,7
385,2
392,3
396,1
398,4
399,8
402,6
405,2
410,2
418,4
422,7
425,3
426,2
427,5
436,6
438,6
443,4
446,5
452,5
454,4
457,3
459,4
461,4
463,1
465,2
472,3
476,4
478,5
480,6
482,3
483,4
485,7
487,1
488,2
489,4
491,4
493,2
496,5
501,7
502,3
503,1
507,7
514,7
517,4
518,7
527,1
529,4
531,2
536,8
538,2
543,4
545,2
546,1
547,5
553,8
558,1
562,6
563,4
564,3
565,6
566,3
567,6
569,6
570,4
572,1
575,1
578,3
581,4
582,3
587,5
596,1
597,6
599,4
600,6
601,4
609,6
615,3
616,2
618,2
619,5
621,4
628,7
634,7
638,6
641,5
643,8
648,2
652,2
654,1
655,3
661,4
663,7
666,7
667,3
670,4
672,5
674,6
675,5
678,8
682,3
683,8
685,5
686,4
687,4
688,4
692,4
701,2
702,3
704,5
711,5
712,3
716,3
719,4
720,1
722,5
723,8
727,5
728,4
731,4
743,7
745,3
746,5
748,6
751,1
762,5
766,6
768,3
775,1
776,6
778,1
779,2
783,2
791,6
793,5
794,4
806,6
812,4
817,7
820,5
825,5
826,4
831,7
836,4
838,5
841,2
847,3
849,1
850,6
852,4
867,4
868,6
878,4
879,4
880,6
882,7
886,5
890,7
895,5
896,4
899,5
900,7
905,5
906,5
909,6
912,1
913,1
914,1
918,4
921,5
923,6
924,4
933,5
934,6
935,4
936,8
938,1
944,3
951,3
953,6
958,2
961,3
962,7
963,5
966,4
969,4
971,2
977,2
979,6
982,4
983,6
988,6
991,2
993,2
995,6
997,1
998,1
1003,4
1005,3
1009,5
1013,5
1014,3
1015,1
1017,1
1023,4
1025,7
1032,1
1037,1
1038,1
1041,3
1042,1
1043,4
1044,6
1047,6
1049,2
1052,5
1056,1
1059,1
1063,1
1065,6
1068,2
1070,1
1074,2
1078,5
1081,4
1083,4
1084,6
1093,1
1094,7
1095,2
1099,6
1101,2
1106,7
1108,1
1109,1
1110,4
1114,7
1118,2
1122,7
1127,1
1129,6
1136,1
1138,6
1147,1
1148,5
1151,2
1158,4
1160,2
1180,2
1183,6
1184,5
1187,3
1190,3
1191,3
1196,7
1197,2
1199,7
1203,1
1211,2
1217,3
1222,6
1224,3
1225,7
1230,5
1231,6
1232,6
1236,4
1237,5
1238,1
1240,1
1244,6
1254,1
1255,7
1256,1
1261,4
1262,6
1264,8
1269,5
1271,2
1273,1
1275,3
1276,6
1281,7
1283,2
1287,4
1290,2
1293,4
1300,1
1301,1
1302,3
1303,1
1311,2
1318,3
1323,4
1324,5
1326,5
1327,5
1328,7
1330,7
1332,6
1334,7
1343,8
1347,5
1357,5
1362,1
1363,2
1368,4
1370,6
1374,4
1376,4
1377,5
1380,7
1385,5
1386,5
1387,7
1396,1
1397,6
1399,8
1410,4
1411,5
1412,2
1414,1
1423,4
1427,1
1430,2
1432,4
1448,1
1449,3
1455,4
1458,5
1462,5
1463,1
1464,4
1465,2
1473,5
1474,6
1476,1
1486,6
1489,7
1490,6
1491,7
1495,1
1504,1
1505,8
1511,4
1519,1
1521,3
1523,5
1533,2
1547,3
1548,6
1554,1
1555,1
1560,6
1564,4
1570,2
1571,2
1577,4
1580,2
1581,3
1590,1
1592,2
1593,7
1601,3
1604,2
1610,4
1612,1
1618,6
1621,6
1625,2
1637,6
1639,2
1643,6
1646,3
1647,2
1648,5
1651,4
1665,7
1670,7
1678,2
1687,6
1693,1
1695,3
1696,2
1697,1
1703,5
1708,3
1709,6
1712,8
1714,1
1715,2
1724,5
1735,2
1736,7
1737,6
1746,5
1749,2
1756,4
1757,2
1758,3
1761,4
1764,6
1765,7
1773,3
1774,6
1779,2
1784,1
1785,7
1793,4
1798,2
1811,4
1824,1
1825,4
1830,5
1831,6
1836,8
1839,7
1840,3
1843,2
1846,6
1853,4
1856,3
1857,6
1864,5
1878,7
1887,3
1893,1
1894,5
1895,4
1897,4
1906,6
1912,3
1922,5
1928,5
1929,2
1935,4
1939,5
1943,2
1944,3
1949,1
1952,2
1955,5
1962,7
1964,1
1972,3
1974,4
1977,5
1988,2
1997,4
1998,5
2000,1
2004,1
2010,3
2012,1
2014,5
2017,6
2027,2
2029,5
2038,4
2041,7
2044,5
2047,3
2049,1
2053,3
2055,7
2057,3
2060,7
2061,1
2064,6
2065,3
2072,6
2073,4
2074,6
2075,1
2088,5
2092,2
2094,4
2100,5
2102,1
2106,5
2108,4
2109,2
2113,5
2114,4
2125,3
2130,3
2133,2
2144,6
2147,4
2151,7
2168,5
2170,3
2175,5
2178,8
2180,1
2181,3
2183,1
2189,2
2192,5
2193,6
2198,5
2200,7
2203,6
2204,2
2215,4
2216,1
2218,3
2230,3
2231,8
2234,3
2238,2
2245,6
2246,3
2252,6
2254,3
2255,6
2258,3
2263,6
2266,5
2267,8
2268,2
2270,6
2275,1
2277,8
2279,1
2284,8
2288,7
2297,7
2299,4
2306,2
2308,6
2312,7
2317,1
2318,3
2323,4
2325,6
2328,2
2329,2
2332,3
2333,6
2336,6
2349,1
2358,5
2359,2
2360,8
2368,5
2369,1
2372,3
2374,6
2378,1
2381,2
2393,5
2394,1
2395,3
2396,2
2400,7
2407,3
2409,3
2411,5
2412,2
2413,2
2421,4
2427,3
2430,7
2438,5
2439,5
2443,4
2444,2
2447,7
2448,5
2453,3
2459,3
2464,6
2465,2
2466,3
2469,8
2472,1
2476,3
2478,2
2480,7
2485,2
2486,1
2493,1
2499,6
2500,1
2505,1
2507,2
2508,3
2509,6
2517,2
2522,7
2526,6
2527,5
2530,2
