doc_idx,category
0,6
1,2
2,4
3,7
8,1
12,1
16,2
19,4
27,7
30,8
34,6
35,7
36,4
37,7
38,7
39,2
41,6
47,2
50,3
66,3
67,4
73,6
74,7
76,6
81,5
91,5
95,3
97,3
99,5
101,5
102,7
109,1
111,1
114,7
115,6
116,1
118,3
125,4
127,8
131,2
133,5
136,3
137,5
145,1
146,7
158,1
159,7
161,6
163,4
164,4
173,7
176,2
187,4
190,1
194,4
195,2
196,6
204,1
212,2
220,4
221,7
223,6
230,5
231,0
239,5
242,4
243,2
246,6
247,6
250,5
251,6
252,1
254,4
255,6
257,2
259,1
262,4
266,8
268,2
271,2
272,3
274,1
276,4
277,8
278,7
288,6
289,3
296,3
297,4
299,1
301,3
302,1
303,7
308,4
310,7
312,4
313,6
315,6
316,5
319,7
321,7
322,5
323,1
325,7
326,6
334,2
335,6
336,0
338,7
353,7
356,5
357,6
359,3
360,3
363,6
370,3
371,7
373,2
374,4
377,2
381,6
389,4
396,1
403,4
409,2
410,2
412,8
414,4
417,3
419,4
421,4
430,3
431,7
432,1
435,5
437,3
439,4
441,5
445,4
446,5
453,5
454,4
456,3
460,0
463,1
468,2
470,6
472,3
477,4
478,5
482,3
484,3
485,7
487,1
492,7
494,2
500,2
502,3
503,1
509,7
520,7
521,3
525,1
526,2
527,1
528,7
531,2
532,3
535,3
539,7
542,6
547,5
548,4
550,1
552,1
556,3
557,4
561,7
563,4
564,3
565,6
567,6
573,2
574,1
575,1
576,3
579,1
580,3
582,3
586,2
587,5
589,5
591,3
593,2
595,6
603,2
606,3
608,7
610,6
611,3
612,7
622,1
623,1
624,0
627,2
630,4
633,4
635,4
636,2
644,5
649,7
652,2
653,4
657,7
659,6
663,7
667,3
668,7
674,6
675,5
677,2
681,4
685,5
695,3
700,3
703,4
704,5
706,1
707,1
710,4
711,5
712,3
714,1
717,7
720,1
721,2
723,8
724,4
733,1
739,3
743,7
745,3
748,6
751,1
752,2
763,5
769,3
771,3
772,7
778,1
784,6
786,4
794,4
797,4
802,3
803,1
808,5
810,2
811,5
813,7
814,6
817,7
820,5
821,7
829,1
834,2
837,4
850,6
855,4
857,7
869,1
872,3
874,2
875,1
876,5
880,6
885,5
887,6
890,7
891,4
892,4
893,1
896,4
904,3
906,5
907,5
909,6
911,6
912,1
916,2
917,4
918,4
920,6
922,4
923,6
926,5
933,5
934,6
935,4
943,7
950,6
951,3
955,5
956,6
961,3
963,5
969,4
970,4
975,1
978,3
983,6
985,3
987,2
988,6
990,8
991,2
992,7
993,2
995,6
997,1
1000,2
1005,3
1009,5
1011,4
1012,3
1013,5
1016,6
1023,4
1033,2
1035,1
1036,1
1044,6
1047,6
1049,2
1053,5
1062,2
1069,3
1071,5
1076,6
1077,3
1079,6
1082,7
1084,6
1089,5
1091,1
1097,2
1098,3
1101,2
1102,5
1109,1
1114,7
1118,2
1120,2
1121,6
1126,4
1127,1
1129,6
1139,7
1153,7
1155,4
1160,2
1162,2
1164,4
1169,8
1175,6
1176,1
1182,5
1185,5
1187,3
1188,4
1192,1
1198,7
1204,8
1207,5
1213,6
1217,3
1219,3
1231,6
1235,5
1236,4
1238,1
1241,3
1248,2
1258,5
1259,4
1260,4
1262,6
1263,1
1265,4
1269,5
1271,2
1273,1
1276,6
1278,4
1280,3
1284,8
1285,1
1288,4
1289,5
1298,6
1299,5
1300,1
1301,1
1303,1
1309,7
1312,3
1314,6
1315,6
1316,5
1317,2
1320,2
1321,2
1324,5
1325,7
