doc_idx,category
1,0
4,0
10,6
14,0
22,21
23,0
30,8
31,0
33,0
34,0
39,0
42,4
45,16
49,0
57,1
61,4
66,0
72,14
85,4
87,9
88,22
92,8
117,11
118,14
124,0
134,1
138,0
142,0
148,4
154,0
170,0
173,10
185,0
189,6
192,0
196,0
202,20
214,17
217,0
224,22
226,9
227,0
229,1
242,16
245,0
248,0
249,17
257,0
276,1
285,0
286,14
289,0
290,0
295,0
296,0
298,0
302,0
304,0
306,0
308,0
311,22
322,0
326,0
346,0
347,0
352,17
378,5
381,0
398,2
402,4
405,23
408,19
410,0
418,20
436,25
443,0
452,0
453,0
457,0
463,0
465,4
467,0
473,0
480,0
481,0
482,0
483,2
485,0
489,0
491,0
496,0
499,0
500,0
501,0
502,0
514,0
520,0
521,0
526,0
527,0
528,0
530,0
531,0
533,0
534,0
536,0
538,0
541,0
543,0
545,0
546,0
548,0
558,0
562,0
566,0
569,0
572,0
575,0
576,0
578,0
581,15
582,0
587,0
598,0
599,13
615,18
621,2
635,0
638,0
639,0
641,4
651,1
663,18
666,8
668,0
675,21
678,0
682,10
683,0
684,1
685,0
690,0
692,0
704,0
706,0
712,0
727,1
735,0
748,0
751,0
768,0
773,0
775,4
776,0
799,2
817,0
825,0
835,0
836,0
840,2
842,8
861,0
866,14
867,0
868,25
882,0
883,0
888,0
891,0
898,0
899,0
900,0
905,23
910,0
918,0
927,0
935,0
939,0
944,17
949,20
951,22
953,0
958,11
961,11
965,0
971,4
977,9
979,0
982,0
983,14
989,0
996,0
998,0
1001,2
1005,0
1009,0
1012,4
1018,0
1042,13
1043,0
1059,8
1062,0
1065,0
1068,0
1069,21
1070,14
1077,0
1078,21
1084,0
1087,2
1093,0
1101,0
1109,0
1120,0
1127,4
1129,0
1139,0
1148,20
1150,2
1160,0
1161,0
1180,0
1185,21
1191,0
1203,2
1220,2
1225,17
1232,20
1236,0
1239,15
1245,11
1256,0
1261,2
1262,0
1271,0
1276,0
1282,0
1283,14
1287,8
1300,0
1303,0
1310,0
1319,17
1326,0
1328,0
1330,0
1332,0
1336,0
1341,4
1343,0
1347,14
1357,0
1358,0
1359,0
1362,0
1364,0
1377,0
1385,4
1386,0
1390,0
1399,0
1410,0
1412,0
1436,0
1446,0
1450,20
1457,20
1460,4
1464,0
1465,0
1474,0
1478,25
1489,0
1490,0
1493,0
1494,0
1495,0
1496,17
1499,2
1501,0
1505,2
1507,0
1513,0
1515,0
1523,20
1530,0
1533,0
1535,0
1544,0
1553,6
1559,0
1564,0
1569,0
1571,0
1577,0
1580,0
1583,0
1587,0
1601,0
1615,0
1618,0
1625,0
1642,0
1646,0
1649,2
1652,0
1657,0
1662,0
1666,0
1669,0
1670,2
1675,0
1687,0
1697,17
1721,0
1726,4
1728,0
1742,0
1754,17
1757,0
1759,0
1761,0
1763,4
1764,0
1766,0
1770,0
1772,20
1774,0
1790,0
1804,0
1824,0
1825,4
1826,0
1828,0
1831,0
1836,16
1850,0
1852,0
1855,0
1856,0
1869,0
1872,13
1875,18
1887,0
1894,0
1895,4
1898,22
1917,0
1920,2
1922,25
1928,0
1934,2
1936,11
1939,4
1943,0
1949,0
1950,25
1952,0
1953,2
1958,0
1965,0
1969,11
1976,0
1983,0
1994,0
1997,0
1999,0
2010,0
2013,0
2036,0
2041,0
2044,14
2049,6
2054,0
2060,0
2063,0
2070,0
2075,0
2076,0
2078,0
2094,0
2101,0
2106,13
2112,2
2124,0
2125,0
2137,0
2143,16
2151,0
2155,0
2164,0
2165,0
2166,0
2172,0
2174,0
2180,0
2181,25
2183,0
2188,0
2192,0
2193,1
2196,14
2203,0
2205,14
2209,0
2213,0
2223,0
2226,4
2239,0
2243,0
2250,0
2252,0
2255,8
2265,25
2270,20
2271,0
2281,0
2284,2
2287,0
2293,0
2297,0
2299,0
2306,0
2310,0
2312,0
2315,0
2318,0
2323,0
2327,0
2332,0
2350,0
2357,0
