doc_idx,category
0,12
12,17
14,17
18,12
19,13
21,25
28,1
35,19
38,15
39,28
43,11
53,22
60,23
62,4
64,16
67,13
70,12
73,6
74,25
76,1
82,18
87,17
90,21
91,0
92,4
93,19
94,6
95,1
97,1
101,11
107,21
110,15
120,21
122,2
131,12
134,28
137,0
138,9
141,16
148,23
150,1
153,27
155,0
157,1
161,17
167,18
170,15
174,18
176,20
185,25
188,19
190,2
193,9
195,4
201,1
210,1
211,18
221,18
227,6
235,17
236,12
238,13
244,1
250,27
254,12
255,1
262,0
264,0
266,10
277,27
285,0
287,12
299,1
304,0
308,1
310,18
314,16
318,5
320,1
322,5
326,18
328,1
329,17
331,1
332,12
343,1
345,9
347,22
364,1
367,9
368,1
371,23
373,1
379,17
390,5
393,5
394,1
395,1
399,19
400,7
409,12
412,19
415,1
417,2
420,5
426,4
435,11
442,20
443,28
449,18
455,7
458,1
463,1
466,17
468,1
469,1
472,27
481,25
485,20
487,1
489,18
496,18
500,18
510,21
518,17
520,15
531,25
532,1
537,11
540,0
544,1
547,6
548,28
557,10
563,1
567,1
569,1
570,12
575,26
580,11
604,18
606,14
615,2
617,25
618,20
619,25
622,4
625,7
626,11
631,14
643,1
645,5
653,7
657,17
658,19
659,3
660,18
662,13
667,5
669,28
678,6
679,18
685,1
687,9
692,18
693,3
699,19
707,1
709,17
710,18
719,7
723,12
725,24
726,12
730,19
732,11
737,2
741,1
745,12
758,1
762,5
763,18
767,1
768,20
770,10
771,12
774,15
778,10
790,1
792,7
800,4
809,19
813,25
814,5
816,16
819,26
826,12
828,12
830,1
831,17
838,9
839,1
846,1
849,4
851,0
854,13
857,17
865,10
867,4
868,27
883,26
884,11
888,18
889,26
896,23
903,1
912,14
913,8
915,6
918,4
924,12
926,12
931,25
933,1
934,12
942,7
944,13
947,6
948,26
949,8
952,27
956,12
957,13
970,9
971,24
981,13
989,7
997,18
998,1
1002,1
1003,1
1013,1
1016,21
1019,24
1020,28
1023,13
1035,12
1038,1
1043,5
1048,12
1049,1
1050,12
1051,7
1052,1
1054,18
1057,10
1064,4
1066,21
1067,12
1070,4
1071,1
1072,21
1073,2
1075,7
1080,10
1082,18
1083,20
1089,7
1104,2
1105,1
1118,1
1125,0
1148,8
1151,21
1167,1
1170,2
1171,3
1172,9
1174,19
1177,3
1179,5
1180,25
1185,3
1194,17
1198,26
1202,13
1205,1
1208,1
1212,11
1218,18
1228,19
1232,8
1233,6
1253,12
1258,12
1262,1
1263,21
1275,19
1276,19
1283,15
1288,4
1289,15
1290,13
1301,5
1304,4
1307,12
1316,28
1321,12
1323,1
1325,12
1326,21
1328,1
1331,1
1335,6
1337,19
1339,18
1341,16
1342,15
1347,5
1351,24
1352,5
1354,20
1357,2
1359,21
1362,25
1365,28
1367,26
1371,1
1376,1
1389,1
1398,10
1399,26
1401,1
1404,18
1408,12
1411,13
1416,5
1422,5
1432,26
1439,15
1442,9
1444,1
1448,28
1449,28
1451,1
1453,1
1455,12
1460,23
1461,12
1465,26
1467,6
1469,1
1473,6
1478,27
1479,28
1481,18
1484,1
1490,2
1494,9
1501,13
1502,12
1515,18
1520,13
1522,18
1523,8
1526,6
1533,19
1534,17
1535,18
1536,10
1542,13
1543,12
1545,11
1548,13
1552,12
1567,12
1569,1
1571,4
1576,15
1577,1
1581,6
1582,16
1587,1
1588,1
1589,12
1590,19
1594,13
1600,3
1603,8
1608,17
1619,24
1621,19
1625,5
1628,12
1631,1
1633,11
1637,1
1638,1
1641,3
1642,2
1647,23
1648,1
1649,12
1650,1
1651,1
1652,3
1655,17
1656,4
1662,19
1666,5
1668,12
1676,28
1677,1
1678,9
1688,24
1693,6
1694,12
1697,13
1698,28
1700,22
1703,5
1704,4
1708,12
1709,20
1710,7
1711,19
1718,4
1720,17
1722,12
1724,3
1725,19
1726,25
1732,0
1735,1
1736,2
1740,26
1769,1
1771,18
1772,8
1773,13
1779,12
1782,1
1786,12
1798,2
1799,18
1805,14
1808,3
1812,15
1814,8
1815,12
1819,19
1821,6
1825,6
1828,17
1831,13
1833,13
1839,25
1841,8
1843,14
1844,15
1850,11
1852,18
1854,24
1860,25
1862,18
1865,7
1868,3
1870,1
1873,7
1874,13
1875,12
1878,1
1891,21
1893,12
1894,15
1898,14
1914,1
1919,18
1931,26
1941,20
1945,12
1947,1
1948,18
1950,27
1953,12
1959,12
1961,12
1982,11
1983,10
1985,6
1999,6
2003,1
2007,25
