doc_idx,category
3,43
8,67
11,96
15,39
17,79
18,66
25,51
27,79
35,81
41,51
45,69
49,55
50,79
52,31
61,51
65,45
74,20
78,71
79,13
80,33
84,50
85,6
89,60
92,60
98,81
108,1
112,91
120,53
127,42
128,55
129,32
130,31
143,13
145,39
149,66
150,79
155,10
159,88
160,22
161,23
162,81
163,35
170,95
172,81
185,27
188,47
192,39
193,44
197,14
201,79
205,66
211,55
215,3
216,10
221,79
222,5
225,63
226,58
227,42
237,22
238,5
242,85
248,95
252,47
253,87
256,66
260,34
276,81
284,56
289,20
298,79
302,88
303,20
309,66
311,95
314,51
317,10
321,14
329,84
334,23
342,47
345,44
346,76
348,84
352,5
354,26
357,81
361,21
362,51
366,52
368,40
380,42
381,71
382,28
383,81
385,33
390,25
393,76
397,63
403,17
405,77
409,66
411,94
412,62
413,79
417,70
421,49
423,45
426,10
430,33
431,67
432,79
434,26
443,74
446,47
449,63
452,14
457,69
458,71
463,40
471,24
474,26
482,79
484,69
485,88
488,81
493,84
498,2
515,0
526,50
540,49
543,42
548,74
550,69
553,49
556,79
569,72
570,37
574,79
576,96
597,94
598,83
604,72
605,37
606,25
614,51
620,91
624,21
629,38
636,14
637,53
638,44
639,44
640,73
641,42
642,35
645,40
646,40
647,62
652,83
667,94
668,88
674,64
679,55
686,40
690,47
694,55
695,22
698,47
699,1
703,75
704,82
705,82
710,49
711,67
714,72
720,19
725,6
727,2
729,79
732,95
735,44
738,89
741,92
746,74
751,92
752,70
760,55
765,27
766,6
768,88
778,78
781,70
782,56
785,31
790,71
792,50
797,58
802,91
807,94
808,37
811,51
812,88
817,42
818,16
822,53
823,84
827,2
836,25
839,18
845,19
846,18
849,10
850,81
852,67
859,74
862,93
868,92
871,13
875,92
881,68
897,86
908,40
916,33
920,17
922,88
923,87
924,77
925,53
929,14
937,84
943,43
944,26
946,31
948,16
949,86
954,57
960,39
961,94
963,70
965,74
974,55
984,79
986,62
987,74
989,53
995,56
996,79
998,79
1000,65
1014,12
1020,74
1022,69
1023,5
1030,30
1036,74
1039,2
1040,52
1041,79
1042,65
1052,81
1056,17
1064,10
1066,53
1067,22
1069,48
1072,53
1083,88
1084,2
1085,68
1086,55
1090,85
1101,43
1102,47
1103,78
1104,64
1114,49
1116,91
1132,53
1136,36
1138,86
1146,14
1147,30
1162,10
1166,92
1168,70
1169,77
1170,69
1171,48
1172,44
1175,44
1182,51
1188,84
1195,82
1197,10
1198,43
1202,5
1210,79
1217,78
1220,31
1221,53
1223,43
1225,26
1226,74
1231,48
1232,86
1241,88
1244,49
1249,81
1259,30
1269,40
1274,22
1281,36
1291,70
1293,10
1302,83
1304,68
1308,95
1310,71
1313,40
1315,82
1317,72
1319,26
1326,60
1330,79
1331,62
