doc_idx,category
10,0
14,0
15,151
22,0
23,0
27,5
30,41
33,0
37,104
40,0
41,0
44,177
49,0
53,0
57,0
64,0
69,4
70,0
76,0
92,185
98,245
104,253
109,0
113,63
117,37
119,98
121,26
124,173
132,41
135,0
137,2
138,0
141,0
144,0
156,104
169,1
175,105
179,108
182,0
188,64
191,21
192,26
195,53
196,0
202,2
204,41
206,42
215,64
217,86
224,67
227,0
228,0
229,97
234,79
235,67
238,0
242,0
245,218
248,0
252,219
253,0
259,64
263,61
271,98
289,0
290,43
295,5
296,0
298,14
299,4
302,201
303,0
305,59
306,177
311,1
314,64
316,0
317,0
320,185
322,0
326,0
330,0
332,0
333,191
338,208
346,0
349,178
351,0
352,0
353,0
361,137
385,0
392,2
396,105
398,98
399,11
405,21
410,0
418,0
422,0
426,33
427,33
436,104
438,18
443,0
446,11
452,2
457,6
461,19
463,16
465,22
472,2
476,64
478,14
480,11
482,4
485,27
487,60
488,0
489,98
491,4
493,0
501,0
502,7
503,0
507,104
514,203
517,0
518,88
526,186
527,22
529,22
531,117
536,13
538,0
543,0
545,55
546,0
547,263
553,164
558,185
562,0
563,0
564,178
565,0
566,235
567,0
569,41
570,149
572,0
575,169
578,82
581,0
582,0
596,104
597,104
599,0
600,0
601,0
609,218
615,0
616,0
618,104
619,11
621,0
628,0
634,0
638,0
641,0
643,0
648,104
652,0
654,0
655,1
661,43
666,0
667,0
670,0
672,0
674,0
675,11
678,4
683,104
685,7
686,58
687,2
688,5
692,58
701,0
702,85
704,21
711,177
712,4
716,5
719,41
720,11
722,37
723,41
727,0
728,103
731,22
743,104
745,0
746,63
748,0
751,0
762,1
766,4
768,0
775,104
776,1
778,165
779,181
783,0
791,0
793,0
794,0
806,39
812,104
817,103
820,1
826,2
831,21
836,37
841,1
849,21
850,104
861,31
874,98
878,64
882,4
883,33
890,240
895,0
896,0
898,0
899,0
900,0
905,0
910,0
912,0
913,0
914,0
918,0
921,0
923,0
924,0
927,0
933,0
934,0
936,0
944,0
953,0
961,0
962,0
963,0
966,5
971,0
977,0
979,0
981,26
982,5
983,0
988,0
989,0
991,0
993,0
995,59
997,0
998,0
1002,0
1003,0
1005,0
1009,178
1014,26
1017,3
1061,0
1063,1
1065,0
1068,4
1070,1
1077,0
1083,0
1086,1
1087,0
1093,0
1094,0
1099,0
1101,4
1103,0
1106,0
1108,0
1110,5
1114,0
1118,0
1122,3
1129,5
1136,1
1138,18
1147,111
1148,4
1158,104
1160,0
1161,37
1173,6
1180,0
1184,37
1187,0
1190,0
1191,16
1197,85
1199,0
1203,2
1212,0
1217,64
1222,205
1224,0
1230,35
1236,41
1240,5
1242,37
1246,46
1254,104
1255,42
1256,98
1259,98
1260,98
1262,26
1264,0
1266,0
1267,0
1275,0
1276,0
1280,39
1282,0
1284,0
1288,16
1290,0
1293,35
1302,0
1303,50
1313,0
1318,59
1323,4
1324,0
1326,66
1327,21
1330,41
1334,41
1338,1
1343,16
1349,0
1351,0
1359,43
1363,0
1368,40
1373,0
1374,4
1377,0
1386,2
1387,0
1390,0
1397,0
1399,0
1403,0
1410,26
1412,0
1414,0
1418,0
1424,0
1426,0
1430,6
1431,2
1432,0
1450,0
1453,11
1454,63
1455,98
1463,2
1464,11
1465,4
1471,26
1476,29
1477,81
1482,1
1489,26
1491,16
1499,37
1509,58
1523,2
1530,103
1535,0
1537,6
1550,38
1554,18
1560,2
1564,0
1570,0
1571,0
1581,0
1587,4
1590,0
1601,11
1604,41
1615,5
1618,104
1620,0
1621,11
1625,1
1627,0
1628,0
1633,4
1636,0
1637,5
1643,11
1649,16
1654,0
1657,104
1661,0
1675,99
1677,22
1682,98
1687,104
1692,0
1695,0
1697,197
1698,163
1700,0
1708,238
1709,0
1713,66
1725,0
1726,99
