doc_idx,category
0,40
1,0
2,13
3,38
8,30
12,15
16,48
19,17
27,40
30,3
34,49
35,51
36,36
37,49
38,24
39,16
41,43
47,18
50,49
66,30
67,36
73,3
74,48
76,18
81,18
91,48
95,10
97,18
99,36
101,3
102,43
109,32
111,0
114,2
115,49
116,39
118,0
125,37
127,50
131,32
133,16
136,24
137,16
145,32
146,2
158,18
159,0
161,48
163,9
164,38
173,18
176,48
187,17
190,39
194,48
195,26
196,52
204,0
212,49
220,40
221,32
223,48
230,38
231,52
239,32
242,52
243,40
246,37
247,49
250,48
251,24
252,30
254,0
255,43
257,48
259,37
262,36
266,10
268,24
271,48
272,51
274,18
276,0
277,52
278,39
288,40
289,32
296,24
297,36
299,2
301,40
302,52
303,8
308,38
310,5
312,38
313,6
315,10
316,49
319,51
321,0
322,38
323,48
325,36
326,2
334,18
335,48
336,43
338,10
353,36
356,49
357,37
359,10
360,51
363,10
370,40
371,17
373,37
374,16
377,48
381,0
389,0
396,9
403,48
409,17
410,17
412,17
414,48
417,52
419,43
421,18
430,2
431,48
432,16
435,16
437,49
439,36
441,0
445,8
446,24
453,52
454,0
456,52
460,51
463,37
468,9
470,48
472,10
477,15
478,10
482,2
484,16
485,30
487,6
492,51
494,43
500,38
502,39
503,39
509,16
520,24
521,30
525,51
526,36
527,17
528,5
531,52
532,18
535,30
539,3
542,24
547,43
548,38
550,51
552,0
556,40
557,52
561,36
563,39
564,5
565,37
567,51
573,10
574,36
575,48
576,51
579,18
580,10
582,49
586,38
587,0
589,51
591,36
593,12
595,43
603,10
606,51
608,37
610,37
611,0
612,52
622,36
623,0
624,49
627,32
630,48
633,16
635,38
636,3
644,49
649,30
652,30
653,37
657,17
659,18
663,15
667,0
668,16
674,43
675,24
677,40
681,24
685,39
695,9
700,39
703,17
704,51
706,49
707,10
710,32
711,18
712,2
714,39
717,38
720,24
721,18
723,48
724,24
733,17
739,6
743,49
745,39
748,48
751,49
752,48
763,49
769,16
771,43
772,2
778,5
784,37
786,30
794,38
797,49
802,43
803,3
808,43
810,48
811,40
813,49
814,39
817,40
820,38
821,2
829,4
837,16
850,49
855,51
857,10
858,49
869,39
872,39
874,48
875,48
876,49
880,3
885,7
887,17
890,49
891,0
892,40
893,2
896,30
904,38
906,0
907,39
909,36
911,0
912,39
916,49
917,43
918,32
920,24
922,0
923,0
926,40
933,52
934,2
935,0
943,51
950,8
951,6
955,10
956,16
961,16
963,32
970,2
975,36
978,37
983,19
985,16
988,16
990,6
991,37
992,52
993,48
995,26
997,48
1000,9
1004,24
1005,2
1009,48
1011,37
1012,32
1013,39
1016,32
1019,49
1023,10
1033,18
1035,17
1036,16
1044,30
1047,48
1049,24
1050,43
1053,3
1062,37
1069,52
1071,2
1076,38
1077,36
1079,16
1082,11
1088,49
1091,3
1092,3
1096,17
1097,16
1098,49
1101,2
1102,51
1112,10
1114,32
1118,45
1120,49
1121,39
1126,32
1127,51
1129,40
1139,0
1141,43
1152,10
1153,2
1155,17
1160,0
1162,17
1164,51
1169,17
1175,38
1176,3
1182,40
1185,18
1187,43
1188,32
1192,36
1198,18
1202,10
1204,24
1212,0
1213,26
1217,39
1219,39
1221,0
1231,2
1235,48
1236,0
1238,38
1241,17
1248,30
1257,2
1258,30
1259,24
1260,3
1262,36
1263,10
1265,19
1266,9
1269,48
1271,51
1272,3
1273,3
1278,0
1280,17
1282,36
1283,48
1284,43
1294,30
1296,24
1297,38
1301,49
1303,52
1309,18
1312,10
1314,43
1315,2
1316,38
1320,16
1321,24
1324,16
1325,32
1328,3
1329,48
1336,2
1338,38
1339,37
1341,37
1343,37
1347,52
1350,36
1351,9
1352,17
1354,18
1357,37
1360,3
1362,39
1363,5
1368,17
1369,2
1372,3
1374,2
1382,3
1386,16
1387,30
1389,36
1391,24
1392,39
1393,37
1398,7
1400,17
1408,36
1421,10
1423,0
1426,49
1427,0
1430,18
1434,0
1436,40
1437,37
1438,36
1439,30
1442,16
1445,43
1451,38
1455,48
1457,16
1458,37
1460,2
1463,10
1465,2
1467,39
1471,36
1473,18
1475,36
1479,37
1480,32
1481,2
1484,24
1490,38
1496,30
1497,38
1503,15
1507,1
1512,0
1513,8
1519,0
1520,52
1523,10
1529,32
1532,30
1533,51
1537,18
1541,17
1542,48
1546,32
1547,49
1550,16
1553,32
1554,12
1555,17
1557,40
1559,39
1561,40
1564,36
1568,16
1570,11
1571,18
1573,18
1580,49
1586,18
1590,39
1592,51
1593,48
1596,30
1602,30
1604,3
1610,36
1611,0
1613,24
1615,40
1616,24
1619,38
1623,39
1624,40
1629,36
1630,3
1631,32
1635,39
1638,16
1640,10
1641,48
1642,51
1643,24
1647,43
1649,37
1653,36
1654,0
1655,26
1656,7
1658,9
1659,49
1660,16
1663,16
1665,39
1666,10
1670,18
1674,3
1677,17
1679,39
1680,5
1684,51
1685,10
1688,51
1689,1
1690,32
1691,17
1695,36
1702,38
1704,40
1705,10
1707,2
1710,29
1711,2
1712,51
1720,0
1722,3
1725,39
1726,39
1727,36
1729,38
1734,43
1736,0
1739,32
1741,30
1744,18
1747,5
1748,49
1750,51
1751,48
1754,24
1755,48
1756,40
1758,0
1767,18
1769,30
1770,38
1774,37
1775,37
1777,18
1779,36
1781,0
1782,16
1784,2
1785,10
1786,40
1788,51
1792,16
1794,43
1795,0
1796,39
1801,10
1802,16
1804,48
1808,43
1810,32
1815,48
1816,0
1820,17
1823,0
1824,32
1825,30
1826,43
1830,52
1831,40
1837,29
1841,43
1843,3
1846,3
1847,0
1849,16
1854,39
1855,38
1858,18
1862,0
1864,52
1870,18
1878,29
1880,2
1904,25
1906,36
1918,48
1919,38
1922,29
1926,17
1929,43
1930,36
1931,36
1934,17
1936,48
1937,16
1938,48
1940,41
1941,7
1942,28
1948,0
1952,16
1955,39
1957,24
1958,0
1960,18
1965,38
1966,18
1973,37
1975,10
1978,48
1981,16
1983,3
1987,30
1988,16
1989,0
1998,36
2001,39
2002,0
2007,16
2009,16
2010,0
2011,36
2013,0
2015,40
2016,16
2020,17
2021,38
2028,51
2034,16
2037,39
2038,49
2039,18
2040,10
2042,17
2049,32
2051,24
2056,16
2058,52
2060,38
2062,32
2063,26
2064,37
2071,5
2072,36
2074,18
2078,39
2080,55
2081,32
2090,43
2091,40
2097,55
2098,37
2099,38
2109,17
2110,32
2111,32
2114,52
2116,49
2118,0
2119,2
2126,10
2127,17
2129,40
2133,41
2134,17
2135,37
2137,16
2140,48
2144,17
2145,43
2146,37
2150,40
2153,43
2155,49
2160,32
2161,38
2162,2
2163,51
2167,48
2171,17
2177,30
2191,38
2194,30
2195,17
2197,40
2204,40
2207,12
2208,48
2210,37
2212,49
2217,30
2218,17
2220,37
2222,32
2225,48
2226,36
2229,39
2230,17
2231,10
2235,37
2237,37
2239,0
2241,17
2242,32
2243,40
2245,2
2247,0
2249,39
2250,9
2270,37
2276,0
2277,37
2278,3
2283,37
2285,10
2286,38
2288,30
2297,24
2298,10
2300,3
2301,2
2303,16
2305,32
2307,40
2309,37
2312,49
2314,40
2322,36
2324,38
2327,51
2331,2
2332,16
2333,2
2334,52
2335,38
2342,49
2343,17
2344,37
2346,2
2347,38
2348,43
2351,10
2353,3
2355,30
2360,3
2361,49
2364,51
2368,38
2374,18
2375,48
2377,39
2379,30
2380,5
2381,36
2389,44
2395,36
2405,40
2406,52
2407,40
2408,40
2411,16
2412,48
2415,49
2420,48
2421,52
2424,51
2427,16
2428,49
2440,52
2443,51
2444,52
2449,52
2450,51
2465,51
2466,37
2473,36
2476,41
2479,0
2480,24
2484,30
2486,40
2487,30
2489,24
2492,2
2494,43
2496,30
2497,39
2498,40
2499,52
2504,40
2509,37
2512,16
2516,40
2522,48
2526,30
2527,16
2528,49
2530,39
2532,48
2535,38
2536,48
2538,32
2542,38
2548,39
2549,40
2551,1
2552,36
2555,52
2556,48
2559,51
2561,10
2563,43
2567,39
2572,32
2574,9
2577,36
2584,39
2585,36
2586,49
2590,2
2592,17
2594,51
2599,38
2601,40
2602,37
2603,10
2605,32
2606,32
2607,0
2615,2
2616,39
2618,17
2619,16
2620,43
2622,16
2624,46
2633,24
2639,30
2643,51
2646,43
2653,0
2654,37
2658,52
2663,0
2665,5
2667,9
2674,6
2678,51
2684,17
2686,15
2688,26
2690,17
2692,53
2694,37
2700,51
2703,39
2705,10
2706,43
2710,51
2713,49
2717,32
2719,48
2720,36
2725,0
2727,10
2737,0
2744,16
2745,39
2749,39
2752,51
2755,49
2756,15
2757,40
2759,16
2760,39
2761,52
2762,10
2764,51
2766,30
2768,38
2777,16
2783,3
2785,0
2786,16
2788,0
2790,32
2791,0
2793,36
2794,10
2797,7
2798,24
2801,32
2809,18
2811,24
2817,30
2820,2
2825,24
2832,43
2839,49
2840,52
2841,49
2842,32
2844,0
2846,51
2850,37
2861,7
2869,3
2871,17
2872,10
2879,26
2880,39
2882,36
2883,16
2886,0
2887,37
2892,39
2899,7
2903,16
2904,24
2910,3
2911,0
2913,0
2915,48
2916,43
2924,36
2925,17
2927,17
2928,37
2929,2
2937,51
2943,10
2944,51
2945,0
2947,38
2948,26
2952,38
2953,0
2954,3
2955,10
2959,18
2961,0
2963,38
2965,51
2969,38
2972,39
2973,51
2974,43
2975,26
2977,3
2979,38
2981,16
2982,38
2986,52
2989,17
2994,16
2995,51
