doc_idx,category
10,13
14,13
15,32
22,0
23,43
27,37
30,12
33,43
37,2
40,2
41,43
44,1
49,1
53,40
57,8
64,40
69,39
70,40
76,1
92,25
98,25
104,29
109,43
113,44
117,42
119,22
121,44
124,8
132,12
135,29
137,13
138,23
141,43
144,8
156,2
169,23
175,35
179,23
182,26
188,28
191,25
192,44
195,43
196,8
202,29
204,2
206,12
215,6
217,24
224,32
227,42
228,43
229,22
234,42
235,32
238,13
242,8
245,40
248,6
252,42
253,40
259,6
263,25
271,22
289,32
290,43
295,37
296,19
298,29
299,39
302,8
303,3
305,7
306,1
311,23
314,6
316,2
317,32
320,25
322,23
326,39
330,32
332,43
333,39
338,29
346,3
349,22
351,19
352,44
353,1
361,8
385,12
392,29
396,8
398,22
399,19
405,25
410,3
418,25
422,13
426,32
427,32
436,2
438,7
443,19
446,19
452,13
457,1
461,31
463,6
465,3
472,29
476,40
478,3
480,19
482,39
485,42
487,19
488,14
489,22
491,39
493,40
501,8
502,40
503,40
507,2
514,37
517,1
518,8
526,44
527,3
529,3
531,8
536,22
538,40
543,37
545,17
546,32
547,43
553,42
558,25
562,40
563,40
564,30
565,6
566,8
567,25
569,12
570,3
572,2
575,22
578,1
581,40
582,2
596,2
597,8
599,32
600,32
601,13
609,40
615,32
616,0
618,2
619,19
621,12
628,22
634,29
638,44
641,1
643,6
648,2
652,42
654,23
655,23
661,4
666,8
667,43
670,32
672,22
674,43
675,19
678,39
683,2
685,40
686,22
687,29
688,37
692,22
701,32
702,8
704,25
711,1
712,39
716,37
719,12
720,19
722,42
723,22
727,5
728,14
731,3
743,2
745,40
746,40
748,46
751,2
762,23
766,39
768,37
775,2
776,23
778,30
779,1
783,39
791,6
793,44
794,23
806,19
812,2
817,37
820,23
825,8
826,13
831,25
836,42
838,19
841,23
847,6
849,25
850,2
852,22
861,43
868,13
874,22
878,40
880,12
882,39
883,32
886,1
890,28
895,2
896,42
898,44
899,43
900,13
905,32
910,19
912,40
913,37
914,25
918,32
921,31
923,2
924,14
927,42
933,8
934,39
936,19
944,22
953,37
961,13
962,3
963,32
966,37
971,3
977,13
979,42
981,44
982,37
983,1
988,13
989,3
991,6
993,22
995,3
997,22
998,42
1002,3
1003,3
1005,39
1009,22
1014,44
1015,43
1017,13
1023,29
1025,35
1027,42
1032,42
1037,44
1038,42
1041,29
1042,40
1044,18
1047,22
1049,19
1051,2
1052,29
1055,12
1056,23
1059,22
1061,30
1063,23
1065,43
1068,39
1070,13
1077,44
1083,32
1086,13
1087,44
1093,44
1094,42
1099,3
1101,39
1103,46
1106,22
1108,43
1110,37
1114,32
1118,46
1122,25
1129,37
1136,23
1138,43
1147,43
1148,39
1158,2
1160,35
1161,42
1173,1
1180,43
1184,42
1187,43
1190,2
1191,6
1197,21
1199,12
1203,29
1212,25
1217,40
1222,39
1224,39
1230,13
1236,31
1240,37
1242,42
1246,32
1254,2
1255,12
1256,22
1259,19
1260,12
1262,44
1264,13
1266,8
1267,39
1275,19
1276,42
1280,3
1282,44
1284,43
1288,6
1290,13
1293,8
1302,37
1303,0
1313,22
1318,3
1323,39
1324,13
1326,29
1327,25
1330,39
1334,12
1338,23
1343,6
1349,43
1351,8
1359,43
1363,30
1368,3
1373,22
1374,39
1377,12
1386,13
1387,42
1390,32
1397,14
1399,19
1403,29
1410,44
1412,42
1414,22
1418,22
1424,32
1426,2
1430,1
1431,13
1432,43
1450,1
1453,19
1454,42
1455,22
1463,29
1464,19
1465,39
1471,44
1476,22
1477,32
1482,23
1489,44
1491,6
1499,42
1509,22
1523,29
1530,13
1535,1
1537,1
1550,42
1554,43
1560,29
1564,44
1570,35
1571,1
1581,3
1587,39
1590,40
1601,19
1604,12
1615,37
1618,2
1620,28
1621,19
1625,23
1627,23
1628,8
1633,39
1636,25
1637,37
1643,19
1649,6
1654,15
1657,2
1661,6
1675,40
1677,3
1682,22
1687,2
1692,6
1695,44
1697,1
1698,30
1700,27
1708,43
1709,29
1713,23
1725,40
1726,40
1735,12
1738,37
1742,22
1746,29
1753,40
1763,40
1765,12
1766,44
1768,44
1771,6
1774,6
1775,6
1788,25
1790,6
1798,42
1804,28
1811,37
1813,22
1818,12
1824,32
1825,42
1831,37
1839,12
1841,43
1852,23
1865,15
1866,6
1867,46
1872,40
1875,8
1880,39
1894,13
1897,39
1898,29
1900,25
1903,39
1906,44
1912,1
1916,23
1917,44
1927,23
1931,44
1942,33
1950,23
1951,42
1952,13
1953,22
1961,32
1962,22
1964,13
1981,13
1985,23
1999,40
2004,19
2012,44
2014,19
2017,29
2020,3
2026,32
2029,23
2034,13
2038,2
2047,22
2048,32
2050,1
2053,3
2057,39
2058,8
2061,32
2062,32
2066,22
2070,13
2074,1
2077,23
2078,40
2079,13
2082,44
2083,23
2085,37
2087,43
2095,2
2099,23
2100,42
2101,43
2102,30
2106,23
2113,18
2115,39
2126,29
2130,6
2132,25
2140,22
2142,2
2144,3
2160,32
2161,23
2164,3
2168,12
2174,0
2175,32
2190,1
2207,27
2208,22
2211,8
2218,3
2219,22
2223,8
2224,32
2229,40
2231,29
2238,13
2244,6
2254,13
2255,19
2259,12
2262,8
2268,46
2270,6
2272,2
2277,6
2286,23
2291,44
2299,29
2301,39
2310,42
2316,28
2320,39
2321,29
2325,8
2326,40
2332,13
2333,39
2342,2
2349,2
2350,12
2351,29
2354,44
2360,12
2361,2
2364,25
2370,42
2373,44
2376,19
2385,12
2386,42
2397,12
2399,1
2401,8
2404,37
2409,3
2411,13
2413,22
2416,28
2419,9
2422,19
2436,44
2439,3
2441,12
2444,8
2450,25
2454,13
2456,37
2457,8
2460,12
2461,19
2469,29
2472,6
2476,37
2489,19
2490,40
2497,40
2499,8
2507,3
2508,4
2509,6
2513,19
2519,19
2521,37
2523,42
2526,42
2532,22
2538,32
2541,29
2551,17
2555,8
2559,25
2560,6
2561,29
2563,43
2572,32
2579,39
2588,42
2589,1
2590,39
2598,25
2602,6
2606,32
2615,39
2616,40
2619,13
2621,40
2624,15
2631,13
2634,23
2638,12
2651,14
2664,25
2668,12
2683,46
2689,40
2690,13
2692,20
2700,31
2703,40
2704,25
2707,23
2717,32
2718,29
2727,29
2729,29
2738,22
2747,32
2752,25
2754,22
2757,37
2761,8
2762,29
2763,19
2769,23
2770,25
2771,12
2785,0
2786,13
2794,29
2801,32
2803,18
2804,22
2817,42
2819,22
2820,7
2836,29
2837,28
2838,44
2841,2
2845,44
2850,6
2852,28
2856,29
2857,23
2858,22
2865,25
2866,44
2874,40
2877,19
2878,12
2882,44
2883,13
2885,43
2890,6
2894,3
2896,6
2902,2
2906,22
2910,12
2912,13
2918,0
2919,23
2923,32
2925,3
2941,37
2944,25
2949,25
2950,40
2951,31
2956,32
2964,8
2974,43
2975,3
2976,39
2977,12
2980,1
2985,3
2986,8
2989,3
2990,39
2993,43
2999,12
