doc_idx,category
1,43
3,23
5,16
9,19
10,13
12,35
13,1
16,22
18,30
19,3
27,37
29,44
33,43
35,25
44,1
47,1
56,19
59,6
62,3
68,6
76,1
81,1
84,25
86,3
96,8
97,1
99,44
101,12
103,22
106,13
107,17
109,43
110,2
116,40
117,42
128,12
130,22
131,32
133,13
134,17
137,13
140,6
150,0
152,32
158,1
160,22
163,8
165,12
166,13
169,23
170,37
171,3
173,1
174,40
176,22
177,8
178,12
184,19
185,44
188,6
197,29
201,42
202,29
207,29
208,19
209,39
211,43
212,2
217,24
223,2
224,32
227,42
229,22
230,23
234,42
235,32
236,40
238,13
244,44
247,2
254,3
256,32
260,32
266,29
268,19
269,3
270,12
274,1
278,40
283,40
285,22
286,25
292,1
293,22
294,2
300,25
301,37
304,35
307,25
309,37
310,28
315,29
319,25
320,25
322,23
328,0
330,32
331,12
332,43
333,12
335,22
339,12
340,13
341,29
342,19
346,3
349,22
354,43
361,8
363,29
367,19
370,37
373,6
376,5
377,22
378,42
379,8
380,22
382,39
386,39
388,43
390,6
391,27
392,29
398,22
399,19
400,8
406,42
407,12
413,8
414,22
420,39
427,32
428,32
429,37
430,39
435,42
438,7
440,2
442,39
449,13
451,25
456,8
459,0
462,40
465,3
473,44
475,3
479,13
485,42
487,19
490,23
493,40
495,44
496,39
497,2
498,23
499,43
501,8
502,40
509,13
510,0
512,42
514,37
517,0
520,19
523,1
525,25
527,3
528,30
529,3
530,19
538,40
542,19
544,8
549,26
551,23
553,42
554,30
555,1
564,30
566,8
570,3
574,44
575,22
577,30
578,1
587,0
602,8
603,29
604,22
606,25
608,6
613,44
614,43
618,2
623,3
624,2
626,13
629,23
634,29
637,37
654,23
659,1
661,4
666,8
669,12
678,39
679,44
680,37
681,19
685,40
688,37
696,22
697,2
701,32
702,8
705,22
713,31
717,23
718,19
722,42
724,19
727,5
738,22
742,8
747,23
755,3
757,12
761,3
773,0
777,43
779,1
780,23
781,37
782,44
787,43
790,6
796,42
797,28
805,3
809,39
810,0
812,2
813,2
821,39
831,25
837,13
840,30
841,23
842,39
843,13
851,37
853,8
856,1
861,43
864,2
866,42
867,39
871,44
874,22
875,22
876,2
881,40
885,22
887,3
889,12
891,0
893,39
896,42
900,13
903,22
904,23
909,44
912,40
917,43
918,32
920,19
925,19
927,42
928,1
930,12
931,3
933,8
937,2
938,19
942,39
944,22
951,6
954,32
958,44
960,1
963,32
964,43
967,8
968,3
970,39
971,3
975,44
981,44
982,37
984,1
986,39
989,3
992,8
994,8
996,25
998,42
1001,23
1003,3
1006,0
1007,6
1008,2
1013,40
1015,40
1018,44
1019,2
1021,39
1023,29
1031,32
1032,42
1034,6
1036,13
1037,44
1039,39
1046,25
1048,0
1055,12
1056,23
1060,29
1061,30
1064,42
1067,12
1069,8
1072,12
1073,43
1074,39
1075,43
1077,44
1084,1
1086,13
1087,44
1088,2
1092,12
1094,42
1096,3
1107,6
1111,40
1115,8
1116,37
1118,46
1123,42
1126,32
1128,23
1129,37
1134,3
1135,22
1136,23
1138,43
1139,28
1140,5
1142,13
1144,3
1153,39
1157,19
1158,2
1161,42
1162,3
1168,6
1169,3
1171,34
1172,44
1178,37
1180,43
1181,3
1184,42
1185,1
1186,40
1187,43
1192,44
1195,13
1201,23
1207,29
1208,22
1209,8
1211,1
1212,25
1213,3
1224,39
1225,43
1226,44
1231,39
1235,22
1236,0
1241,3
1245,22
1248,42
1251,22
1254,2
1255,12
1269,22
1271,25
1272,12
1273,12
1275,0
1277,2
1278,0
1281,0
1282,44
1283,22
1286,22
1289,5
1293,8
1294,42
1297,23
1299,12
1302,37
1306,40
1311,37
1312,29
1313,22
1318,3
1321,19
1328,12
1331,6
1333,12
1335,30
1336,39
1342,2
1343,6
1345,0
1346,3
1349,43
1351,8
1354,1
1359,43
1361,3
1362,40
1370,43
1371,32
1377,12
1382,12
1384,19
1385,40
1387,42
1391,19
1398,22
1400,3
1403,29
1404,3
1405,2
1406,12
1407,22
1410,44
1421,29
1423,0
1425,25
1427,14
1429,12
1432,43
1433,37
1436,37
1439,42
1440,8
1441,13
1444,22
1447,42
1452,42
1457,13
1460,39
1461,29
1463,29
1464,19
1472,22
1474,23
1476,22
1481,39
1482,23
1483,17
1484,19
1486,27
1487,22
1491,6
1496,42
1497,23
1502,22
1503,34
1504,30
1513,34
1514,23
1516,3
1521,6
1524,1
1530,13
1533,25
1541,3
1542,22
1545,2
1546,32
1556,28
1558,37
1560,29
1562,12
1564,44
1568,13
1569,12
1575,29
1576,6
1577,42
1579,2
1580,2
1581,3
1584,22
1587,39
1591,8
1592,25
1596,42
1597,31
1598,40
1599,35
1601,19
1604,12
1606,25
1607,44
1615,37
1618,2
1619,23
1621,19
1624,37
1632,15
1633,39
1636,25
1637,37
1640,29
1641,22
1642,25
1643,19
1645,3
1651,43
1653,44
1656,22
1657,2
1660,13
1664,6
1666,29
1672,32
1677,3
1680,30
1681,23
1682,22
1683,0
1687,2
1688,25
1695,44
1697,1
1698,30
1704,37
1705,29
1708,37
1712,25
1714,19
1717,22
1718,42
1720,3
1725,40
1728,25
1731,29
1735,12
1737,3
1738,37
1740,25
1744,1
1749,43
1752,3
1755,28
1756,37
1762,17
1766,44
1770,23
1771,6
1772,32
1774,6
1775,6
1779,44
1780,19
1785,29
1787,6
1791,19
1796,40
1798,42
1801,29
1802,13
1804,28
1805,25
1806,29
1807,29
1809,44
1815,28
1820,3
1822,12
1829,25
1853,6
1857,40
1865,39
1867,46
1868,37
1875,8
1876,31
1879,3
1882,23
1884,22
1886,37
1887,3
1889,40
1892,13
1894,13
1901,44
1902,3
1903,39
1904,19
1908,42
1912,1
1913,2
1914,13
1915,8
1916,23
1917,1
1922,19
1924,23
1925,29
1926,3
1930,44
1931,44
1933,44
1935,2
1936,22
1937,13
1938,22
1939,17
1960,1
1963,25
1968,30
1979,44
1980,32
1984,43
1988,13
1989,41
1991,39
1997,22
2001,40
2002,14
2003,22
2004,19
2005,8
2007,13
2010,7
2012,44
2017,29
2019,1
2025,13
2029,23
2031,6
2032,1
2033,29
2034,13
2039,1
2041,32
2043,28
2045,1
2047,22
2049,32
2053,3
2056,18
2058,8
2059,2
2061,32
2064,6
2065,40
2068,28
2077,23
2078,40
2081,31
2085,37
2088,8
2090,43
2093,12
2094,22
2097,40
2098,6
2100,42
2101,43
2103,44
2105,17
2109,3
2110,32
2114,8
2122,30
2123,25
2125,42
2126,29
2130,6
2136,0
2140,22
2144,3
2147,17
2149,13
2154,25
2155,2
2157,2
2158,8
2161,23
2162,39
2166,2
2168,12
2169,37
2178,23
2185,3
2186,13
2192,3
2196,39
2198,8
2199,29
2204,37
2206,39
2213,3
2214,2
2216,37
2221,28
2223,8
2225,22
2226,44
2232,43
2236,6
2238,13
2240,19
2241,3
2243,37
2244,6
2246,19
2258,3
2259,12
2261,37
2263,19
2266,39
2267,22
2269,25
2271,32
2272,2
2275,43
2277,6
2278,12
2279,5
2280,13
2283,6
2289,44
2301,39
2309,6
2312,2
2313,2
2315,8
2316,22
2317,29
2318,39
2323,42
2327,25
2328,0
2332,13
2334,8
2335,23
2336,6
2337,19
2338,13
2342,2
2343,3
2346,39
2347,23
2352,32
2354,44
2359,8
2372,17
2380,30
2381,44
2382,32
2386,42
2387,8
2391,29
2397,12
2399,1
2401,8
2409,3
2417,25
2418,30
2420,22
2423,42
2425,43
2427,13
2430,23
2433,23
2435,3
2439,3
2445,6
2447,22
2449,8
2451,44
2457,8
2459,8
2461,19
2463,2
2464,22
2465,25
2466,6
2468,3
2470,2
2476,37
2482,42
2484,42
2492,39
2493,1
2496,42
2499,8
2500,18
2501,2
2502,2
2503,1
2504,37
2506,28
2509,6
2510,2
2515,25
2518,3
2528,2
2533,32
2534,22
2537,19
2546,12
2551,17
2555,8
2558,19
2569,32
2571,39
2575,22
2577,44
2578,42
2580,43
2582,29
2586,2
2590,39
2595,0
2596,44
2597,3
2605,32
2609,29
2612,28
2613,6
2615,39
2616,40
2619,13
2621,40
2629,29
2632,17
2635,42
2639,42
2644,25
2646,43
2652,43
2658,8
2661,17
2662,22
2664,25
2666,43
2673,1
2675,29
2679,43
2684,3
2686,34
2687,19
2692,20
2693,40
2695,23
2697,2
2704,25
2707,23
2710,25
2714,19
2715,3
2720,1
2722,22
2723,5
2726,42
2727,29
2729,29
2730,2
2732,2
2733,32
2735,0
2736,44
2740,25
2743,2
2744,13
2749,40
2750,22
2751,23
2752,25
2754,22
2755,2
2756,0
2759,13
2760,40
2762,29
2766,42
2772,22
2775,8
2778,22
2781,23
2782,3
2788,17
2794,29
2795,39
2797,22
2798,19
2802,40
2803,18
2806,39
2812,12
2815,39
2820,7
2821,43
2822,2
2824,28
2825,19
2827,42
2828,12
2830,42
2837,28
2841,2
2848,0
2849,32
2852,28
2853,2
2854,42
2855,22
2856,29
2857,23
2860,40
2864,40
2867,12
2871,3
2879,3
2881,1
2882,44
2883,13
2886,28
2887,6
2888,39
2893,37
2904,19
2905,42
2906,22
2911,0
2912,13
2915,0
2916,43
2918,0
2921,25
2923,32
2924,44
2925,3
2930,44
2931,37
2937,25
2944,25
2947,23
2949,25
2953,3
2954,12
2955,29
2960,8
2966,23
2971,39
2973,25
2978,19
2981,13
2982,23
2983,19
2984,19
2986,8
2991,13
2996,25
2998,3
2999,12
