doc_idx,category
1,36
3,36
4,36
5,6
9,36
10,4
12,3
13,23
15,27
16,7
18,1
19,4
20,10
21,15
27,7
28,18
29,1
31,6
33,4
35,36
36,36
39,36
42,36
47,36
55,2
56,17
62,24
63,28
68,3
69,1
79,31
80,36
82,4
83,4
84,3
86,22
88,33
89,4
91,2
93,18
96,18
99,7
101,5
103,2
107,6
109,17
110,23
116,0
117,13
126,12
127,0
128,7
130,24
133,6
134,0
135,4
137,0
139,11
150,29
151,0
152,12
158,12
160,36
161,1
164,36
165,2
166,36
170,7
171,18
173,4
174,30
176,2
177,18
178,36
180,29
184,16
185,11
186,23
188,3
189,36
190,3
197,8
202,8
204,6
206,5
207,36
208,3
211,18
212,6
213,6
217,2
219,36
223,36
224,12
227,36
228,6
229,29
230,36
231,6
234,1
235,3
236,30
237,7
238,6
244,1
247,7
250,4
253,1
254,3
256,3
258,4
266,16
268,30
270,6
273,3
274,0
275,0
278,18
283,0
285,3
286,10
293,22
294,3
295,36
296,36
300,6
304,24
307,5
310,36
313,2
315,22
317,36
319,6
320,18
322,6
323,20
325,2
330,24
331,12
332,2
333,9
335,23
336,16
339,6
340,36
342,6
346,5
349,9
354,5
363,12
366,3
367,26
369,23
370,5
372,5
373,36
376,2
378,7
382,36
383,2
386,36
388,2
390,2
391,19
392,36
399,36
406,36
407,1
410,36
413,18
414,3
421,6
423,36
425,6
427,36
428,11
429,36
430,29
432,3
435,36
438,28
439,21
441,3
442,36
444,13
445,10
449,8
451,36
453,3
455,6
456,36
459,18
462,36
465,14
472,36
473,6
475,1
483,36
485,2
486,21
487,20
488,13
491,6
492,36
493,3
495,16
497,36
498,26
499,36
501,17
502,36
503,36
505,1
506,6
509,36
510,36
514,6
516,3
517,2
520,3
523,36
525,18
528,8
529,18
538,36
539,36
542,2
544,7
547,18
550,23
553,36
554,3
555,5
558,36
563,8
564,7
566,3
569,26
570,10
574,1
575,18
578,3
583,5
587,6
588,36
597,36
600,28
602,12
603,30
604,7
608,2
613,36
614,36
615,36
616,6
619,6
623,3
624,1
631,25
634,7
637,22
638,12
645,36
654,3
655,17
660,23
661,36
664,27
671,5
676,28
678,18
680,6
681,36
685,22
688,9
696,23
697,6
698,36
701,3
703,2
704,1
705,5
710,6
712,4
713,10
714,1
717,7
719,36
722,36
724,2
727,5
729,36
735,23
738,4
742,16
744,5
747,36
748,36
751,36
755,5
761,36
765,16
777,36
779,36
781,36
782,36
783,1
787,36
791,19
796,18
799,36
803,6
805,1
808,3
809,5
811,6
812,36
813,36
818,18
821,3
824,36
825,17
830,18
831,3
837,26
841,36
842,3
846,5
851,15
853,7
854,18
856,6
859,2
864,36
865,16
866,9
867,10
868,36
874,25
875,4
881,3
883,36
884,36
885,18
887,2
889,24
890,6
892,19
893,30
896,36
897,36
900,19
901,6
903,12
904,36
907,23
908,11
909,10
912,36
913,7
914,18
916,1
917,4
918,36
919,36
920,36
921,36
925,4
928,18
929,36
931,7
933,22
937,14
938,36
942,27
944,3
952,3
956,21
957,36
958,5
960,3
961,5
963,3
964,15
967,24
970,2
971,5
975,17
979,5
982,6
984,36
986,13
989,5
992,6
996,22
999,3
1001,9
1003,5
1006,15
1007,18
1008,5
1013,7
1015,8
1016,6
1018,0
1019,0
1021,2
1022,0
1023,6
1024,0
1026,1
1031,9
1032,2
1036,29
1039,0
1042,1
1044,17
1045,18
1047,3
1048,0
1049,3
1056,36
1058,2
1059,30
1060,19
1063,29
1064,10
1067,30
1069,3
1070,36
1072,14
1073,2
1075,3
1077,24
1080,10
1082,6
1083,5
1084,17
1085,36
1086,35
1087,3
1088,3
1092,7
1094,18
1096,36
1102,5
1104,3
1107,3
1111,6
1115,5
1116,36
1118,4
1123,36
1124,18
1126,19
1128,36
1129,5
1133,36
1134,6
1136,10
1137,28
1138,36
1140,3
1144,26
1147,24
1148,5
1151,6
1153,36
1157,7
1158,13
1161,25
1162,22
1169,21
1171,10
1172,5
1174,5
1179,1
1180,18
1181,8
1182,36
1183,5
1184,36
1185,27
1186,12
1187,5
1188,3
1191,18
1192,36
1193,5
1194,5
1195,36
1198,7
1201,1
1204,36
1207,18
1208,6
1209,36
1211,36
1213,30
1215,5
1222,5
1223,16
1224,3
1230,23
1231,3
1233,6
1234,3
1235,30
1236,5
1239,3
1241,8
1245,1
1250,12
1254,0
1257,3
1263,1
1267,3
1271,1
1272,1
1274,0
1275,9
1277,36
1278,36
1280,5
1281,3
1283,3
1284,6
1286,36
1289,3
1291,1
1293,2
1294,15
1297,5
1299,31
1300,12
1302,36
1304,36
1306,36
1307,25
1310,3
1318,36
1320,7
1321,3
1330,13
1331,9
1333,36
1335,1
1336,17
1345,36
1346,18
1349,36
1352,14
1353,6
1354,6
1356,36
1359,10
1360,36
1361,35
1362,20
1364,36
1372,5
1376,36
1379,6
1382,4
1387,36
1388,16
1391,7
1395,36
1396,12
1404,36
1405,6
1407,6
1410,36
1413,21
1416,4
1417,18
1418,4
1420,6
1421,20
1423,2
1424,1
1426,36
1428,36
1429,23
1431,17
1432,26
1433,17
1436,5
1438,36
1439,4
1440,3
1441,36
1445,21
1447,12
1452,6
1453,36
1455,18
1457,24
1460,36
1462,3
1464,27
1465,6
1472,6
1477,4
1479,4
1483,6
1484,0
1486,26
1487,12
1488,7
1490,4
1491,30
1492,1
1496,18
1498,8
1499,12
1501,0
1503,0
1504,0
1505,6
1507,2
1513,36
1519,12
1522,36
1524,5
1526,18
1531,3
1532,1
1533,36
1540,36
1542,36
1545,7
1552,30
1553,7
1554,24
1555,36
1556,3
1558,3
1564,24
1567,17
1569,5
1570,36
1571,3
1572,6
1574,17
1576,3
1580,36
1581,9
1585,11
1586,3
1592,6
1594,26
1597,2
1598,24
1599,18
1601,12
1608,5
1616,4
1618,3
1619,36
1621,17
1623,5
1625,5
1626,6
1630,1
1632,6
1635,4
1637,6
1638,36
1642,6
1646,3
1648,12
1651,3
1652,3
1653,7
1656,3
1658,2
1661,26
1663,36
1666,36
1681,6
1682,4
1684,7
1685,7
1688,36
1689,36
1695,10
1697,13
1698,6
1701,7
1705,36
1707,9
1710,2
1711,4
1712,36
1713,36
1714,16
1715,30
1717,3
1718,3
1720,8
1721,18
1722,36
1725,36
1727,2
1728,6
1734,1
1736,8
1737,36
1739,5
1746,36
1750,36
1752,27
1755,3
1756,18
1757,5
1760,25
1763,3
1766,17
1767,6
1769,36
1770,1
1772,30
1775,36
1776,3
1777,36
1780,25
1781,3
1790,6
1795,36
1796,16
1797,36
1798,5
1799,6
1800,36
1801,36
1802,4
1803,17
1804,6
1805,31
1806,30
1807,5
1814,6
1815,6
1821,9
1822,9
1823,12
1825,36
1828,36
1832,36
1834,6
1838,17
1839,36
1842,36
1843,36
1852,30
1853,18
1854,6
1855,18
1856,7
1857,7
1864,18
1866,9
1868,6
1872,1
1877,36
1879,11
1884,4
1888,22
1889,36
1891,3
1892,3
