doc_idx,category
1,44
6,52
9,0
10,42
11,17
14,16
15,28
17,41
18,1
22,42
23,44
27,11
30,0
31,19
33,18
37,50
39,12
40,11
41,18
47,10
48,40
53,10
69,1
70,23
76,26
77,36
80,36
85,42
87,0
98,48
104,19
106,19
107,19
118,42
124,47
132,14
133,19
135,18
145,43
148,8
149,40
156,14
157,42
161,1
162,36
173,18
175,52
182,1
187,52
191,42
192,19
194,30
195,46
200,33
202,20
204,19
206,18
215,42
220,26
224,14
229,29
232,18
233,0
240,19
245,11
248,24
249,48
251,19
252,13
253,1
254,42
259,36
260,39
262,35
264,30
270,19
271,41
276,19
279,1
286,35
287,1
289,42
294,42
295,7
296,12
299,36
300,19
302,18
303,21
305,14
309,0
310,12
314,12
320,16
322,19
330,39
333,43
342,19
353,41
359,52
369,27
381,19
384,46
385,0
386,7
390,52
391,3
393,1
398,40
399,36
402,8
405,14
411,1
414,42
418,52
422,8
425,19
436,19
438,9
440,14
442,34
443,40
444,26
446,1
452,31
453,31
454,24
457,42
459,16
461,11
465,50
474,44
475,1
477,19
478,1
480,18
485,52
486,30
487,40
488,26
489,48
491,19
501,48
503,0
512,18
516,42
517,52
518,42
521,0
529,16
530,42
532,42
535,38
536,52
543,1
546,18
547,16
553,36
557,43
558,7
562,48
563,20
564,11
565,41
567,36
568,18
569,24
570,35
574,1
575,16
578,42
579,41
581,41
582,1
597,47
600,9
602,14
609,30
610,41
616,19
618,1
619,19
621,19
633,48
634,11
638,14
646,42
648,19
651,19
654,42
655,48
657,27
661,0
663,19
665,19
666,19
667,13
670,11
672,1
674,42
676,9
682,40
684,4
687,10
688,43
701,42
703,52
704,1
708,0
710,19
711,42
712,42
713,35
715,52
716,42
720,42
721,0
723,11
727,17
728,42
731,43
735,27
743,42
745,42
748,36
757,18
758,18
764,14
768,16
775,40
776,18
778,38
781,46
789,18
791,3
792,42
793,1
795,43
799,13
805,1
806,24
810,1
812,0
815,19
818,16
825,48
829,36
831,42
832,11
836,18
840,41
841,0
850,42
852,16
861,16
868,12
880,19
882,14
883,22
890,19
892,3
895,42
896,51
897,36
898,39
899,12
900,3
905,11
906,16
909,35
910,45
913,11
914,16
916,1
917,18
918,34
921,51
923,0
926,42
927,17
933,25
935,42
936,19
937,50
944,42
946,52
949,52
951,11
953,50
958,17
961,18
962,38
963,42
966,19
971,18
977,11
980,14
981,4
982,19
983,26
986,26
987,27
988,42
989,18
991,14
995,14
996,25
998,29
1002,27
1005,11
1009,42
1010,18
1013,11
1015,20
1017,1
1023,19
1025,0
1027,38
1032,52
1036,29
1042,1
1045,16
1047,42
1049,0
1051,18
1052,42
1055,42
1056,14
1058,52
1063,29
1069,42
1070,33
1073,52
