doc_idx,category
1,44
3,0
4,0
5,19
9,0
10,42
12,42
13,27
15,28
16,11
18,1
19,18
20,35
21,8
27,11
28,16
29,1
31,19
33,18
35,0
36,36
39,12
42,36
47,0
55,52
56,48
62,39
63,9
68,42
69,1
79,2
80,36
82,18
83,18
84,42
86,25
88,37
89,18
91,16
93,16
96,16
99,11
101,17
103,0
107,19
109,48
110,27
116,0
117,0
126,14
127,0
128,11
130,39
133,19
134,45
135,18
137,6
139,10
150,29
151,12
152,14
158,14
160,0
161,1
164,51
165,52
166,7
170,11
171,16
173,18
174,4
176,52
177,16
178,0
180,29
184,41
185,10
186,27
188,42
189,0
190,42
197,20
202,20
204,19
206,18
207,36
208,42
211,16
212,19
213,19
217,52
219,0
223,0
224,14
227,0
228,19
229,29
230,44
231,19
234,1
235,42
236,4
237,11
238,19
244,1
247,11
250,18
253,1
254,42
256,42
258,18
266,41
268,4
270,19
273,42
274,52
275,13
278,16
283,45
285,42
286,35
293,25
294,42
295,7
296,12
300,19
304,39
307,17
310,12
313,52
315,25
317,0
319,19
320,16
322,19
323,40
325,52
330,39
331,14
332,52
333,43
335,27
336,41
339,19
340,36
342,19
346,18
349,43
354,18
363,14
366,42
367,24
369,27
370,18
372,18
373,34
376,52
378,11
382,12
383,0
386,7
388,52
390,52
391,3
392,0
399,36
406,45
407,1
410,0
413,16
414,42
421,19
423,12
425,19
427,0
428,10
429,0
430,29
432,42
435,0
438,9
439,30
441,42
442,34
444,26
445,35
449,20
451,6
453,31
455,19
456,12
459,16
462,36
465,50
472,13
473,19
475,1
483,0
485,52
486,30
487,40
488,26
491,19
492,12
493,42
495,41
497,51
498,24
499,0
501,48
502,45
503,0
505,1
506,19
509,41
510,0
514,19
516,42
517,52
520,42
523,45
525,16
528,20
529,16
538,0
539,16
542,52
544,11
547,16
550,27
553,36
554,42
555,18
558,7
563,20
564,11
566,42
569,24
570,35
574,1
575,16
578,42
583,17
587,19
588,0
597,47
600,9
602,0
603,4
604,11
608,52
613,12
614,12
615,44
616,19
619,19
623,42
624,1
631,38
634,11
637,25
638,14
645,0
654,42
655,48
660,27
661,0
664,28
671,18
676,9
678,16
680,19
681,34
685,25
688,43
696,27
697,19
698,36
701,42
703,52
704,1
705,18
710,19
712,42
713,35
714,1
717,11
719,47
722,0
724,52
727,17
729,0
735,27
738,42
742,41
744,18
747,12
748,36
751,36
755,18
761,51
765,41
777,36
779,47
781,0
782,0
783,1
787,0
791,3
796,16
799,13
803,19
805,1
808,42
809,17
811,19
812,0
813,36
818,16
821,42
824,12
825,48
830,16
831,42
837,24
841,43
842,42
846,17
851,8
853,11
854,16
856,19
859,52
864,0
865,41
866,43
867,35
868,12
874,38
875,18
881,42
883,22
884,0
885,16
887,52
889,39
890,19
892,3
893,4
896,51
897,36
900,3
901,19
903,14
904,13
907,27
908,10
909,35
912,0
913,11
914,16
916,1
917,18
918,0
919,0
920,22
921,51
925,18
928,16
929,0
931,11
933,25
937,50
938,45
942,28
944,42
952,42
956,30
957,21
958,17
960,42
961,18
963,42
964,8
967,39
970,52
971,18
975,48
979,17
982,19
984,12
986,26
989,18
992,19
996,25
999,42
1001,43
1003,18
1006,8
1007,16
1008,18
1013,11
1015,20
1016,19
1018,0
1019,0
1021,52
1022,0
1023,19
1024,36
1026,1
1031,43
1032,52
1036,29
1039,0
1042,1
1044,48
1045,16
1047,42
1048,0
1049,36
1056,14
1058,52
1059,4
1060,3
1063,29
1064,35
1067,4
1069,42
1070,33
1072,50
1073,52
1075,42
1077,39
1080,35
1082,19
1083,18
1084,48
1085,33
1086,5
1087,42
1088,42
1092,11
1094,16
1096,0
1102,17
1104,42
1107,42
1111,19
1115,17
1116,0
1118,18
1123,0
1124,16
1126,3
1128,0
1129,17
1133,0
1134,19
1136,35
1137,9
1138,0
1140,42
1144,24
1147,39
1148,18
1151,19
1153,13
1157,11
1158,26
1161,38
1162,25
1169,30
1171,35
1172,18
1174,18
1179,1
1180,16
1181,20
1182,36
1183,18
1184,0
1185,28
1186,14
1187,17
1188,42
1191,16
1192,21
1193,18
1194,18
1195,47
1198,11
1201,1
1204,45
1207,16
1208,19
1209,0
1211,0
1213,4
1215,18
1222,18
1223,41
1224,42
1230,27
1231,42
1233,19
1234,42
1235,4
1236,17
1239,42
1241,20
1245,1
1250,14
1254,0
1257,42
1263,1
1267,42
1271,1
1272,1
1274,0
1275,43
1277,0
1278,0
1280,18
1281,42
1283,42
1284,19
1286,0
1289,42
1291,36
1293,52
1294,8
1297,18
1299,2
1300,14
1302,0
1304,12
1306,0
1307,38
1310,42
1318,19
1320,11
1321,42
1330,26
1331,43
1333,36
1335,1
1336,48
1345,0
1346,16
1349,0
1352,50
1353,19
1354,19
1356,51
1359,35
1360,44
1361,5
1362,40
1364,0
1372,18
1376,36
1379,19
1382,42
1387,0
1388,41
1391,11
1395,0
1396,14
1404,34
1405,19
1407,19
1410,36
1413,30
1416,42
1417,16
1418,42
1420,19
1421,40
1423,52
1424,1
1426,0
1428,12
1429,27
1431,48
1432,0
1433,48
1436,18
1438,7
1439,18
1440,42
1441,12
1445,30
1447,14
1452,19
1453,46
1455,16
1457,39
1460,0
1462,42
1464,28
1465,19
1472,19
1477,42
1479,42
1483,19
1484,44
1486,24
1487,14
1488,11
1490,42
1491,4
1492,1
1496,16
1498,20
1499,14
1501,36
1503,0
1504,0
1505,19
1507,52
1513,36
1519,14
1522,0
1524,18
1526,16
1531,42
1532,1
1533,0
1540,0
1542,44
1545,11
1552,4
1553,11
1554,39
1555,23
1556,42
1558,42
1564,39
1567,48
1569,17
1570,0
1571,42
1572,19
1574,48
1576,42
1580,44
1581,43
1585,10
1586,42
1592,19
1594,24
1597,52
1598,39
1599,16
1601,14
1608,17
1616,41
1618,42
1619,0
1621,48
1623,17
1625,17
1626,19
1630,1
1632,19
1635,18
1637,19
1638,12
1642,19
1646,42
1648,14
1651,42
1652,36
1653,11
1656,42
1658,52
1661,24
1663,0
1666,0
1681,19
1682,18
1684,11
1685,11
1688,36
1689,0
1695,35
1697,26
1698,19
1701,11
1705,0
1707,43
1710,52
1711,18
1712,0
1713,0
1714,41
1715,4
1717,42
1718,42
1720,20
1721,16
1722,0
1725,45
1727,52
1728,19
1734,1
1736,20
1737,47
1739,18
1746,36
1750,0
1752,28
1755,42
1756,16
1757,18
1760,38
1763,42
1766,48
1767,19
1769,0
1770,1
1772,4
1775,45
1776,42
1777,36
1780,38
1781,42
1790,19
1795,36
1796,41
1797,0
1798,17
1799,19
1800,42
1801,44
1802,18
1803,48
1804,19
1805,2
1806,4
1807,17
1814,19
1815,19
1821,43
1822,43
1823,14
1825,0
1828,34
1832,12
1834,19
1838,48
1839,12
1842,0
1843,0
1852,4
1853,16
1854,19
1855,16
1856,11
1857,11
1864,16
1866,43
1868,19
1872,1
1877,45
1879,10
1884,18
1888,25
1889,36
1891,42
1892,42
1894,11
1897,29
1898,42
1900,39
1903,11
1904,49
1905,36
1909,19
1912,48
1914,37
1917,48
1924,0
1934,11
1935,41
1936,7
1937,42
1939,16
1940,19
1941,42
1942,1
1947,11
1949,43
1950,41
1951,41
1952,0
1953,18
1954,1
1955,19
1958,36
1960,6
1963,19
